"age","code","date","cum.deaths","daily.deaths"
"75-79","TX",2020-08-07,1402,26
"80+","TX",2020-08-07,3907,67
"0-0","TX",2020-08-08,3,0
"1-9","TX",2020-08-08,2,0
"10-19","TX",2020-08-08,11,0
"20-29","TX",2020-08-08,96,1
"30-39","TX",2020-08-08,243,4
"40-49","TX",2020-08-08,634,9
"50-59","TX",2020-08-08,1295,22
"60-64","TX",2020-08-08,1076,17
"65-69","TX",2020-08-08,1328,20
"70-74","TX",2020-08-08,1478,24
"75-79","TX",2020-08-08,1425,23
"80+","TX",2020-08-08,3964,57
"0-0","TX",2020-08-09,3,0
"1-9","TX",2020-08-09,2,0
"10-19","TX",2020-08-09,11,0
"20-29","TX",2020-08-09,97,1
"30-39","TX",2020-08-09,247,4
"40-49","TX",2020-08-09,644,10
"50-59","TX",2020-08-09,1318,23
"60-64","TX",2020-08-09,1094,18
"65-69","TX",2020-08-09,1349,21
"70-74","TX",2020-08-09,1504,26
"75-79","TX",2020-08-09,1449,24
"80+","TX",2020-08-09,4024,60
"0-0","TX",2020-08-10,3,0
"1-9","TX",2020-08-10,2,0
"10-19","TX",2020-08-10,11,0
"20-29","TX",2020-08-10,98,1
"30-39","TX",2020-08-10,251,4
"40-49","TX",2020-08-10,654,10
"50-59","TX",2020-08-10,1342,24
"60-64","TX",2020-08-10,1112,18
"65-69","TX",2020-08-10,1371,22
"70-74","TX",2020-08-10,1531,27
"75-79","TX",2020-08-10,1473,24
"80+","TX",2020-08-10,4086,62
"0-0","TX",2020-08-11,3,0
"1-9","TX",2020-08-11,2,0
"10-19","TX",2020-08-11,11,0
"20-29","TX",2020-08-11,99,1
"30-39","TX",2020-08-11,255,4
"40-49","TX",2020-08-11,665,11
"50-59","TX",2020-08-11,1368,26
"60-64","TX",2020-08-11,1132,20
"65-69","TX",2020-08-11,1394,23
"70-74","TX",2020-08-11,1560,29
"75-79","TX",2020-08-11,1499,26
"80+","TX",2020-08-11,4153,67
"0-0","TX",2020-08-12,3,0
"1-9","TX",2020-08-12,2,0
"10-19","TX",2020-08-12,11,0
"20-29","TX",2020-08-12,100,1
"30-39","TX",2020-08-12,259,4
"40-49","TX",2020-08-12,674,9
"50-59","TX",2020-08-12,1391,23
"60-64","TX",2020-08-12,1149,17
"65-69","TX",2020-08-12,1414,20
"70-74","TX",2020-08-12,1586,26
"75-79","TX",2020-08-12,1522,23
"80+","TX",2020-08-12,4213,60
"0-0","TX",2020-08-13,3,0
"1-9","TX",2020-08-13,2,0
"10-19","TX",2020-08-13,11,0
"20-29","TX",2020-08-13,101,1
"30-39","TX",2020-08-13,263,4
"40-49","TX",2020-08-13,684,10
"50-59","TX",2020-08-13,1417,26
"60-64","TX",2020-08-13,1168,19
"65-69","TX",2020-08-13,1437,23
"70-74","TX",2020-08-13,1615,29
"75-79","TX",2020-08-13,1547,25
"80+","TX",2020-08-13,4280,67
"0-0","TX",2020-08-14,3,0
"1-9","TX",2020-08-14,2,0
"10-19","TX",2020-08-14,11,0
"20-29","TX",2020-08-14,102,1
"30-39","TX",2020-08-14,266,3
"40-49","TX",2020-08-14,692,8
"50-59","TX",2020-08-14,1438,21
"60-64","TX",2020-08-14,1184,16
"65-69","TX",2020-08-14,1456,19
"70-74","TX",2020-08-14,1638,23
"75-79","TX",2020-08-14,1567,20
"80+","TX",2020-08-14,4334,54
"0-0","TX",2020-08-15,3,0
"1-9","TX",2020-08-15,2,0
"10-19","TX",2020-08-15,11,0
"20-29","TX",2020-08-15,103,1
"30-39","TX",2020-08-15,269,3
"40-49","TX",2020-08-15,700,8
"50-59","TX",2020-08-15,1459,21
"60-64","TX",2020-08-15,1199,15
"65-69","TX",2020-08-15,1474,18
"70-74","TX",2020-08-15,1660,22
"75-79","TX",2020-08-15,1587,20
"80+","TX",2020-08-15,4387,53
"0-0","TX",2020-08-16,3,0
"1-9","TX",2020-08-16,2,0
"10-19","TX",2020-08-16,11,0
"20-29","TX",2020-08-16,104,1
