"date","code","age","cum.deaths","daily.deaths"
2020-04-21,"CT","20-29",1,0
2020-04-21,"CT","30-39",1,2
2020-04-21,"CT","40-49",1,0
2020-04-21,"CT","50-59",1,5
2020-04-21,"CT","60-69",1,12
2020-04-21,"CT","70-79",1,19
2020-04-21,"CT","80+",1,54
2020-04-22,"CT","0-9",1,0
2020-04-22,"CT","10-19",1,0
2020-04-22,"CT","20-29",3,2
2020-04-22,"CT","30-39",14,13
2020-04-22,"CT","40-49",30,29
2020-04-22,"CT","50-59",69,68
2020-04-22,"CT","60-69",222,221
2020-04-22,"CT","70-79",344,343
2020-04-22,"CT","80+",858,857
2020-04-23,"CT","0-9",1,0
2020-04-23,"CT","10-19",1,0
2020-04-23,"CT","20-29",4,1
2020-04-23,"CT","30-39",15,1
2020-04-23,"CT","40-49",30,0
2020-04-23,"CT","50-59",75,6
2020-04-23,"CT","60-69",228,6
2020-04-23,"CT","70-79",366,22
2020-04-23,"CT","80+",915,57
2020-04-24,"CT","0-9",3,0
2020-04-24,"CT","10-19",3,0
2020-04-24,"CT","20-29",3,0
2020-04-24,"CT","30-39",3,1
2020-04-24,"CT","40-49",3,1
2020-04-24,"CT","50-59",3,3
2020-04-24,"CT","60-69",3,12
2020-04-24,"CT","70-79",3,32
2020-04-24,"CT","80+",3,77
2020-04-25,"CT","0-9",1,0
2020-04-25,"CT","10-19",1,0
2020-04-25,"CT","20-29",3,0
2020-04-25,"CT","30-39",16,13
2020-04-25,"CT","40-49",31,28
2020-04-25,"CT","50-59",84,81
2020-04-25,"CT","60-69",250,247
2020-04-25,"CT","70-79",423,420
2020-04-25,"CT","80+",1049,1046
2020-04-26,"CT","0-9",1,0
2020-04-26,"CT","10-19",1,0
2020-04-26,"CT","20-29",3,0
2020-04-26,"CT","30-39",16,0
2020-04-26,"CT","40-49",31,0
2020-04-26,"CT","50-59",88,4
2020-04-26,"CT","60-69",258,8
2020-04-26,"CT","70-79",434,11
2020-04-26,"CT","80+",1091,42
2020-04-27,"CT","0-9",1,0
2020-04-27,"CT","10-19",1,0
2020-04-27,"CT","20-29",3,0
2020-04-27,"CT","30-39",16,0
2020-04-27,"CT","40-49",31,0
2020-04-27,"CT","50-59",92,4
2020-04-27,"CT","60-69",270,12
2020-04-27,"CT","70-79",455,21
2020-04-27,"CT","80+",1141,50
2020-04-28,"CT","0-9",16,0
2020-04-28,"CT","10-19",16,0
2020-04-28,"CT","20-29",16,0
2020-04-28,"CT","30-39",16,1
2020-04-28,"CT","40-49",16,0
2020-04-28,"CT","50-59",16,4
2020-04-28,"CT","60-69",16,4
2020-04-28,"CT","70-79",16,13
2020-04-28,"CT","80+",16,54
2020-04-29,"CT","0-9",1,0
2020-04-29,"CT","10-19",1,0
2020-04-29,"CT","20-29",3,0
2020-04-29,"CT","30-39",16,0
2020-04-29,"CT","40-49",31,15
2020-04-29,"CT","50-59",98,82
2020-04-29,"CT","60-69",279,263
2020-04-29,"CT","70-79",486,470
2020-04-29,"CT","80+",1249,1233
2020-04-30,"CT","0-9",1,0
2020-04-30,"CT","10-19",1,0
2020-04-30,"CT","20-29",3,0
2020-04-30,"CT","30-39",18,2
2020-04-30,"CT","40-49",31,0
2020-04-30,"CT","50-59",101,3
2020-04-30,"CT","60-69",290,11
2020-04-30,"CT","70-79",507,21
2020-04-30,"CT","80+",1301,52
2020-05-01,"CT","0-9",1,0
2020-05-01,"CT","10-19",1,0
2020-05-01,"CT","20-29",3,0
2020-05-01,"CT","30-39",18,0
2020-05-01,"CT","40-49",32,1
2020-05-01,"CT","50-59",102,1
2020-05-01,"CT","60-69",300,10
2020-05-01,"CT","70-79",521,14
2020-05-01,"CT","80+",1357,56
2020-05-02,"CT","0-9",1,0
2020-05-02,"CT","10-19",1,0
2020-05-02,"CT","20-29",4,1
2020-05-02,"CT","30-39",18,0
2020-05-02,"CT","40-49",33,1
2020-05-02,"CT","50-59",104,2
2020-05-02,"CT","60-69",309,9
2020-05-02,"CT","70-79",535,14
2020-05-02,"CT","80+",1426,69
2020-05-03,"CT","0-9",1,0
2020-05-03,"CT","10-19",1,0
2020-05-03,"CT","20-29",4,0
2020-05-03,"CT","30-39",18,0
2020-05-03,"CT","40-49",37,4
2020-05-03,"CT","50-59",111,7
2020-05-03,"CT","60-69",324,15
2020-05-03,"CT","70-79",558,23
2020-05-03,"CT","80+",1499,73
2020-05-04,"CT","0-9",1,0
2020-05-04,"CT","10-19",1,0
2020-05-04,"CT","20-29",4,0
2020-05-04,"CT","30-39",18,0
2020-05-04,"CT","40-49",38,1
2020-05-04,"CT","50-59",116,5
2020-05-04,"CT","60-69",328,4
2020-05-04,"CT","70-79",581,23
2020-05-04,"CT","80+",1543,44
2020-05-05,"CT","0-9",1,0
2020-05-05,"CT","10-19",1,0
2020-05-05,"CT","20-29",4,0
2020-05-05,"CT","30-39",19,1
2020-05-05,"CT","40-49",38,0
2020-05-05,"CT","50-59",120,4
2020-05-05,"CT","60-69",340,12
2020-05-05,"CT","70-79",596,15
2020-05-05,"CT","80+",1596,53
2020-05-06,"CT","0-9",1,0
2020-05-06,"CT","10-19",1,0
2020-05-06,"CT","20-29",4,0
2020-05-06,"CT","30-39",19,0
2020-05-06,"CT","40-49",41,3
2020-05-06,"CT","50-59",120,0
2020-05-06,"CT","60-69",343,3
2020-05-06,"CT","70-79",615,19
2020-05-06,"CT","80+",1650,54
2020-05-07,"CT","0-9",39,0
2020-05-07,"CT","10-19",39,0
2020-05-07,"CT","20-29",39,0
2020-05-07,"CT","30-39",39,0
2020-05-07,"CT","40-49",39,0
2020-05-07,"CT","50-59",39,0
2020-05-07,"CT","60-69",39,13
2020-05-07,"CT","70-79",39,15
2020-05-07,"CT","80+",39,49
2020-05-08,"CT","0-9",19,0
2020-05-08,"CT","10-19",19,0
2020-05-08,"CT","20-29",19,0
2020-05-08,"CT","30-39",19,1
2020-05-08,"CT","40-49",19,0
2020-05-08,"CT","50-59",19,82
2020-05-08,"CT","60-69",19,324
2020-05-08,"CT","70-79",19,602
2020-05-08,"CT","80+",19,1700
2020-05-09,"CT","0-9",1,0
2020-05-09,"CT","10-19",1,0
2020-05-09,"CT","20-29",4,0
2020-05-09,"CT","30-39",19,0
2020-05-09,"CT","40-49",40,21
2020-05-09,"CT","50-59",120,101
2020-05-09,"CT","60-69",363,344
2020-05-09,"CT","70-79",656,637
2020-05-09,"CT","80+",1758,1739
2020-05-10,"CT","0-9",1,0
2020-05-10,"CT","10-19",1,0
2020-05-10,"CT","20-29",4,0
2020-05-10,"CT","30-39",19,0
2020-05-10,"CT","40-49",40,0
2020-05-10,"CT","50-59",123,3
2020-05-10,"CT","60-69",373,10
2020-05-10,"CT","70-79",665,9
2020-05-10,"CT","80+",1777,19
