"age","cum.deaths","daily.deaths","code","date"
"40-49",3,0,"ND",2020-05-29
"50-59",2,0,"ND",2020-05-29
"60-69",3,0,"ND",2020-05-29
"70-79",13,1,"ND",2020-05-29
"80+",38,1,"ND",2020-05-29
"0-9",0,0,"ND",2020-05-30
"10-19",0,0,"ND",2020-05-30
"20-29",0,0,"ND",2020-05-30
"30-39",0,0,"ND",2020-05-30
"40-49",3,0,"ND",2020-05-30
"50-59",2,0,"ND",2020-05-30
"60-69",4,1,"ND",2020-05-30
"70-79",13,0,"ND",2020-05-30
"80+",38,0,"ND",2020-05-30
"0-9",0,0,"ND",2020-05-31
"10-19",0,0,"ND",2020-05-31
"20-29",0,0,"ND",2020-05-31
"30-39",0,0,"ND",2020-05-31
"40-49",3,0,"ND",2020-05-31
"50-59",2,0,"ND",2020-05-31
"60-69",4,0,"ND",2020-05-31
"70-79",13,0,"ND",2020-05-31
"80+",39,1,"ND",2020-05-31
"0-9",0,0,"ND",2020-06-01
"10-19",0,0,"ND",2020-06-01
"20-29",0,0,"ND",2020-06-01
"30-39",0,0,"ND",2020-06-01
"40-49",3,0,"ND",2020-06-01
"50-59",2,0,"ND",2020-06-01
"60-69",4,0,"ND",2020-06-01
"70-79",13,0,"ND",2020-06-01
"80+",39,0,"ND",2020-06-01
"0-9",0,0,"ND",2020-06-02
"10-19",0,0,"ND",2020-06-02
"20-29",0,0,"ND",2020-06-02
"30-39",0,0,"ND",2020-06-02
"40-49",3,0,"ND",2020-06-02
"50-59",2,0,"ND",2020-06-02
"60-69",5,1,"ND",2020-06-02
"70-79",13,0,"ND",2020-06-02
"80+",42,3,"ND",2020-06-02
"0-9",0,0,"ND",2020-06-03
"10-19",0,0,"ND",2020-06-03
"20-29",0,0,"ND",2020-06-03
"30-39",0,0,"ND",2020-06-03
"40-49",3,0,"ND",2020-06-03
"50-59",2,0,"ND",2020-06-03
"60-69",5,0,"ND",2020-06-03
"70-79",14,1,"ND",2020-06-03
"80+",42,0,"ND",2020-06-03
"0-9",0,0,"ND",2020-06-04
"10-19",0,0,"ND",2020-06-04
"20-29",0,0,"ND",2020-06-04
"30-39",0,0,"ND",2020-06-04
"40-49",3,0,"ND",2020-06-04
"50-59",2,0,"ND",2020-06-04
"60-69",5,0,"ND",2020-06-04
"70-79",14,0,"ND",2020-06-04
"80+",42,0,"ND",2020-06-04
"0-9",0,0,"ND",2020-06-05
"10-19",0,0,"ND",2020-06-05
"20-29",0,0,"ND",2020-06-05
"30-39",0,0,"ND",2020-06-05
"40-49",3,0,"ND",2020-06-05
"50-59",2,0,"ND",2020-06-05
"60-69",6,1,"ND",2020-06-05
"70-79",15,1,"ND",2020-06-05
"80+",45,3,"ND",2020-06-05
"0-9",0,0,"ND",2020-06-06
"10-19",0,0,"ND",2020-06-06
"20-29",0,0,"ND",2020-06-06
"30-39",0,0,"ND",2020-06-06
"40-49",3,0,"ND",2020-06-06
"50-59",2,0,"ND",2020-06-06
"60-69",6,0,"ND",2020-06-06
"70-79",15,0,"ND",2020-06-06
"80+",46,1,"ND",2020-06-06
"0-9",0,0,"ND",2020-06-07
"10-19",0,0,"ND",2020-06-07
"20-29",0,0,"ND",2020-06-07
"30-39",0,0,"ND",2020-06-07
"40-49",3,0,"ND",2020-06-07
"50-59",2,0,"ND",2020-06-07
"60-69",6,0,"ND",2020-06-07
"70-79",15,0,"ND",2020-06-07
"80+",46,0,"ND",2020-06-07
"0-9",0,0,"ND",2020-06-08
"10-19",0,0,"ND",2020-06-08
"20-29",0,0,"ND",2020-06-08
"30-39",0,0,"ND",2020-06-08
"40-49",3,0,"ND",2020-06-08
"50-59",2,0,"ND",2020-06-08
"60-69",6,0,"ND",2020-06-08
"70-79",15,0,"ND",2020-06-08
"80+",46,0,"ND",2020-06-08
"0-9",0,0,"ND",2020-06-09
"10-19",0,0,"ND",2020-06-09
"20-29",0,0,"ND",2020-06-09
"30-39",0,0,"ND",2020-06-09
"40-49",3,0,"ND",2020-06-09
"50-59",2,0,"ND",2020-06-09
"60-69",6,0,"ND",2020-06-09
"70-79",15,0,"ND",2020-06-09
"80+",46,0,"ND",2020-06-09
"0-9",0,0,"ND",2020-06-10
"10-19",0,0,"ND",2020-06-10
"20-29",0,0,"ND",2020-06-10
"30-39",0,0,"ND",2020-06-10
"40-49",3,0,"ND",2020-06-10
"50-59",2,0,"ND",2020-06-10
"60-69",6,0,"ND",2020-06-10
"70-79",15,0,"ND",2020-06-10
"80+",47,1,"ND",2020-06-10
"0-9",0,0,"ND",2020-06-11
"10-19",0,0,"ND",2020-06-11
"20-29",0,0,"ND",2020-06-11
"30-39",0,0,"ND",2020-06-11
"40-49",3,0,"ND",2020-06-11
"50-59",2,0,"ND",2020-06-11
"60-69",6,0,"ND",2020-06-11
"70-79",16,1,"ND",2020-06-11
"80+",47,0,"ND",2020-06-11
"0-9",0,0,"ND",2020-06-12
"10-19",0,0,"ND",2020-06-12
"20-29",0,0,"ND",2020-06-12
"30-39",0,0,"ND",2020-06-12
"40-49",3,0,"ND",2020-06-12
"50-59",2,0,"ND",2020-06-12
"60-69",6,0,"ND",2020-06-12
"70-79",16,0,"ND",2020-06-12
"80+",47,0,"ND",2020-06-12
"0-9",0,0,"ND",2020-06-13
"10-19",0,0,"ND",2020-06-13
"20-29",0,0,"ND",2020-06-13
"30-39",0,0,"ND",2020-06-13
"40-49",3,0,"ND",2020-06-13
"50-59",2,0,"ND",2020-06-13
"60-69",6,0,"ND",2020-06-13
"70-79",16,0,"ND",2020-06-13
"80+",47,0,"ND",2020-06-13
"0-9",0,0,"ND",2020-06-14
"10-19",0,0,"ND",2020-06-14
"20-29",0,0,"ND",2020-06-14
"30-39",0,0,"ND",2020-06-14
"40-49",3,0,"ND",2020-06-14
"50-59",2,0,"ND",2020-06-14
"60-69",6,0,"ND",2020-06-14
"70-79",16,0,"ND",2020-06-14
"80+",47,0,"ND",2020-06-14
"0-9",0,0,"ND",2020-06-15
"10-19",0,0,"ND",2020-06-15
"20-29",0,0,"ND",2020-06-15
"30-39",0,0,"ND",2020-06-15
"40-49",3,0,"ND",2020-06-15
"50-59",2,0,"ND",2020-06-15
"60-69",6,0,"ND",2020-06-15
"70-79",16,0,"ND",2020-06-15
"80+",47,0,"ND",2020-06-15
"0-9",0,0,"ND",2020-06-16
"10-19",0,0,"ND",2020-06-16
"20-29",0,0,"ND",2020-06-16
"30-39",0,0,"ND",2020-06-16
"40-49",3,0,"ND",2020-06-16
"50-59",2,0,"ND",2020-06-16
"60-69",6,0,"ND",2020-06-16
"70-79",16,0,"ND",2020-06-16
