"date","age","cum.deaths","daily.deaths","code"
2020-04-20,"0-19",0,NA,"MA"
2020-04-20,"20-29",1,NA,"MA"
2020-04-20,"30-39",7,NA,"MA"
2020-04-20,"40-49",13,NA,"MA"
2020-04-20,"50-59",63,NA,"MA"
2020-04-20,"60-69",182,NA,"MA"
2020-04-20,"70-79",399,NA,"MA"
2020-04-20,"80+",1144,NA,"MA"
2020-04-21,"0-19",0,0,"MA"
2020-04-21,"20-29",1,0,"MA"
2020-04-21,"30-39",7,0,"MA"
2020-04-21,"40-49",14,1,"MA"
2020-04-21,"50-59",66,3,"MA"
2020-04-21,"60-69",196,14,"MA"
2020-04-21,"70-79",439,40,"MA"
2020-04-21,"80+",1237,93,"MA"
2020-04-22,"0-19",0,0,"MA"
2020-04-22,"20-29",1,0,"MA"
2020-04-22,"30-39",7,0,"MA"
2020-04-22,"40-49",15,1,"MA"
2020-04-22,"50-59",75,9,"MA"
2020-04-22,"60-69",213,17,"MA"
2020-04-22,"70-79",483,44,"MA"
2020-04-22,"80+",1388,151,"MA"
2020-04-23,"0-19",0,0,"MA"
2020-04-23,"20-29",1,0,"MA"
2020-04-23,"30-39",7,0,"MA"
2020-04-23,"40-49",16,1,"MA"
2020-04-23,"50-59",81,6,"MA"
2020-04-23,"60-69",228,15,"MA"
2020-04-23,"70-79",523,40,"MA"
2020-04-23,"80+",1504,116,"MA"
2020-04-24,"0-19",0,0,"MA"
2020-04-24,"20-29",1,0,"MA"
2020-04-24,"30-39",7,0,"MA"
2020-04-24,"40-49",17,1,"MA"
2020-04-24,"50-59",92,11,"MA"
2020-04-24,"60-69",250,22,"MA"
2020-04-24,"70-79",568,45,"MA"
2020-04-24,"80+",1621,117,"MA"
2020-04-25,"0-19",0,0,"MA"
2020-04-25,"20-29",1,0,"MA"
2020-04-25,"30-39",7,0,"MA"
2020-04-25,"40-49",20,3,"MA"
2020-04-25,"50-59",99,7,"MA"
2020-04-25,"60-69",266,16,"MA"
2020-04-25,"70-79",604,36,"MA"
2020-04-25,"80+",1733,112,"MA"
2020-04-26,"0-19",0,0,"MA"
2020-04-26,"20-29",1,0,"MA"
2020-04-26,"30-39",7,0,"MA"
2020-04-26,"40-49",23,3,"MA"
2020-04-26,"50-59",109,10,"MA"
2020-04-26,"60-69",278,12,"MA"
2020-04-26,"70-79",639,35,"MA"
2020-04-26,"80+",1842,109,"MA"
2020-04-27,"0-19",0,0,"MA"
2020-04-27,"20-29",1,0,"MA"
2020-04-27,"30-39",7,0,"MA"
2020-04-27,"40-49",23,0,"MA"
2020-04-27,"50-59",111,2,"MA"
2020-04-27,"60-69",291,13,"MA"
2020-04-27,"70-79",665,26,"MA"
2020-04-27,"80+",1905,63,"MA"
2020-04-28,"0-19",0,0,"MA"
2020-04-28,"20-29",1,0,"MA"
2020-04-28,"30-39",8,1,"MA"
2020-04-28,"40-49",24,1,"MA"
2020-04-28,"50-59",117,6,"MA"
2020-04-28,"60-69",306,15,"MA"
2020-04-28,"70-79",699,34,"MA"
2020-04-28,"80+",1997,92,"MA"
2020-04-29,"0-19",0,0,"MA"
2020-04-29,"20-29",2,1,"MA"
2020-04-29,"30-39",8,0,"MA"
2020-04-29,"40-49",27,3,"MA"
2020-04-29,"50-59",126,9,"MA"
2020-04-29,"60-69",321,15,"MA"
2020-04-29,"70-79",753,54,"MA"
2020-04-29,"80+",2168,171,"MA"
2020-04-30,"0-19",0,0,"MA"
2020-04-30,"20-29",2,0,"MA"
2020-04-30,"30-39",10,2,"MA"
2020-04-30,"40-49",28,1,"MA"
2020-04-30,"50-59",128,2,"MA"
2020-04-30,"60-69",344,23,"MA"
2020-04-30,"70-79",787,34,"MA"
2020-04-30,"80+",2263,95,"MA"
2020-05-01,"0-19",0,0,"MA"
2020-05-01,"20-29",2,0,"MA"
2020-05-01,"30-39",10,0,"MA"
2020-05-01,"40-49",32,4,"MA"
2020-05-01,"50-59",132,4,"MA"
2020-05-01,"60-69",366,22,"MA"
2020-05-01,"70-79",827,40,"MA"
2020-05-01,"80+",2347,84,"MA"
2020-05-02,"0-19",0,0,"MA"
2020-05-02,"20-29",2,0,"MA"
2020-05-02,"30-39",11,1,"MA"
2020-05-02,"40-49",33,1,"MA"
2020-05-02,"50-59",133,1,"MA"
2020-05-02,"60-69",384,18,"MA"
2020-05-02,"70-79",853,26,"MA"
2020-05-02,"80+",2430,83,"MA"
2020-05-03,"0-19",0,0,"MA"
2020-05-03,"20-29",2,0,"MA"
2020-05-03,"30-39",11,0,"MA"
2020-05-03,"40-49",33,0,"MA"
2020-05-03,"50-59",139,6,"MA"
2020-05-03,"60-69",391,7,"MA"
2020-05-03,"70-79",903,50,"MA"
2020-05-03,"80+",2525,95,"MA"
2020-05-04,"0-19",0,0,"MA"
2020-05-04,"20-29",3,1,"MA"
2020-05-04,"30-39",11,0,"MA"
2020-05-04,"40-49",34,1,"MA"
2020-05-04,"50-59",143,4,"MA"
2020-05-04,"60-69",400,9,"MA"
2020-05-04,"70-79",924,21,"MA"
2020-05-04,"80+",2575,50,"MA"
2020-05-05,"0-19",0,0,"MA"
2020-05-05,"20-29",3,0,"MA"
2020-05-05,"30-39",11,0,"MA"
2020-05-05,"40-49",37,3,"MA"
2020-05-05,"50-59",148,5,"MA"
2020-05-05,"60-69",424,24,"MA"
2020-05-05,"70-79",950,26,"MA"
2020-05-05,"80+",2639,64,"MA"
2020-05-06,"0-19",0,0,"MA"
2020-05-06,"20-29",3,0,"MA"
2020-05-06,"30-39",13,2,"MA"
2020-05-06,"40-49",38,1,"MA"
2020-05-06,"50-59",157,9,"MA"
2020-05-06,"60-69",440,16,"MA"
2020-05-06,"70-79",992,42,"MA"
2020-05-06,"80+",2777,138,"MA"
2020-05-07,"0-19",0,0,"MA"
2020-05-07,"20-29",3,0,"MA"
2020-05-07,"30-39",13,0,"MA"
2020-05-07,"40-49",41,3,"MA"
2020-05-07,"50-59",160,3,"MA"
2020-05-07,"60-69",454,14,"MA"
2020-05-07,"70-79",1030,38,"MA"
2020-05-07,"80+",2851,74,"MA"
2020-05-08,"0-19",0,0,"MA"
2020-05-08,"20-29",4,1,"MA"
2020-05-08,"30-39",15,2,"MA"
2020-05-08,"40-49",42,1,"MA"
2020-05-08,"50-59",163,3,"MA"
2020-05-08,"60-69",463,9,"MA"
2020-05-08,"70-79",1073,43,"MA"
2020-05-08,"80+",2942,91,"MA"
2020-05-09,"0-19",0,0,"MA"
2020-05-09,"20-29",4,0,"MA"
2020-05-09,"30-39",16,1,"MA"
2020-05-09,"40-49",44,2,"MA"
2020-05-09,"50-59",166,3,"MA"
2020-05-09,"60-69",482,19,"MA"
2020-05-09,"70-79",1102,29,"MA"
2020-05-09,"80+",3026,84,"MA"
2020-05-10,"0-19",0,0,"MA"
2020-05-10,"20-29",4,0,"MA"
2020-05-10,"30-39",16,0,"MA"
2020-05-10,"40-49",45,1,"MA"
2020-05-10,"50-59",170,4,"MA"
2020-05-10,"60-69",496,14,"MA"
2020-05-10,"70-79",1131,29,"MA"
2020-05-10,"80+",3117,91,"MA"
2020-05-11,"0-19",0,0,"MA"
2020-05-11,"20-29",4,0,"MA"
2020-05-11,"30-39",16,0,"MA"
2020-05-11,"40-49",46,1,"MA"
2020-05-11,"50-59",183,13,"MA"
2020-05-11,"60-69",502,6,"MA"
2020-05-11,"70-79",1164,33,"MA"
2020-05-11,"80+",3193,76,"MA"
2020-05-12,"0-19",0,0,"MA"
2020-05-12,"20-29",5,1,"MA"
2020-05-12,"30-39",16,0,"MA"
2020-05-12,"40-49",46,0,"MA"
2020-05-12,"50-59",184,1,"MA"
2020-05-12,"60-69",504,2,"MA"
2020-05-12,"70-79",1171,7,"MA"
2020-05-12,"80+",3215,22,"MA"
2020-05-13,"0-19",0,0,"MA"
2020-05-13,"20-29",6,1,"MA"
2020-05-13,"30-39",17,1,"MA"
2020-05-13,"40-49",48,2,"MA"
2020-05-13,"50-59",188,4,"MA"
2020-05-13,"60-69",523,19,"MA"
2020-05-13,"70-79",1214,43,"MA"
2020-05-13,"80+",3318,103,"MA"
2020-05-14,"0-19",0,0,"MA"
2020-05-14,"20-29",7,1,"MA"
2020-05-14,"30-39",17,0,"MA"
2020-05-14,"40-49",50,2,"MA"
2020-05-14,"50-59",192,4,"MA"
2020-05-14,"60-69",543,20,"MA"
2020-05-14,"70-79",1245,31,"MA"
2020-05-14,"80+",3427,109,"MA"
2020-05-15,"0-19",0,0,"MA"
2020-05-15,"20-29",7,0,"MA"
2020-05-15,"30-39",16,0,"MA"
2020-05-15,"40-49",50,0,"MA"
2020-05-15,"50-59",196,4,"MA"
2020-05-15,"60-69",552,9,"MA"
2020-05-15,"70-79",1266,21,"MA"
2020-05-15,"80+",3505,78,"MA"
2020-05-16,"0-19",0,0,"MA"
2020-05-16,"20-29",7,0,"MA"
2020-05-16,"30-39",17,1,"MA"
2020-05-16,"40-49",50,0,"MA"
2020-05-16,"50-59",203,7,"MA"
2020-05-16,"60-69",560,8,"MA"
2020-05-16,"70-79",1291,25,"MA"
2020-05-16,"80+",3577,72,"MA"
2020-05-17,"0-19",0,0,"MA"
2020-05-17,"20-29",7,0,"MA"
2020-05-17,"30-39",17,0,"MA"
2020-05-17,"40-49",51,1,"MA"
2020-05-17,"50-59",207,4,"MA"
2020-05-17,"60-69",571,11,"MA"
2020-05-17,"70-79",1314,23,"MA"
2020-05-17,"80+",3630,53,"MA"
2020-05-18,"0-19",0,0,"MA"
2020-05-18,"20-29",7,0,"MA"
2020-05-18,"30-39",18,1,"MA"
2020-05-18,"40-49",51,0,"MA"
2020-05-18,"50-59",211,4,"MA"
2020-05-18,"60-69",578,7,"MA"
2020-05-18,"70-79",1325,11,"MA"
2020-05-18,"80+",3672,42,"MA"
2020-05-19,"0-19",0,0,"MA"
2020-05-19,"20-29",7,0,"MA"
2020-05-19,"30-39",18,0,"MA"
