LATEST_STATUS_DATE,Age Ranges,As of Date,Case Status,DATA_AS_OF_DT,DATA_REFRESH_DT,Parameter Sort,Parameter Sort Target,CASES,DEATHS,Measure Toggle,RECOVERIES
22/02/2021,70s,"March 1, 2021 11:59 pm",Probable,01/03/2021,"March 2, 2021",FALSE,70s,1,1,1,0
18/11/2020,40s,"March 1, 2021 11:59 pm",Confirmed,01/03/2021,"March 2, 2021",FALSE,40s,22,0,0,21
01/09/2020,30s,"March 1, 2021 11:59 pm",Confirmed,01/03/2021,"March 2, 2021",FALSE,30s,6,0,0,3
28/03/2020,30s,"March 1, 2021 11:59 pm",Confirmed,01/03/2021,"March 2, 2021",FALSE,30s,4,0,0,2
02/02/2021,40s,"March 1, 2021 11:59 pm",Probable,01/03/2021,"March 2, 2021",FALSE,40s,14,0,0,0
19/03/2020,70s,"March 1, 2021 11:59 pm",Confirmed,01/03/2021,"March 2, 2021",FALSE,70s,1,0,0,0
05/06/2020,60s,"March 1, 2021 11:59 pm",Confirmed,01/03/2021,"March 2, 2021",FALSE,60s,1,0,0,2
15/08/2020,80,"March 1, 2021 11:59 pm",Confirmed,01/03/2021,"March 2, 2021",FALSE,80,1,0,0,0
24/01/2021,70s,"March 1, 2021 11:59 pm",Confirmed,01/03/2021,"March 2, 2021",FALSE,70s,19,2,2,3
10/02/2021,<20,"March 1, 2021 11:59 pm",Confirmed,01/03/2021,"March 2, 2021",TRUE,<20,36,0,0,0
05/12/2020,60s,"March 1, 2021 11:59 pm",Probable,01/03/2021,"March 2, 2021",FALSE,60s,3,0,0,1
20/08/2020,70s,"March 1, 2021 11:59 pm",Confirmed,01/03/2021,"March 2, 2021",FALSE,70s,1,0,0,3
11/10/2020,20s,"March 1, 2021 11:59 pm",Confirmed,01/03/2021,"March 2, 2021",FALSE,20s,0,0,0,2
06/09/2020,<20,"March 1, 2021 11:59 pm",Confirmed,01/03/2021,"March 2, 2021",TRUE,<20,0,0,0,6
27/02/2021,50s,"March 1, 2021 11:59 pm",Probable,01/03/2021,"March 2, 2021",FALSE,50s,5,0,0,0
17/06/2020,40s,"March 1, 2021 11:59 pm",Confirmed,01/03/2021,"March 2, 2021",FALSE,40s,6,0,0,4
31/01/2021,60s,"March 1, 2021 11:59 pm",Confirmed,01/03/2021,"March 2, 2021",FALSE,60s,17,0,0,4
16/01/2021,80,"March 1, 2021 11:59 pm",Confirmed,01/03/2021,"March 2, 2021",FALSE,80,28,5,5,1
19/01/2021,20s,"March 1, 2021 11:59 pm",Probable,01/03/2021,"March 2, 2021",FALSE,20s,65,0,0,1
07/06/2020,40s,"March 1, 2021 11:59 pm",Probable,01/03/2021,"March 2, 2021",FALSE,40s,3,0,0,1
27/08/2020,60s,"March 1, 2021 11:59 pm",Confirmed,01/03/2021,"March 2, 2021",FALSE,60s,2,0,0,3
11/11/2020,40s,"March 1, 2021 11:59 pm",Probable,01/03/2021,"March 2, 2021",FALSE,40s,2,0,0,0
01/05/2020,<20,"March 1, 2021 11:59 pm",Probable,01/03/2021,"March 2, 2021",TRUE,<20,1,0,0,1
10/12/2020,70s,"March 1, 2021 11:59 pm",Probable,01/03/2021,"March 2, 2021",FALSE,70s,4,0,0,0
02/02/2021,30s,"March 1, 2021 11:59 pm",Confirmed,01/03/2021,"March 2, 2021",FALSE,30s,28,0,0,0
19/11/2020,50s,"March 1, 2021 11:59 pm",Confirmed,01/03/2021,"March 2, 2021",FALSE,50s,33,0,0,40
26/02/2021,60s,"March 1, 2021 11:59 pm",Probable,01/03/2021,"March 2, 2021",FALSE,60s,14,0,0,1
05/04/2020,<20,"March 1, 2021 11:59 pm",Confirmed,01/03/2021,"March 2, 2021",TRUE,<20,1,0,0,0
13/12/2020,30s,"March 1, 2021 11:59 pm",Probable,01/03/2021,"March 2, 2021",FALSE,30s,7,0,0,0
