"age","date","cum.deaths","daily.deaths","code"
"0-9",2020-03-23,0,NA,"CO"
"10-19",2020-03-23,0,NA,"CO"
"20-29",2020-03-23,0,NA,"CO"
"30-39",2020-03-23,0,NA,"CO"
"40-49",2020-03-23,0,NA,"CO"
"50-59",2020-03-23,0,NA,"CO"
"60-69",2020-03-23,2,NA,"CO"
"70-79",2020-03-23,4,NA,"CO"
"80+",2020-03-23,1,NA,"CO"
"0-9",2020-03-24,0,0,"CO"
"10-19",2020-03-24,0,0,"CO"
"20-29",2020-03-24,0,0,"CO"
"30-39",2020-03-24,0,0,"CO"
"40-49",2020-03-24,0,0,"CO"
"50-59",2020-03-24,1,1,"CO"
"60-69",2020-03-24,2,0,"CO"
"70-79",2020-03-24,6,2,"CO"
"80+",2020-03-24,2,1,"CO"
"0-9",2020-03-25,0,0,"CO"
"10-19",2020-03-25,0,0,"CO"
"20-29",2020-03-25,0,0,"CO"
"30-39",2020-03-25,0,0,"CO"
"40-49",2020-03-25,1,1,"CO"
"50-59",2020-03-25,2,1,"CO"
"60-69",2020-03-25,3,1,"CO"
"70-79",2020-03-25,7,1,"CO"
"80+",2020-03-25,6,4,"CO"
"0-9",2020-03-26,0,0,"CO"
"10-19",2020-03-26,0,0,"CO"
"20-29",2020-03-26,0,0,"CO"
"30-39",2020-03-26,0,0,"CO"
"40-49",2020-03-26,1,0,"CO"
"50-59",2020-03-26,2,0,"CO"
"60-69",2020-03-26,3,0,"CO"
"70-79",2020-03-26,7,0,"CO"
"80+",2020-03-26,11,5,"CO"
"0-9",2020-03-27,0,0,"CO"
"10-19",2020-03-27,0,0,"CO"
"20-29",2020-03-27,0,0,"CO"
"30-39",2020-03-27,0,0,"CO"
"40-49",2020-03-27,1,0,"CO"
"50-59",2020-03-27,2,0,"CO"
"60-69",2020-03-27,4,1,"CO"
"70-79",2020-03-27,10,3,"CO"
"80+",2020-03-27,14,3,"CO"
"0-9",2020-03-28,0,0,"CO"
"10-19",2020-03-28,0,0,"CO"
"20-29",2020-03-28,0,0,"CO"
"30-39",2020-03-28,0,0,"CO"
"40-49",2020-03-28,2,1,"CO"
"50-59",2020-03-28,3,1,"CO"
"60-69",2020-03-28,4,0,"CO"
"70-79",2020-03-28,14,4,"CO"
"80+",2020-03-28,21,7,"CO"
"0-9",2020-03-29,0,0,"CO"
"10-19",2020-03-29,0,0,"CO"
"20-29",2020-03-29,0,0,"CO"
"30-39",2020-03-29,0,0,"CO"
"40-49",2020-03-29,2,0,"CO"
"50-59",2020-03-29,3,0,"CO"
"60-69",2020-03-29,5,1,"CO"
"70-79",2020-03-29,15,1,"CO"
"80+",2020-03-29,22,1,"CO"
"0-9",2020-03-30,0,0,"CO"
"10-19",2020-03-30,0,0,"CO"
"20-29",2020-03-30,0,0,"CO"
"30-39",2020-03-30,0,0,"CO"
"40-49",2020-03-30,2,0,"CO"
"50-59",2020-03-30,3,0,"CO"
"60-69",2020-03-30,5,0,"CO"
"70-79",2020-03-30,18,3,"CO"
"80+",2020-03-30,23,1,"CO"
"0-9",2020-03-31,0,0,"CO"
"10-19",2020-03-31,0,0,"CO"
"20-29",2020-03-31,0,0,"CO"
"30-39",2020-03-31,0,0,"CO"
"40-49",2020-03-31,2,0,"CO"
"50-59",2020-03-31,4,1,"CO"
"60-69",2020-03-31,5,0,"CO"
"70-79",2020-03-31,22,4,"CO"
"80+",2020-03-31,36,13,"CO"
"0-9",2020-04-01,0,0,"CO"
"10-19",2020-04-01,0,0,"CO"
"20-29",2020-04-01,0,0,"CO"
"30-39",2020-04-01,0,0,"CO"
"40-49",2020-04-01,2,0,"CO"
"50-59",2020-04-01,4,0,"CO"
"60-69",2020-04-01,7,2,"CO"
"70-79",2020-04-01,23,1,"CO"
"80+",2020-04-01,44,8,"CO"
"0-9",2020-04-02,0,0,"CO"
"10-19",2020-04-02,0,0,"CO"
"20-29",2020-04-02,0,0,"CO"
"30-39",2020-04-02,0,0,"CO"
"40-49",2020-04-02,3,1,"CO"
"50-59",2020-04-02,4,0,"CO"
"60-69",2020-04-02,9,2,"CO"
"70-79",2020-04-02,26,3,"CO"
"80+",2020-04-02,55,11,"CO"
"0-9",2020-04-03,0,0,"CO"
"10-19",2020-04-03,0,0,"CO"
"20-29",2020-04-03,0,0,"CO"
"30-39",2020-04-03,1,1,"CO"
"40-49",2020-04-03,4,1,"CO"
"50-59",2020-04-03,6,2,"CO"
"60-69",2020-04-03,11,2,"CO"
"70-79",2020-04-03,27,1,"CO"
"80+",2020-04-03,62,7,"CO"
"0-9",2020-04-04,0,0,"CO"
"10-19",2020-04-04,0,0,"CO"
"20-29",2020-04-04,0,0,"CO"
"30-39",2020-04-04,1,0,"CO"
"40-49",2020-04-04,4,0,"CO"
"50-59",2020-04-04,8,2,"CO"
"60-69",2020-04-04,12,1,"CO"
"70-79",2020-04-04,31,4,"CO"
"80+",2020-04-04,70,8,"CO"
"0-9",2020-04-05,0,0,"CO"
"10-19",2020-04-05,0,0,"CO"
"20-29",2020-04-05,0,0,"CO"
"30-39",2020-04-05,1,0,"CO"
"40-49",2020-04-05,5,1,"CO"
"50-59",2020-04-05,8,0,"CO"
"60-69",2020-04-05,14,2,"CO"
"70-79",2020-04-05,35,4,"CO"
"80+",2020-04-05,77,7,"CO"
"0-9",2020-04-06,0,0,"CO"
