"age","date","code","cum.deaths","daily.deaths"
"0-9",2020-04-09,"TN",1,NA
"10-19",2020-04-09,"TN",0,NA
"20-29",2020-04-09,"TN",1,NA
"30-39",2020-04-09,"TN",1,NA
"40-49",2020-04-09,"TN",5,NA
"50-59",2020-04-09,"TN",9,NA
"60-69",2020-04-09,"TN",23,NA
"70-79",2020-04-09,"TN",24,NA
"80+",2020-04-09,"TN",30,NA
"0-9",2020-04-10,"TN",1,0
"10-19",2020-04-10,"TN",0,0
"20-29",2020-04-10,"TN",1,0
"30-39",2020-04-10,"TN",1,0
"40-49",2020-04-10,"TN",5,0
"50-59",2020-04-10,"TN",9,0
"60-69",2020-04-10,"TN",26,3
"70-79",2020-04-10,"TN",24,0
"80+",2020-04-10,"TN",31,1
"0-9",2020-04-11,"TN",1,0
"10-19",2020-04-11,"TN",0,0
"20-29",2020-04-11,"TN",1,0
"30-39",2020-04-11,"TN",1,0
"40-49",2020-04-11,"TN",5,0
"50-59",2020-04-11,"TN",9,0
"60-69",2020-04-11,"TN",27,1
"70-79",2020-04-11,"TN",25,1
"80+",2020-04-11,"TN",32,1
"0-9",2020-04-12,"TN",1,0
"10-19",2020-04-12,"TN",0,0
"20-29",2020-04-12,"TN",1,0
"30-39",2020-04-12,"TN",1,0
"40-49",2020-04-12,"TN",5,0
"50-59",2020-04-12,"TN",9,0
"60-69",2020-04-12,"TN",27,0
"70-79",2020-04-12,"TN",25,0
"80+",2020-04-12,"TN",32,0
"0-9",2020-04-13,"TN",1,0
"10-19",2020-04-13,"TN",0,0
"20-29",2020-04-13,"TN",1,0
"30-39",2020-04-13,"TN",1,0
"40-49",2020-04-13,"TN",6,1
"50-59",2020-04-13,"TN",9,0
"60-69",2020-04-13,"TN",28,1
"70-79",2020-04-13,"TN",28,3
"80+",2020-04-13,"TN",35,3
"0-9",2020-04-14,"TN",1,0
"10-19",2020-04-14,"TN",0,0
"20-29",2020-04-14,"TN",1,0
"30-39",2020-04-14,"TN",1,0
"40-49",2020-04-14,"TN",7,1
"50-59",2020-04-14,"TN",11,2
"60-69",2020-04-14,"TN",29,1
"70-79",2020-04-14,"TN",32,4
"80+",2020-04-14,"TN",42,7
"0-9",2020-04-15,"TN",1,0
"10-19",2020-04-15,"TN",0,0
"20-29",2020-04-15,"TN",1,0
"30-39",2020-04-15,"TN",1,0
"40-49",2020-04-15,"TN",7,0
"50-59",2020-04-15,"TN",14,3
"60-69",2020-04-15,"TN",34,5
"70-79",2020-04-15,"TN",33,1
"80+",2020-04-15,"TN",44,2
"0-9",2020-04-16,"TN",1,0
"10-19",2020-04-16,"TN",0,0
"20-29",2020-04-16,"TN",1,0
"30-39",2020-04-16,"TN",1,0
"40-49",2020-04-16,"TN",7,0
"50-59",2020-04-16,"TN",14,0
"60-69",2020-04-16,"TN",34,0
"70-79",2020-04-16,"TN",34,1
"80+",2020-04-16,"TN",48,4
"0-9",2020-04-17,"TN",1,0
"10-19",2020-04-17,"TN",0,0
"20-29",2020-04-17,"TN",1,0
"30-39",2020-04-17,"TN",1,0
"40-49",2020-04-17,"TN",7,0
"50-59",2020-04-17,"TN",14,0
"60-69",2020-04-17,"TN",34,0
"70-79",2020-04-17,"TN",36,2
"80+",2020-04-17,"TN",48,0
"0-9",2020-04-18,"TN",1,0
"10-19",2020-04-18,"TN",0,0
"20-29",2020-04-18,"TN",1,0
"30-39",2020-04-18,"TN",1,0
"40-49",2020-04-18,"TN",7,0
"50-59",2020-04-18,"TN",14,0
