"code","age","cum.deaths","daily.deaths","date","loc_label","index_days_month"
"AK","0-9",0,NA,2020-06-09,"Alaska","09"
"AK","10-19",0,NA,2020-06-09,"Alaska","09"
"AK","20-29",0,NA,2020-06-09,"Alaska","09"
"AK","30-39",2,NA,2020-06-09,"Alaska","09"
"AK","40-49",0,NA,2020-06-09,"Alaska","09"
"AK","50-59",1,NA,2020-06-09,"Alaska","09"
"AK","60-69",1,NA,2020-06-09,"Alaska","09"
"AK","70-79",6,NA,2020-06-09,"Alaska","09"
"AK","80+",1,NA,2020-06-09,"Alaska","09"
"AK","0-9",0,0,2020-06-10,"Alaska","10"
"AK","10-19",0,0,2020-06-10,"Alaska","10"
"AK","20-29",0,0,2020-06-10,"Alaska","10"
"AK","30-39",2,0,2020-06-10,"Alaska","10"
"AK","40-49",0,0,2020-06-10,"Alaska","10"
"AK","50-59",1,0,2020-06-10,"Alaska","10"
"AK","60-69",1,0,2020-06-10,"Alaska","10"
"AK","70-79",6,0,2020-06-10,"Alaska","10"
"AK","80+",1,0,2020-06-10,"Alaska","10"
"AK","0-9",0,0,2020-06-11,"Alaska","11"
"AK","10-19",0,0,2020-06-11,"Alaska","11"
"AK","20-29",0,0,2020-06-11,"Alaska","11"
"AK","30-39",2,0,2020-06-11,"Alaska","11"
"AK","40-49",0,0,2020-06-11,"Alaska","11"
"AK","50-59",1,0,2020-06-11,"Alaska","11"
"AK","60-69",1,0,2020-06-11,"Alaska","11"
"AK","70-79",6,0,2020-06-11,"Alaska","11"
"AK","80+",1,0,2020-06-11,"Alaska","11"
"AK","0-9",0,0,2020-06-12,"Alaska","12"
"AK","10-19",0,0,2020-06-12,"Alaska","12"
"AK","20-29",0,0,2020-06-12,"Alaska","12"
"AK","30-39",2,0,2020-06-12,"Alaska","12"
"AK","40-49",0,0,2020-06-12,"Alaska","12"
"AK","50-59",1,0,2020-06-12,"Alaska","12"
"AK","60-69",1,0,2020-06-12,"Alaska","12"
"AK","70-79",6,0,2020-06-12,"Alaska","12"
"AK","80+",2,1,2020-06-12,"Alaska","12"
