"age","date","code","cum.deaths","daily.deaths"
"0-9",2020-04-05,"CT",1,NA
"10-19",2020-04-05,"CT",0,NA
"20-29",2020-04-05,"CT",0,NA
"30-39",2020-04-05,"CT",1,NA
"40-49",2020-04-05,"CT",7,NA
"50-59",2020-04-05,"CT",9,NA
"60-69",2020-04-05,"CT",27,NA
"70-79",2020-04-05,"CT",47,NA
"80+",2020-04-05,"CT",97,NA
"0-9",2020-04-06,"CT",1,0
"10-19",2020-04-06,"CT",0,0
"20-29",2020-04-06,"CT",0,0
"30-39",2020-04-06,"CT",1,0
"40-49",2020-04-06,"CT",7,0
"50-59",2020-04-06,"CT",10,1
"60-69",2020-04-06,"CT",28,1
"70-79",2020-04-06,"CT",49,2
"80+",2020-04-06,"CT",110,13
"0-9",2020-04-07,"CT",1,0
"10-19",2020-04-07,"CT",0,0
"20-29",2020-04-07,"CT",1,1
"30-39",2020-04-07,"CT",2,1
"40-49",2020-04-07,"CT",9,2
"50-59",2020-04-07,"CT",13,3
"60-69",2020-04-07,"CT",39,11
"70-79",2020-04-07,"CT",63,14
"80+",2020-04-07,"CT",149,39
"0-9",2020-04-08,"CT",1,0
"10-19",2020-04-08,"CT",0,0
"20-29",2020-04-08,"CT",1,0
"30-39",2020-04-08,"CT",2,0
"40-49",2020-04-08,"CT",9,0
"50-59",2020-04-08,"CT",16,3
"60-69",2020-04-08,"CT",47,8
"70-79",2020-04-08,"CT",80,17
"80+",2020-04-08,"CT",179,30
"0-9",2020-04-09,"CT",1,0
"10-19",2020-04-09,"CT",0,0
"20-29",2020-04-09,"CT",1,0
"30-39",2020-04-09,"CT",3,1
"40-49",2020-04-09,"CT",10,1
"50-59",2020-04-09,"CT",17,1
"60-69",2020-04-09,"CT",53,6
"70-79",2020-04-09,"CT",91,11
"80+",2020-04-09,"CT",204,25
"0-9",2020-04-10,"CT",1,0
"10-19",2020-04-10,"CT",0,0
"20-29",2020-04-10,"CT",1,0
"30-39",2020-04-10,"CT",5,2
"40-49",2020-04-10,"CT",11,1
"50-59",2020-04-10,"CT",19,2
"60-69",2020-04-10,"CT",61,8
"70-79",2020-04-10,"CT",101,10
"80+",2020-04-10,"CT",249,45
"20-29",2020-04-11,"CT",1,0
"30-39",2020-04-11,"CT",6,1
"40-49",2020-04-11,"CT",13,2
"50-59",2020-04-11,"CT",21,2
"60-69",2020-04-11,"CT",67,6
"70-79",2020-04-11,"CT",110,9
"0-9",2020-04-11,"CT",1,0
"10-19",2020-04-11,"CT",0,0
"80+",2020-04-11,"CT",275,26
"0-9",2020-04-12,"CT",1,0
"10-19",2020-04-12,"CT",0,0
"20-29",2020-04-12,"CT",1,0
"30-39",2020-04-12,"CT",6,0
"40-49",2020-04-12,"CT",13,0
"50-59",2020-04-12,"CT",27,6
"60-69",2020-04-12,"CT",75,8
"70-79",2020-04-12,"CT",122,12
"80+",2020-04-12,"CT",309,34
"0-9",2020-04-13,"CT",1,0
"10-19",2020-04-13,"CT",0,0
"20-29",2020-04-13,"CT",1,0
"30-39",2020-04-13,"CT",8,2
"40-49",2020-04-13,"CT",13,0
"50-59",2020-04-13,"CT",30,3
"60-69",2020-04-13,"CT",83,8
"70-79",2020-04-13,"CT",134,12
