County,WeekStartDate,Deaths,Age 0-19,Age 20-34,Age 35-49,Age 50-64,Age 65-79,Age 80+,UnknownAge,dtm_updated
Adams County,12/07/2020,2,0,0,0,0,1,1,0,2021/03/15 15:23:27
Adams County,19/07/2020,3,0,0,0,0,1,2,0,2021/03/15 15:23:27
Adams County,02/08/2020,3,0,0,1,0,1,1,0,2021/03/15 15:23:27
Adams County,23/08/2020,3,0,0,0,1,1,1,0,2021/03/15 15:23:27
Adams County,06/09/2020,1,0,0,0,1,0,0,0,2021/03/15 15:23:27
Adams County,13/09/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Adams County,01/11/2020,2,0,0,0,1,1,0,0,2021/03/15 15:23:27
Adams County,15/11/2020,3,0,0,0,0,3,0,0,2021/03/15 15:23:27
Adams County,13/12/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Adams County,27/12/2020,1,0,0,0,1,0,0,0,2021/03/15 15:23:27
Adams County,03/01/2021,2,0,0,0,0,1,1,0,2021/03/15 15:23:27
Asotin County,29/03/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Asotin County,05/04/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Asotin County,06/09/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Asotin County,20/09/2020,3,0,0,0,0,1,2,0,2021/03/15 15:23:27
Asotin County,04/10/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Asotin County,11/10/2020,2,0,0,0,1,0,1,0,2021/03/15 15:23:27
Asotin County,18/10/2020,2,0,0,0,0,2,0,0,2021/03/15 15:23:27
Asotin County,25/10/2020,2,0,0,0,0,0,2,0,2021/03/15 15:23:27
Asotin County,01/11/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Asotin County,08/11/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Asotin County,15/11/2020,5,0,0,0,0,3,2,0,2021/03/15 15:23:27
Asotin County,22/11/2020,3,0,0,0,0,2,1,0,2021/03/15 15:23:27
Asotin County,29/11/2020,4,0,0,0,2,0,2,0,2021/03/15 15:23:27
Asotin County,20/12/2020,1,0,0,0,1,0,0,0,2021/03/15 15:23:27
Benton County,08/03/2020,3,0,0,0,0,2,1,0,2021/03/15 15:23:27
Benton County,15/03/2020,4,0,0,0,0,1,3,0,2021/03/15 15:23:27
Benton County,22/03/2020,21,0,0,0,1,7,13,0,2021/03/15 15:23:27
Benton County,29/03/2020,8,0,0,0,1,1,6,0,2021/03/15 15:23:27
Benton County,05/04/2020,4,0,0,1,0,3,0,0,2021/03/15 15:23:27
Benton County,12/04/2020,3,0,0,0,0,1,2,0,2021/03/15 15:23:27
Benton County,19/04/2020,8,0,0,0,0,4,4,0,2021/03/15 15:23:27
Benton County,26/04/2020,11,0,0,0,1,5,5,0,2021/03/15 15:23:27
Benton County,03/05/2020,5,0,0,0,0,3,2,0,2021/03/15 15:23:27
Benton County,10/05/2020,4,0,0,0,1,2,1,0,2021/03/15 15:23:27
Benton County,17/05/2020,3,0,0,0,0,1,2,0,2021/03/15 15:23:27
Benton County,31/05/2020,3,0,0,0,0,2,1,0,2021/03/15 15:23:27
Benton County,07/06/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Benton County,14/06/2020,10,0,0,0,1,3,6,0,2021/03/15 15:23:27
Benton County,21/06/2020,5,0,0,1,0,1,3,0,2021/03/15 15:23:27
Benton County,28/06/2020,9,0,0,0,4,2,3,0,2021/03/15 15:23:27
Benton County,05/07/2020,7,0,0,1,1,3,2,0,2021/03/15 15:23:27
Benton County,12/07/2020,5,0,0,0,1,3,1,0,2021/03/15 15:23:27
Benton County,19/07/2020,4,0,0,0,2,1,1,0,2021/03/15 15:23:27
Benton County,26/07/2020,3,0,0,0,0,2,1,0,2021/03/15 15:23:27
Benton County,02/08/2020,2,0,0,0,1,0,1,0,2021/03/15 15:23:27
Benton County,23/08/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Benton County,30/08/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Benton County,06/09/2020,2,0,0,0,0,2,0,0,2021/03/15 15:23:27
Benton County,13/09/2020,2,0,0,0,0,2,0,0,2021/03/15 15:23:27
Benton County,04/10/2020,2,0,0,0,1,1,0,0,2021/03/15 15:23:27
Benton County,11/10/2020,2,0,0,0,0,2,0,0,2021/03/15 15:23:27
Benton County,18/10/2020,3,0,0,0,0,1,2,0,2021/03/15 15:23:27
Benton County,25/10/2020,4,0,0,0,1,1,2,0,2021/03/15 15:23:27
Benton County,08/11/2020,4,0,0,0,1,2,1,0,2021/03/15 15:23:27
Benton County,15/11/2020,5,0,0,0,0,0,5,0,2021/03/15 15:23:27
Benton County,22/11/2020,7,1,0,1,3,0,2,0,2021/03/15 15:23:27
Benton County,29/11/2020,7,0,0,0,2,3,2,0,2021/03/15 15:23:27
Benton County,06/12/2020,8,0,0,0,5,0,3,0,2021/03/15 15:23:27
Benton County,13/12/2020,3,0,0,0,1,1,1,0,2021/03/15 15:23:27
Benton County,20/12/2020,2,0,0,0,0,0,2,0,2021/03/15 15:23:27
Benton County,27/12/2020,8,0,0,0,1,5,2,0,2021/03/15 15:23:27
Benton County,03/01/2021,9,0,0,1,0,2,6,0,2021/03/15 15:23:27
Benton County,10/01/2021,6,0,0,0,1,1,4,0,2021/03/15 15:23:27
Benton County,17/01/2021,2,0,0,0,0,1,1,0,2021/03/15 15:23:27
Benton County,24/01/2021,3,0,0,1,0,0,2,0,2021/03/15 15:23:27
Benton County,31/01/2021,3,0,0,0,0,1,2,0,2021/03/15 15:23:27
Benton County,07/02/2021,2,0,0,0,0,1,1,0,2021/03/15 15:23:27
Chelan County,15/03/2020,2,0,0,0,0,0,2,0,2021/03/15 15:23:27
Chelan County,22/03/2020,2,0,0,0,0,0,2,0,2021/03/15 15:23:27
Chelan County,05/04/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Chelan County,03/05/2020,1,0,0,0,1,0,0,0,2021/03/15 15:23:27
Chelan County,28/06/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Chelan County,05/07/2020,2,0,0,0,0,1,1,0,2021/03/15 15:23:27
Chelan County,12/07/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Chelan County,19/07/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Chelan County,26/07/2020,1,0,0,1,0,0,0,0,2021/03/15 15:23:27
Chelan County,09/08/2020,2,0,0,0,0,2,0,0,2021/03/15 15:23:27
Chelan County,16/08/2020,3,0,0,1,1,1,0,0,2021/03/15 15:23:27
Chelan County,23/08/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Chelan County,13/09/2020,1,0,0,0,1,0,0,0,2021/03/15 15:23:27
Chelan County,18/10/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Chelan County,25/10/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Chelan County,01/11/2020,2,0,0,1,1,0,0,0,2021/03/15 15:23:27
Chelan County,08/11/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Chelan County,15/11/2020,3,0,0,0,0,2,1,0,2021/03/15 15:23:27
Chelan County,22/11/2020,8,0,0,0,2,3,3,0,2021/03/15 15:23:27
Chelan County,29/11/2020,3,0,0,0,0,1,2,0,2021/03/15 15:23:27
Chelan County,06/12/2020,2,0,0,0,0,0,2,0,2021/03/15 15:23:27
Chelan County,13/12/2020,5,0,0,0,0,2,3,0,2021/03/15 15:23:27
Chelan County,20/12/2020,4,0,0,0,1,0,3,0,2021/03/15 15:23:27
Chelan County,27/12/2020,3,0,0,0,1,1,1,0,2021/03/15 15:23:27
Chelan County,10/01/2021,4,0,0,1,1,1,1,0,2021/03/15 15:23:27
Chelan County,17/01/2021,2,0,0,0,0,1,1,0,2021/03/15 15:23:27
Chelan County,24/01/2021,4,0,0,0,1,1,2,0,2021/03/15 15:23:27
Clallam County,26/07/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Clallam County,01/11/2020,2,0,0,0,0,0,2,0,2021/03/15 15:23:27
Clallam County,15/11/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Clallam County,29/11/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Clallam County,06/12/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Clallam County,17/01/2021,1,0,0,1,0,0,0,0,2021/03/15 15:23:27
Clallam County,31/01/2021,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Clark County,01/03/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Clark County,08/03/2020,2,0,0,0,0,0,2,0,2021/03/15 15:23:27
Clark County,15/03/2020,3,0,0,0,0,0,3,0,2021/03/15 15:23:27
Clark County,22/03/2020,7,0,0,1,0,5,1,0,2021/03/15 15:23:27
Clark County,29/03/2020,2,0,0,0,0,1,1,0,2021/03/15 15:23:27
Clark County,05/04/2020,3,0,0,0,0,0,3,0,2021/03/15 15:23:27
Clark County,12/04/2020,6,0,0,0,0,1,5,0,2021/03/15 15:23:27
Clark County,19/04/2020,4,0,0,0,0,0,4,0,2021/03/15 15:23:27
Clark County,26/04/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Clark County,17/05/2020,1,0,1,0,0,0,0,0,2021/03/15 15:23:27
Clark County,24/05/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Clark County,07/06/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Clark County,14/06/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Clark County,21/06/2020,1,0,0,0,1,0,0,0,2021/03/15 15:23:27
Clark County,28/06/2020,4,0,1,0,2,0,1,0,2021/03/15 15:23:27
Clark County,05/07/2020,5,0,0,0,1,1,3,0,2021/03/15 15:23:27
Clark County,12/07/2020,3,0,0,0,0,2,1,0,2021/03/15 15:23:27
Clark County,19/07/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Clark County,26/07/2020,5,0,0,0,0,4,1,0,2021/03/15 15:23:27
Clark County,02/08/2020,3,0,0,1,1,0,1,0,2021/03/15 15:23:27
Clark County,09/08/2020,4,0,0,0,1,1,2,0,2021/03/15 15:23:27
Clark County,16/08/2020,3,0,0,0,0,1,2,0,2021/03/15 15:23:27
Clark County,23/08/2020,5,0,0,0,2,1,2,0,2021/03/15 15:23:27
Clark County,30/08/2020,2,0,0,0,0,1,1,0,2021/03/15 15:23:27
Clark County,06/09/2020,4,0,0,0,0,0,4,0,2021/03/15 15:23:27
Clark County,13/09/2020,6,0,0,0,0,3,3,0,2021/03/15 15:23:27
Clark County,20/09/2020,4,0,0,0,0,2,2,0,2021/03/15 15:23:27
Clark County,27/09/2020,6,0,0,0,0,2,4,0,2021/03/15 15:23:27
Clark County,04/10/2020,3,0,0,0,0,1,2,0,2021/03/15 15:23:27
Clark County,11/10/2020,2,0,0,0,0,0,2,0,2021/03/15 15:23:27
Clark County,18/10/2020,6,0,0,0,0,2,4,0,2021/03/15 15:23:27
Clark County,25/10/2020,4,0,0,0,0,2,2,0,2021/03/15 15:23:27
Clark County,01/11/2020,12,0,1,0,1,6,4,0,2021/03/15 15:23:27
Clark County,08/11/2020,14,0,0,1,3,7,3,0,2021/03/15 15:23:27
Clark County,15/11/2020,8,0,0,1,1,3,3,0,2021/03/15 15:23:27
Clark County,22/11/2020,7,0,0,0,0,4,3,0,2021/03/15 15:23:27
Clark County,29/11/2020,7,0,0,0,2,2,3,0,2021/03/15 15:23:27
Clark County,06/12/2020,2,0,0,0,0,1,1,0,2021/03/15 15:23:27
Clark County,13/12/2020,7,0,0,0,2,2,3,0,2021/03/15 15:23:27
Clark County,20/12/2020,12,0,0,2,0,4,6,0,2021/03/15 15:23:27
Clark County,27/12/2020,16,0,0,0,2,5,9,0,2021/03/15 15:23:27
Clark County,03/01/2021,12,0,0,0,2,6,4,0,2021/03/15 15:23:27
Clark County,10/01/2021,14,0,0,2,0,5,7,0,2021/03/15 15:23:27
Clark County,17/01/2021,11,0,0,0,2,1,8,0,2021/03/15 15:23:27
Clark County,24/01/2021,8,0,0,1,1,2,4,0,2021/03/15 15:23:27
Clark County,31/01/2021,2,0,0,0,0,0,2,0,2021/03/15 15:23:27
Clark County,07/02/2021,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Clark County,21/02/2021,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Clark County,28/02/2021,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Columbia County,26/07/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Columbia County,01/11/2020,1,0,0,0,1,0,0,0,2021/03/15 15:23:27
Columbia County,22/11/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Columbia County,29/11/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Cowlitz County,21/06/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Cowlitz County,28/06/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Cowlitz County,05/07/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Cowlitz County,12/07/2020,2,0,0,0,1,1,0,0,2021/03/15 15:23:27
Cowlitz County,26/07/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Cowlitz County,06/09/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Cowlitz County,11/10/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Cowlitz County,01/11/2020,2,0,0,0,1,0,1,0,2021/03/15 15:23:27
Cowlitz County,08/11/2020,2,0,0,0,0,1,1,0,2021/03/15 15:23:27
Cowlitz County,15/11/2020,6,0,0,0,1,4,1,0,2021/03/15 15:23:27
Cowlitz County,22/11/2020,6,0,0,0,1,1,4,0,2021/03/15 15:23:27
Cowlitz County,29/11/2020,4,0,0,0,0,0,4,0,2021/03/15 15:23:27
Cowlitz County,06/12/2020,4,0,0,1,1,1,1,0,2021/03/15 15:23:27
Cowlitz County,13/12/2020,5,0,0,0,0,2,3,0,2021/03/15 15:23:27
Cowlitz County,20/12/2020,3,0,0,0,0,1,2,0,2021/03/15 15:23:27
Cowlitz County,27/12/2020,4,0,0,0,0,1,3,0,2021/03/15 15:23:27
Cowlitz County,03/01/2021,4,0,0,0,0,2,2,0,2021/03/15 15:23:27
Cowlitz County,10/01/2021,2,0,0,0,0,2,0,0,2021/03/15 15:23:27
Cowlitz County,17/01/2021,9,0,0,0,1,3,5,0,2021/03/15 15:23:27
Cowlitz County,24/01/2021,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Cowlitz County,31/01/2021,4,0,0,0,0,1,3,0,2021/03/15 15:23:27
Cowlitz County,07/02/2021,3,0,0,0,0,1,2,0,2021/03/15 15:23:27
Cowlitz County,14/02/2021,3,0,0,0,1,1,1,0,2021/03/15 15:23:27
Cowlitz County,21/02/2021,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Douglas County,15/03/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Douglas County,26/04/2020,2,0,0,0,0,2,0,0,2021/03/15 15:23:27
