"date","age","cum.deaths","daily.deaths","code"
2020-05-13,"20-39",7,NA,"IA"
2020-05-13,"40-59",33,NA,"IA"
2020-05-13,"20-79",129,NA,"IA"
2020-05-13,"80+",148,NA,"IA"
2020-05-14,"20-39",7,0,"IA"
2020-05-14,"40-59",34,1,"IA"
2020-05-14,"20-79",136,7,"IA"
2020-05-14,"80+",158,10,"IA"
2020-05-15,"20-39",7,0,"IA"
2020-05-15,"40-59",35,1,"IA"
2020-05-15,"20-79",142,6,"IA"
2020-05-15,"80+",161,3,"IA"
2020-05-16,"20-39",7,0,"IA"
2020-05-16,"40-59",35,0,"IA"
2020-05-16,"20-79",145,3,"IA"
2020-05-16,"80+",163,2,"IA"
