"date","state","code","age","cum.deaths","daily.deaths"
"05/02/2020","New York","NY","25-34",0,NA
"05/02/2020","New York","NY","35-44",80,NA
"05/02/2020","New York","NY","45-54",227,NA
"05/02/2020","New York","NY","5-14",0,NA
"05/02/2020","New York","NY","55-64",618,NA
"05/02/2020","New York","NY","65-74",1049,NA
"05/02/2020","New York","NY","75-84",1457,NA
"05/02/2020","New York","NY","85+",1977,NA
"05/02/2020","Ohio","OH","0-1",0,NA
"05/02/2020","Ohio","OH","1-4",0,NA
"05/02/2020","Ohio","OH","15-24",0,NA
"05/02/2020","Ohio","OH","25-34",0,NA
"05/02/2020","Ohio","OH","35-44",0,NA
"05/02/2020","Ohio","OH","45-54",0,NA
"05/02/2020","Ohio","OH","5-14",0,NA
"05/02/2020","Ohio","OH","55-64",37,NA
"05/02/2020","Ohio","OH","65-74",74,NA
"05/02/2020","Ohio","OH","75-84",115,NA
"05/02/2020","Ohio","OH","85+",126,NA
"05/02/2020","Pennsylvania","PA","0-1",0,NA
"05/02/2020","Pennsylvania","PA","1-4",0,NA
"05/02/2020","Pennsylvania","PA","15-24",0,NA
"05/02/2020","Pennsylvania","PA","25-34",0,NA
"05/02/2020","Pennsylvania","PA","35-44",0,NA
"05/02/2020","Pennsylvania","PA","45-54",56,NA
"05/02/2020","Pennsylvania","PA","5-14",0,NA
"05/02/2020","Pennsylvania","PA","55-64",179,NA
"05/02/2020","Pennsylvania","PA","65-74",363,NA
"05/02/2020","Pennsylvania","PA","75-84",538,NA
"05/02/2020","Pennsylvania","PA","85+",750,NA
"05/02/2020","Texas","TX","0-1",0,NA
"05/02/2020","Texas","TX","1-4",0,NA
"05/02/2020","Texas","TX","15-24",0,NA
"05/02/2020","Texas","TX","25-34",0,NA
"05/02/2020","Texas","TX","35-44",0,NA
"05/02/2020","Texas","TX","45-54",39,NA
"05/02/2020","Texas","TX","5-14",0,NA
"05/02/2020","Texas","TX","55-64",78,NA
"05/02/2020","Texas","TX","65-74",134,NA
"05/02/2020","Texas","TX","75-84",134,NA
"05/02/2020","Texas","TX","85+",143,NA
"05/02/2020","Washington","WA","0-1",0,NA
"05/02/2020","Washington","WA","1-4",0,NA
"05/02/2020","Washington","WA","15-24",0,NA
"05/02/2020","Washington","WA","25-34",0,NA
"05/02/2020","Washington","WA","35-44",0,NA
"05/02/2020","Washington","WA","45-54",0,NA
"05/02/2020","Washington","WA","5-14",0,NA
"05/02/2020","Washington","WA","55-64",52,NA
"05/02/2020","Washington","WA","65-74",112,NA
"05/02/2020","Washington","WA","75-84",175,NA
"05/02/2020","Washington","WA","85+",235,NA
