"age","date","cum.deaths","daily.deaths","code"
"0-9",2020-04-21,0,NA,"VA"
"10-19",2020-04-21,0,NA,"VA"
"20-29",2020-04-21,1,NA,"VA"
"30-39",2020-04-21,2,NA,"VA"
"40-49",2020-04-21,7,NA,"VA"
"50-59",2020-04-21,20,NA,"VA"
"60-69",2020-04-21,59,NA,"VA"
"70-79",2020-04-21,86,NA,"VA"
"80+",2020-04-21,147,NA,"VA"
"0-9",2020-04-22,0,0,"VA"
"10-19",2020-04-22,0,0,"VA"
"20-29",2020-04-22,1,0,"VA"
"30-39",2020-04-22,2,0,"VA"
"40-49",2020-04-22,7,0,"VA"
"50-59",2020-04-22,20,0,"VA"
"60-69",2020-04-22,62,3,"VA"
"70-79",2020-04-22,93,7,"VA"
"80+",2020-04-22,156,9,"VA"
"0-9",2020-04-23,0,0,"VA"
"10-19",2020-04-23,0,0,"VA"
"20-29",2020-04-23,1,0,"VA"
"30-39",2020-04-23,2,0,"VA"
"40-49",2020-04-23,7,0,"VA"
"50-59",2020-04-23,20,0,"VA"
"60-69",2020-04-23,62,0,"VA"
"70-79",2020-04-23,93,0,"VA"
"80+",2020-04-23,156,0,"VA"
"0-9",2020-04-24,0,0,"VA"
"10-19",2020-04-24,0,0,"VA"
"20-29",2020-04-24,1,0,"VA"
"30-39",2020-04-24,2,0,"VA"
"40-49",2020-04-24,7,0,"VA"
"50-59",2020-04-24,20,0,"VA"
"60-69",2020-04-24,62,0,"VA"
"70-79",2020-04-24,93,0,"VA"
"80+",2020-04-24,156,0,"VA"
"0-9",2020-04-25,0,0,"VA"
"10-19",2020-04-25,0,0,"VA"
"20-29",2020-04-25,1,0,"VA"
"30-39",2020-04-25,3,1,"VA"
"40-49",2020-04-25,8,1,"VA"
"50-59",2020-04-25,26,6,"VA"
"60-69",2020-04-25,79,17,"VA"
"70-79",2020-04-25,111,18,"VA"
"80+",2020-04-25,208,52,"VA"
"0-9",2020-04-26,0,0,"VA"
"10-19",2020-04-26,0,0,"VA"
"20-29",2020-04-26,2,1,"VA"
"30-39",2020-04-26,3,0,"VA"
"40-49",2020-04-26,9,1,"VA"
"50-59",2020-04-26,26,0,"VA"
"60-69",2020-04-26,82,3,"VA"
"70-79",2020-04-26,113,2,"VA"
"80+",2020-04-26,213,5,"VA"
"0-9",2020-04-27,0,0,"VA"
"10-19",2020-04-27,0,0,"VA"
"20-29",2020-04-27,2,0,"VA"
"30-39",2020-04-27,3,0,"VA"
"40-49",2020-04-27,9,0,"VA"
"50-59",2020-04-27,27,1,"VA"
"60-69",2020-04-27,84,2,"VA"
"70-79",2020-04-27,113,0,"VA"
"80+",2020-04-27,220,7,"VA"
"0-9",2020-04-28,0,0,"VA"
"10-19",2020-04-28,0,0,"VA"
"20-29",2020-04-28,2,0,"VA"
"30-39",2020-04-28,3,0,"VA"
"40-49",2020-04-28,10,1,"VA"
"50-59",2020-04-28,32,5,"VA"
"60-69",2020-04-28,88,4,"VA"
"70-79",2020-04-28,120,7,"VA"
"80+",2020-04-28,237,17,"VA"
"0-9",2020-04-29,0,0,"VA"
"10-19",2020-04-29,0,0,"VA"
"20-29",2020-04-29,2,0,"VA"
"30-39",2020-04-29,4,1,"VA"
"40-49",2020-04-29,10,0,"VA"
"50-59",2020-04-29,33,1,"VA"
"60-69",2020-04-29,95,7,"VA"
"70-79",2020-04-29,125,5,"VA"
"80+",2020-04-29,253,16,"VA"
"0-9",2020-04-30,0,0,"VA"
"10-19",2020-04-30,0,0,"VA"
"20-29",2020-04-30,2,0,"VA"
"30-39",2020-04-30,4,0,"VA"
"40-49",2020-04-30,11,1,"VA"
"50-59",2020-04-30,33,0,"VA"
"60-69",2020-04-30,101,6,"VA"
"70-79",2020-04-30,129,4,"VA"
"80+",2020-04-30,272,19,"VA"
"0-9",2020-05-01,0,0,"VA"
"10-19",2020-05-01,0,0,"VA"
"20-29",2020-05-01,2,0,"VA"
"30-39",2020-05-01,4,0,"VA"
"40-49",2020-05-01,14,3,"VA"
"50-59",2020-05-01,35,2,"VA"
"60-69",2020-05-01,105,4,"VA"
"70-79",2020-05-01,132,3,"VA"
"80+",2020-05-01,289,17,"VA"
"0-9",2020-05-02,0,0,"VA"
"10-19",2020-05-02,0,0,"VA"
"20-29",2020-05-02,2,0,"VA"
"30-39",2020-05-02,4,0,"VA"
"40-49",2020-05-02,14,0,"VA"
"50-59",2020-05-02,38,3,"VA"
"60-69",2020-05-02,109,4,"VA"
"70-79",2020-05-02,142,10,"VA"
"80+",2020-05-02,307,18,"VA"
"0-9",2020-05-03,0,0,"VA"
"10-19",2020-05-03,0,0,"VA"
"20-29",2020-05-03,2,0,"VA"
"30-39",2020-05-03,4,0,"VA"
"40-49",2020-05-03,15,1,"VA"
"50-59",2020-05-03,39,1,"VA"
"60-69",2020-05-03,113,4,"VA"
"70-79",2020-05-03,149,7,"VA"
"80+",2020-05-03,338,31,"VA"
"0-9",2020-05-04,0,0,"VA"
"10-19",2020-05-04,0,0,"VA"
"20-29",2020-05-04,2,0,"VA"
"30-39",2020-05-04,4,0,"VA"
"40-49",2020-05-04,16,1,"VA"
"50-59",2020-05-04,41,2,"VA"
"60-69",2020-05-04,115,2,"VA"
"70-79",2020-05-04,158,9,"VA"
"80+",2020-05-04,348,10,"VA"
"0-9",2020-05-05,0,0,"VA"
"10-19",2020-05-05,0,0,"VA"
"20-29",2020-05-05,2,0,"VA"
"30-39",2020-05-05,4,0,"VA"
"40-49",2020-05-05,17,1,"VA"
"50-59",2020-05-05,42,1,"VA"
"60-69",2020-05-05,116,1,"VA"
"70-79",2020-05-05,164,6,"VA"
"80+",2020-05-05,368,20,"VA"
"0-9",2020-05-06,0,0,"VA"
"10-19",2020-05-06,0,0,"VA"
"20-29",2020-05-06,2,0,"VA"
"30-39",2020-05-06,4,1,"VA"
"40-49",2020-05-06,17,1,"VA"
"50-59",2020-05-06,43,2,"VA"
"60-69",2020-05-06,119,4,"VA"
"70-79",2020-05-06,170,7,"VA"
"80+",2020-05-06,383,16,"VA"
"0-9",2020-05-07,0,0,"VA"
"10-19",2020-05-07,0,0,"VA"
"20-29",2020-05-07,2,0,"VA"
"30-39",2020-05-07,5,0,"VA"
"40-49",2020-05-07,18,0,"VA"
"50-59",2020-05-07,45,1,"VA"
"60-69",2020-05-07,123,3,"VA"
"70-79",2020-05-07,177,6,"VA"
"80+",2020-05-07,399,15,"VA"
"0-9",2020-05-08,0,0,"VA"
"10-19",2020-05-08,0,0,"VA"
"20-29",2020-05-08,2,0,"VA"
"30-39",2020-05-08,6,1,"VA"
"40-49",2020-05-08,18,0,"VA"
"50-59",2020-05-08,49,4,"VA"
"60-69",2020-05-08,128,5,"VA"
"70-79",2020-05-08,191,14,"VA"
"80+",2020-05-08,417,18,"VA"
"0-9",2020-05-09,0,0,"VA"
"10-19",2020-05-09,0,0,"VA"
"20-29",2020-05-09,2,0,"VA"
"30-39",2020-05-09,7,1,"VA"
"40-49",2020-05-09,18,0,"VA"
"50-59",2020-05-09,50,1,"VA"
"60-69",2020-05-09,130,2,"VA"
"70-79",2020-05-09,193,2,"VA"
"80+",2020-05-09,427,10,"VA"
"0-9",2020-05-10,0,0,"VA"
"10-19",2020-05-10,0,0,"VA"
"20-29",2020-05-10,2,0,"VA"
"30-39",2020-05-10,7,0,"VA"
"40-49",2020-05-10,18,0,"VA"
"50-59",2020-05-10,50,0,"VA"
"60-69",2020-05-10,133,3,"VA"
"70-79",2020-05-10,194,1,"VA"
"80+",2020-05-10,435,8,"VA"
"0-9",2020-05-11,0,0,"VA"
"10-19",2020-05-11,0,0,"VA"
"20-29",2020-05-11,2,0,"VA"
"30-39",2020-05-11,7,0,"VA"
"40-49",2020-05-11,18,0,"VA"
"50-59",2020-05-11,50,0,"VA"
"60-69",2020-05-11,136,3,"VA"
"70-79",2020-05-11,197,3,"VA"
"80+",2020-05-11,440,5,"VA"
"0-9",2020-05-12,0,0,"VA"
"10-19",2020-05-12,0,0,"VA"
"20-29",2020-05-12,2,0,"VA"
"30-39",2020-05-12,7,0,"VA"
"40-49",2020-05-12,19,1,"VA"
"50-59",2020-05-12,50,0,"VA"
"60-69",2020-05-12,143,7,"VA"
"70-79",2020-05-12,210,13,"VA"
"80+",2020-05-12,459,19,"VA"
"0-9",2020-05-13,0,0,"VA"
"10-19",2020-05-13,0,0,"VA"
"20-29",2020-05-13,2,0,"VA"
"30-39",2020-05-13,7,0,"VA"
"40-49",2020-05-13,19,0,"VA"
"50-59",2020-05-13,51,1,"VA"
"60-69",2020-05-13,147,4,"VA"
"70-79",2020-05-13,221,11,"VA"
"80+",2020-05-13,479,20,"VA"
"0-9",2020-05-14,0,0,"VA"
"10-19",2020-05-14,0,0,"VA"
"20-29",2020-05-14,2,0,"VA"
"30-39",2020-05-14,7,0,"VA"
"40-49",2020-05-14,20,1,"VA"
"50-59",2020-05-14,53,2,"VA"
"60-69",2020-05-14,149,2,"VA"
"70-79",2020-05-14,228,7,"VA"
"80+",2020-05-14,495,16,"VA"
"0-9",2020-05-15,0,0,"VA"
"10-19",2020-05-15,0,0,"VA"
"20-29",2020-05-15,2,0,"VA"
"30-39",2020-05-15,7,0,"VA"
"40-49",2020-05-15,21,1,"VA"
"50-59",2020-05-15,53,0,"VA"
"60-69",2020-05-15,154,5,"VA"
"70-79",2020-05-15,231,3,"VA"
"80+",2020-05-15,508,13,"VA"
"0-9",2020-05-16,0,0,"VA"
"10-19",2020-05-16,0,0,"VA"
"20-29",2020-05-16,2,0,"VA"
"30-39",2020-05-16,7,0,"VA"
"40-49",2020-05-16,22,1,"VA"
"50-59",2020-05-16,53,0,"VA"
"60-69",2020-05-16,154,0,"VA"
"70-79",2020-05-16,236,5,"VA"
"80+",2020-05-16,527,19,"VA"
"0-9",2020-05-17,0,0,"VA"
"10-19",2020-05-17,0,0,"VA"
"20-29",2020-05-17,2,0,"VA"
"30-39",2020-05-17,7,0,"VA"
"40-49",2020-05-17,22,0,"VA"
"50-59",2020-05-17,53,0,"VA"
"60-69",2020-05-17,155,1,"VA"
"70-79",2020-05-17,239,3,"VA"
"80+",2020-05-17,530,3,"VA"
"0-9",2020-05-18,0,0,"VA"
"10-19",2020-05-18,0,0,"VA"
"20-29",2020-05-18,2,0,"VA"
"30-39",2020-05-18,7,0,"VA"
"40-49",2020-05-18,22,0,"VA"
"50-59",2020-05-18,53,0,"VA"
"60-69",2020-05-18,157,2,"VA"
"70-79",2020-05-18,240,1,"VA"
"80+",2020-05-18,532,2,"VA"
"0-9",2020-05-19,0,0,"VA"
"10-19",2020-05-19,0,0,"VA"
"20-29",2020-05-19,2,0,"VA"
"30-39",2020-05-19,7,0,"VA"
"40-49",2020-05-19,22,0,"VA"
"50-59",2020-05-19,54,1,"VA"
"60-69",2020-05-19,162,5,"VA"
"70-79",2020-05-19,249,9,"VA"
"80+",2020-05-19,544,12,"VA"
"0-9",2020-05-20,0,0,"VA"
"10-19",2020-05-20,0,0,"VA"
"20-29",2020-05-20,2,0,"VA"
"30-39",2020-05-20,7,0,"VA"
"40-49",2020-05-20,23,1,"VA"
"50-59",2020-05-20,54,0,"VA"
"60-69",2020-05-20,165,3,"VA"
"70-79",2020-05-20,259,10,"VA"
"80+",2020-05-20,563,19,"VA"
"0-9",2020-05-21,0,0,"VA"
"10-19",2020-05-21,0,0,"VA"
"20-29",2020-05-21,2,0,"VA"
"30-39",2020-05-21,7,0,"VA"
"40-49",2020-05-21,23,0,"VA"
"50-59",2020-05-21,54,0,"VA"
"60-69",2020-05-21,168,3,"VA"
"70-79",2020-05-21,271,12,"VA"
"80+",2020-05-21,573,10,"VA"
"0-9",2020-05-22,0,0,"VA"
"10-19",2020-05-22,0,0,"VA"
"20-29",2020-05-22,2,0,"VA"
"30-39",2020-05-22,8,1,"VA"
"40-49",2020-05-22,23,0,"VA"
"50-59",2020-05-22,58,4,"VA"
"60-69",2020-05-22,170,2,"VA"
"70-79",2020-05-22,283,12,"VA"
"80+",2020-05-22,591,18,"VA"
"0-9",2020-05-23,0,0,"VA"
"10-19",2020-05-23,0,0,"VA"
"20-29",2020-05-23,2,0,"VA"
"30-39",2020-05-23,8,0,"VA"
"40-49",2020-05-23,24,1,"VA"
"50-59",2020-05-23,61,3,"VA"
"60-69",2020-05-23,172,2,"VA"
"70-79",2020-05-23,289,6,"VA"
"80+",2020-05-23,602,11,"VA"
"0-9",2020-05-24,0,0,"VA"
"10-19",2020-05-24,0,0,"VA"
"20-29",2020-05-24,2,0,"VA"
"30-39",2020-05-24,8,0,"VA"
"40-49",2020-05-24,25,1,"VA"
"50-59",2020-05-24,61,0,"VA"
"60-69",2020-05-24,172,0,"VA"
"70-79",2020-05-24,294,5,"VA"
"80+",2020-05-24,608,6,"VA"
"0-9",2020-05-25,0,0,"VA"
"10-19",2020-05-25,0,0,"VA"
"20-29",2020-05-25,2,0,"VA"
"30-39",2020-05-25,8,0,"VA"
"40-49",2020-05-25,26,1,"VA"
"50-59",2020-05-25,64,3,"VA"
"60-69",2020-05-25,182,10,"VA"
"70-79",2020-05-25,302,8,"VA"
"80+",2020-05-25,623,15,"VA"
"0-9",2020-05-26,0,0,"VA"
"10-19",2020-05-26,0,0,"VA"
"20-29",2020-05-26,2,0,"VA"
"30-39",2020-05-26,8,0,"VA"
"40-49",2020-05-26,26,0,"VA"
"50-59",2020-05-26,67,3,"VA"
"60-69",2020-05-26,184,2,"VA"
"70-79",2020-05-26,310,8,"VA"
"80+",2020-05-26,638,15,"VA"
"0-9",2020-05-27,0,0,"VA"
"10-19",2020-05-27,0,0,"VA"
"20-29",2020-05-27,2,0,"VA"
"30-39",2020-05-27,8,0,"VA"
"40-49",2020-05-27,29,3,"VA"
"50-59",2020-05-27,71,4,"VA"
"60-69",2020-05-27,189,5,"VA"
"70-79",2020-05-27,317,7,"VA"
"80+",2020-05-27,664,26,"VA"
"0-9",2020-05-28,0,0,"VA"
"10-19",2020-05-28,0,0,"VA"
"20-29",2020-05-28,3,1,"VA"
"30-39",2020-05-28,8,0,"VA"
"40-49",2020-05-28,30,1,"VA"
"50-59",2020-05-28,76,5,"VA"
"60-69",2020-05-28,194,5,"VA"
"70-79",2020-05-28,329,12,"VA"
"80+",2020-05-28,697,33,"VA"
"0-9",2020-05-29,0,0,"VA"
"10-19",2020-05-29,0,0,"VA"
"20-29",2020-05-29,3,0,"VA"
"30-39",2020-05-29,9,1,"VA"
"40-49",2020-05-29,30,0,"VA"
"50-59",2020-05-29,79,3,"VA"
"60-69",2020-05-29,195,1,"VA"
"70-79",2020-05-29,335,6,"VA"
"80+",2020-05-29,706,9,"VA"
"0-9",2020-05-30,0,0,"VA"
"10-19",2020-05-30,0,0,"VA"
"20-29",2020-05-30,3,0,"VA"
"30-39",2020-05-30,9,0,"VA"
"40-49",2020-05-30,31,1,"VA"
"50-59",2020-05-30,79,0,"VA"
"60-69",2020-05-30,197,2,"VA"
"70-79",2020-05-30,338,3,"VA"
"80+",2020-05-30,712,6,"VA"
"0-9",2020-05-31,0,0,"VA"
"10-19",2020-05-31,0,0,"VA"
"20-29",2020-05-31,3,0,"VA"
"30-39",2020-05-31,9,0,"VA"
"40-49",2020-05-31,31,0,"VA"
"50-59",2020-05-31,79,0,"VA"
"60-69",2020-05-31,198,1,"VA"
"70-79",2020-05-31,339,1,"VA"
"80+",2020-05-31,715,3,"VA"
"0-9",2020-06-01,0,0,"VA"
"10-19",2020-06-01,0,0,"VA"
"20-29",2020-06-01,3,0,"VA"
"30-39",2020-06-01,9,0,"VA"
"40-49",2020-06-01,31,0,"VA"
"50-59",2020-06-01,81,2,"VA"
"60-69",2020-06-01,198,0,"VA"
"70-79",2020-06-01,341,2,"VA"
"80+",2020-06-01,727,12,"VA"
"0-9",2020-06-02,0,0,"VA"
"10-19",2020-06-02,0,0,"VA"
"20-29",2020-06-02,3,0,"VA"
"30-39",2020-06-02,9,0,"VA"
"40-49",2020-06-02,31,0,"VA"
"50-59",2020-06-02,81,0,"VA"
"60-69",2020-06-02,201,3,"VA"
"70-79",2020-06-02,345,4,"VA"
"80+",2020-06-02,736,9,"VA"
"0-9",2020-06-03,0,0,"VA"
"10-19",2020-06-03,0,0,"VA"
"20-29",2020-06-03,3,0,"VA"
"30-39",2020-06-03,9,0,"VA"
"40-49",2020-06-03,32,1,"VA"
"50-59",2020-06-03,82,1,"VA"
"60-69",2020-06-03,203,2,"VA"
"70-79",2020-06-03,350,5,"VA"
"80+",2020-06-03,748,12,"VA"
"0-9",2020-06-04,0,0,"VA"
"10-19",2020-06-04,0,0,"VA"
"20-29",2020-06-04,3,0,"VA"
"30-39",2020-06-04,11,2,"VA"
"40-49",2020-06-04,34,2,"VA"
"50-59",2020-06-04,82,0,"VA"
"60-69",2020-06-04,206,3,"VA"
"70-79",2020-06-04,355,5,"VA"
"80+",2020-06-04,753,5,"VA"
"0-9",2020-06-05,0,0,"VA"
"10-19",2020-06-05,0,0,"VA"
"20-29",2020-06-05,3,0,"VA"
"30-39",2020-06-05,11,0,"VA"
"40-49",2020-06-05,34,0,"VA"
"50-59",2020-06-05,83,1,"VA"
"60-69",2020-06-05,207,1,"VA"
"70-79",2020-06-05,357,2,"VA"
"80+",2020-06-05,757,4,"VA"
"0-9",2020-06-06,0,0,"VA"
"10-19",2020-06-06,0,0,"VA"
"20-29",2020-06-06,3,0,"VA"
"30-39",2020-06-06,11,0,"VA"
"40-49",2020-06-06,34,0,"VA"
"50-59",2020-06-06,84,1,"VA"
"60-69",2020-06-06,208,1,"VA"
"70-79",2020-06-06,360,3,"VA"
"80+",2020-06-06,759,2,"VA"
"0-9",2020-06-07,0,0,"VA"
"10-19",2020-06-07,0,0,"VA"
"20-29",2020-06-07,3,0,"VA"
"30-39",2020-06-07,11,0,"VA"
"40-49",2020-06-07,34,0,"VA"
"50-59",2020-06-07,87,3,"VA"
"60-69",2020-06-07,211,3,"VA"
"70-79",2020-06-07,364,4,"VA"
"80+",2020-06-07,760,1,"VA"
"0-9",2020-06-08,0,0,"VA"
"10-19",2020-06-08,0,0,"VA"
"20-29",2020-06-08,3,0,"VA"
"30-39",2020-06-08,11,0,"VA"
"40-49",2020-06-08,34,0,"VA"
"50-59",2020-06-08,87,0,"VA"
"60-69",2020-06-08,211,0,"VA"
