"age","code","date","daily.deaths","cum.deaths"
"70-79","ID",2020-05-31,0,17
"70-79","ID",2020-06-01,0,17
"60-69","ID",2020-05-31,0,9
"60-69","ID",2020-06-01,1,9
"50-59","ID",2020-05-31,0,2
"50-59","ID",2020-06-01,0,2
"40-49","ID",2020-05-31,0,0
"40-49","ID",2020-06-01,0,0
"30-39","ID",2020-05-31,0,0
"30-39","ID",2020-06-01,0,0
"18-29","ID",2020-05-31,0,0
"18-29","ID",2020-06-01,0,0
"0-17","ID",2020-05-31,0,0
"0-17","ID",2020-06-01,0,0
"80+","ID",2020-06-02,0,35
"70-79","ID",2020-06-02,0,17
"60-69","ID",2020-06-02,0,10
"50-59","ID",2020-06-02,0,2
"40-49","ID",2020-06-02,0,0
"30-39","ID",2020-06-02,0,0
"18-29","ID",2020-06-02,0,0
"0-17","ID",2020-06-02,0,0
"80+","ID",2020-06-03,0,35
"70-79","ID",2020-06-03,0,17
"60-69","ID",2020-06-03,0,10
"50-59","ID",2020-06-03,0,2
"40-49","ID",2020-06-03,0,0
"30-39","ID",2020-06-03,0,0
"18-29","ID",2020-06-03,0,0
"0-17","ID",2020-06-03,0,0
"80+","ID",2020-06-04,0,35
"70-79","ID",2020-06-04,0,17
"60-69","ID",2020-06-04,0,10
"50-59","ID",2020-06-04,0,2
"40-49","ID",2020-06-04,0,0
"30-39","ID",2020-06-04,0,0
"18-29","ID",2020-06-04,0,0
"0-17","ID",2020-06-04,0,0
"80+","ID",2020-06-05,0,35
"70-79","ID",2020-06-05,0,17
"60-69","ID",2020-06-05,0,10
"50-59","ID",2020-06-05,0,2
"40-49","ID",2020-06-05,0,0
"30-39","ID",2020-06-05,0,0
"18-29","ID",2020-06-05,0,0
"0-17","ID",2020-06-05,0,0
"80+","ID",2020-06-06,0,35
"70-79","ID",2020-06-06,0,17
"60-69","ID",2020-06-06,0,10
"50-59","ID",2020-06-06,0,2
"40-49","ID",2020-06-06,0,0
"30-39","ID",2020-06-06,0,0
"18-29","ID",2020-06-06,0,0
"0-17","ID",2020-06-06,0,0
"80+","ID",2020-06-07,0,35
"70-79","ID",2020-06-07,0,17
"60-69","ID",2020-06-07,0,10
"50-59","ID",2020-06-07,0,2
"40-49","ID",2020-06-07,0,0
"30-39","ID",2020-06-07,0,0
"18-29","ID",2020-06-07,0,0
"0-17","ID",2020-06-07,0,0
"80+","ID",2020-06-08,0,35
"70-79","ID",2020-06-08,0,17
"60-69","ID",2020-06-08,0,10
"50-59","ID",2020-06-08,0,2
"40-49","ID",2020-06-08,0,0
"30-39","ID",2020-06-08,0,0
"18-29","ID",2020-06-08,0,0
"0-17","ID",2020-06-08,0,0
"80+","ID",2020-06-09,0,35
"70-79","ID",2020-06-09,0,17
"60-69","ID",2020-06-09,0,10
"50-59","ID",2020-06-09,0,2
"40-49","ID",2020-06-09,0,0
"30-39","ID",2020-06-09,0,0
"18-29","ID",2020-06-09,0,0
"0-17","ID",2020-06-09,0,0
"80+","ID",2020-06-10,0,35
"70-79","ID",2020-06-10,0,17
"60-69","ID",2020-06-10,0,10
"50-59","ID",2020-06-10,0,2
"40-49","ID",2020-06-10,0,0
"30-39","ID",2020-06-10,0,0
"18-29","ID",2020-06-10,0,0
"0-17","ID",2020-06-10,0,0
"80+","ID",2020-06-11,0,35
"70-79","ID",2020-06-11,0,17
"60-69","ID",2020-06-11,0,10
"50-59","ID",2020-06-11,0,2
"40-49","ID",2020-06-11,0,0
"30-39","ID",2020-06-11,0,0
"18-29","ID",2020-06-11,0,0
"0-17","ID",2020-06-11,0,0
"80+","ID",2020-06-12,0,35
"70-79","ID",2020-06-12,0,17
"60-69","ID",2020-06-12,0,10
"50-59","ID",2020-06-12,0,2
"40-49","ID",2020-06-12,0,0
"30-39","ID",2020-06-12,0,0
"18-29","ID",2020-06-12,0,0
"0-17","ID",2020-06-12,0,0
"80+","ID",2020-06-13,12,46
"70-79","ID",2020-06-13,0,17
"60-69","ID",2020-06-13,0,10
"50-59","ID",2020-06-13,0,2
"40-49","ID",2020-06-13,0,0
"30-39","ID",2020-06-13,0,0
"18-29","ID",2020-06-13,0,0
"0-17","ID",2020-06-13,0,0
"80+","ID",2020-06-14,11,58
"70-79","ID",2020-06-14,0,17
"60-69","ID",2020-06-14,0,10
"50-59","ID",2020-06-14,0,2
"40-49","ID",2020-06-14,0,0
"30-39","ID",2020-06-14,0,0
"18-29","ID",2020-06-14,0,0
"0-17","ID",2020-06-14,0,0
"80+","ID",2020-06-15,1,58
"70-79","ID",2020-06-15,0,17
"60-69","ID",2020-06-15,0,10
"50-59","ID",2020-06-15,0,2
"40-49","ID",2020-06-15,0,0
"30-39","ID",2020-06-15,0,0
"18-29","ID",2020-06-15,0,0
"0-17","ID",2020-06-15,0,0
"80+","ID",2020-06-16,0,59
"70-79","ID",2020-06-16,0,17
"60-69","ID",2020-06-16,0,10
"50-59","ID",2020-06-16,0,2
"40-49","ID",2020-06-16,0,0
"30-39","ID",2020-06-16,0,0
"18-29","ID",2020-06-16,0,0
"0-17","ID",2020-06-16,0,0
"80+","ID",2020-06-17,0,59
"70-79","ID",2020-06-17,0,17
"60-69","ID",2020-06-17,0,10
"50-59","ID",2020-06-17,0,2
"40-49","ID",2020-06-17,0,0
"30-39","ID",2020-06-17,0,0
"18-29","ID",2020-06-17,0,0
"0-17","ID",2020-06-17,0,0
"80+","ID",2020-06-18,0,59
"70-79","ID",2020-06-18,0,17
"60-69","ID",2020-06-18,0,10
"50-59","ID",2020-06-18,0,2
"40-49","ID",2020-06-18,0,0
"30-39","ID",2020-06-18,0,0
"18-29","ID",2020-06-18,0,0
"0-17","ID",2020-06-18,0,0
"80+","ID",2020-06-19,0,59
"70-79","ID",2020-06-19,1,18
"60-69","ID",2020-06-19,0,10
"50-59","ID",2020-06-19,0,2
"40-49","ID",2020-06-19,0,0
"30-39","ID",2020-06-19,0,0
"18-29","ID",2020-06-19,0,0
"0-17","ID",2020-06-19,0,0
"80+","ID",2020-06-20,0,59
"70-79","ID",2020-06-20,0,18
"60-69","ID",2020-06-20,0,10
"50-59","ID",2020-06-20,0,2
"40-49","ID",2020-06-20,0,0
"30-39","ID",2020-06-20,0,0
"18-29","ID",2020-06-20,0,0
"0-17","ID",2020-06-20,0,0
"80+","ID",2020-06-21,0,59
"70-79","ID",2020-06-21,0,18
"60-69","ID",2020-06-21,0,10
"50-59","ID",2020-06-21,0,2
"40-49","ID",2020-06-21,0,0
"30-39","ID",2020-06-21,0,0
"18-29","ID",2020-06-21,0,0
"0-17","ID",2020-06-21,0,0
"80+","ID",2020-06-22,0,59
"70-79","ID",2020-06-22,0,18
"60-69","ID",2020-06-22,0,10
"50-59","ID",2020-06-22,0,2
"40-49","ID",2020-06-22,0,0
"30-39","ID",2020-06-22,0,0
"18-29","ID",2020-06-22,0,0
"0-17","ID",2020-06-22,0,0
"80+","ID",2020-06-23,0,59
"70-79","ID",2020-06-23,0,18
"60-69","ID",2020-06-23,0,10
"50-59","ID",2020-06-23,0,2
"40-49","ID",2020-06-23,0,0
"30-39","ID",2020-06-23,0,0
"18-29","ID",2020-06-23,0,0
"0-17","ID",2020-06-23,0,0
"80+","ID",2020-06-24,0,59
"70-79","ID",2020-06-24,0,18
"60-69","ID",2020-06-24,0,10
"50-59","ID",2020-06-24,0,2
"40-49","ID",2020-06-24,0,0
"30-39","ID",2020-06-24,0,0
"18-29","ID",2020-06-24,0,0
"0-17","ID",2020-06-24,0,0
"80+","ID",2020-06-25,0,59
"70-79","ID",2020-06-25,1,19
"60-69","ID",2020-06-25,0,10
"50-59","ID",2020-06-25,0,2
"40-49","ID",2020-06-25,0,0
"30-39","ID",2020-06-25,0,0
"18-29","ID",2020-06-25,0,0
"0-17","ID",2020-06-25,0,0
"80+","ID",2020-06-26,0,59
"70-79","ID",2020-06-26,0,19
"60-69","ID",2020-06-26,0,10
"50-59","ID",2020-06-26,0,2
"40-49","ID",2020-06-26,0,0
"30-39","ID",2020-06-26,0,0
"18-29","ID",2020-06-26,0,0
"0-17","ID",2020-06-26,0,0
"80+","ID",2020-06-27,0,59
"70-79","ID",2020-06-27,0,19
"60-69","ID",2020-06-27,0,10
"50-59","ID",2020-06-27,0,2
"40-49","ID",2020-06-27,0,0
"30-39","ID",2020-06-27,0,0
"18-29","ID",2020-06-27,0,0
"0-17","ID",2020-06-27,0,0
"80+","ID",2020-06-28,1,60
"70-79","ID",2020-06-28,0,19
"60-69","ID",2020-06-28,0,10
"50-59","ID",2020-06-28,0,2
"40-49","ID",2020-06-28,0,0
"30-39","ID",2020-06-28,0,0
"18-29","ID",2020-06-28,0,0
"0-17","ID",2020-06-28,0,0
"80+","ID",2020-06-29,0,60
"70-79","ID",2020-06-29,0,19
"60-69","ID",2020-06-29,0,10
"50-59","ID",2020-06-29,0,2
"40-49","ID",2020-06-29,0,0
"30-39","ID",2020-06-29,0,0
"18-29","ID",2020-06-29,0,0
"0-17","ID",2020-06-29,0,0
"80+","ID",2020-06-30,0,60
"70-79","ID",2020-06-30,0,19
"60-69","ID",2020-06-30,0,10
"50-59","ID",2020-06-30,0,2
"40-49","ID",2020-06-30,0,0
"30-39","ID",2020-06-30,0,0
"18-29","ID",2020-06-30,0,0
"0-17","ID",2020-06-30,0,0
"80+","ID",2020-07-01,1,61
"70-79","ID",2020-07-01,0,19
"60-69","ID",2020-07-01,0,10
"50-59","ID",2020-07-01,0,2
"40-49","ID",2020-07-01,0,0
"30-39","ID",2020-07-01,0,0
"18-29","ID",2020-07-01,0,0
"0-17","ID",2020-07-01,0,0
"80+","ID",2020-07-02,0,61
"70-79","ID",2020-07-02,0,19
"60-69","ID",2020-07-02,0,10
"50-59","ID",2020-07-02,0,2
"40-49","ID",2020-07-02,0,0
"30-39","ID",2020-07-02,0,0
"18-29","ID",2020-07-02,0,0
"0-17","ID",2020-07-02,0,0
"80+","ID",2020-07-03,0,61
"70-79","ID",2020-07-03,0,19
"60-69","ID",2020-07-03,0,10
"50-59","ID",2020-07-03,0,2
"40-49","ID",2020-07-03,0,0
"30-39","ID",2020-07-03,0,0
"18-29","ID",2020-07-03,0,0
"0-17","ID",2020-07-03,0,0
"80+","ID",2020-07-04,0,61
"70-79","ID",2020-07-04,0,19
"60-69","ID",2020-07-04,1,11
"50-59","ID",2020-07-04,0,2
"40-49","ID",2020-07-04,0,0
"30-39","ID",2020-07-04,0,0
"18-29","ID",2020-07-04,0,0
"0-17","ID",2020-07-04,0,0
"80+","ID",2020-07-05,0,61
"70-79","ID",2020-07-05,0,19
"60-69","ID",2020-07-05,0,11
"50-59","ID",2020-07-05,0,2
"40-49","ID",2020-07-05,0,0
"30-39","ID",2020-07-05,0,0
"18-29","ID",2020-07-05,0,0
"0-17","ID",2020-07-05,0,0
"80+","ID",2020-07-06,0,61
"70-79","ID",2020-07-06,0,19
"60-69","ID",2020-07-06,0,11
"50-59","ID",2020-07-06,0,2
"40-49","ID",2020-07-06,0,0
"30-39","ID",2020-07-06,0,0
"18-29","ID",2020-07-06,0,0
"0-17","ID",2020-07-06,0,0
"80+","ID",2020-07-07,1,62
"70-79","ID",2020-07-07,0,19
"60-69","ID",2020-07-07,0,11
"50-59","ID",2020-07-07,0,2
"40-49","ID",2020-07-07,0,0
"30-39","ID",2020-07-07,0,0
"18-29","ID",2020-07-07,0,0
"0-17","ID",2020-07-07,0,0
"80+","ID",2020-07-08,0,62
"70-79","ID",2020-07-08,0,19
"60-69","ID",2020-07-08,0,11
"50-59","ID",2020-07-08,0,2
"40-49","ID",2020-07-08,0,0
"30-39","ID",2020-07-08,0,0
"18-29","ID",2020-07-08,0,0
"0-17","ID",2020-07-08,0,0
"80+","ID",2020-07-09,0,62
"70-79","ID",2020-07-09,1,20
"60-69","ID",2020-07-09,2,13
"50-59","ID",2020-07-09,1,3
"40-49","ID",2020-07-09,0,0
"30-39","ID",2020-07-09,0,0
"18-29","ID",2020-07-09,0,0
"0-17","ID",2020-07-09,0,0
"80+","ID",2020-07-10,1,63
"70-79","ID",2020-07-10,0,20
"60-69","ID",2020-07-10,0,13
"50-59","ID",2020-07-10,0,3
"40-49","ID",2020-07-10,0,0
"30-39","ID",2020-07-10,0,0
"18-29","ID",2020-07-10,0,0
"0-17","ID",2020-07-10,0,0
"80+","ID",2020-07-11,1,64
"70-79","ID",2020-07-11,1,21
