"age","date","code","cum.deaths","daily.deaths"
"71-80",2020-04-14,"TN",32,4
"81+",2020-04-14,"TN",42,7
"0-10",2020-04-15,"TN",1,0
"11-20",2020-04-15,"TN",0,0
"21-30",2020-04-15,"TN",1,0
"31-40",2020-04-15,"TN",1,0
"41-50",2020-04-15,"TN",7,0
"51-60",2020-04-15,"TN",14,3
"61-70",2020-04-15,"TN",34,5
"71-80",2020-04-15,"TN",33,1
"81+",2020-04-15,"TN",44,2
"0-10",2020-04-16,"TN",1,0
"11-20",2020-04-16,"TN",0,0
"21-30",2020-04-16,"TN",1,0
"31-40",2020-04-16,"TN",1,0
"41-50",2020-04-16,"TN",7,0
"51-60",2020-04-16,"TN",14,0
"61-70",2020-04-16,"TN",34,0
"71-80",2020-04-16,"TN",34,1
"81+",2020-04-16,"TN",48,4
"0-10",2020-04-17,"TN",1,0
"11-20",2020-04-17,"TN",0,0
"21-30",2020-04-17,"TN",1,0
"31-40",2020-04-17,"TN",1,0
"41-50",2020-04-17,"TN",7,0
"51-60",2020-04-17,"TN",14,0
"61-70",2020-04-17,"TN",34,0
"71-80",2020-04-17,"TN",36,2
"81+",2020-04-17,"TN",48,0
"0-10",2020-04-18,"TN",1,0
"11-20",2020-04-18,"TN",0,0
"21-30",2020-04-18,"TN",1,0
"31-40",2020-04-18,"TN",1,0
"41-50",2020-04-18,"TN",7,0
"51-60",2020-04-18,"TN",14,0
"61-70",2020-04-18,"TN",35,1
"71-80",2020-04-18,"TN",38,2
"81+",2020-04-18,"TN",48,0
"0-10",2020-04-19,"TN",1,0
"11-20",2020-04-19,"TN",0,0
"21-30",2020-04-19,"TN",1,0
"31-40",2020-04-19,"TN",1,0
"41-50",2020-04-19,"TN",8,1
"51-60",2020-04-19,"TN",14,0
"61-70",2020-04-19,"TN",36,1
"71-80",2020-04-19,"TN",39,1
"81+",2020-04-19,"TN",48,0
"0-10",2020-04-20,"TN",1,0
"11-20",2020-04-20,"TN",0,0
"21-30",2020-04-20,"TN",1,0
"31-40",2020-04-20,"TN",1,0
"41-50",2020-04-20,"TN",9,1
"51-60",2020-04-20,"TN",15,1
"61-70",2020-04-20,"TN",36,0
"71-80",2020-04-20,"TN",40,1
"81+",2020-04-20,"TN",49,1
"0-10",2020-04-21,"TN",1,0
"11-20",2020-04-21,"TN",0,0
"21-30",2020-04-21,"TN",1,0
"31-40",2020-04-21,"TN",1,0
"41-50",2020-04-21,"TN",9,0
"51-60",2020-04-21,"TN",15,0
"61-70",2020-04-21,"TN",37,1
"71-80",2020-04-21,"TN",41,1
"81+",2020-04-21,"TN",52,3
"0-10",2020-04-22,"TN",1,0
"11-20",2020-04-22,"TN",0,0
"21-30",2020-04-22,"TN",1,0
"31-40",2020-04-22,"TN",1,0
"41-50",2020-04-22,"TN",9,0
"51-60",2020-04-22,"TN",15,0
"61-70",2020-04-22,"TN",38,1
"71-80",2020-04-22,"TN",45,4
"81+",2020-04-22,"TN",54,2
"0-10",2020-04-23,"TN",1,0
"11-20",2020-04-23,"TN",0,0
"21-30",2020-04-23,"TN",1,0
"31-40",2020-04-23,"TN",1,0
"41-50",2020-04-23,"TN",9,0
"51-60",2020-04-23,"TN",15,0
"61-70",2020-04-23,"TN",40,2
"71-80",2020-04-23,"TN",45,0
"81+",2020-04-23,"TN",55,1
"0-10",2020-04-24,"TN",1,0
"11-20",2020-04-24,"TN",0,0
"21-30",2020-04-24,"TN",1,0
"31-40",2020-04-24,"TN",1,0
"41-50",2020-04-24,"TN",9,0
"51-60",2020-04-24,"TN",15,0
"61-70",2020-04-24,"TN",40,0
"71-80",2020-04-24,"TN",45,0
"81+",2020-04-24,"TN",55,0
"0-10",2020-04-25,"TN",1,0
"11-20",2020-04-25,"TN",0,0
"21-30",2020-04-25,"TN",1,0
"31-40",2020-04-25,"TN",1,0
"41-50",2020-04-25,"TN",9,0
"51-60",2020-04-25,"TN",15,0
"61-70",2020-04-25,"TN",42,2
"71-80",2020-04-25,"TN",50,5
"81+",2020-04-25,"TN",58,3
"0-10",2020-04-26,"TN",1,0
"11-20",2020-04-26,"TN",0,0
"21-30",2020-04-26,"TN",1,0
"31-40",2020-04-26,"TN",2,1
"41-50",2020-04-26,"TN",9,0
"51-60",2020-04-26,"TN",15,0
"61-70",2020-04-26,"TN",42,0
"71-80",2020-04-26,"TN",50,0
"81+",2020-04-26,"TN",60,2
"0-10",2020-04-27,"TN",1,0
"11-20",2020-04-27,"TN",0,0
"21-30",2020-04-27,"TN",1,0
"31-40",2020-04-27,"TN",2,0
"41-50",2020-04-27,"TN",9,0
"51-60",2020-04-27,"TN",15,0
"61-70",2020-04-27,"TN",42,0
"71-80",2020-04-27,"TN",50,0
"81+",2020-04-27,"TN",63,3
"0-10",2020-04-28,"TN",1,0
"11-20",2020-04-28,"TN",0,0
"21-30",2020-04-28,"TN",1,0
"31-40",2020-04-28,"TN",2,0
"41-50",2020-04-28,"TN",9,0
"51-60",2020-04-28,"TN",15,0
"61-70",2020-04-28,"TN",44,2
"71-80",2020-04-28,"TN",50,0
"81+",2020-04-28,"TN",65,2
"0-10",2020-04-29,"TN",1,0
"11-20",2020-04-29,"TN",0,0
"21-30",2020-04-29,"TN",1,0
"31-40",2020-04-29,"TN",2,0
"41-50",2020-04-29,"TN",9,0
"51-60",2020-04-29,"TN",15,0
"61-70",2020-04-29,"TN",45,1
"71-80",2020-04-29,"TN",52,2
"81+",2020-04-29,"TN",68,3
"0-10",2020-04-30,"TN",1,0
"11-20",2020-04-30,"TN",0,0
"21-30",2020-04-30,"TN",1,0
"31-40",2020-04-30,"TN",3,1
"41-50",2020-04-30,"TN",9,0
"51-60",2020-04-30,"TN",15,0
"61-70",2020-04-30,"TN",46,1
"71-80",2020-04-30,"TN",52,0
"81+",2020-04-30,"TN",71,3
"0-10",2020-05-01,"TN",1,0
"11-20",2020-05-01,"TN",0,0
"21-30",2020-05-01,"TN",1,0
"31-40",2020-05-01,"TN",3,0
"41-50",2020-05-01,"TN",9,0
"51-60",2020-05-01,"TN",16,1
"61-70",2020-05-01,"TN",46,0
"71-80",2020-05-01,"TN",53,1
"81+",2020-05-01,"TN",73,2
"0-10",2020-05-02,"TN",1,0
"11-20",2020-05-02,"TN",0,0
"21-30",2020-05-02,"TN",1,0
"31-40",2020-05-02,"TN",3,0
"41-50",2020-05-02,"TN",9,0
"51-60",2020-05-02,"TN",16,0
"61-70",2020-05-02,"TN",47,1
"71-80",2020-05-02,"TN",54,1
"81+",2020-05-02,"TN",75,2
"0-10",2020-05-03,"TN",1,0
"11-20",2020-05-03,"TN",0,0
"21-30",2020-05-03,"TN",1,0
"31-40",2020-05-03,"TN",3,0
"41-50",2020-05-03,"TN",9,0
"51-60",2020-05-03,"TN",16,0
"61-70",2020-05-03,"TN",47,0
"71-80",2020-05-03,"TN",55,1
"81+",2020-05-03,"TN",76,1
"0-10",2020-05-04,"TN",1,0
"11-20",2020-05-04,"TN",0,0
"21-30",2020-05-04,"TN",1,0
"31-40",2020-05-04,"TN",3,0
"41-50",2020-05-04,"TN",9,0
"51-60",2020-05-04,"TN",17,1
"61-70",2020-05-04,"TN",50,3
"71-80",2020-05-04,"TN",59,4
"81+",2020-05-04,"TN",77,1
"0-10",2020-05-05,"TN",1,0
"11-20",2020-05-05,"TN",0,0
"21-30",2020-05-05,"TN",1,0
"31-40",2020-05-05,"TN",3,0
"41-50",2020-05-05,"TN",9,0
"51-60",2020-05-05,"TN",17,0
"61-70",2020-05-05,"TN",51,1
"71-80",2020-05-05,"TN",62,3
"81+",2020-05-05,"TN",80,3
"0-10",2020-05-06,"TN",1,0
"11-20",2020-05-06,"TN",0,0
"21-30",2020-05-06,"TN",1,0
"31-40",2020-05-06,"TN",3,0
"41-50",2020-05-06,"TN",9,0
"51-60",2020-05-06,"TN",18,1
"61-70",2020-05-06,"TN",52,1
"71-80",2020-05-06,"TN",68,6
"81+",2020-05-06,"TN",84,4
"0-10",2020-05-07,"TN",1,0
"11-20",2020-05-07,"TN",0,0
"21-30",2020-05-07,"TN",1,0
"31-40",2020-05-07,"TN",3,0
"41-50",2020-05-07,"TN",9,0
"51-60",2020-05-07,"TN",18,0
"61-70",2020-05-07,"TN",52,0
"71-80",2020-05-07,"TN",68,0
"81+",2020-05-07,"TN",84,0
"0-10",2020-05-08,"TN",1,0
"11-20",2020-05-08,"TN",0,0
"21-30",2020-05-08,"TN",1,0
"31-40",2020-05-08,"TN",3,0
"41-50",2020-05-08,"TN",9,0
"51-60",2020-05-08,"TN",18,0
"61-70",2020-05-08,"TN",53,1
"71-80",2020-05-08,"TN",70,2
"81+",2020-05-08,"TN",85,1
"0-10",2020-05-09,"TN",1,0
"11-20",2020-05-09,"TN",0,0
"21-30",2020-05-09,"TN",1,0
"31-40",2020-05-09,"TN",3,0
"41-50",2020-05-09,"TN",9,0
"51-60",2020-05-09,"TN",18,0
"61-70",2020-05-09,"TN",53,0
"71-80",2020-05-09,"TN",71,1
"81+",2020-05-09,"TN",85,0
"0-10",2020-05-10,"TN",1,0
"11-20",2020-05-10,"TN",0,0
"21-30",2020-05-10,"TN",1,0
"31-40",2020-05-10,"TN",3,0
"41-50",2020-05-10,"TN",9,0
"51-60",2020-05-10,"TN",18,0
"61-70",2020-05-10,"TN",53,0
"71-80",2020-05-10,"TN",72,1
"81+",2020-05-10,"TN",85,0
"0-10",2020-05-11,"TN",1,0
"11-20",2020-05-11,"TN",0,0
"21-30",2020-05-11,"TN",1,0
"31-40",2020-05-11,"TN",3,0
"41-50",2020-05-11,"TN",10,1
"51-60",2020-05-11,"TN",19,1
"61-70",2020-05-11,"TN",54,1
"71-80",2020-05-11,"TN",73,1
"81+",2020-05-11,"TN",89,4
"0-10",2020-05-12,"TN",1,0
"11-20",2020-05-12,"TN",0,0
"21-30",2020-05-12,"TN",1,0
"31-40",2020-05-12,"TN",3,0
"41-50",2020-05-12,"TN",12,2
"51-60",2020-05-12,"TN",23,4
"61-70",2020-05-12,"TN",57,3
"71-80",2020-05-12,"TN",74,1
"81+",2020-05-12,"TN",92,3
"0-10",2020-05-13,"TN",1,0
"11-20",2020-05-13,"TN",0,0
"21-30",2020-05-13,"TN",1,0
"31-40",2020-05-13,"TN",3,0
"41-50",2020-05-13,"TN",14,2
"51-60",2020-05-13,"TN",24,1
"61-70",2020-05-13,"TN",58,1
"71-80",2020-05-13,"TN",77,3
"81+",2020-05-13,"TN",94,2
"0-10",2020-05-14,"TN",1,0
"11-20",2020-05-14,"TN",0,0
"21-30",2020-05-14,"TN",1,0
"31-40",2020-05-14,"TN",3,0
"41-50",2020-05-14,"TN",14,0
"51-60",2020-05-14,"TN",26,2
"61-70",2020-05-14,"TN",61,3
"71-80",2020-05-14,"TN",82,5
"81+",2020-05-14,"TN",98,4
"0-10",2020-05-15,"TN",1,0
"11-20",2020-05-15,"TN",0,0
"21-30",2020-05-15,"TN",1,0
"31-40",2020-05-15,"TN",3,0
"41-50",2020-05-15,"TN",14,0
"51-60",2020-05-15,"TN",26,0
"61-70",2020-05-15,"TN",61,0
"71-80",2020-05-15,"TN",85,3
"81+",2020-05-15,"TN",98,0
"0-10",2020-05-16,"TN",1,0
"11-20",2020-05-16,"TN",0,0
"21-30",2020-05-16,"TN",1,0
"31-40",2020-05-16,"TN",3,0
"41-50",2020-05-16,"TN",14,0
"51-60",2020-05-16,"TN",26,0
"61-70",2020-05-16,"TN",62,1
"71-80",2020-05-16,"TN",87,2
"81+",2020-05-16,"TN",100,2
"0-10",2020-05-17,"TN",1,0
"11-20",2020-05-17,"TN",0,0
"21-30",2020-05-17,"TN",1,0
"31-40",2020-05-17,"TN",3,0
"41-50",2020-05-17,"TN",14,0
"51-60",2020-05-17,"TN",26,0
"61-70",2020-05-17,"TN",63,1
"71-80",2020-05-17,"TN",87,0
"81+",2020-05-17,"TN",102,2
"0-10",2020-05-18,"TN",1,0
"11-20",2020-05-18,"TN",0,0
"21-30",2020-05-18,"TN",1,0
"31-40",2020-05-18,"TN",3,0
"41-50",2020-05-18,"TN",14,0
"51-60",2020-05-18,"TN",27,1
"61-70",2020-05-18,"TN",63,0
"71-80",2020-05-18,"TN",87,0
"81+",2020-05-18,"TN",104,2
"0-10",2020-05-19,"TN",1,0
"11-20",2020-05-19,"TN",0,0
"21-30",2020-05-19,"TN",1,0
"31-40",2020-05-19,"TN",3,0
"41-50",2020-05-19,"TN",14,0
"51-60",2020-05-19,"TN",27,0
"61-70",2020-05-19,"TN",63,0
"71-80",2020-05-19,"TN",89,2
"81+",2020-05-19,"TN",105,1
"0-10",2020-05-20,"TN",1,0
"11-20",2020-05-20,"TN",0,0
"21-30",2020-05-20,"TN",1,0
"31-40",2020-05-20,"TN",3,0
"41-50",2020-05-20,"TN",14,0
"51-60",2020-05-20,"TN",27,0
"61-70",2020-05-20,"TN",66,3
"71-80",2020-05-20,"TN",89,0
"81+",2020-05-20,"TN",107,2
"0-10",2020-05-21,"TN",1,0
"11-20",2020-05-21,"TN",0,0
"21-30",2020-05-21,"TN",1,0
"31-40",2020-05-21,"TN",3,0
"41-50",2020-05-21,"TN",14,0
"51-60",2020-05-21,"TN",28,1
"61-70",2020-05-21,"TN",66,0
"71-80",2020-05-21,"TN",91,2
"81+",2020-05-21,"TN",108,1
"0-10",2020-05-22,"TN",1,0
"11-20",2020-05-22,"TN",0,0
"21-30",2020-05-22,"TN",1,0
"31-40",2020-05-22,"TN",3,0
"41-50",2020-05-22,"TN",14,0
"51-60",2020-05-22,"TN",28,0
"61-70",2020-05-22,"TN",66,0
"71-80",2020-05-22,"TN",92,1
"81+",2020-05-22,"TN",109,1
"0-10",2020-05-23,"TN",1,0
"11-20",2020-05-23,"TN",0,0
"21-30",2020-05-23,"TN",1,0
"31-40",2020-05-23,"TN",3,0
"41-50",2020-05-23,"TN",15,1
"51-60",2020-05-23,"TN",30,2
"61-70",2020-05-23,"TN",68,2
"71-80",2020-05-23,"TN",94,2
"81+",2020-05-23,"TN",116,7
"0-10",2020-05-24,"TN",1,0
"11-20",2020-05-24,"TN",0,0
"21-30",2020-05-24,"TN",1,0
"31-40",2020-05-24,"TN",3,0
"41-50",2020-05-24,"TN",16,1
"51-60",2020-05-24,"TN",30,0
"61-70",2020-05-24,"TN",71,3
"71-80",2020-05-24,"TN",96,2
"81+",2020-05-24,"TN",117,1
"0-10",2020-05-25,"TN",1,0
"11-20",2020-05-25,"TN",0,0
"21-30",2020-05-25,"TN",1,0
"31-40",2020-05-25,"TN",3,0
"41-50",2020-05-25,"TN",16,0
"51-60",2020-05-25,"TN",30,0
"61-70",2020-05-25,"TN",72,1
"71-80",2020-05-25,"TN",96,0
"81+",2020-05-25,"TN",118,1
"0-10",2020-05-26,"TN",1,0
"11-20",2020-05-26,"TN",0,0
"21-30",2020-05-26,"TN",1,0
"31-40",2020-05-26,"TN",3,0
"41-50",2020-05-26,"TN",16,0
"51-60",2020-05-26,"TN",31,1
"61-70",2020-05-26,"TN",73,1
"71-80",2020-05-26,"TN",97,1
"81+",2020-05-26,"TN",120,2
"0-10",2020-05-27,"TN",1,0
"11-20",2020-05-27,"TN",0,0
"21-30",2020-05-27,"TN",1,0
"31-40",2020-05-27,"TN",5,2
"41-50",2020-05-27,"TN",16,0
"51-60",2020-05-27,"TN",31,0
"61-70",2020-05-27,"TN",76,3
"71-80",2020-05-27,"TN",100,3
"81+",2020-05-27,"TN",122,2
"0-10",2020-05-28,"TN",1,0
"11-20",2020-05-28,"TN",0,0
"21-30",2020-05-28,"TN",1,0
"31-40",2020-05-28,"TN",5,0
"41-50",2020-05-28,"TN",17,1
"51-60",2020-05-28,"TN",31,0
"61-70",2020-05-28,"TN",77,1
"71-80",2020-05-28,"TN",100,0
"81+",2020-05-28,"TN",123,1
"0-10",2020-05-29,"TN",1,0
"11-20",2020-05-29,"TN",0,0
"21-30",2020-05-29,"TN",1,0
"31-40",2020-05-29,"TN",5,0
"41-50",2020-05-29,"TN",18,1
"51-60",2020-05-29,"TN",31,0
"61-70",2020-05-29,"TN",78,1
"71-80",2020-05-29,"TN",100,0
"81+",2020-05-29,"TN",125,2
"0-10",2020-05-30,"TN",1,0
"11-20",2020-05-30,"TN",0,0
"21-30",2020-05-30,"TN",1,0
"31-40",2020-05-30,"TN",5,0
"41-50",2020-05-30,"TN",18,0
"51-60",2020-05-30,"TN",31,0
"61-70",2020-05-30,"TN",78,0
"71-80",2020-05-30,"TN",102,2
"81+",2020-05-30,"TN",127,2
"0-10",2020-05-31,"TN",1,0
"11-20",2020-05-31,"TN",0,0
"21-30",2020-05-31,"TN",1,0
"31-40",2020-05-31,"TN",5,0
"41-50",2020-05-31,"TN",18,0
"51-60",2020-05-31,"TN",31,0
"61-70",2020-05-31,"TN",78,0
"71-80",2020-05-31,"TN",102,0
"81+",2020-05-31,"TN",127,0
"0-10",2020-06-01,"TN",1,0
"11-20",2020-06-01,"TN",0,0
"21-30",2020-06-01,"TN",1,0
"31-40",2020-06-01,"TN",5,0
"41-50",2020-06-01,"TN",19,1
"51-60",2020-06-01,"TN",31,0
"61-70",2020-06-01,"TN",78,0
"71-80",2020-06-01,"TN",103,1
"81+",2020-06-01,"TN",128,1
"0-10",2020-06-02,"TN",1,0
"11-20",2020-06-02,"TN",0,0
"21-30",2020-06-02,"TN",1,0
"31-40",2020-06-02,"TN",5,0
"41-50",2020-06-02,"TN",20,1
"51-60",2020-06-02,"TN",33,2
"61-70",2020-06-02,"TN",80,2
"71-80",2020-06-02,"TN",105,2
"81+",2020-06-02,"TN",135,7
"0-10",2020-06-03,"TN",1,0
"11-20",2020-06-03,"TN",0,0
"21-30",2020-06-03,"TN",1,0
"31-40",2020-06-03,"TN",5,0
"41-50",2020-06-03,"TN",21,1
"51-60",2020-06-03,"TN",34,1
"61-70",2020-06-03,"TN",80,0
"71-80",2020-06-03,"TN",109,4
"81+",2020-06-03,"TN",136,1
"0-10",2020-06-04,"TN",1,0
"11-20",2020-06-04,"TN",0,0
"21-30",2020-06-04,"TN",1,0
"31-40",2020-06-04,"TN",6,1
"41-50",2020-06-04,"TN",21,0
"51-60",2020-06-04,"TN",34,0
"61-70",2020-06-04,"TN",82,2
"71-80",2020-06-04,"TN",116,7
"81+",2020-06-04,"TN",139,3
"0-10",2020-06-05,"TN",1,0
"11-20",2020-06-05,"TN",0,0
"21-30",2020-06-05,"TN",1,0
"31-40",2020-06-05,"TN",8,2
"41-50",2020-06-05,"TN",21,0
"51-60",2020-06-05,"TN",35,1
"61-70",2020-06-05,"TN",83,1
"71-80",2020-06-05,"TN",119,3
"81+",2020-06-05,"TN",139,0
"0-10",2020-06-06,"TN",1,0
"11-20",2020-06-06,"TN",0,0
"21-30",2020-06-06,"TN",2,1
"31-40",2020-06-06,"TN",8,0
"41-50",2020-06-06,"TN",21,0
"51-60",2020-06-06,"TN",36,1
"61-70",2020-06-06,"TN",84,1
"71-80",2020-06-06,"TN",121,2
"81+",2020-06-06,"TN",142,3
"0-10",2020-06-07,"TN",1,0
"11-20",2020-06-07,"TN",0,0
"21-30",2020-06-07,"TN",2,0
"31-40",2020-06-07,"TN",8,0
"41-50",2020-06-07,"TN",21,0
"51-60",2020-06-07,"TN",36,0
"61-70",2020-06-07,"TN",84,0
"71-80",2020-06-07,"TN",122,1
"81+",2020-06-07,"TN",142,0
"0-10",2020-06-08,"TN",1,0
"11-20",2020-06-08,"TN",0,0
"21-30",2020-06-08,"TN",2,0
"31-40",2020-06-08,"TN",8,0
"41-50",2020-06-08,"TN",21,0
"51-60",2020-06-08,"TN",36,0
"61-70",2020-06-08,"TN",84,0
"71-80",2020-06-08,"TN",124,2
"81+",2020-06-08,"TN",143,1
"0-10",2020-06-09,"TN",1,0
"11-20",2020-06-09,"TN",0,0
"21-30",2020-06-09,"TN",2,0
"31-40",2020-06-09,"TN",9,1
"41-50",2020-06-09,"TN",21,0
"51-60",2020-06-09,"TN",37,1
"61-70",2020-06-09,"TN",86,2
"71-80",2020-06-09,"TN",129,5
"81+",2020-06-09,"TN",148,5
"0-10",2020-06-10,"TN",1,0
"11-20",2020-06-10,"TN",0,0
"21-30",2020-06-10,"TN",2,0
"31-40",2020-06-10,"TN",9,0
"41-50",2020-06-10,"TN",21,0
"51-60",2020-06-10,"TN",37,0
"61-70",2020-06-10,"TN",86,0
"71-80",2020-06-10,"TN",129,0
"81+",2020-06-10,"TN",149,1
"0-10",2020-06-11,"TN",1,0
"11-20",2020-06-11,"TN",0,0
"21-30",2020-06-11,"TN",2,0
"31-40",2020-06-11,"TN",10,1
"41-50",2020-06-11,"TN",21,0
"51-60",2020-06-11,"TN",37,0
"61-70",2020-06-11,"TN",87,1
"71-80",2020-06-11,"TN",131,2
"81+",2020-06-11,"TN",151,2
"0-10",2020-06-12,"TN",1,0
"11-20",2020-06-12,"TN",0,0
"21-30",2020-06-12,"TN",3,1
"31-40",2020-06-12,"TN",10,0
"41-50",2020-06-12,"TN",22,1
"51-60",2020-06-12,"TN",41,4
"61-70",2020-06-12,"TN",94,7
"71-80",2020-06-12,"TN",140,9
"81+",2020-06-12,"TN",156,5
"0-10",2020-06-13,"TN",1,0
"11-20",2020-06-13,"TN",0,0
"21-30",2020-06-13,"TN",3,0
"31-40",2020-06-13,"TN",10,0
"41-50",2020-06-13,"TN",22,0
"51-60",2020-06-13,"TN",41,0
"61-70",2020-06-13,"TN",94,0
"71-80",2020-06-13,"TN",142,2
"81+",2020-06-13,"TN",158,2
"0-10",2020-06-14,"TN",1,0
"11-20",2020-06-14,"TN",0,0
"21-30",2020-06-14,"TN",3,0
"31-40",2020-06-14,"TN",10,0
"41-50",2020-06-14,"TN",23,1
"51-60",2020-06-14,"TN",41,0
"61-70",2020-06-14,"TN",94,0
"71-80",2020-06-14,"TN",143,1
"81+",2020-06-14,"TN",159,1
"0-10",2020-06-15,"TN",1,0
"11-20",2020-06-15,"TN",0,0
"21-30",2020-06-15,"TN",3,0
"31-40",2020-06-15,"TN",10,0
"41-50",2020-06-15,"TN",24,1
"51-60",2020-06-15,"TN",42,1
"61-70",2020-06-15,"TN",96,2
"71-80",2020-06-15,"TN",146,3
"81+",2020-06-15,"TN",160,1
"0-10",2020-06-16,"TN",1,0
"11-20",2020-06-16,"TN",0,0
"21-30",2020-06-16,"TN",3,0
"31-40",2020-06-16,"TN",10,0
"41-50",2020-06-16,"TN",24,0
"51-60",2020-06-16,"TN",45,3
"61-70",2020-06-16,"TN",96,0
"71-80",2020-06-16,"TN",149,3
"81+",2020-06-16,"TN",163,3
"0-10",2020-06-17,"TN",2,1
"11-20",2020-06-17,"TN",0,0
"21-30",2020-06-17,"TN",4,1
"31-40",2020-06-17,"TN",10,0
"41-50",2020-06-17,"TN",24,0
"51-60",2020-06-17,"TN",46,1
"61-70",2020-06-17,"TN",96,0
"71-80",2020-06-17,"TN",151,2
"81+",2020-06-17,"TN",163,0
"0-10",2020-06-18,"TN",2,0
"11-20",2020-06-18,"TN",0,0
"21-30",2020-06-18,"TN",4,0
"31-40",2020-06-18,"TN",10,0
"41-50",2020-06-18,"TN",25,1
"51-60",2020-06-18,"TN",46,0
"61-70",2020-06-18,"TN",101,5
"71-80",2020-06-18,"TN",153,2
"81+",2020-06-18,"TN",167,4
"0-10",2020-06-19,"TN",2,0
"11-20",2020-06-19,"TN",0,0
"21-30",2020-06-19,"TN",4,0
"31-40",2020-06-19,"TN",10,0
"41-50",2020-06-19,"TN",25,0
"51-60",2020-06-19,"TN",46,0
"61-70",2020-06-19,"TN",103,2
"71-80",2020-06-19,"TN",156,3
"81+",2020-06-19,"TN",167,0
"0-10",2020-06-20,"TN",2,0
"11-20",2020-06-20,"TN",0,0
"21-30",2020-06-20,"TN",4,0
"31-40",2020-06-20,"TN",10,0
"41-50",2020-06-20,"TN",25,0
"51-60",2020-06-20,"TN",47,1
"61-70",2020-06-20,"TN",104,1
"71-80",2020-06-20,"TN",159,3
"81+",2020-06-20,"TN",172,5
"0-10",2020-06-21,"TN",2,0
"11-20",2020-06-21,"TN",0,0
"21-30",2020-06-21,"TN",4,0
"31-40",2020-06-21,"TN",10,0
"41-50",2020-06-21,"TN",25,0
"51-60",2020-06-21,"TN",47,0
"61-70",2020-06-21,"TN",105,1
"71-80",2020-06-21,"TN",159,0
"81+",2020-06-21,"TN",173,1
"0-10",2020-06-22,"TN",2,0
"11-20",2020-06-22,"TN",0,0
"21-30",2020-06-22,"TN",4,0
"31-40",2020-06-22,"TN",11,1
"41-50",2020-06-22,"TN",25,0
"51-60",2020-06-22,"TN",49,2
"61-70",2020-06-22,"TN",107,2
"71-80",2020-06-22,"TN",159,0
"81+",2020-06-22,"TN",173,0
"0-10",2020-06-23,"TN",2,0
"11-20",2020-06-23,"TN",0,0
"21-30",2020-06-23,"TN",4,0
"31-40",2020-06-23,"TN",11,0
"41-50",2020-06-23,"TN",26,1
"51-60",2020-06-23,"TN",50,1
"61-70",2020-06-23,"TN",108,1
"71-80",2020-06-23,"TN",164,5
"81+",2020-06-23,"TN",176,3
"0-10",2020-06-24,"TN",3,1
"11-20",2020-06-24,"TN",0,0
"21-30",2020-06-24,"TN",4,0
"31-40",2020-06-24,"TN",11,0
"41-50",2020-06-24,"TN",26,0
"51-60",2020-06-24,"TN",50,0
"61-70",2020-06-24,"TN",109,1
"71-80",2020-06-24,"TN",169,5
"81+",2020-06-24,"TN",181,5
"0-10",2020-06-25,"TN",3,0
"11-20",2020-06-25,"TN",0,0
"21-30",2020-06-25,"TN",4,0
"31-40",2020-06-25,"TN",11,0
"41-50",2020-06-25,"TN",26,0
"51-60",2020-06-25,"TN",50,0
"61-70",2020-06-25,"TN",110,1
"71-80",2020-06-25,"TN",175,6
