AgeGroups,Cases,Deaths,Rate,DateUpdated
0-9,243,1,64,05/05/2020
10-19,638,1,139,05/05/2020
20-29,3332,4,715,05/05/2020
30-39,4303,19,977,05/05/2020
40-49,4531,38,1029,05/05/2020
50-59,5539,120,1046,05/05/2020
60-69,4716,340,1090,05/05/2020
70-79,3062,596,1175,05/05/2020
80 and older,4485,1596,2732,05/05/2020
0-9,256,1,68,05/06/2020
10-19,663,1,144,05/06/2020
20-29,3411,4,732,05/06/2020
30-39,4393,19,998,05/06/2020
40-49,4638,41,1053,05/06/2020
50-59,5672,120,1071,05/06/2020
60-69,4824,343,1115,05/06/2020
70-79,3159,615,1212,05/06/2020
80 and older,4626,1650,2818,05/06/2020
0-9,267,1,70,05/07/2020
10-19,684,1,149,05/07/2020
20-29,3506,4,752,05/07/2020
30-39,4505,19,1023,05/07/2020
40-49,4728,41,1073,05/07/2020
50-59,5768,120,1089,05/07/2020
60-69,4894,356,1131,05/07/2020
70-79,3216,630,1234,05/07/2020
80 and older,4704,1699,2865,05/07/2020
0-9,280,1,74,05/08/2020
10-19,709,1,154,05/08/2020
20-29,3577,4,768,05/08/2020
30-39,4587,20,1042,05/08/2020
40-49,4799,39,1090,05/08/2020
50-59,5852,121,1105,05/08/2020
60-69,4974,363,1150,05/08/2020
70-79,3266,641,1253,05/08/2020
80 and older,4805,1739,2927,05/08/2020
0-9,287,1,76,05/09/2020
10-19,724,1,157,05/09/2020
20-29,3649,4,783,05/09/2020
30-39,4661,19,1058,05/09/2020
40-49,4870,40,1106,05/09/2020
50-59,5956,120,1125,05/09/2020
60-69,5060,363,1170,05/09/2020
70-79,3304,656,1268,05/09/2020
80 and older,4902,1758,2986,05/09/2020
0-9,289,1,76,05/10/2020
10-19,729,1,159,05/10/2020
20-29,3664,4,786,05/10/2020
30-39,4677,19,1062,05/10/2020
40-49,4898,40,1112,05/10/2020
50-59,5996,123,1133,05/10/2020
60-69,5091,373,1177,05/10/2020
70-79,3330,665,1278,05/10/2020
80 and older,4950,1777,3015,05/10/2020
0-9,303,1,80,05/11/2020
10-19,748,1,163,05/11/2020
20-29,3739,4,802,05/11/2020
30-39,4777,19,1085,05/11/2020
40-49,4970,41,1128,05/11/2020
50-59,6088,125,1150,05/11/2020
60-69,5152,380,1191,05/11/2020
70-79,3384,668,1298,05/11/2020
80 and older,5032,1798,3065,05/11/2020
0-9,313,1,83,05/12/2020
10-19,765,1,166,05/12/2020
20-29,3825,4,821,05/12/2020
30-39,4858,19,1103,05/12/2020
40-49,5036,43,1143,05/12/2020
50-59,6159,127,1163,05/12/2020
60-69,5209,390,1204,05/12/2020
70-79,3432,680,1317,05/12/2020
80 and older,5131,1856,3126,05/12/2020
0-9,328,1,87,05/13/2020
10-19,789,1,172,05/13/2020
20-29,3866,4,830,05/13/2020
30-39,4934,19,1120,05/13/2020
40-49,5095,45,1157,05/13/2020
50-59,6266,130,1184,05/13/2020
60-69,5299,403,1225,05/13/2020
70-79,3495,695,1341,05/13/2020
80 and older,5260,1918,3204,05/13/2020
0-9,332,1,88,05/14/2020
10-19,810,1,176,05/14/2020
20-29,3955,4,849,05/14/2020
30-39,5035,20,1143,05/14/2020
40-49,5184,45,1177,05/14/2020
50-59,6363,133,1202,05/14/2020
60-69,5381,410,1244,05/14/2020
70-79,3549,710,1362,05/14/2020
80 and older,5343,1958,3255,05/14/2020
0-9,339,1,89,05/15/2020
10-19,830,1,181,05/15/2020
20-29,4037,4,866,05/15/2020
30-39,5123,20,1163,05/15/2020
40-49,5251,46,1192,05/15/2020
50-59,6453,136,1219,05/15/2020
60-69,5457,418,1261,05/15/2020
70-79,3609,720,1385,05/15/2020
80 and older,5463,1991,3328,05/15/2020
0-9,352,1,93,05/16/2020
10-19,852,1,185,05/16/2020
20-29,4131,4,886,05/16/2020
30-39,5236,20,1189,05/16/2020
40-49,5345,48,1214,05/16/2020
50-59,6597,141,1246,05/16/2020
60-69,5568,426,1287,05/16/2020
70-79,3668,733,1407,05/16/2020
80 and older,5545,2032,3378,05/16/2020
0-9,376,1,99,05/17/2020
10-19,900,1,196,05/17/2020
20-29,4247,4,911,05/17/2020
30-39,5297,20,1203,05/17/2020
40-49,5427,53,1232,05/17/2020
50-59,6690,140,1264,05/17/2020
60-69,5620,435,1299,05/17/2020
70-79,3742,745,1436,05/17/2020
80 and older,5681,2048,3461,05/17/2020
0-9,386,1,102,05/18/2020
10-19,897,1,195,05/18/2020
20-29,4264,4,915,05/18/2020
30-39,5340,20,1213,05/18/2020
40-49,5475,51,1243,05/18/2020
50-59,6739,143,1273,05/18/2020
60-69,5686,433,1314,05/18/2020
70-79,3772,749,1447,05/18/2020
80 and older,5748,2068,3501,05/18/2020
0-9,407,1,107,05/19/2020
10-19,935,1,203,05/19/2020
20-29,4338,4,931,05/19/2020
30-39,5423,20,1232,05/19/2020
40-49,5549,51,1260,05/19/2020
50-59,6833,148,1291,05/19/2020
60-69,5764,436,1332,05/19/2020
70-79,3829,765,1469,05/19/2020
80 and older,5817,2101,3543,05/19/2020
0 - 9,49,1,13,04/05/2020
10 -19,113,0,25,04/05/2020
20 -29,639,0,137,04/05/2020
30 - 39,856,1,194,04/05/2020
40 -49,963,7,219,04/05/2020
50 -59,1152,9,218,04/05/2020
60 - 69,896,27,207,04/05/2020
70 - 79,475,47,182,04/05/2020
80 and older,463,97,282,04/05/2020
0 - 9,60,1,16,04/06/2020
10 -19,149,0,32,04/06/2020
20 -29,792,0,170,04/06/2020
30 - 39,1062,1,241,04/06/2020
40 -49,1189,7,270,04/06/2020
50 -59,1390,10,263,04/06/2020
60 - 69,1092,28,252,04/06/2020
70 - 79,569,49,218,04/06/2020
80 and older,546,110,333,04/06/2020
0-9,67,1,18,04/07/2020
10-19,168,0,37,04/07/2020
20-29,870,1,187,04/07/2020
30-39,1189,2,270,04/07/2020
40-49,1302,9,296,04/07/2020
50-59,1550,13,293,04/07/2020
60-69,1247,39,288,04/07/2020
70-79,646,63,248,04/07/2020
80 and older,635,149,387,04/07/2020
0-9,73,1,19,04/08/2020
10-19,184,0,40,04/08/2020
20-29,973,1,209,04/08/2020
30-39,1328,2,302,04/08/2020
40-49,1438,9,326,04/08/2020
50-59,1761,16,333,04/08/2020
60-69,1417,47,328,04/08/2020
70-79,748,80,287,04/08/2020
80 and older,752,179,458,04/08/2020
0-9,77,1,20,04/09/2020
10-19,203,0,44,04/09/2020
20-29,1097,1,235,04/09/2020
30-39,1478,3,336,04/09/2020
40-49,1626,10,369,04/09/2020
50-59,1968,17,372,04/09/2020
60-69,1561,53,361,04/09/2020
70-79,836,91,321,04/09/2020
80 and older,839,204,511,04/09/2020
0-9,81,1,21,04/10/2020
10-19,215,0,47,04/10/2020
20-29,1178,1,253,04/10/2020
30-39,1575,5,358,04/10/2020
40-49,1747,11,397,04/10/2020
50-59,2115,19,399,04/10/2020
60-69,1675,61,387,04/10/2020
70-79,916,101,351,04/10/2020
80 and older,940,249,573,04/10/2020
0-9,88,1,23,04/11/2020
19-Oct,238,0,52,04/11/2020
20-29,1266,1,272,04/11/2020
30-39,1701,6,386,04/11/2020
40-49,1887,13,428,04/11/2020
50-59,2273,21,429,04/11/2020
60-69,1854,67,429,04/11/2020
70-79,1027,110,394,04/11/2020
80 and older,1090,275,664,04/11/2020
0-9,89,1,23,04/12/2020
10-19,245,0,53,04/12/2020
20-29,1305,1,280,04/12/2020
30-39,1772,6,402,04/12/2020
40-49,1972,13,448,04/12/2020
50-59,2372,27,448,04/12/2020
60-69,1947,75,450,04/12/2020
70-79,1080,122,414,04/12/2020
80 and older,1167,309,711,04/12/2020
0-9,97,1,26,04/13/2020
10-19,274,0,60,04/13/2020
20-29,1430,1,307,04/13/2020
30-39,1921,8,436,04/13/2020
40-49,2151,13,488,04/13/2020
50-59,2593,30,490,04/13/2020
60-69,2148,83,496,04/13/2020
70-79,1212,134,465,04/13/2020
80 and older,1314,332,800,04/13/2020
0-9,100,1,26,04/14/2020
10-19,281,0,61,04/14/2020
20-29,1489,1,320,04/14/2020
30-39,2013,8,457,04/14/2020
40-49,2256,14,512,04/14/2020
50-59,2715,32,513,04/14/2020
60-69,2245,96,519,04/14/2020
70-79,1266,150,486,04/14/2020
80 and older,1396,369,850,04/14/2020
0-9,107,1,28,04/15/2020
10-19,291,1,63,04/15/2020
20-29,1557,1,334,04/15/2020
30-39,2101,9,477,04/15/2020
40-49,2348,19,533,04/15/2020
50-59,2838,35,536,04/15/2020
60-69,2357,118,545,04/15/2020
70-79,1381,192,530,04/15/2020
80 and older,1581,491,963,04/15/2020
0-9,117,1,31,04/16/2020
10-19,311,1,68,04/16/2020
20-29,1670,2,358,04/16/2020
30-39,2244,10,510,04/16/2020
40-49,2534,20,575,04/16/2020
50-59,3050,40,576,04/16/2020
60-69,2545,138,588,04/16/2020
70-79,1477,218,567,04/16/2020
80 and older,1734,539,1056,04/16/2020
0-9,130,1,34,04/17/2020
10-19,330,1,72,04/17/2020
20-29,1781,3,382,04/17/2020
30-39,2379,11,540,04/17/2020
40-49,2683,21,609,04/17/2020
50-59,3248,44,613,04/17/2020
60-69,2683,143,620,04/17/2020
70-79,1541,231,591,04/17/2020
80 and older,1866,579,1137,04/17/2020
0-9,133,1,35,04/18/2020
10-19,345,2,75,04/18/2020
20-29,1854,3,398,04/18/2020
30-39,2469,11,561,04/18/2020
40-49,2791,22,634,04/18/2020
50-59,3375,44,637,04/18/2020
60-69,2805,151,648,04/18/2020
70-79,1618,245,621,04/18/2020
80 and older,1994,605,1215,04/18/2020
0-9,138,1,36,04/19/2020
10-19,349,2,76,04/19/2020
20-29,1884,3,404,04/19/2020
30-39,2520,11,572,04/19/2020
40-49,2846,22,646,04/19/2020
50-59,3433,45,648,04/19/2020
60-69,2871,158,664,04/19/2020
70-79,1662,253,638,04/19/2020
80 and older,2095,630,1276,04/19/2020
0-9,137,1,36,04/20/2020
10-19,371,2,81,04/20/2020
20-29,2013,3,432,04/20/2020
30-39,2718,12,617,04/20/2020
40-49,3048,28,692,04/20/2020
50-59,3696,58,698,04/20/2020
60-69,3162,192,731,04/20/2020
70-79,1901,300,729,04/20/2020
80 and older,2533,733,1543,04/20/2020
0-9,144,1,38,04/21/2020
10-19,386,2,84,04/21/2020
20-29,2074,3,445,04/21/2020
30-39,2805,14,637,04/21/2020
40-49,3121,28,709,04/21/2020
50-59,3774,63,713,04/21/2020
60-69,3247,204,750,04/21/2020
70-79,1948,319,747,04/21/2020
80 and older,2624,787,1598,04/21/2020
0-9,166,1,44,04/22/2020
10-19,448,1,97,04/22/2020
20-29,2313,3,496,04/22/2020
30-39,3136,14,712,04/22/2020
40-49,3450,30,783,04/22/2020
50-59,4232,69,799,04/22/2020
60-69,3549,222,820,04/22/2020
70-79,2114,344,811,04/22/2020
80 and older,2828,858,1723,04/22/2020
0-9,169,1,45,04/23/2020
10-19,465,1,101,04/23/2020
20-29,2397,4,514,04/23/2020
30-39,3204,15,728,04/23/2020
40-49,3537,30,803,04/23/2020
50-59,4335,75,819,04/23/2020
60-69,3632,228,839,04/23/2020
70-79,2172,366,833,04/23/2020
80 and older,2951,915,1798,04/23/2020
0-9,176,1,46,04/24/2020
10-19,482,1,105,04/24/2020
20-29,2465,4,529,04/24/2020
30-39,3322,16,754,04/24/2020
40-49,3621,31,822,04/24/2020
50-59,4464,78,843,04/24/2020
60-69,3739,240,864,04/24/2020
70-79,2283,398,876,04/24/2020
80 and older,3134,992,1909,04/24/2020
0-9,178,1,47,04/25/2020
10-19,492,1,107,04/25/2020
20-29,2576,3,553,04/25/2020
30-39,3428,16,778,04/25/2020
40-49,3708,31,842,04/25/2020
50-59,4576,84,864,04/25/2020
60-69,3824,250,884,04/25/2020
70-79,2338,423,897,04/25/2020
80 and older,3225,1049,1964,04/25/2020
0-9,184,1,49,04/26/2020
10-19,500,1,109,04/26/2020
20-29,2647,3,568,04/26/2020
30-39,3509,16,797,04/26/2020
40-49,3788,31,860,04/26/2020
50-59,4689,88,886,04/26/2020
60-69,3903,258,902,04/26/2020
70-79,2433,434,933,04/26/2020
80 and older,3382,1091,2060,04/26/2020
0-9,188,1,50,04/27/2020
10-19,523,1,114,04/27/2020
20-29,2750,3,590,04/27/2020
30-39,3614,16,821,04/27/2020
40-49,3885,31,882,04/27/2020
50-59,4796,92,906,04/27/2020
60-69,4011,270,927,04/27/2020
70-79,2501,455,960,04/27/2020
80 and older,3498,1141,2131,04/27/2020
0-9,190,1,50,04/28/2020
10-19,532,1,116,04/28/2020
20-29,2770,3,594,04/28/2020
30-39,3651,17,829,04/28/2020
40-49,3905,31,887,04/28/2020
50-59,4840,96,914,04/28/2020
60-69,4053,274,937,04/28/2020
70-79,2545,468,976,04/28/2020
80 and older,3593,1195,2189,04/28/2020
0-9,199,1,52,04/29/2020
10-19,537,1,117,04/29/2020
20-29,2820,3,605,04/29/2020
30-39,3695,16,839,04/29/2020
40-49,3952,31,897,04/29/2020
50-59,4894,98,924,04/29/2020
60-69,4124,279,953,04/29/2020
70-79,2609,486,1001,04/29/2020
80 and older,3704,1249,2256,04/29/2020
0-9,207,1,55,04/30/2020
10-19,568,1,124,04/30/2020
20-29,2936,3,630,04/30/2020
30-39,3821,18,868,04/30/2020
40-49,4063,31,922,04/30/2020
50-59,5040,101,952,04/30/2020
60-69,4259,290,984,04/30/2020
70-79,2712,507,1041,04/30/2020
80 and older,3860,1301,2351,04/30/2020
0-9,214,1,56,05/01/2020
10-19,589,1,128,05/01/2020
20-29,3051,3,655,05/01/2020
30-39,3977,18,903,05/01/2020
40-49,4227,32,960,05/01/2020
50-59,5218,102,986,05/01/2020
60-69,4413,300,1020,05/01/2020
70-79,2808,521,1077,05/01/2020
80 and older,4063,1357,2475,05/01/2020
0-9,220,1,58,05/02/2020
10-19,603,1,131,05/02/2020
20-29,3122,4,670,05/02/2020
30-39,4042,18,918,05/02/2020
40-49,4298,33,976,05/02/2020
50-59,5297,104,1000,05/02/2020
60-69,4483,309,1036,05/02/2020
70-79,2872,535,1102,05/02/2020
80 and older,4193,1426,2554,05/02/2020
0-9,226,1,60,05/03/2020
10-19,611,1,133,05/03/2020
20-29,3190,4,684,05/03/2020
30-39,4151,18,943,05/03/2020
40-49,4401,37,999,05/03/2020
50-59,5405,111,1021,05/03/2020
60-69,4583,324,1059,05/03/2020
70-79,2946,558,1130,05/03/2020
80 and older,4307,1499,2624,05/03/2020
0-9,239,1,63,05/04/2020
10-19,628,1,137,05/04/2020
20-29,3292,4,706,05/04/2020
30-39,4254,18,966,05/04/2020
40-49,4491,38,1020,05/04/2020
50-59,5493,116,1038,05/04/2020
60-69,4663,328,1078,05/04/2020
70-79,3010,581,1155,05/04/2020
80 and older,4400,1543,2680,05/04/2020
0-9,409,1,108,05/20/2020
10-19,942,1,205,05/20/2020
20-29,4368,4,937,05/20/2020
30-39,5449,20,1237,05/20/2020
40-49,5571,50,1265,05/20/2020
50-59,6857,150,1295,05/20/2020
60-69,5787,443,1338,05/20/2020
70-79,3842,774,1474,05/20/2020
80 and older,5863,2138,3571,05/20/2020
0-9,421,1,111,05/21/2020
10-19,966,1,210,05/21/2020
20-29,4417,4,948,05/21/2020
30-39,5505,20,1250,05/21/2020
40-49,5619,51,1276,05/21/2020
50-59,6922,153,1307,05/21/2020
60-69,5845,457,1351,05/21/2020
70-79,3881,787,1489,05/21/2020
80 and older,5947,2162,3623,05/21/2020
0-9,436,1,115,05/22/2020
10-19,981,1,213,05/22/2020
20-29,4479,4,961,05/22/2020
30-39,5563,19,1263,05/22/2020
40-49,5674,52,1288,05/22/2020
50-59,6974,154,1317,05/22/2020
60-69,5882,462,1360,05/22/2020
70-79,3905,796,1498,05/22/2020
80 and older,5992,2185,3650,05/22/2020
0-9,446,1,118,05/23/2020
10-19,992,1,216,05/23/2020
20-29,4532,4,972,05/23/2020
30-39,5636,19,1280,05/23/2020
40-49,5723,51,1299,05/23/2020
50-59,7027,155,1327,05/23/2020
60-69,5916,461,1367,05/23/2020
70-79,3961,800,1520,05/23/2020
