"","age","cum.deaths","daily.deaths","code","date"
"92","18-44",534,3,"NYC",2020-05-02
"93","45-64",2937,29,"NYC",2020-05-02
"94","65-76",3260,43,"NYC",2020-05-02
"95","75+",6417,81,"NYC",2020-05-02
"96","0-17",6,0,"NYC",2020-05-03
"97","18-44",538,4,"NYC",2020-05-03
"98","45-64",2973,36,"NYC",2020-05-03
"99","65-76",3296,36,"NYC",2020-05-03
"100","75+",6505,88,"NYC",2020-05-03
"101","0-17",6,0,"NYC",2020-05-04
"102","18-44",545,7,"NYC",2020-05-04
"103","45-64",3028,55,"NYC",2020-05-04
"104","65-76",3363,67,"NYC",2020-05-04
"105","75+",6593,88,"NYC",2020-05-04
"106","0-17",6,0,"NYC",2020-05-05
"107","18-44",549,4,"NYC",2020-05-05
"108","45-64",3078,50,"NYC",2020-05-05
"109","65-76",3403,40,"NYC",2020-05-05
"110","75+",6687,94,"NYC",2020-05-05
"111","0-17",6,0,"NYC",2020-05-06
"112","18-44",557,8,"NYC",2020-05-06
"113","45-64",3119,41,"NYC",2020-05-06
"114","65-76",3458,55,"NYC",2020-05-06
"115","75+",6797,110,"NYC",2020-05-06
"116","0-17",6,0,"NYC",2020-05-07
"117","18-44",566,9,"NYC",2020-05-07
"118","45-64",3170,51,"NYC",2020-05-07
"119","65-76",3511,53,"NYC",2020-05-07
"120","75+",6907,110,"NYC",2020-05-07
"121","0-17",6,0,"NYC",2020-05-08
"122","18-44",575,9,"NYC",2020-05-08
"123","45-64",3219,49,"NYC",2020-05-08
"124","65-76",3581,70,"NYC",2020-05-08
"125","75+",7006,99,"NYC",2020-05-08
