"age","cum.deaths","daily.deaths","code","date"
"0-9",0,NA,"OR",2020-06-05
"10-19",0,NA,"OR",2020-06-05
"20-29",0,NA,"OR",2020-06-05
"30-39",1,NA,"OR",2020-06-05
"40-49",3,NA,"OR",2020-06-05
"50-59",7,NA,"OR",2020-06-05
"60-69",34,NA,"OR",2020-06-05
"70-79",44,NA,"OR",2020-06-05
"80+",72,NA,"OR",2020-06-05
"0-9",0,0,"OR",2020-06-06
"0-9",0,0,"OR",2020-06-07
"10-19",0,0,"OR",2020-06-06
"10-19",0,0,"OR",2020-06-07
"20-29",0,0,"OR",2020-06-06
"20-29",0,0,"OR",2020-06-07
"30-39",1,0,"OR",2020-06-06
"30-39",1,0,"OR",2020-06-07
"40-49",3,0,"OR",2020-06-06
"40-49",3,0,"OR",2020-06-07
"50-59",7,0,"OR",2020-06-06
"50-59",7,1,"OR",2020-06-07
"60-69",34,0,"OR",2020-06-06
"60-69",34,0,"OR",2020-06-07
"70-79",44,1,"OR",2020-06-06
"70-79",44,1,"OR",2020-06-07
"80+",72,0,"OR",2020-06-06
"80+",72,0,"OR",2020-06-07
"0-9",0,0,"OR",2020-06-08
"10-19",0,0,"OR",2020-06-08
"20-29",0,0,"OR",2020-06-08
"30-39",1,0,"OR",2020-06-08
"40-49",3,0,"OR",2020-06-08
"50-59",8,0,"OR",2020-06-08
"60-69",34,0,"OR",2020-06-08
"70-79",46,0,"OR",2020-06-08
"80+",72,0,"OR",2020-06-08
"0-9",0,0,"OR",2020-06-09
"10-19",0,0,"OR",2020-06-09
"20-29",0,0,"OR",2020-06-09
"30-39",1,0,"OR",2020-06-09
"40-49",3,0,"OR",2020-06-09
"50-59",8,0,"OR",2020-06-09
"60-69",35,1,"OR",2020-06-09
"70-79",48,2,"OR",2020-06-09
"80+",74,2,"OR",2020-06-09
"0-9",0,0,"OR",2020-06-10
"10-19",0,0,"OR",2020-06-10
"20-29",0,0,"OR",2020-06-10
"30-39",1,0,"OR",2020-06-10
"40-49",3,0,"OR",2020-06-10
"50-59",8,0,"OR",2020-06-10
"60-69",35,0,"OR",2020-06-10
"70-79",48,0,"OR",2020-06-10
"80+",74,0,"OR",2020-06-10
"0-9",0,0,"OR",2020-06-11
"10-19",0,0,"OR",2020-06-11
"20-29",0,0,"OR",2020-06-11
"30-39",1,0,"OR",2020-06-11
"40-49",3,0,"OR",2020-06-11
"50-59",8,0,"OR",2020-06-11
"60-69",36,1,"OR",2020-06-11
"70-79",48,0,"OR",2020-06-11
"80+",75,1,"OR",2020-06-11
"0-9",0,0,"OR",2020-06-12
"10-19",0,0,"OR",2020-06-12
"20-29",0,0,"OR",2020-06-12
"30-39",1,0,"OR",2020-06-12
"40-49",3,0,"OR",2020-06-12
"50-59",8,0,"OR",2020-06-12
"60-69",37,1,"OR",2020-06-12
"70-79",48,0,"OR",2020-06-12
"80+",76,1,"OR",2020-06-12
"0-9",0,0,"OR",2020-06-13
"0-9",0,0,"OR",2020-06-14
"10-19",0,0,"OR",2020-06-13
"10-19",0,0,"OR",2020-06-14
"20-29",0,0,"OR",2020-06-13
"20-29",0,0,"OR",2020-06-14
"30-39",1,0,"OR",2020-06-13
"30-39",1,0,"OR",2020-06-14
"40-49",3,0,"OR",2020-06-13
"40-49",3,0,"OR",2020-06-14
"50-59",8,0,"OR",2020-06-13
"50-59",8,0,"OR",2020-06-14
"60-69",37,0,"OR",2020-06-13
"60-69",37,0,"OR",2020-06-14
"70-79",48,0,"OR",2020-06-13
"70-79",48,0,"OR",2020-06-14
"80+",76,0,"OR",2020-06-13
"80+",76,0,"OR",2020-06-14
"0-9",0,0,"OR",2020-06-15
"10-19",0,0,"OR",2020-06-15
"20-29",0,0,"OR",2020-06-15
"30-39",1,0,"OR",2020-06-15
"40-49",3,0,"OR",2020-06-15
"50-59",8,0,"OR",2020-06-15
"60-69",37,0,"OR",2020-06-15
"70-79",48,0,"OR",2020-06-15
"80+",76,0,"OR",2020-06-15
"0-9",0,0,"OR",2020-06-16
"10-19",0,0,"OR",2020-06-16
"20-29",0,0,"OR",2020-06-16
"30-39",1,0,"OR",2020-06-16
"40-49",3,0,"OR",2020-06-16
"50-59",8,0,"OR",2020-06-16
"60-69",38,1,"OR",2020-06-16
"70-79",51,3,"OR",2020-06-16
"80+",81,5,"OR",2020-06-16
"0-9",0,0,"OR",2020-06-17
"10-19",0,0,"OR",2020-06-17
"20-29",0,0,"OR",2020-06-17
"30-39",1,0,"OR",2020-06-17
"40-49",3,0,"OR",2020-06-17
"50-59",8,0,"OR",2020-06-17
"60-69",38,0,"OR",2020-06-17
"70-79",51,0,"OR",2020-06-17
"80+",82,1,"OR",2020-06-17
"0-9",0,0,"OR",2020-06-18
"10-19",0,0,"OR",2020-06-18
"20-29",0,0,"OR",2020-06-18
"30-39",1,0,"OR",2020-06-18
"40-49",3,0,"OR",2020-06-18
"50-59",8,0,"OR",2020-06-18
"60-69",38,0,"OR",2020-06-18
"70-79",52,1,"OR",2020-06-18
"80+",85,3,"OR",2020-06-18
"0-9",0,0,"OR",2020-06-19
"10-19",0,0,"OR",2020-06-19
"20-29",0,0,"OR",2020-06-19
"30-39",1,0,"OR",2020-06-19
"40-49",3,0,"OR",2020-06-19
"50-59",8,0,"OR",2020-06-19
"60-69",38,0,"OR",2020-06-19
"70-79",52,0,"OR",2020-06-19
"80+",86,1,"OR",2020-06-19
"0-9",0,0,"OR",2020-06-20
"10-19",0,0,"OR",2020-06-20
"20-29",0,0,"OR",2020-06-20
"30-39",1,0,"OR",2020-06-20
"40-49",3,0,"OR",2020-06-20
"50-59",8,0,"OR",2020-06-20
"60-69",38,0,"OR",2020-06-20
"70-79",52,0,"OR",2020-06-20
"80+",86,0,"OR",2020-06-20
"0-9",0,0,"OR",2020-06-21
"10-19",0,0,"OR",2020-06-21
"20-29",0,0,"OR",2020-06-21
"30-39",1,0,"OR",2020-06-21
"40-49",3,0,"OR",2020-06-21
"50-59",8,1,"OR",2020-06-21
"60-69",38,1,"OR",2020-06-21
"70-79",52,0,"OR",2020-06-21
"80+",87,1,"OR",2020-06-21
"0-9",0,0,"OR",2020-06-22
"10-19",0,0,"OR",2020-06-22
"20-29",0,0,"OR",2020-06-22
"30-39",1,0,"OR",2020-06-22
"40-49",3,0,"OR",2020-06-22
"50-59",9,0,"OR",2020-06-22
"60-69",39,0,"OR",2020-06-22
"70-79",52,0,"OR",2020-06-22
"80+",88,1,"OR",2020-06-22
"0-9",0,0,"OR",2020-06-23
"10-19",0,0,"OR",2020-06-23
"20-29",0,0,"OR",2020-06-23
"30-39",1,0,"OR",2020-06-23
"40-49",3,0,"OR",2020-06-23
"50-59",9,0,"OR",2020-06-23
"60-69",39,0,"OR",2020-06-23
"70-79",52,0,"OR",2020-06-23
"80+",88,0,"OR",2020-06-23
"0-9",0,0,"OR",2020-06-24
"10-19",0,0,"OR",2020-06-24
"20-29",0,0,"OR",2020-06-24
"30-39",1,0,"OR",2020-06-24
"40-49",3,0,"OR",2020-06-24
"50-59",9,0,"OR",2020-06-24
"60-69",40,1,"OR",2020-06-24
"70-79",53,1,"OR",2020-06-24
"80+",89,1,"OR",2020-06-24
"0-9",0,0,"OR",2020-06-25
"10-19",0,0,"OR",2020-06-25
"20-29",0,0,"OR",2020-06-25
"30-39",1,0,"OR",2020-06-25
"40-49",3,0,"OR",2020-06-25
"50-59",9,0,"OR",2020-06-25
"60-69",40,0,"OR",2020-06-25
"70-79",53,0,"OR",2020-06-25
"80+",91,2,"OR",2020-06-25
"0-9",0,0,"OR",2020-06-26
"10-19",0,0,"OR",2020-06-26
"20-29",0,0,"OR",2020-06-26
"30-39",1,0,"OR",2020-06-26
"40-49",3,0,"OR",2020-06-26
"50-59",9,0,"OR",2020-06-26
"60-69",40,0,"OR",2020-06-26
"70-79",55,2,"OR",2020-06-26
"80+",94,3,"OR",2020-06-26
"0-9",0,0,"OR",2020-06-27
"10-19",0,0,"OR",2020-06-27
"20-29",0,0,"OR",2020-06-27
"30-39",1,0,"OR",2020-06-27
"40-49",3,0,"OR",2020-06-27
"50-59",9,0,"OR",2020-06-27
"60-69",40,0,"OR",2020-06-27
"70-79",55,0,"OR",2020-06-27
"80+",94,0,"OR",2020-06-27
"0-9",0,0,"OR",2020-06-28
"0-9",0,0,"OR",2020-06-29
"10-19",0,0,"OR",2020-06-28
"10-19",0,0,"OR",2020-06-29
"20-29",0,0,"OR",2020-06-28
"20-29",0,0,"OR",2020-06-29
"30-39",1,0,"OR",2020-06-28
"30-39",1,0,"OR",2020-06-29
"40-49",3,0,"OR",2020-06-28
"40-49",3,0,"OR",2020-06-29
"50-59",9,0,"OR",2020-06-28
"50-59",9,0,"OR",2020-06-29
"60-69",40,0,"OR",2020-06-28
"60-69",40,1,"OR",2020-06-29
"70-79",55,0,"OR",2020-06-28
"70-79",55,1,"OR",2020-06-29
"80+",95,1,"OR",2020-06-28
"80+",96,1,"OR",2020-06-29
"0-9",0,0,"OR",2020-06-30
"10-19",0,0,"OR",2020-06-30
"20-29",0,0,"OR",2020-06-30
"30-39",1,0,"OR",2020-06-30
"40-49",3,0,"OR",2020-06-30
"50-59",9,0,"OR",2020-06-30
"60-69",41,0,"OR",2020-06-30
"70-79",56,0,"OR",2020-06-30
"80+",97,1,"OR",2020-06-30
"0-9",0,0,"OR",2020-07-01
"10-19",0,0,"OR",2020-07-01
"20-29",0,0,"OR",2020-07-01
"30-39",1,0,"OR",2020-07-01
"40-49",3,0,"OR",2020-07-01
"50-59",9,0,"OR",2020-07-01
"60-69",41,0,"OR",2020-07-01
"70-79",56,0,"OR",2020-07-01
"80+",98,1,"OR",2020-07-01
"0-9",0,0,"OR",2020-07-02
"10-19",0,0,"OR",2020-07-02
"20-29",0,0,"OR",2020-07-02
"30-39",1,0,"OR",2020-07-02
"40-49",3,0,"OR",2020-07-02
"50-59",9,0,"OR",2020-07-02
"60-69",41,0,"OR",2020-07-02
"70-79",57,1,"OR",2020-07-02
"80+",98,0,"OR",2020-07-02
"0-9",0,0,"OR",2020-07-03
"10-19",0,0,"OR",2020-07-03
"20-29",0,0,"OR",2020-07-03
"30-39",1,0,"OR",2020-07-03
"40-49",3,0,"OR",2020-07-03
"50-59",9,0,"OR",2020-07-03
"60-69",41,0,"OR",2020-07-03
"70-79",57,0,"OR",2020-07-03
"80+",98,0,"OR",2020-07-03
"0-9",0,0,"OR",2020-07-04
"0-9",0,0,"OR",2020-07-05
"10-19",0,0,"OR",2020-07-04
"10-19",0,0,"OR",2020-07-05
