"age","log_ifr_mean","log_ifr_cl","log_ifr_cu","ifr_mean","ifr_cl","ifr_cu"
0,-12.1317911748118,-12.4629667230566,-11.8006158419816,5.38554968870356e-06,3.86725067589091e-06,7.49993771606175e-06
0.5,-12.0714084364252,-12.3998988869256,-11.7429181008469,5.72076261919636e-06,4.11900517175694e-06,7.94539453568296e-06
1,-12.0110256980386,-12.3368310507945,-11.6852203597123,6.07684021815658e-06,4.38714865595102e-06,8.41730914544314e-06
1.5,-11.950642959652,-12.2737632146634,-11.6275226185776,6.45508116576821e-06,4.67274803668261e-06,8.9172529987991e-06
2,-11.8902601643904,-12.2106992682907,-11.5698211164564,6.85686536598951e-06,4.97692031785846e-06,9.44692641496658e-06
2.5,-11.8298780017031,-12.1476402934953,-11.5121157275893,7.2836532490328e-06,5.30086632352322e-06,1.00081006530672e-05
3,-11.7694952474644,-12.0845856146506,-11.4544048313399,7.73701001890003e-06,5.64587360713631e-06,1.06026686262339e-05
3.5,-11.7091124706789,-12.021535397764,-11.3966895605458,8.21858528070151e-06,6.01330888457596e-06,1.12326082307845e-05
4,-11.6487297060371,-11.9584900784794,-11.3389693369295,8.730135159567e-06,6.40462560113519e-06,1.19000335689634e-05
4.5,-11.5883469690109,-11.8954491535245,-11.2812447260967,9.27352521102875e-06,6.82137731928378e-06,1.26071716658771e-05
5,-11.5279642420351,-11.8324137353627,-11.2235146465469,9.8507374059409e-06,7.26520724128932e-06,1.3356403214857e-05
5.5,-11.4675819518954,-11.7693837587308,-11.1657801745469,1.04638724587858e-05,7.73787265643477e-06,1.41502229962498e-05
6,-11.407199226683,-11.7063587872316,-11.1080396433447,1.11151754390448e-05,8.24124785140157e-06,1.49913132190704e-05
6.5,-11.3468164806579,-11.6433387688615,-11.0502941948967,1.18070177268237e-05,8.77732585649937e-06,1.58824760001153e-05
7,-11.2864337616062,-11.5803247111233,-10.9925426954298,1.25419220421463e-05,9.34821902774275e-06,1.68267160188407e-05
7.5,-11.2260509239321,-11.5173162169534,-10.9347857123261,1.33225705940276e-05,9.95618873275816e-06,1.78271904587746e-05
8,-11.1656682099628,-11.4543137030419,-10.8770226785238,1.41518074087799e-05,1.06036348734051e-05,1.8887264886871e-05
8.5,-11.1052859801535,-11.3913173016246,-10.8192547378697,1.5032651135698e-05,1.12931150943041e-05,2.00104736723006e-05
9,-11.0449032469549,-11.3283268491198,-10.7614795774303,1.5968328807503e-05,1.20273558422923e-05,2.12006317451596e-05
9.5,-10.9845204637026,-11.265343079687,-10.7036979564891,1.69622467365116e-05,1.2809248873964e-05,2.24617216736078e-05
10,-10.9241377586363,-11.2023652907518,-10.6459102051987,1.8018027767539e-05,1.36418908368796e-05,2.37979716621339e-05
10.5,-10.8637549764405,-11.1393945921649,-10.5881153674225,1.91395252477378e-05,1.45285541657358e-05,2.5213893968612e-05
11,-10.8033722187469,-11.0764305254077,-10.530313863604,2.03308276832104e-05,1.54727441258729e-05,2.67142383381724e-05
11.5,-10.7429899796557,-11.0134741716191,-10.4725058110848,2.15962692163885e-05,1.64781685452908e-05,2.83040455542505e-05
12,-10.6826072315997,-10.9505249477708,-10.4146895703675,2.29404866695404e-05,1.75488006789237e-05,2.99887103028595e-05
12.5,-10.6222245036182,-10.8875828400988,-10.3568661026847,2.43683718144894e-05,1.8688861746341e-05,3.17738763988018e-05
13,-10.5618417667029,-10.8246490224241,-10.2990345044976,2.58851330727339e-05,1.99028220959008e-05,3.36655834689736e-05
13.5,-10.5014590168637,-10.7617228638655,-10.2411951634143,2.74963025003672e-05,2.11954745464027e-05,3.56701924465597e-05
14,-10.4410762420887,-10.6988049150986,-10.1833475936623,2.9207756742835e-05,2.25718971341848e-05,3.77944763749838e-05
14.5,-10.3806940405754,-10.6358957025466,-10.1254923482265,3.10257193632424e-05,2.40374938584864e-05,4.00455761700869e-05
15,-10.320311236631,-10.5729948141291,-10.0676276945867,3.2956856302917e-05,2.559803891927e-05,4.24311542883515e-05
15.5,-10.2599285314448,-10.5101031867726,-10.0097537668055,3.50081897340715e-05,2.72596441209316e-05,4.49592620134354e-05
16,-10.199545740499,-10.4472204060573,-9.95187105730676,3.71872074902058e-05,2.90288496762514e-05,4.76384162902832e-05
16.5,-10.1391630156474,-10.384347488825,-9.89397849136351,3.95018514245749e-05,3.09125753119588e-05,5.04777207970619e-05
17,-10.0787802782302,-10.321484454558,-9.83607608471144,4.19605663046241e-05,3.29182134009898e-05,5.34867774695158e-05
17.5,-10.0183980245739,-10.258631811638,-9.77816426275359,4.45722974836826e-05,3.50536149926484e-05,5.6675742380321e-05
18,-9.95801524455914,-10.195789105711,-9.72024145603139,4.73466143012047e-05,3.73271689750254e-05,6.0055498033762e-05
18.5,-9.89763248109177,-10.132957359375,-9.66230771666325,5.02936122938991e-05,3.97477485239506e-05,6.36374950408936e-05
19,-9.83724974617166,-10.0701365400949,-9.60436295857635,5.34240389242768e-05,4.23248345032334e-05,6.74338825047016e-05
19.5,-9.77686702137484,-10.0073272801788,-9.54640666602567,5.67493122071028e-05,4.50684875249863e-05,7.14575732126831e-05
20,-9.71648426186593,-9.94453013092063,-9.48843835537508,6.02815626189113e-05,4.79894131422043e-05,7.5722262263298e-05
20.5,-9.65610202276268,-9.88174505565806,-9.43045897963178,6.40336377546191e-05,5.10990293696523e-05,8.02423618733884e-05
21,-9.59571930570574,-9.81897257048734,-9.37246597766193,6.80192839354278e-05,5.44094573706388e-05,8.50334390997886e-05
21.5,-9.53533655478761,-9.75621277899227,-9.31446024760205,7.22530111670494e-05,5.7933614589274e-05,9.01117268949748e-05
22,-9.47495377374676,-9.69346666449163,-9.25644091495956,7.67502607777714e-05,6.16851914674044e-05,9.5494594424963e-05
22.5,-9.41457104585229,-9.63073478184144,-9.198407499632,8.152742870152e-05,6.56787725165486e-05,0.000101200435310602
23,-9.35418828721753,-9.56801669193342,-9.14035981542266,8.66019446402789e-05,6.99299387633801e-05,0.000107248732820153
23.5,-9.29380608498597,-9.50531398461735,-9.08229783984107,9.1992262750864e-05,7.44551233947277e-05,0.000113660134375095
24,-9.23342328741678,-9.44262607314011,-9.02422025806064,9.7718145698309e-05,7.92719610035418e-05,0.000120456693693995
24.5,-9.17304056165887,-9.37995463184069,-8.96612673689334,0.000103800417855382,8.43990314751864e-05,0.000127661703154445
25,-9.11265780270504,-9.31729849306692,-8.90801677161246,0.000110261272639036,8.98563303053379e-05,0.000135299898684025
25.5,-9.05227502864881,-9.25466001518685,-8.84989001958429,0.000117124272510409,9.56648122519255e-05,0.000143397506326437
26,-8.99189251485866,-9.19203908614546,-8.79174601340442,0.000124414414167404,0.000101846978068352,0.000151982372626662
26.5,-8.93150978800328,-9.12943595421793,-8.73358359534221,0.00013215834274888,0.000108426725491881,0.000161084160208702
27,-8.87112705748059,-9.06685126455777,-8.67540276762154,0.000140384277328849,0.000115429423749447,0.000170734170824289
27.5,-8.81074453527464,-9.00428656453408,-8.61720253689277,0.000149122187867761,0.0001228819321841,0.000180965792387724
28,-8.75036182572431,-8.94174137399348,-8.55898224110844,0.000158404000103474,0.000130813047289848,0.000191814415156841
28.5,-8.68997900844636,-8.8792167992608,-8.50074131840757,0.000168263558298349,0.000139253186061978,0.00020331759005785
29,-8.62959652564998,-8.81671390008727,-8.44247922075233,0.000178736746311188,0.000148234674707055,0.000215515177696943
29.5,-8.56921380220131,-8.75423290631088,-8.38419465631643,0.000189861860126257,0.000157791990786791,0.000228449665009975
30,-8.50883100451884,-8.6917747033949,-8.3258873571088,0.000201679449528456,0.000167961679399014,0.000242165941745043
30.5,-8.44844857676916,-8.62934040621232,-8.26755663504969,0.00021423252299428,0.000178782530128956,0.000256711766123772
31,-8.38806579875929,-8.56693036193528,-8.20920131016415,0.000227567013353109,0.000190295893698931,0.000272137988358736
31.5,-8.32768303560795,-8.50454570464363,-8.15082036663343,0.000241731479763985,0.000202545560896397,0.000288498587906361
32,-8.26730053866667,-8.44218748386064,-8.0924136921274,0.00025677751749754,0.000215578060597181,0.000305850636214018
32.5,-8.20691779199755,-8.37985578457292,-8.03397984117992,0.000272760130465031,0.000229443032294512,0.000324255153536797
33,-8.14653506215987,-8.31755249020897,-7.97551764572895,0.000289737544953823,0.00024419279769063,0.000343776904046535
33.5,-8.08615254545868,-8.25527819126223,-7.91702697053186,0.000307771619409323,0.000259883217513561,0.000364484339952469
34,-8.02576976023042,-8.19303359381405,-7.85850605906298,0.000326928272843361,0.000276573598384857,0.00038645077496767
34.5,-7.96538707309947,-8.13081995434497,-7.79995414053847,0.000347277261316776,0.000294326767325401,0.000409753769636154
35,-7.90500454155603,-8.06863879695526,-7.74137039241578,0.000368892773985863,0.00031320933252573,0.000434475764632225
35.5,-7.84462178008707,-8.00649023408183,-7.68275341541102,0.000391853787004948,0.000333292447030544,0.000460704639554024
