,Age_Group,,,,,
Death_Date,18-24,25-49,50-64,65-74,75+,Total
22MAR2020,0,0,0,1,0,1
24MAR2020,0,0,0,0,1,1
25MAR2020,0,1,0,0,0,1
26MAR2020,0,0,0,1,0,1
27MAR2020,0,0,0,0,1,1
28MAR2020,0,0,0,0,1,1
29MAR2020,0,0,1,0,3,4
30MAR2020,0,0,0,1,1,2
31MAR2020,0,1,0,1,1,3
01APR2020,0,0,1,1,7,9
02APR2020,0,0,1,0,2,3
03APR2020,0,0,0,3,8,11
04APR2020,0,0,1,3,8,12
05APR2020,0,1,2,1,5,9
06APR2020,0,0,0,1,2,3
07APR2020,0,1,1,4,3,9
08APR2020,0,1,2,2,4,9
09APR2020,0,0,3,1,6,10
10APR2020,0,1,0,2,4,7
11APR2020,0,0,1,1,6,8
12APR2020,0,1,2,7,9,19
13APR2020,0,1,1,5,10,17
14APR2020,0,0,1,2,12,15
15APR2020,0,0,0,5,18,23
16APR2020,0,0,6,3,17,26
17APR2020,0,0,0,6,8,14
18APR2020,0,0,3,4,12,19
19APR2020,0,1,2,3,9,15
20APR2020,0,1,3,2,12,18
21APR2020,0,1,2,4,12,19
22APR2020,0,0,1,2,10,13
23APR2020,0,0,1,4,12,17
24APR2020,0,1,1,2,11,15
25APR2020,0,0,2,6,13,21
26APR2020,0,1,2,1,20,24
27APR2020,0,0,2,3,10,15
28APR2020,0,1,2,3,9,15
29APR2020,0,0,0,5,14,19
30APR2020,0,1,1,1,11,14
01MAY2020,0,1,1,8,7,17
02MAY2020,0,1,5,1,6,13
03MAY2020,0,0,2,6,11,19
04MAY2020,1,0,2,1,13,17
05MAY2020,0,0,5,4,16,25
06MAY2020,0,0,2,4,6,12
07MAY2020,0,1,5,2,11,19
08MAY2020,0,0,1,5,13,19
09MAY2020,0,0,1,4,6,11
10MAY2020,0,2,5,5,13,25
11MAY2020,0,1,0,5,8,14
12MAY2020,0,0,5,3,9,17
13MAY2020,0,1,0,5,9,15
14MAY2020,0,1,1,1,9,12
15MAY2020,0,1,2,2,3,8
Total,1,24,82,147,432,686
