"date","age","daily.deaths","cum.deaths","code"
2020-02-23,"0-19",NA,0,"WA"
2020-02-23,"20-34",NA,0,"WA"
2020-02-23,"35-49",NA,1,"WA"
2020-02-23,"50-64",NA,3,"WA"
2020-02-23,"65-79",NA,4,"WA"
2020-02-23,"80+",NA,3,"WA"
2020-02-24,"0-19",0,0,"WA"
2020-02-25,"0-19",0,0,"WA"
2020-02-26,"0-19",0,0,"WA"
2020-02-27,"0-19",0,0,"WA"
2020-02-28,"0-19",0,0,"WA"
2020-02-29,"0-19",0,0,"WA"
2020-02-24,"20-34",0,0,"WA"
2020-02-25,"20-34",0,0,"WA"
2020-02-26,"20-34",0,0,"WA"
2020-02-27,"20-34",0,0,"WA"
2020-02-28,"20-34",0,0,"WA"
2020-02-29,"20-34",0,0,"WA"
2020-02-24,"35-49",0,1,"WA"
2020-02-25,"35-49",0,1,"WA"
2020-02-26,"35-49",0,1,"WA"
2020-02-27,"35-49",0,1,"WA"
2020-02-28,"35-49",0,1,"WA"
2020-02-29,"35-49",0,1,"WA"
2020-02-24,"50-64",0,3,"WA"
2020-02-25,"50-64",0,3,"WA"
2020-02-26,"50-64",0,3,"WA"
2020-02-27,"50-64",0,3,"WA"
2020-02-28,"50-64",0,3,"WA"
2020-02-29,"50-64",0,3,"WA"
2020-02-24,"65-79",2,6,"WA"
2020-02-25,"65-79",2,8,"WA"
2020-02-26,"65-79",2,10,"WA"
2020-02-27,"65-79",2,12,"WA"
2020-02-28,"65-79",2,14,"WA"
2020-02-29,"65-79",2,16,"WA"
2020-02-24,"80+",4,7,"WA"
2020-02-25,"80+",4,11,"WA"
2020-02-26,"80+",4,15,"WA"
2020-02-27,"80+",4,19,"WA"
2020-02-28,"80+",4,23,"WA"
2020-02-29,"80+",4,27,"WA"
2020-03-01,"0-19",0,0,"WA"
2020-03-01,"20-34",0,0,"WA"
2020-03-01,"35-49",1,2,"WA"
2020-03-01,"50-64",5,8,"WA"
2020-03-01,"65-79",3,19,"WA"
2020-03-01,"80+",5,32,"WA"
2020-03-02,"0-19",0,0,"WA"
2020-03-03,"0-19",0,0,"WA"
2020-03-04,"0-19",0,0,"WA"
2020-03-05,"0-19",0,0,"WA"
2020-03-06,"0-19",0,0,"WA"
2020-03-07,"0-19",0,0,"WA"
2020-03-02,"20-34",0,0,"WA"
2020-03-03,"20-34",0,0,"WA"
2020-03-04,"20-34",0,0,"WA"
2020-03-05,"20-34",0,0,"WA"
2020-03-06,"20-34",0,0,"WA"
2020-03-07,"20-34",0,0,"WA"
2020-03-02,"35-49",0,2,"WA"
2020-03-03,"35-49",0,2,"WA"
2020-03-04,"35-49",0,2,"WA"
2020-03-05,"35-49",0,2,"WA"
2020-03-06,"35-49",0,2,"WA"
