"date","code","age","cum.deaths","daily.deaths"
2020-04-25,"TN","20-29",2,0
2020-04-25,"TN","30-39",1,0
2020-04-25,"TN","40-49",10,0
2020-04-25,"TN","50-59",15,0
2020-04-25,"TN","60-69",42,2
2020-04-25,"TN","70-79",49,4
2020-04-25,"TN","80+",57,3
2020-04-26,"TN","0-9",1,0
2020-04-26,"TN","10-19",0,0
2020-04-26,"TN","20-29",2,0
2020-04-26,"TN","30-39",2,1
2020-04-26,"TN","40-49",10,0
2020-04-26,"TN","50-59",15,0
2020-04-26,"TN","60-69",42,0
2020-04-26,"TN","70-79",49,0
2020-04-26,"TN","80+",59,2
2020-04-27,"TN","0-9",1,0
2020-04-27,"TN","10-19",0,0
2020-04-27,"TN","20-29",2,0
2020-04-27,"TN","30-39",2,0
2020-04-27,"TN","40-49",10,0
2020-04-27,"TN","50-59",15,0
2020-04-27,"TN","60-69",42,0
2020-04-27,"TN","70-79",49,0
2020-04-27,"TN","80+",62,3
2020-04-28,"TN","0-9",1,0
2020-04-28,"TN","10-19",0,0
2020-04-28,"TN","20-29",2,0
2020-04-28,"TN","30-39",2,0
2020-04-28,"TN","40-49",10,0
2020-04-28,"TN","50-59",15,0
2020-04-28,"TN","60-69",44,2
2020-04-28,"TN","70-79",49,0
2020-04-28,"TN","80+",64,2
2020-04-29,"TN","0-9",1,0
2020-04-29,"TN","10-19",0,0
2020-04-29,"TN","20-29",2,0
2020-04-29,"TN","30-39",2,0
2020-04-29,"TN","40-49",10,0
2020-04-29,"TN","50-59",15,0
2020-04-29,"TN","60-69",45,1
2020-04-29,"TN","70-79",51,2
2020-04-29,"TN","80+",67,3
2020-04-30,"TN","0-9",1,0
2020-04-30,"TN","10-19",0,0
2020-04-30,"TN","20-29",2,0
2020-04-30,"TN","30-39",3,1
2020-04-30,"TN","40-49",10,0
2020-04-30,"TN","50-59",15,0
2020-04-30,"TN","60-69",46,1
2020-04-30,"TN","70-79",51,0
2020-04-30,"TN","80+",70,3
2020-05-01,"TN","0-9",1,0
2020-05-01,"TN","10-19",1,1
2020-05-01,"TN","20-29",2,0
2020-05-01,"TN","30-39",3,0
2020-05-01,"TN","40-49",10,0
2020-05-01,"TN","50-59",16,1
2020-05-01,"TN","60-69",46,0
2020-05-01,"TN","70-79",51,0
2020-05-01,"TN","80+",72,2
2020-05-02,"TN","0-9",1,0
2020-05-02,"TN","10-19",1,0
2020-05-02,"TN","20-29",2,0
2020-05-02,"TN","30-39",3,0
2020-05-02,"TN","40-49",10,0
2020-05-02,"TN","50-59",16,0
2020-05-02,"TN","60-69",47,1
2020-05-02,"TN","70-79",52,1
2020-05-02,"TN","80+",74,2
2020-05-03,"TN","0-9",1,0
2020-05-03,"TN","10-19",1,0
2020-05-03,"TN","20-29",2,0
2020-05-03,"TN","30-39",3,0
2020-05-03,"TN","40-49",10,0
2020-05-03,"TN","50-59",16,0
2020-05-03,"TN","60-69",47,0
2020-05-03,"TN","70-79",53,1
2020-05-03,"TN","80+",75,1
2020-05-04,"TN","0-9",1,0
2020-05-04,"TN","10-19",1,0
2020-05-04,"TN","20-29",2,0
2020-05-04,"TN","30-39",3,0
2020-05-04,"TN","40-49",10,0
2020-05-04,"TN","50-59",17,1
2020-05-04,"TN","60-69",50,3
2020-05-04,"TN","70-79",57,4
2020-05-04,"TN","80+",76,1
2020-05-05,"TN","0-9",1,0
2020-05-05,"TN","10-19",1,0
2020-05-05,"TN","20-29",2,0
2020-05-05,"TN","30-39",3,0
2020-05-05,"TN","40-49",10,0
2020-05-05,"TN","50-59",17,0
2020-05-05,"TN","60-69",51,1
