"","Date","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90+ years"
"1",2020-03-15,0,0,0,0,0,0,0,0,0,0
"74",2020-03-16,0,0,0,0,0,0,0,0,0,0
"147",2020-03-17,0,0,0,0,0,0,0,0,0,0
"585",2020-06-15,0,0,6,8,22,56,116,185,169,132
"1011",2020-06-16,0,0,6,8,22,57,117,188,170,135
"2958",2020-06-22,0,0,7,8,22,58,125,197,184,144
"3699",2020-06-21,0,0,7,8,22,58,125,196,184,144
"5528",2020-06-20,0,0,7,8,22,58,125,196,184,144
"6177",2020-06-02,0,0,6,8,17,50,95,157,153,121
"8698",2020-06-03,0,0,6,8,18,50,96,159,157,122
"10568",2020-06-04,0,0,6,8,18,51,99,162,157,125
"13017",2020-04-25,0,0,2,4,10,22,46,81,60,41
"13976",2020-04-26,0,0,2,4,9,23,46,83,63,42
"16808",2020-04-27,0,0,2,4,9,24,47,87,66,42
"16926",2020-04-28,0,0,2,4,9,26,48,93,73,45
"18401",2020-04-29,0,0,3,4,9,26,48,96,77,45
"20752",2020-04-30,0,0,3,4,9,26,49,100,77,48
"21351",2020-05-01,0,0,3,4,9,30,52,101,80,48
"22826",2020-05-02,0,0,3,4,10,30,51,101,82,53
"24560",2020-05-03,0,0,3,4,10,30,52,101,82,57
"25776",2020-05-04,0,0,3,4,10,30,53,101,82,57
"28504",2020-05-05,0,0,4,4,11,32,55,103,85,59
"28726",2020-05-06,0,0,4,4,11,32,56,106,87,62
"30201",2020-05-07,0,0,4,5,11,33,57,110,91,63
"33611",2020-05-16,0,0,4,5,11,39,72,128,109,85
"34554",2020-05-17,0,0,4,5,11,39,72,128,109,85
"37419",2020-05-18,0,0,4,5,11,39,75,129,111,85
"37504",2020-05-19,0,0,4,5,12,40,77,129,114,86
"38979",2020-05-20,0,0,4,5,13,44,81,133,115,86
"41363",2020-05-21,0,0,4,5,13,44,80,135,116,90
"41929",2020-05-22,0,0,4,5,13,44,80,135,121,94
"43404",2020-05-23,0,0,4,7,14,44,83,137,124,94
"45171",2020-05-24,0,0,4,7,14,44,83,137,126,95
"46354",2020-05-25,0,0,4,7,15,44,83,137,128,96
"49115",2020-05-26,0,0,4,7,15,44,84,137,130,96
"49304",2020-05-27,0,0,5,7,16,46,86,141,138,100
"50779",2020-05-28,0,0,5,8,16,47,88,142,140,104
"53103",2020-05-08,0,0,4,5,11,33,58,111,96,66
"53942",2020-05-09,0,0,4,5,11,33,61,117,96,71
"55417",2020-05-10,0,0,4,5,11,34,61,117,97,71
"57047",2020-05-11,0,0,4,5,11,34,61,119,100,75
