"date","state","code","age","cum.deaths","daily.deaths"
2020-05-02,"Massachusetts","MA","55-64",184,NA
2020-05-02,"Massachusetts","MA","65-74",383,NA
2020-05-02,"Massachusetts","MA","75-84",783,NA
2020-05-02,"Massachusetts","MA","85+",1334,NA
2020-05-02,"Michigan","MI","0-1",0,NA
2020-05-02,"Michigan","MI","1-4",0,NA
2020-05-02,"Michigan","MI","15-24",0,NA
2020-05-02,"Michigan","MI","25-34",0,NA
2020-05-02,"Michigan","MI","35-44",0,NA
2020-05-02,"Michigan","MI","45-54",147,NA
2020-05-02,"Michigan","MI","5-14",0,NA
2020-05-02,"Michigan","MI","55-64",262,NA
2020-05-02,"Michigan","MI","65-74",535,NA
2020-05-02,"Michigan","MI","75-84",607,NA
2020-05-02,"Michigan","MI","85+",631,NA
2020-05-02,"New Jersey","NJ","0-1",0,NA
2020-05-02,"New Jersey","NJ","1-4",0,NA
2020-05-02,"New Jersey","NJ","15-24",0,NA
2020-05-02,"New Jersey","NJ","25-34",45,NA
2020-05-02,"New Jersey","NJ","35-44",100,NA
2020-05-02,"New Jersey","NJ","45-54",286,NA
2020-05-02,"New Jersey","NJ","5-14",0,NA
2020-05-02,"New Jersey","NJ","55-64",722,NA
2020-05-02,"New Jersey","NJ","65-74",1064,NA
2020-05-02,"New Jersey","NJ","75-84",1619,NA
2020-05-02,"New Jersey","NJ","85+",2153,NA
2020-05-02,"New York","NY","0-1",0,NA
2020-05-02,"New York","NY","1-4",0,NA
2020-05-02,"New York","NY","15-24",0,NA
2020-05-02,"New York","NY","25-34",0,NA
2020-05-02,"New York","NY","35-44",80,NA
2020-05-02,"New York","NY","45-54",227,NA
2020-05-02,"New York","NY","5-14",0,NA
2020-05-02,"New York","NY","55-64",618,NA
2020-05-02,"New York","NY","65-74",1049,NA
2020-05-02,"New York","NY","75-84",1457,NA
2020-05-02,"New York","NY","85+",1977,NA
2020-05-02,"Ohio","OH","0-1",0,NA
2020-05-02,"Ohio","OH","1-4",0,NA
2020-05-02,"Ohio","OH","15-24",0,NA
2020-05-02,"Ohio","OH","25-34",0,NA
2020-05-02,"Ohio","OH","35-44",0,NA
2020-05-02,"Ohio","OH","45-54",0,NA
2020-05-02,"Ohio","OH","5-14",0,NA
2020-05-02,"Ohio","OH","55-64",37,NA
2020-05-02,"Ohio","OH","65-74",74,NA
2020-05-02,"Ohio","OH","75-84",115,NA
2020-05-02,"Ohio","OH","85+",126,NA
2020-05-02,"Pennsylvania","PA","0-1",0,NA
2020-05-02,"Pennsylvania","PA","1-4",0,NA
2020-05-02,"Pennsylvania","PA","15-24",0,NA
2020-05-02,"Pennsylvania","PA","25-34",0,NA
2020-05-02,"Pennsylvania","PA","35-44",0,NA
2020-05-02,"Pennsylvania","PA","45-54",56,NA
2020-05-02,"Pennsylvania","PA","5-14",0,NA
2020-05-02,"Pennsylvania","PA","55-64",179,NA
2020-05-02,"Pennsylvania","PA","65-74",363,NA
2020-05-02,"Pennsylvania","PA","75-84",538,NA
2020-05-02,"Pennsylvania","PA","85+",750,NA
2020-05-02,"Texas","TX","0-1",0,NA
2020-05-02,"Texas","TX","1-4",0,NA
2020-05-02,"Texas","TX","15-24",0,NA
2020-05-02,"Texas","TX","25-34",0,NA
2020-05-02,"Texas","TX","35-44",0,NA
2020-05-02,"Texas","TX","45-54",39,NA
2020-05-02,"Texas","TX","5-14",0,NA
2020-05-02,"Texas","TX","55-64",78,NA
2020-05-02,"Texas","TX","65-74",134,NA
2020-05-02,"Texas","TX","75-84",134,NA
2020-05-02,"Texas","TX","85+",143,NA
2020-05-02,"Washington","WA","0-1",0,NA
2020-05-02,"Washington","WA","1-4",0,NA
2020-05-02,"Washington","WA","15-24",0,NA
2020-05-02,"Washington","WA","25-34",0,NA
2020-05-02,"Washington","WA","35-44",0,NA
2020-05-02,"Washington","WA","45-54",0,NA
2020-05-02,"Washington","WA","5-14",0,NA
2020-05-02,"Washington","WA","55-64",52,NA
2020-05-02,"Washington","WA","65-74",112,NA
2020-05-02,"Washington","WA","75-84",175,NA
2020-05-02,"Washington","WA","85+",235,NA
2020-05-09,"California","CA","0-1",0,NA
2020-05-09,"California","CA","1-4",0,NA
2020-05-09,"California","CA","15-24",0,NA
2020-05-09,"California","CA","25-34",0,NA
2020-05-09,"California","CA","35-44",51,NA
2020-05-09,"California","CA","45-54",119,NA
2020-05-09,"California","CA","5-14",0,NA
2020-05-09,"California","CA","55-64",194,NA
2020-05-09,"California","CA","65-74",350,NA
2020-05-09,"California","CA","75-84",468,NA
2020-05-09,"California","CA","85+",572,NA
2020-05-09,"Colorado","CO","0-1",0,NA
2020-05-09,"Colorado","CO","1-4",0,NA
2020-05-09,"Colorado","CO","15-24",0,NA
2020-05-09,"Colorado","CO","25-34",0,NA
2020-05-09,"Colorado","CO","35-44",0,NA
2020-05-09,"Colorado","CO","45-54",0,NA
2020-05-09,"Colorado","CO","5-14",0,NA
2020-05-09,"Colorado","CO","55-64",58,NA
2020-05-09,"Colorado","CO","65-74",164,NA
2020-05-09,"Colorado","CO","75-84",224,NA
2020-05-09,"Colorado","CO","85+",320,NA
2020-05-09,"Connecticut","CT","0-1",0,NA
2020-05-09,"Connecticut","CT","1-4",0,NA
2020-05-09,"Connecticut","CT","15-24",0,NA
2020-05-09,"Connecticut","CT","25-34",0,NA
2020-05-09,"Connecticut","CT","35-44",0,NA
2020-05-09,"Connecticut","CT","45-54",11,NA
2020-05-09,"Connecticut","CT","5-14",0,NA
2020-05-09,"Connecticut","CT","55-64",39,NA
2020-05-09,"Connecticut","CT","65-74",89,NA
2020-05-09,"Connecticut","CT","75-84",126,NA
2020-05-09,"Connecticut","CT","85+",184,NA
2020-05-09,"Florida","FL","0-1",0,NA
2020-05-09,"Florida","FL","1-4",0,NA
2020-05-09,"Florida","FL","15-24",0,NA
2020-05-09,"Florida","FL","25-34",0,NA
2020-05-09,"Florida","FL","35-44",0,NA
2020-05-09,"Florida","FL","45-54",53,NA
2020-05-09,"Florida","FL","5-14",0,NA
2020-05-09,"Florida","FL","55-64",138,NA
2020-05-09,"Florida","FL","65-74",296,NA
2020-05-09,"Florida","FL","75-84",391,NA
2020-05-09,"Florida","FL","85+",378,NA
2020-05-09,"Georgia","GA","0-1",0,NA
2020-05-09,"Georgia","GA","1-4",0,NA
2020-05-09,"Georgia","GA","15-24",0,NA
2020-05-09,"Georgia","GA","25-34",0,NA
2020-05-09,"Georgia","GA","35-44",0,NA
2020-05-09,"Georgia","GA","45-54",49,NA
2020-05-09,"Georgia","GA","5-14",0,NA
2020-05-09,"Georgia","GA","55-64",122,NA
2020-05-09,"Georgia","GA","65-74",195,NA
2020-05-09,"Georgia","GA","75-84",222,NA
2020-05-09,"Georgia","GA","85+",173,NA
2020-05-09,"Illinois","IL","0-1",0,NA
2020-05-09,"Illinois","IL","1-4",0,NA
2020-05-09,"Illinois","IL","15-24",0,NA
