Data as of,Start Date,End Date,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
01/21/2021,01/01/2020,01/16/2021,United States,All Sexes,All Ages,347131,3329907,331354,161474,8726,524629,
01/21/2021,01/01/2020,01/16/2021,United States,All Sexes,Under 1 year,39,18436,193,6,21,247,
01/21/2021,01/01/2020,01/16/2021,United States,All Sexes,0-17 years,165,32453,536,29,175,847,
01/21/2021,01/01/2020,01/16/2021,United States,All Sexes,1-4 years,21,3388,120,3,59,197,
01/21/2021,01/01/2020,01/16/2021,United States,All Sexes,5-14 years,58,5440,153,11,74,274,
01/21/2021,01/01/2020,01/16/2021,United States,All Sexes,15-24 years,525,34922,710,188,80,1123,
01/21/2021,01/01/2020,01/16/2021,United States,All Sexes,18-29 years,1275,61648,1635,532,146,2514,
01/21/2021,01/01/2020,01/16/2021,United States,All Sexes,25-34 years,2278,71710,2577,1012,232,4058,
01/21/2021,01/01/2020,01/16/2021,United States,All Sexes,30-49 years,13770,216539,13180,6377,801,21287,
01/21/2021,01/01/2020,01/16/2021,United States,All Sexes,35-44 years,5991,102128,5872,2718,353,9465,
01/21/2021,01/01/2020,01/16/2021,United States,All Sexes,45-54 years,16282,186691,15505,7950,761,24488,
01/21/2021,01/01/2020,01/16/2021,United States,All Sexes,50-64 years,50742,543690,51769,25566,2066,78712,
01/21/2021,01/01/2020,01/16/2021,United States,All Sexes,55-64 years,40758,431615,41990,20616,1608,63508,
01/21/2021,01/01/2020,01/16/2021,United States,All Sexes,65-74 years,73856,661771,74220,37521,1865,112151,
01/21/2021,01/01/2020,01/16/2021,United States,All Sexes,75-84 years,95848,809670,92804,46562,1887,143734,
01/21/2021,01/01/2020,01/16/2021,United States,All Sexes,85 years and over,111475,1004136,97210,44887,1786,165384,
01/21/2021,01/01/2020,01/16/2021,United States,Male,All Ages,188195,1739086,183416,92386,4498,283045,
01/21/2021,01/01/2020,01/16/2021,United States,Male,Under 1 year,27,10182,112,4,10,145,
01/21/2021,01/01/2020,01/16/2021,United States,Male,0-17 years,95,19073,291,15,96,467,
01/21/2021,01/01/2020,01/16/2021,United States,Male,1-4 years,12,1958,57,2,38,105,
01/21/2021,01/01/2020,01/16/2021,United States,Male,5-14 years,33,3247,82,8,36,143,
01/21/2021,01/01/2020,01/16/2021,United States,Male,15-24 years,318,25830,428,112,37,668,
01/21/2021,01/01/2020,01/16/2021,United States,Male,18-29 years,802,45169,982,312,74,1539,
01/21/2021,01/01/2020,01/16/2021,United States,Male,25-34 years,1454,50619,1560,626,114,2491,
01/21/2021,01/01/2020,01/16/2021,United States,Male,30-49 years,9215,141677,8157,4270,426,13467,
01/21/2021,01/01/2020,01/16/2021,United States,Male,35-44 years,4005,67019,3655,1831,184,5989,
01/21/2021,01/01/2020,01/16/2021,United States,Male,45-54 years,10926,117098,9580,5339,445,15536,
01/21/2021,01/01/2020,01/16/2021,United States,Male,50-64 years,32781,335666,31605,16448,1190,48924,
01/21/2021,01/01/2020,01/16/2021,United States,Male,55-64 years,26118,265632,25561,13123,922,39320,
01/21/2021,01/01/2020,01/16/2021,United States,Male,65-74 years,45259,384284,44768,23253,1038,67636,
01/21/2021,01/01/2020,01/16/2021,United States,Male,75-84 years,53624,422034,52798,27064,948,80170,
01/21/2021,01/01/2020,01/16/2021,United States,Male,85 years and over,46419,391183,44815,21024,726,70842,
01/21/2021,01/01/2020,01/16/2021,United States,Female,All Ages,158929,1590718,147932,69083,4228,241576,
01/21/2021,01/01/2020,01/16/2021,United States,Female,Under 1 year,12,8221,81,2,11,102,
01/21/2021,01/01/2020,01/16/2021,United States,Female,0-17 years,70,13346,245,14,79,380,
01/21/2021,01/01/2020,01/16/2021,United States,Female,1-4 years,9,1430,63,1,21,92,
01/21/2021,01/01/2020,01/16/2021,United States,Female,5-14 years,25,2193,71,3,38,131,
01/21/2021,01/01/2020,01/16/2021,United States,Female,15-24 years,207,9090,282,76,43,455,
01/21/2021,01/01/2020,01/16/2021,United States,Female,18-29 years,473,16476,653,220,72,975,
01/21/2021,01/01/2020,01/16/2021,United States,Female,25-34 years,824,21086,1017,386,118,1567,
01/21/2021,01/01/2020,01/16/2021,United States,Female,30-49 years,4555,74855,5023,2107,375,7820,
01/21/2021,01/01/2020,01/16/2021,United States,Female,35-44 years,1986,35106,2217,887,169,3476,
01/21/2021,01/01/2020,01/16/2021,United States,Female,45-54 years,5355,69589,5924,2610,316,8951,
01/21/2021,01/01/2020,01/16/2021,United States,Female,50-64 years,17960,208013,20163,9117,876,29787,
01/21/2021,01/01/2020,01/16/2021,United States,Female,55-64 years,14640,165975,16429,7493,686,24188,
01/21/2021,01/01/2020,01/16/2021,United States,Female,65-74 years,28596,277479,29451,14267,827,44514,
01/21/2021,01/01/2020,01/16/2021,United States,Female,75-84 years,42221,387624,40003,19496,939,63560,
01/21/2021,01/01/2020,01/16/2021,United States,Female,85 years and over,65054,612925,52394,23862,1060,94540,
01/21/2021,01/01/2020,01/16/2021,United States,Unknown,All Ages,7,103,6,5,0,8,
01/21/2021,01/01/2020,01/16/2021,United States,Unknown,Under 1 year,0,33,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,United States,Unknown,0-17 years,0,34,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,United States,Unknown,1-4 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,United States,Unknown,5-14 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,United States,Unknown,15-24 years,0,2,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,United States,Unknown,18-29 years,0,3,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,United States,Unknown,25-34 years,0,5,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,United States,Unknown,30-49 years,0,7,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,United States,Unknown,35-44 years,0,3,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,United States,Unknown,45-54 years,1,4,1,1,0,1,
01/21/2021,01/01/2020,01/16/2021,United States,Unknown,50-64 years,1,11,1,1,0,1,
01/21/2021,01/01/2020,01/16/2021,United States,Unknown,55-64 years,0,8,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,United States,Unknown,65-74 years,1,8,1,1,0,1,
01/21/2021,01/01/2020,01/16/2021,United States,Unknown,75-84 years,3,12,3,2,0,4,
01/21/2021,01/01/2020,01/16/2021,United States,Unknown,85 years and over,2,28,1,1,0,2,
01/21/2021,01/01/2020,01/16/2021,Alabama,All Sexes,All Ages,6195,62730,5069,2009,135,9381,
01/21/2021,01/01/2020,01/16/2021,Alabama,Male,All Ages,3276,32572,2739,1085,81,5006,
01/21/2021,01/01/2020,01/16/2021,Alabama,Male,Under 1 year,,205,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alabama,Male,0-17 years,,401,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alabama,Male,1-4 years,0,47,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alabama,Male,5-14 years,0,71,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alabama,Male,15-24 years,,527,,0,,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alabama,Male,18-29 years,18,856,12,,,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alabama,Male,25-34 years,28,915,32,12,,50,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alabama,Male,30-49 years,154,2787,152,52,,259,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alabama,Male,35-44 years,67,1318,70,25,,115,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alabama,Male,45-54 years,192,2369,146,55,,290,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alabama,Male,50-64 years,604,6942,493,181,28,943,
01/21/2021,01/01/2020,01/16/2021,Alabama,Male,55-64 years,485,5534,406,146,23,767,
01/21/2021,01/01/2020,01/16/2021,Alabama,Male,65-74 years,911,7913,763,309,25,1389,
01/21/2021,01/01/2020,01/16/2021,Alabama,Male,75-84 years,965,8038,797,326,10,1445,
01/21/2021,01/01/2020,01/16/2021,Alabama,Male,85 years and over,623,5635,519,212,,936,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alabama,Female,All Ages,2919,30158,2330,924,54,4375,
01/21/2021,01/01/2020,01/16/2021,Alabama,Female,Under 1 year,,152,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alabama,Female,0-17 years,,237,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alabama,Female,1-4 years,0,35,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alabama,Female,5-14 years,0,33,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alabama,Female,15-24 years,,178,,0,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alabama,Female,18-29 years,,301,14,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alabama,Female,25-34 years,15,401,21,,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alabama,Female,30-49 years,109,1627,90,31,,174,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alabama,Female,35-44 years,49,762,38,11,,79,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alabama,Female,45-54 years,152,1587,109,49,,219,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alabama,Female,50-64 years,444,4662,408,137,18,732,
01/21/2021,01/01/2020,01/16/2021,Alabama,Female,55-64 years,339,3679,335,101,12,584,
01/21/2021,01/01/2020,01/16/2021,Alabama,Female,65-74 years,637,5873,517,210,14,958,
01/21/2021,01/01/2020,01/16/2021,Alabama,Female,75-84 years,805,7882,671,288,10,1197,
01/21/2021,01/01/2020,01/16/2021,Alabama,Female,85 years and over,917,9576,625,255,,1290,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alabama,Unknown,All Ages,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alabama,Unknown,Under 1 year,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alabama,Unknown,0-17 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alabama,Unknown,1-4 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alabama,Unknown,5-14 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alabama,Unknown,15-24 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alabama,Unknown,18-29 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alabama,Unknown,25-34 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alabama,Unknown,30-49 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alabama,Unknown,35-44 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alabama,Unknown,45-54 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alabama,Unknown,50-64 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alabama,Unknown,55-64 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alabama,Unknown,65-74 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alabama,Unknown,75-84 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alabama,Unknown,85 years and over,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alaska,All Sexes,All Ages,193,4721,270,109,,363,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Male,All Ages,114,2717,150,60,,209,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Male,Under 1 year,0,26,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alaska,Male,0-17 years,0,63,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Male,1-4 years,0,,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Male,5-14 years,0,20,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alaska,Male,15-24 years,0,88,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Male,18-29 years,0,129,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Male,25-34 years,0,124,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Male,30-49 years,,314,18,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Male,35-44 years,,161,11,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Male,45-54 years,,218,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Male,50-64 years,15,627,25,,,35,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Male,55-64 years,12,492,22,,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Male,65-74 years,31,608,31,16,0,46,
01/21/2021,01/01/2020,01/16/2021,Alaska,Male,75-84 years,37,602,43,20,,61,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Male,85 years and over,22,374,32,13,,43,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Female,All Ages,79,2004,120,49,,154,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Female,Under 1 year,0,13,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alaska,Female,0-17 years,0,30,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Female,1-4 years,0,,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Female,15-24 years,,36,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Female,18-29 years,,60,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Female,25-34 years,,79,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Female,30-49 years,,211,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Female,35-44 years,,95,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Female,45-54 years,,138,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Female,50-64 years,15,362,24,,0,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Female,55-64 years,14,293,20,,0,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Female,65-74 years,12,406,23,,,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Female,75-84 years,17,416,22,11,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Alaska,Female,85 years and over,27,519,37,16,0,48,
