"date","code","age","cum.deaths","daily.deaths"
2020-05-14,"SC","0-9",0,NA
2020-05-14,"SC","10-19",0,NA
2020-05-14,"SC","20-29",2,NA
2020-05-14,"SC","30-39",1,NA
2020-05-14,"SC","40-49",10,NA
2020-05-14,"SC","50-59",29,NA
2020-05-14,"SC","60-69",78,NA
2020-05-14,"SC","70-79",108,NA
2020-05-14,"SC","80+",127,NA
2020-05-15,"SC","0-9",0,0
2020-05-15,"SC","10-19",0,0
2020-05-15,"SC","20-29",2,0
2020-05-15,"SC","30-39",1,0
2020-05-15,"SC","40-49",12,2
2020-05-15,"SC","50-59",32,3
2020-05-15,"SC","60-69",84,6
2020-05-15,"SC","70-79",114,6
2020-05-15,"SC","80+",135,8
2020-05-16,"SC","0-9",0,0
2020-05-16,"SC","10-19",0,0
2020-05-16,"SC","20-29",2,0
2020-05-16,"SC","30-39",1,0
2020-05-16,"SC","40-49",12,0
2020-05-16,"SC","50-59",32,0
2020-05-16,"SC","60-69",84,0
2020-05-16,"SC","70-79",114,0
2020-05-16,"SC","80+",135,0
2020-05-17,"SC","0-9",0,0
2020-05-17,"SC","10-19",0,0
2020-05-17,"SC","20-29",2,0
2020-05-17,"SC","30-39",1,0
2020-05-17,"SC","40-49",12,0
2020-05-17,"SC","50-59",32,0
2020-05-17,"SC","60-69",84,0
2020-05-17,"SC","70-79",114,0
2020-05-17,"SC","80+",135,0
2020-05-18,"SC","0-9",0,0
2020-05-18,"SC","10-19",0,0
2020-05-18,"SC","20-29",2,0
2020-05-18,"SC","30-39",1,0
2020-05-18,"SC","40-49",12,0
2020-05-18,"SC","50-59",32,0
2020-05-18,"SC","60-69",84,0
2020-05-18,"SC","70-79",114,0
2020-05-18,"SC","80+",135,0
2020-05-19,"SC","0-9",0,0
2020-05-19,"SC","10-19",0,0
2020-05-19,"SC","20-29",2,0
2020-05-19,"SC","30-39",1,0
2020-05-19,"SC","40-49",12,0
2020-05-19,"SC","50-59",32,0
2020-05-19,"SC","60-69",84,0
2020-05-19,"SC","70-79",114,0
2020-05-19,"SC","80+",135,0
2020-05-20,"SC","0-9",0,0
2020-05-20,"SC","10-19",0,0
2020-05-20,"SC","20-29",2,0
2020-05-20,"SC","30-39",2,1
2020-05-20,"SC","40-49",12,0
2020-05-20,"SC","50-59",35,3
2020-05-20,"SC","60-69",88,4
2020-05-20,"SC","70-79",121,7
2020-05-20,"SC","80+",140,5
2020-05-21,"SC","0-9",0,0
2020-05-21,"SC","10-19",0,0
2020-05-21,"SC","20-29",2,0
2020-05-21,"SC","30-39",2,0
2020-05-21,"SC","40-49",12,0
2020-05-21,"SC","50-59",35,0
2020-05-21,"SC","60-69",90,2
2020-05-21,"SC","70-79",126,5
2020-05-21,"SC","80+",143,3
2020-05-22,"SC","0-9",0,0
2020-05-22,"SC","10-19",0,0
2020-05-22,"SC","20-29",2,0
2020-05-22,"SC","30-39",2,0
2020-05-22,"SC","40-49",12,0
2020-05-22,"SC","50-59",35,0
2020-05-22,"SC","60-69",92,2
2020-05-22,"SC","70-79",131,5
2020-05-22,"SC","80+",146,3
2020-05-23,"SC","0-9",0,0
2020-05-23,"SC","10-19",0,0
2020-05-23,"SC","20-29",2,0
2020-05-23,"SC","30-39",2,0
2020-05-23,"SC","40-49",12,0
2020-05-23,"SC","50-59",35,0
2020-05-23,"SC","60-69",94,2
2020-05-23,"SC","70-79",135,4
2020-05-23,"SC","80+",149,3
2020-05-24,"SC","0-9",0,0
2020-05-24,"SC","10-19",0,0
2020-05-24,"SC","20-29",2,0
2020-05-24,"SC","30-39",2,0
2020-05-24,"SC","40-49",12,0
2020-05-24,"SC","50-59",35,0
2020-05-24,"SC","60-69",96,2
2020-05-24,"SC","70-79",139,4
2020-05-24,"SC","80+",152,3
2020-05-25,"SC","0-9",0,0
2020-05-25,"SC","10-19",0,0
2020-05-25,"SC","20-29",2,0
2020-05-25,"SC","30-39",2,0
2020-05-25,"SC","40-49",12,0
2020-05-25,"SC","50-59",35,0
2020-05-25,"SC","60-69",98,2
2020-05-25,"SC","70-79",143,4
2020-05-25,"SC","80+",155,3
2020-05-26,"SC","0-9",0,0
2020-05-26,"SC","10-19",0,0
2020-05-26,"SC","20-29",2,0
2020-05-26,"SC","30-39",2,0
2020-05-26,"SC","40-49",12,0
2020-05-26,"SC","50-59",35,0
2020-05-26,"SC","60-69",100,2
2020-05-26,"SC","70-79",147,4
2020-05-26,"SC","80+",158,3
2020-05-27,"SC","0-9",0,0
2020-05-27,"SC","10-19",0,0
2020-05-27,"SC","20-29",2,0
2020-05-27,"SC","30-39",2,0
2020-05-27,"SC","40-49",12,0
2020-05-27,"SC","50-59",37,2
2020-05-27,"SC","60-69",101,1
2020-05-27,"SC","70-79",149,2
2020-05-27,"SC","80+",162,4
2020-05-28,"SC","0-9",0,0
2020-05-28,"SC","10-19",0,0
2020-05-28,"SC","20-29",2,0
2020-05-28,"SC","30-39",2,0
2020-05-28,"SC","40-49",12,0
2020-05-28,"SC","50-59",39,2
2020-05-28,"SC","60-69",102,1
2020-05-28,"SC","70-79",151,2
2020-05-28,"SC","80+",166,4
2020-05-29,"SC","0-9",0,0
2020-05-29,"SC","10-19",0,0
2020-05-29,"SC","20-29",2,0
2020-05-29,"SC","30-39",2,0
2020-05-29,"SC","40-49",12,0
2020-05-29,"SC","50-59",41,2
2020-05-29,"SC","60-69",103,1
2020-05-29,"SC","70-79",153,2
2020-05-29,"SC","80+",170,4
2020-05-30,"SC","0-9",0,0
2020-05-30,"SC","10-19",0,0
2020-05-30,"SC","20-29",2,0
2020-05-30,"SC","30-39",2,0
2020-05-30,"SC","40-49",12,0
2020-05-30,"SC","50-59",41,0
2020-05-30,"SC","60-69",103,0
2020-05-30,"SC","70-79",154,1
2020-05-30,"SC","80+",172,2
2020-05-31,"SC","0-9",0,0
2020-05-31,"SC","10-19",0,0
2020-05-31,"SC","20-29",2,0
2020-05-31,"SC","30-39",2,0
2020-05-31,"SC","40-49",12,0
2020-05-31,"SC","50-59",41,0
2020-05-31,"SC","60-69",103,0
2020-05-31,"SC","70-79",155,1
2020-05-31,"SC","80+",174,2
2020-06-01,"SC","0-9",0,0
2020-06-01,"SC","10-19",0,0
2020-06-01,"SC","20-29",2,0
2020-06-01,"SC","30-39",2,0
2020-06-01,"SC","40-49",12,0
2020-06-01,"SC","50-59",41,0
2020-06-01,"SC","60-69",103,0
2020-06-01,"SC","70-79",156,1
2020-06-01,"SC","80+",176,2
2020-06-02,"SC","0-9",0,0
2020-06-02,"SC","10-19",0,0
2020-06-02,"SC","20-29",2,0
2020-06-02,"SC","30-39",2,0
2020-06-02,"SC","40-49",12,0
2020-06-02,"SC","50-59",41,0
2020-06-02,"SC","60-69",103,0
2020-06-02,"SC","70-79",157,1
2020-06-02,"SC","80+",178,2
2020-06-03,"SC","0-9",0,0
2020-06-03,"SC","10-19",0,0
2020-06-03,"SC","20-29",2,0
2020-06-03,"SC","30-39",2,0
2020-06-03,"SC","40-49",12,0
2020-06-03,"SC","50-59",43,2
2020-06-03,"SC","60-69",105,2
2020-06-03,"SC","70-79",161,4
2020-06-03,"SC","80+",184,6
2020-06-04,"SC","0-9",0,0
2020-06-04,"SC","10-19",0,0
2020-06-04,"SC","20-29",2,0
2020-06-04,"SC","30-39",2,0
2020-06-04,"SC","40-49",12,0
2020-06-04,"SC","50-59",45,2
2020-06-04,"SC","60-69",107,2
2020-06-04,"SC","70-79",165,4
2020-06-04,"SC","80+",190,6
2020-06-05,"SC","0-9",0,0
2020-06-05,"SC","10-19",0,0
2020-06-05,"SC","20-29",2,0
2020-06-05,"SC","30-39",2,0
2020-06-05,"SC","40-49",12,0
2020-06-05,"SC","50-59",47,2
2020-06-05,"SC","60-69",109,2
2020-06-05,"SC","70-79",169,4
2020-06-05,"SC","80+",196,6
2020-06-06,"SC","0-9",0,0
2020-06-06,"SC","10-19",0,0
2020-06-06,"SC","20-29",2,0
2020-06-06,"SC","30-39",2,0
2020-06-06,"SC","40-49",13,1
2020-06-06,"SC","50-59",47,0
2020-06-06,"SC","60-69",111,2
2020-06-06,"SC","70-79",171,2
2020-06-06,"SC","80+",198,2
2020-06-07,"SC","0-9",0,0
2020-06-07,"SC","10-19",0,0
2020-06-07,"SC","20-29",2,0
2020-06-07,"SC","30-39",2,0
2020-06-07,"SC","40-49",14,1
2020-06-07,"SC","50-59",47,0
2020-06-07,"SC","60-69",113,2
2020-06-07,"SC","70-79",173,2
2020-06-07,"SC","80+",200,2
2020-06-08,"SC","0-9",0,0
2020-06-08,"SC","10-19",0,0
2020-06-08,"SC","20-29",2,0
2020-06-08,"SC","30-39",2,0
2020-06-08,"SC","40-49",15,1
2020-06-08,"SC","50-59",47,0
2020-06-08,"SC","60-69",115,2
2020-06-08,"SC","70-79",175,2
2020-06-08,"SC","80+",202,2
2020-06-09,"SC","0-9",0,0
2020-06-09,"SC","10-19",0,0
2020-06-09,"SC","20-29",2,0
2020-06-09,"SC","30-39",2,0
2020-06-09,"SC","40-49",16,1
2020-06-09,"SC","50-59",47,0
2020-06-09,"SC","60-69",117,2
2020-06-09,"SC","70-79",177,2
2020-06-09,"SC","80+",204,2
2020-06-10,"SC","0-9",0,0
2020-06-10,"SC","10-19",0,0
2020-06-10,"SC","20-29",2,0
2020-06-10,"SC","30-39",2,0
2020-06-10,"SC","40-49",15,-1
2020-06-10,"SC","50-59",49,2
2020-06-10,"SC","60-69",118,1
2020-06-10,"SC","70-79",179,2
2020-06-10,"SC","80+",208,4
2020-06-11,"SC","0-9",0,0
2020-06-11,"SC","10-19",0,0
2020-06-11,"SC","20-29",2,0
2020-06-11,"SC","30-39",2,0
2020-06-11,"SC","40-49",14,0
2020-06-11,"SC","50-59",51,2
2020-06-11,"SC","60-69",119,1
2020-06-11,"SC","70-79",181,2
2020-06-11,"SC","80+",212,4
2020-06-12,"SC","0-9",0,0
2020-06-12,"SC","10-19",0,0
2020-06-12,"SC","20-29",2,0
2020-06-12,"SC","30-39",2,0
2020-06-12,"SC","40-49",14,0
2020-06-12,"SC","50-59",53,2
2020-06-12,"SC","60-69",120,1
2020-06-12,"SC","70-79",183,2
2020-06-12,"SC","80+",216,4
2020-06-13,"SC","0-9",0,0
2020-06-13,"SC","10-19",0,0
2020-06-13,"SC","20-29",2,0
2020-06-13,"SC","30-39",2,0
2020-06-13,"SC","40-49",14,0
2020-06-13,"SC","50-59",53,0
2020-06-13,"SC","60-69",122,2
2020-06-13,"SC","70-79",183,0
2020-06-13,"SC","80+",217,1
2020-06-14,"SC","0-9",0,0
2020-06-14,"SC","10-19",0,0
2020-06-14,"SC","20-29",2,0
2020-06-14,"SC","30-39",2,0
2020-06-14,"SC","40-49",14,0
2020-06-14,"SC","50-59",53,0
2020-06-14,"SC","60-69",124,2
2020-06-14,"SC","70-79",183,0
2020-06-14,"SC","80+",218,1
2020-06-15,"SC","0-9",0,0
2020-06-15,"SC","10-19",0,0
2020-06-15,"SC","20-29",2,0
2020-06-15,"SC","30-39",2,0
2020-06-15,"SC","40-49",14,0
2020-06-15,"SC","50-59",53,0
2020-06-15,"SC","60-69",126,2
2020-06-15,"SC","70-79",183,0
2020-06-15,"SC","80+",219,1
2020-06-16,"SC","0-9",0,0
2020-06-16,"SC","10-19",0,0
2020-06-16,"SC","20-29",2,0
2020-06-16,"SC","30-39",2,0
2020-06-16,"SC","40-49",14,0
2020-06-16,"SC","50-59",53,0
2020-06-16,"SC","60-69",128,2
2020-06-16,"SC","70-79",183,0
2020-06-16,"SC","80+",220,1
2020-06-17,"SC","0-9",0,0
2020-06-17,"SC","10-19",0,0
2020-06-17,"SC","20-29",3,1
2020-06-17,"SC","30-39",3,1
2020-06-17,"SC","40-49",16,2
2020-06-17,"SC","50-59",54,1
2020-06-17,"SC","60-69",130,2
2020-06-17,"SC","70-79",187,4
2020-06-17,"SC","80+",223,3
2020-06-18,"SC","0-9",0,0
2020-06-18,"SC","10-19",0,0
2020-06-18,"SC","20-29",4,1
2020-06-18,"SC","30-39",4,1
2020-06-18,"SC","40-49",18,2
2020-06-18,"SC","50-59",55,1
2020-06-18,"SC","60-69",132,2
2020-06-18,"SC","70-79",191,4
2020-06-18,"SC","80+",226,3
2020-06-19,"SC","0-9",0,0
2020-06-19,"SC","10-19",0,0
2020-06-19,"SC","20-29",5,1
2020-06-19,"SC","30-39",5,1
2020-06-19,"SC","40-49",20,2
2020-06-19,"SC","50-59",56,1
2020-06-19,"SC","60-69",134,2
2020-06-19,"SC","70-79",195,4
2020-06-19,"SC","80+",229,3
2020-06-20,"SC","0-9",0,0
2020-06-20,"SC","10-19",0,0
2020-06-20,"SC","20-29",5,0
2020-06-20,"SC","30-39",5,0
2020-06-20,"SC","40-49",20,0
2020-06-20,"SC","50-59",57,1
2020-06-20,"SC","60-69",136,2
2020-06-20,"SC","70-79",198,3
2020-06-20,"SC","80+",231,2
2020-06-21,"SC","0-9",0,0
2020-06-21,"SC","10-19",0,0
2020-06-21,"SC","20-29",5,0
2020-06-21,"SC","30-39",5,0
2020-06-21,"SC","40-49",20,0
2020-06-21,"SC","50-59",58,1
2020-06-21,"SC","60-69",138,2
2020-06-21,"SC","70-79",201,3
2020-06-21,"SC","80+",233,2
2020-06-22,"SC","0-9",0,0
