LATEST_STATUS_DATE,Age Ranges,As of Date,Case Status,DATA_AS_OF_DT,DATA_REFRESH_DT,Parameter Sort,Parameter Sort Target,CASES,DEATHS,Measure Toggle,RECOVERIES
30/04/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
01/05/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,1
03/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
03/05/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,1
04/05/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,1
05/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
06/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
07/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
07/05/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,0
08/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
08/05/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,1
09/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,5,0,0,0
09/05/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
10/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,1
10/05/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,2
11/05/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
12/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
13/05/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,1
14/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,3
14/05/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
15/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,4,0,0,0
16/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,0
16/05/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,1
17/05/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,2
18/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,4,0,0,1
18/05/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,2
19/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,4,0,0,1
19/05/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,0
20/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,7,0,0,2
20/05/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,0
21/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,2
21/05/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
22/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,0
22/05/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,4,0,0,0
23/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,1
23/05/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
24/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,4
24/05/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,2
25/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,5,0,0,3
26/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,3
26/05/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,0
27/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,5
28/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,1
28/05/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,2
29/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,4,0,0,1
29/05/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,5
30/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,11,0,0,0
31/05/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,3
01/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,6,0,0,4
02/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,3
02/06/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,2
03/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,3
03/06/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,2
04/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,4,0,0,2
04/06/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
05/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,7,0,0,4
05/06/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
06/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,15,0,0,2
06/06/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,2
07/06/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,1
08/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,4,0,0,9
08/06/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
09/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,5
09/06/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
10/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,9
10/06/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
11/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,6,0,0,3
12/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,3
13/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,5,0,0,3
14/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,1
14/06/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,2
15/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,3
15/06/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
16/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,9
16/06/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,1
17/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,4
18/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,2
18/06/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,1
19/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,12
19/06/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
20/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,1
21/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,1
21/06/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
22/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,1
22/06/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
23/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,4,0,0,5
23/06/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
24/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,5,0,0,0
25/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,4,0,0,3
25/06/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
26/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,2
26/06/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,2
27/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,4
27/06/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,4,0,0,2
28/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,4,0,0,2
29/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,9,0,0,4
29/06/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,1
30/06/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,7,0,0,2
30/06/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
01/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,6,0,0,1
01/07/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,1
02/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,7,0,0,5
03/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,5,0,0,1
04/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,4,0,0,3
04/07/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,0
05/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
06/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,3
07/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,7
08/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,7
08/07/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,2
09/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,2
09/07/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
10/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,6,0,0,6
10/07/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,1
11/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,3
11/07/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
12/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,4,0,0,5
12/07/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
13/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,9
14/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,4,0,0,6
15/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,4,0,0,2
16/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,3
17/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,2
18/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,2
19/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,3
20/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
20/07/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
21/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,5,0,0,3
22/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,5
23/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,2
24/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,2
24/07/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,1
25/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,5,0,0,0
26/07/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,0
27/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,3
28/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,2
29/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,1
30/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,4,0,0,0
31/07/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,4
31/07/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
01/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,2
01/08/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,2
02/08/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,0
03/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,7
03/08/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
04/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,3
04/08/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,2
05/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,4
06/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,4
06/08/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,0
07/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
07/08/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,3
08/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,4,0,0,1
09/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,1
10/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,1
11/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,4,0,0,1
11/08/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
12/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,0
12/08/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,1
13/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,5,0,0,1
13/08/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,6,0,0,0
14/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,6,0,0,2
15/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,4,0,0,3
15/08/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
16/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,4,0,0,1
16/08/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,2
17/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,5,0,0,2
17/08/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,0
18/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,4
18/08/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
19/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,1
19/08/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
20/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,2
20/08/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,3
21/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,3
21/08/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,3
22/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,6,0,0,4
22/08/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,4
23/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,5
23/08/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
24/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,4
24/08/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,1
25/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,4
25/08/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
26/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,6,0,0,1
26/08/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
27/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,4
27/08/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,0
28/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,1
29/08/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,4,0,0,4
