LATEST_STATUS_DATE,Age Ranges,As of Date,Case Status,DATA_AS_OF_DT,DATA_REFRESH_DT,Parameter Sort,Parameter Sort Target,CASES,DEATHS,Measure Toggle,RECOVERIES
15/03/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
16/03/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
23/03/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
25/03/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
26/03/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,1
30/03/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,1
02/04/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,3,0,0,1
03/04/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
04/04/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
05/04/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
06/04/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,3
08/04/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,2
10/04/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
12/04/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
13/04/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,2
14/04/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,1
15/04/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
16/04/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
18/04/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
19/04/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
21/04/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
22/04/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
23/04/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,0,0,0,1
25/04/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,0
27/04/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,1
27/04/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,2
28/04/2020,<20,"December 16, 2020 11:59 pm",Confirmed,16/12/2020,"December 17, 2020",TRUE,<20,2,0,0,0
29/04/2020,<20,"December 16, 2020 11:59 pm",Probable,16/12/2020,"December 17, 2020",TRUE,<20,1,0,0,1
