"age","date","cum.deaths","daily.deaths","code"
"65-74",2020-05-06,61,NA,"AL"
"75-84",2020-05-06,52,NA,"AL"
"5-14",2020-05-06,0,NA,"AL"
"35-44",2020-05-06,0,NA,"AL"
"85+",2020-05-06,42,NA,"AL"
"1-4",2020-05-06,0,NA,"AL"
"55-64",2020-05-06,29,NA,"AL"
"45-54",2020-05-06,14,NA,"AL"
"0-1",2020-05-06,0,NA,"AL"
"15-24",2020-05-06,0,NA,"AL"
"25-34",2020-05-06,0,NA,"AL"
"65-74",2020-05-07,62,2,"AL"
"65-74",2020-05-08,63,2,"AL"
"65-74",2020-05-09,64,2,"AL"
"65-74",2020-05-10,65,2,"AL"
"65-74",2020-05-11,66,2,"AL"
"65-74",2020-05-12,67,2,"AL"
"75-84",2020-05-07,55,3,"AL"
"75-84",2020-05-08,58,3,"AL"
"75-84",2020-05-09,61,3,"AL"
"75-84",2020-05-10,64,3,"AL"
"75-84",2020-05-11,67,3,"AL"
"75-84",2020-05-12,70,3,"AL"
"5-14",2020-05-07,0,0,"AL"
"5-14",2020-05-08,0,0,"AL"
"5-14",2020-05-09,0,0,"AL"
"5-14",2020-05-10,0,0,"AL"
"5-14",2020-05-11,0,0,"AL"
"5-14",2020-05-12,0,0,"AL"
"35-44",2020-05-07,0,0,"AL"
"35-44",2020-05-08,0,0,"AL"
"35-44",2020-05-09,0,0,"AL"
"35-44",2020-05-10,0,0,"AL"
"35-44",2020-05-11,0,0,"AL"
"35-44",2020-05-12,0,0,"AL"
"85+",2020-05-07,44,2,"AL"
"85+",2020-05-08,46,2,"AL"
"85+",2020-05-09,48,2,"AL"
"85+",2020-05-10,50,2,"AL"
"85+",2020-05-11,52,2,"AL"
"85+",2020-05-12,54,2,"AL"
"1-4",2020-05-07,0,0,"AL"
"1-4",2020-05-08,0,0,"AL"
"1-4",2020-05-09,0,0,"AL"
"1-4",2020-05-10,0,0,"AL"
"1-4",2020-05-11,0,0,"AL"
"1-4",2020-05-12,0,0,"AL"
"55-64",2020-05-07,30,1,"AL"
"55-64",2020-05-08,31,1,"AL"
"55-64",2020-05-09,32,1,"AL"
"55-64",2020-05-10,33,1,"AL"
"55-64",2020-05-11,34,1,"AL"
"55-64",2020-05-12,35,2,"AL"
"45-54",2020-05-07,14,0,"AL"
"45-54",2020-05-08,14,0,"AL"
"45-54",2020-05-09,14,0,"AL"
"45-54",2020-05-10,14,0,"AL"
"45-54",2020-05-11,14,0,"AL"
"45-54",2020-05-12,14,1,"AL"
"0-1",2020-05-07,0,0,"AL"
"0-1",2020-05-08,0,0,"AL"
"0-1",2020-05-09,0,0,"AL"
"0-1",2020-05-10,0,0,"AL"
"0-1",2020-05-11,0,0,"AL"
"0-1",2020-05-12,0,0,"AL"
"15-24",2020-05-07,0,0,"AL"
"15-24",2020-05-08,0,0,"AL"
"15-24",2020-05-09,0,0,"AL"
"15-24",2020-05-10,0,0,"AL"
"15-24",2020-05-11,0,0,"AL"
"15-24",2020-05-12,0,0,"AL"
"25-34",2020-05-07,0,0,"AL"
"25-34",2020-05-08,0,0,"AL"
"25-34",2020-05-09,0,0,"AL"
"25-34",2020-05-10,0,0,"AL"
"25-34",2020-05-11,0,0,"AL"
