"","rep_date","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80+"
"1","03/23/2020",NA,NA,NA,NA,NA,2,4,1
"2","03/24/2020",NA,NA,NA,NA,1,2,6,2
"3","03/25/2020",NA,NA,NA,1,2,3,7,6
"4","03/26/2020",NA,NA,NA,1,2,3,7,11
"5","03/27/2020",NA,NA,NA,1,2,4,10,14
"6","03/28/2020",NA,NA,NA,2,3,4,14,21
"7","03/29/2020",NA,NA,NA,2,3,5,15,22
"8","03/30/2020",NA,NA,NA,2,3,5,18,23
"9","03/31/2020",NA,NA,NA,2,4,5,22,36
"10","04/01/2020",NA,NA,NA,2,4,7,23,44
"11","04/02/2020",NA,NA,NA,3,4,9,26,55
"12","04/03/2020",NA,NA,1,4,6,11,27,62
"13","04/04/2020",NA,NA,1,4,8,12,31,70
"14","04/05/2020",NA,NA,1,5,8,14,35,77
"15","04/06/2020",NA,NA,1,5,8,14,39,83
"16","04/07/2020",NA,NA,2,7,12,18,46,94
"17","04/08/2020",NA,1,2,7,13,20,52,98
"18","04/09/2020",NA,1,2,9,13,22,57,122
"19","04/10/2020",NA,2,2,11,13,25,65,132
"20","04/11/2020",NA,2,2,11,15,30,71,143
"21","04/12/2020",NA,2,2,11,15,34,78,148
"22","04/13/2020",NA,2,2,12,15,38,82,157
"23","04/14/2020",NA,2,2,12,17,40,86,170
"24","04/15/2020",NA,3,2,13,18,43,96,182
"25","04/16/2020",NA,3,2,14,21,47,96,191
"26","04/17/2020",NA,3,2,14,21,54,100,197
"27","04/18/2020",NA,3,2,14,22,56,109,205
"28","04/19/2020",NA,3,2,14,23,56,112,212
"29","04/20/2020",NA,4,2,15,26,59,114,229
"30","04/21/2020",NA,4,2,15,28,65,122,250
"31","04/22/2020",NA,4,3,16,28,66,130,261
"32","04/23/2020",NA,4,3,17,30,74,141,283
"33","04/24/2020",1,4,4,22,36,82,169,356
"34","04/25/2020",1,4,4,20,33,86,168,355
"35","04/26/2020",1,4,4,20,34,88,171,357
"36","04/27/2020",1,4,4,20,34,92,177,373
"37","04/28/2020",1,4,4,21,34,97,183,391
"38","04/29/2020",1,4,4,21,35,99,189,412
"39","04/30/2020",1,4,4,21,35,102,189,420
"40","05/01/2020",1,4,4,21,40,107,197,445
"41","05/02/2020",1,5,4,21,41,108,201,451
"42","05/03/2020",1,5,4,21,41,109,204,457
