Data as of,Start Date,End Date,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
01/27/2021,01/01/2020,01/23/2021,United States,All Sexes,All Ages,359352,3361508,338603,167546,8742,538034,
01/27/2021,01/01/2020,01/23/2021,United States,All Sexes,Under 1 year,42,18554,197,7,21,253,
01/27/2021,01/01/2020,01/23/2021,United States,All Sexes,0-17 years,169,32659,542,30,175,856,
01/27/2021,01/01/2020,01/23/2021,United States,All Sexes,1-4 years,21,3409,120,3,59,197,
01/27/2021,01/01/2020,01/23/2021,United States,All Sexes,5-14 years,58,5476,155,11,74,276,
01/27/2021,01/01/2020,01/23/2021,United States,All Sexes,15-24 years,537,35141,717,195,81,1135,
01/27/2021,01/01/2020,01/23/2021,United States,All Sexes,18-29 years,1300,62050,1656,548,147,2544,
01/27/2021,01/01/2020,01/23/2021,United States,All Sexes,25-34 years,2335,72218,2621,1041,233,4131,
01/27/2021,01/01/2020,01/23/2021,United States,All Sexes,30-49 years,14152,218208,13443,6572,802,21738,
01/27/2021,01/01/2020,01/23/2021,United States,All Sexes,35-44 years,6139,102902,5973,2786,353,9646,
01/27/2021,01/01/2020,01/23/2021,United States,All Sexes,45-54 years,16760,188241,15831,8220,762,25022,
01/27/2021,01/01/2020,01/23/2021,United States,All Sexes,50-64 years,52302,548461,52820,26428,2070,80463,
01/27/2021,01/01/2020,01/23/2021,United States,All Sexes,55-64 years,42031,435437,42847,21315,1611,64941,
01/27/2021,01/01/2020,01/23/2021,United States,All Sexes,65-74 years,76404,668211,75939,38987,1867,114953,
01/27/2021,01/01/2020,01/23/2021,United States,All Sexes,75-84 years,99342,817884,94935,48380,1892,147543,
01/27/2021,01/01/2020,01/23/2021,United States,All Sexes,85 years and over,115683,1014035,99268,46601,1789,169937,
01/27/2021,01/01/2020,01/23/2021,United States,Male,All Ages,194851,1755944,187621,95946,4507,290349,
01/27/2021,01/01/2020,01/23/2021,United States,Male,Under 1 year,29,10249,116,5,10,150,
01/27/2021,01/01/2020,01/23/2021,United States,Male,0-17 years,98,19195,297,16,96,475,
01/27/2021,01/01/2020,01/23/2021,United States,Male,1-4 years,12,1967,57,2,38,105,
01/27/2021,01/01/2020,01/23/2021,United States,Male,5-14 years,33,3269,84,8,36,145,
01/27/2021,01/01/2020,01/23/2021,United States,Male,15-24 years,325,25986,432,116,38,675,
01/27/2021,01/01/2020,01/23/2021,United States,Male,18-29 years,815,45457,996,321,75,1557,
01/27/2021,01/01/2020,01/23/2021,United States,Male,25-34 years,1488,50977,1586,641,114,2536,
01/27/2021,01/01/2020,01/23/2021,United States,Male,30-49 years,9451,142769,8307,4379,426,13744,
01/27/2021,01/01/2020,01/23/2021,United States,Male,35-44 years,4091,67518,3710,1869,184,6092,
01/27/2021,01/01/2020,01/23/2021,United States,Male,45-54 years,11237,118066,9781,5505,445,15882,
01/27/2021,01/01/2020,01/23/2021,United States,Male,50-64 years,33813,338646,32278,17016,1193,50063,
01/27/2021,01/01/2020,01/23/2021,United States,Male,55-64 years,26962,268035,26112,13586,925,40254,
01/27/2021,01/01/2020,01/23/2021,United States,Male,65-74 years,46839,388142,45829,24162,1039,69369,
01/27/2021,01/01/2020,01/23/2021,United States,Male,75-84 years,55606,426436,54083,28166,950,82335,
01/27/2021,01/01/2020,01/23/2021,United States,Male,85 years and over,48229,395299,45831,21886,728,72806,
01/27/2021,01/01/2020,01/23/2021,United States,Female,All Ages,164494,1605462,150976,71595,4235,247677,
01/27/2021,01/01/2020,01/23/2021,United States,Female,Under 1 year,13,8272,81,2,11,103,
01/27/2021,01/01/2020,01/23/2021,United States,Female,0-17 years,71,13430,245,14,79,381,
01/27/2021,01/01/2020,01/23/2021,United States,Female,1-4 years,9,1442,63,1,21,92,
01/27/2021,01/01/2020,01/23/2021,United States,Female,5-14 years,25,2207,71,3,38,131,
01/27/2021,01/01/2020,01/23/2021,United States,Female,15-24 years,212,9153,285,79,43,460,
01/27/2021,01/01/2020,01/23/2021,United States,Female,18-29 years,485,16590,660,227,72,987,
01/27/2021,01/01/2020,01/23/2021,United States,Female,25-34 years,847,21237,1035,400,119,1595,
01/27/2021,01/01/2020,01/23/2021,United States,Female,30-49 years,4701,75433,5136,2193,376,7994,
01/27/2021,01/01/2020,01/23/2021,United States,Female,35-44 years,2048,35381,2263,917,169,3554,
