"date","code","age","cum.deaths","daily.deaths"
2020-06-25,"NV","20-29",3,0
2020-06-25,"NV","30-39",6,0
2020-06-25,"NV","40-49",27,0
2020-06-25,"NV","50-59",44,0
2020-06-25,"NV","60-69",101,0
2020-06-25,"NV","70+",307,1
2020-06-26,"NV","0-9",0,0
2020-06-26,"NV","10-19",2,0
2020-06-26,"NV","20-29",3,0
2020-06-26,"NV","30-39",6,0
2020-06-26,"NV","40-49",27,0
2020-06-26,"NV","50-59",44,0
2020-06-26,"NV","60-69",101,0
2020-06-26,"NV","70+",309,2
2020-06-27,"NV","0-9",0,0
2020-06-27,"NV","10-19",2,0
2020-06-27,"NV","20-29",3,0
2020-06-27,"NV","30-39",6,0
2020-06-27,"NV","40-49",27,0
2020-06-27,"NV","50-59",44,0
2020-06-27,"NV","60-69",103,2
2020-06-27,"NV","70+",311,2
2020-06-28,"NV","0-9",0,0
2020-06-28,"NV","10-19",2,0
2020-06-28,"NV","20-29",3,0
2020-06-28,"NV","30-39",6,0
2020-06-28,"NV","40-49",27,0
2020-06-28,"NV","50-59",44,0
2020-06-28,"NV","60-69",103,0
2020-06-28,"NV","70+",311,0
2020-06-29,"NV","0-9",0,0
2020-06-29,"NV","10-19",2,0
2020-06-29,"NV","20-29",3,0
2020-06-29,"NV","30-39",6,0
2020-06-29,"NV","40-49",27,0
2020-06-29,"NV","50-59",44,0
2020-06-29,"NV","60-69",105,2
2020-06-29,"NV","70+",312,1
2020-06-30,"NV","0-9",0,0
2020-06-30,"NV","10-19",2,0
2020-06-30,"NV","20-29",3,0
2020-06-30,"NV","30-39",6,0
2020-06-30,"NV","40-49",27,0
2020-06-30,"NV","50-59",44,0
2020-06-30,"NV","60-69",107,1
2020-06-30,"NV","70+",313,1
2020-07-01,"NV","0-9",0,0
2020-07-01,"NV","10-19",2,0
2020-07-01,"NV","20-29",3,0
2020-07-01,"NV","30-39",6,0
2020-07-01,"NV","40-49",27,0
2020-07-01,"NV","50-59",46,2
2020-07-01,"NV","60-69",107,0
2020-07-01,"NV","70+",314,1
2020-07-02,"NV","0-9",0,0
2020-07-02,"NV","10-19",2,0
2020-07-02,"NV","20-29",3,0
2020-07-02,"NV","30-39",6,0
2020-07-02,"NV","40-49",27,0
2020-07-02,"NV","50-59",47,1
2020-07-02,"NV","60-69",107,0
2020-07-02,"NV","70+",318,4
2020-07-03,"NV","0-9",0,0
2020-07-03,"NV","10-19",2,0
2020-07-03,"NV","20-29",3,0
2020-07-03,"NV","30-39",6,0
2020-07-03,"NV","40-49",27,0
2020-07-03,"NV","50-59",48,1
2020-07-03,"NV","60-69",109,2
2020-07-03,"NV","70+",328,10
2020-07-04,"NV","0-9",0,0
2020-07-04,"NV","10-19",2,0
2020-07-04,"NV","20-29",3,0
2020-07-04,"NV","30-39",6,0
2020-07-04,"NV","40-49",27,0
2020-07-04,"NV","50-59",48,0
2020-07-04,"NV","60-69",109,0
2020-07-04,"NV","70+",328,0
2020-07-05,"NV","0-9",0,0
2020-07-05,"NV","10-19",2,0
2020-07-05,"NV","20-29",3,0
2020-07-05,"NV","30-39",6,0
2020-07-05,"NV","40-49",27,0
2020-07-05,"NV","50-59",48,0
2020-07-05,"NV","60-69",109,0
2020-07-05,"NV","70+",328,0
2020-07-06,"NV","0-9",0,0
2020-07-06,"NV","10-19",2,0
2020-07-06,"NV","20-29",3,0
2020-07-06,"NV","30-39",6,0
2020-07-06,"NV","40-49",27,0
2020-07-06,"NV","50-59",48,0
2020-07-06,"NV","60-69",109,0
2020-07-06,"NV","70+",328,0
