"age","cum.deaths","daily.deaths","code","date"
"40-49",37,0,"IN",2020-05-30
"50-59",106,2,"IN",2020-05-30
"60-69",312,2,"IN",2020-05-30
"70-79",479,1,"IN",2020-05-30
"80+",1001,7,"IN",2020-05-30
"0-19",2,0,"IN",2020-05-31
"20-29",4,0,"IN",2020-05-31
"30-39",14,0,"IN",2020-05-31
"40-49",37,0,"IN",2020-05-31
"50-59",108,1,"IN",2020-05-31
"60-69",314,1,"IN",2020-05-31
"70-79",480,0,"IN",2020-05-31
"80+",1008,7,"IN",2020-05-31
"0-19",2,0,"IN",2020-06-01
"20-29",4,0,"IN",2020-06-01
"30-39",14,0,"IN",2020-06-01
"40-49",37,0,"IN",2020-06-01
"50-59",108,0,"IN",2020-06-01
"60-69",314,0,"IN",2020-06-01
"70-79",482,2,"IN",2020-06-01
"80+",1015,7,"IN",2020-06-01
"0-19",2,0,"IN",2020-06-02
"20-29",4,0,"IN",2020-06-02
"30-39",14,0,"IN",2020-06-02
"40-49",39,2,"IN",2020-06-02
"50-59",108,0,"IN",2020-06-02
"60-69",323,9,"IN",2020-06-02
"70-79",491,9,"IN",2020-06-02
"80+",1041,26,"IN",2020-06-02
"0-19",2,0,"IN",2020-06-03
"20-29",4,0,"IN",2020-06-03
"30-39",14,0,"IN",2020-06-03
"40-49",39,0,"IN",2020-06-03
"50-59",109,1,"IN",2020-06-03
"60-69",324,1,"IN",2020-06-03
"70-79",494,3,"IN",2020-06-03
"80+",1046,5,"IN",2020-06-03
"0-19",2,0,"IN",2020-06-04
"20-29",4,0,"IN",2020-06-04
"30-39",14,0,"IN",2020-06-04
"40-49",39,0,"IN",2020-06-04
"50-59",109,0,"IN",2020-06-04
"60-69",332,8,"IN",2020-06-04
"70-79",495,1,"IN",2020-06-04
"80+",1057,11,"IN",2020-06-04
"0-19",2,0,"IN",2020-06-05
"20-29",5,1,"IN",2020-06-05
"30-39",14,0,"IN",2020-06-05
"40-49",40,1,"IN",2020-06-05
"50-59",110,1,"IN",2020-06-05
"60-69",338,6,"IN",2020-06-05
"70-79",505,10,"IN",2020-06-05
"80+",1064,7,"IN",2020-06-05
"0-19",2,0,"IN",2020-06-06
"20-29",5,0,"IN",2020-06-06
"30-39",14,0,"IN",2020-06-06
"40-49",41,1,"IN",2020-06-06
"50-59",112,2,"IN",2020-06-06
"60-69",346,8,"IN",2020-06-06
"70-79",512,7,"IN",2020-06-06
"80+",1078,14,"IN",2020-06-06
"0-19",2,0,"IN",2020-06-07
"20-29",5,0,"IN",2020-06-07
"30-39",14,0,"IN",2020-06-07
"40-49",41,0,"IN",2020-06-07
"50-59",113,1,"IN",2020-06-07
