Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
03/29/2020,,0-9,7,,
03/29/2020,,10-19,12,,
03/29/2020,,20-29,135,,
03/29/2020,,30-39,131,,
03/29/2020,,40-49,150,,
03/29/2020,,50-59,158,,
03/29/2020,,60-69,151,,
03/29/2020,,70-79,99,,
03/29/2020,,80+,47,,
03/30/2020,,0-9,7,,
03/30/2020,,10-19,12,,
03/30/2020,,20-29,149,,
03/30/2020,,30-39,145,,
03/30/2020,,40-49,176,,
03/30/2020,,50-59,184,,
03/30/2020,,60-69,175,,
03/30/2020,,70-79,111,,
03/30/2020,,80+,61,,
03/31/2020,,0-9,10,,
03/31/2020,,10-19,17,,
03/31/2020,,20-29,173,,
03/31/2020,,30-39,180,,
03/31/2020,,40-49,215,,
03/31/2020,,50-59,228,,
03/31/2020,,60-69,216,,
03/31/2020,,70-79,136,,
03/31/2020,,80+,75,,
04/01/2020,,0-9,12,,
04/01/2020,,10-19,22,,
04/01/2020,,20-29,204,,
04/01/2020,,30-39,212,,
04/01/2020,,40-49,252,,
04/01/2020,,50-59,280,,
04/01/2020,,60-69,247,,
04/01/2020,,70-79,159,,
04/01/2020,,80+,96,,
04/02/2020,,0-9,13,,
04/02/2020,,10-19,26,,
04/02/2020,,20-29,228,,
04/02/2020,,30-39,245,,
04/02/2020,,40-49,282,,
04/02/2020,,50-59,325,,
04/02/2020,,60-69,289,,
04/02/2020,,70-79,190,,
04/02/2020,,80+,108,,
04/03/2020,,0-9,15,,
04/03/2020,,10-19,29,,
04/03/2020,,20-29,259,,
04/03/2020,,30-39,276,,
04/03/2020,,40-49,322,,
04/03/2020,,50-59,393,,
04/03/2020,,60-69,347,,
04/03/2020,,70-79,235,,
04/03/2020,,80+,135,,
04/03/2020,,Missing,1,,
04/04/2020,,0-9,16,,
04/04/2020,,10-19,34,,
04/04/2020,,20-29,293,,
04/04/2020,,30-39,335,,
04/04/2020,,40-49,382,,
04/04/2020,,50-59,466,,
04/04/2020,,60-69,415,,
04/04/2020,,70-79,284,,
04/04/2020,,80+,182,,
04/05/2020,,0-9,19,,
04/05/2020,,10-19,36,,
04/05/2020,,20-29,326,,
04/05/2020,,30-39,366,,
04/05/2020,,40-49,421,,
04/05/2020,,50-59,512,,
04/05/2020,,60-69,453,,
04/05/2020,,70-79,305,,
04/05/2020,,80+,199,,
04/06/2020,,0-9,21,,
04/06/2020,,10-19,38,,
04/06/2020,,20-29,349,,
04/06/2020,,30-39,398,,
04/06/2020,,40-49,461,,
04/06/2020,,50-59,574,,
04/06/2020,,60-69,499,,
04/06/2020,,70-79,327,,
04/06/2020,,80+,211,,
04/07/2020,,0-9,25,,
04/07/2020,,10-19,43,,
04/07/2020,,20-29,412,,
04/07/2020,,30-39,483,,
04/07/2020,,40-49,543,,
04/07/2020,,50-59,660,,
04/07/2020,,60-69,573,,
04/07/2020,,70-79,361,,
04/07/2020,,80+,232,,
04/07/2020,,Missing,1,,
04/08/2020,,0-9,24,,
04/08/2020,,10-19,53,,
04/08/2020,,20-29,444,,
04/08/2020,,30-39,529,,
04/08/2020,,40-49,598,,
04/08/2020,,50-59,730,,
04/08/2020,,60-69,625,,
04/08/2020,,70-79,391,,
04/08/2020,,80+,250,,
04/08/2020,,Missing,1,,
04/09/2020,,0-9,25,,
04/09/2020,,10-19,64,,
04/09/2020,,20-29,484,,
04/09/2020,,30-39,595,,
04/09/2020,,40-49,660,,
04/09/2020,,50-59,808,,
04/09/2020,,60-69,692,,
04/09/2020,,70-79,425,,
04/09/2020,,80+,288,,
04/09/2020,,Missing,1,,
04/10/2020,,0-9,26,,
04/10/2020,,10-19,79,,
04/10/2020,,20-29,526,,
04/10/2020,,30-39,678,,
04/10/2020,,40-49,744,,
04/10/2020,,50-59,905,,
04/10/2020,,60-69,757,,
04/10/2020,,70-79,464,,
04/10/2020,,80+,329,,
04/10/2020,,Missing,1,,
04/11/2020,,0-9,30,,
04/11/2020,,10-19,96,,
04/11/2020,,20-29,589,,
04/11/2020,,30-39,765,,
04/11/2020,,40-49,850,,
04/11/2020,,50-59,1022,,
04/11/2020,,60-69,844,,
04/11/2020,,70-79,505,,
04/11/2020,,80+,374,,
04/11/2020,,Missing,2,,
04/12/2020,,0-9,33,,
04/12/2020,,10-19,104,,
04/12/2020,,20-29,609,,
04/12/2020,,30-39,796,,
04/12/2020,,40-49,882,,
04/12/2020,,50-59,1062,,
04/12/2020,,60-69,871,,
04/12/2020,,70-79,528,,
04/12/2020,,80+,386,,
04/12/2020,,Missing,3,,
04/13/2020,,0-9,38,1,0
04/13/2020,,10-19,110,2,0
04/13/2020,,20-29,663,34,1
04/13/2020,,30-39,864,55,1
04/13/2020,,40-49,966,108,4
04/13/2020,,50-59,1154,170,8
04/13/2020,,60-69,949,198,35
04/13/2020,,70-79,561,192,40
04/13/2020,,80+,440,143,60
04/13/2020,,Missing,2,0,0
04/14/2020,,0-9,42,1,0
04/14/2020,,10-19,127,2,0
04/14/2020,,20-29,716,36,1
04/14/2020,,30-39,917,65,1
04/14/2020,,40-49,1028,124,6
04/14/2020,,50-59,1226,176,8
04/14/2020,,60-69,1013,219,36
04/14/2020,,70-79,608,204,41
04/14/2020,,80+,492,151,61
04/14/2020,,Missing,2,0,0
04/15/2020,,0-9,46,2,0
04/15/2020,,10-19,138,2,0
04/15/2020,,20-29,755,37,1
04/15/2020,,30-39,963,70,1
04/15/2020,,40-49,1095,134,7
04/15/2020,,50-59,1277,195,11
04/15/2020,,60-69,1061,230,42
04/15/2020,,70-79,634,212,50
04/15/2020,,80+,530,166,82
04/15/2020,,Missing,1,0,1
04/16/2020,,0-9,48,3,0
04/16/2020,,10-19,145,2,0
04/16/2020,,20-29,808,39,1
04/16/2020,,30-39,1028,80,1
04/16/2020,,40-49,1168,143,7
04/16/2020,,50-59,1349,203,11
04/16/2020,,60-69,1114,247,43
04/16/2020,,70-79,662,222,54
04/16/2020,,80+,566,175,90
04/16/2020,,Missing,1,0,1
04/17/2020,,0-9,60,4,0
04/17/2020,,10-19,158,2,0
04/17/2020,,20-29,877,45,1
04/17/2020,,30-39,1104,86,1
04/17/2020,,40-49,1254,147,8
04/17/2020,,50-59,1466,228,14
04/17/2020,,60-69,1204,268,46
04/17/2020,,70-79,714,244,62
04/17/2020,,80+,653,197,98
04/17/2020,,Missing,1,0,1
04/18/2020,,0-9,65,4,0
04/18/2020,,10-19,171,2,0
04/18/2020,,20-29,956,47,1
04/18/2020,,30-39,1201,92,2
04/18/2020,,40-49,1349,154,7
04/18/2020,,50-59,1559,245,17
04/18/2020,,60-69,1288,289,48
04/18/2020,,70-79,756,256,71
04/18/2020,,80+,707,207,111
04/18/2020,,Missing,1,0,1
04/19/2020,,0-9,73,4,0
04/19/2020,,10-19,177,4,0
04/19/2020,,20-29,1021,50,1
04/19/2020,,30-39,1279,108,2
04/19/2020,,40-49,1436,167,7
04/19/2020,,50-59,1634,271,18
04/19/2020,,60-69,1348,312,49
04/19/2020,,70-79,791,272,78
04/19/2020,,80+,777,234,121
04/19/2020,,Missing,1,0,1
04/20/2020,,0-9,80,4,0
04/20/2020,,10-19,190,4,0
04/20/2020,,20-29,1072,53,1
04/20/2020,,30-39,1344,110,2
04/20/2020,,40-49,1525,178,7
04/20/2020,,50-59,1719,283,19
04/20/2020,,60-69,1413,332,54
04/20/2020,,70-79,823,286,82
04/20/2020,,80+,823,250,134
04/20/2020,,Missing,1,0,1
04/21/2020,Alexandria,0-9,13,0,0
04/21/2020,Alexandria,10-19,16,0,0
04/21/2020,Alexandria,20-29,73,2,1
04/21/2020,Alexandria,30-39,104,10,0
04/21/2020,Alexandria,40-49,84,9,0
04/21/2020,Alexandria,50-59,63,11,4
04/21/2020,Alexandria,60-69,49,8,0
04/21/2020,Alexandria,70-79,33,13,3
04/21/2020,Alexandria,80+,27,7,1
04/21/2020,Alleghany,20-29,9,1,0
04/21/2020,Alleghany,30-39,2,0,0
04/21/2020,Alleghany,40-49,7,0,0
