GEOID,GEO,NAME,DATE,POSITIVE,POS_NEW,NEGATIVE,NEG_NEW,DEATHS,DTH_NEW,TEST_NEW,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,IP_Y_0_9,IP_Y_10_19,IP_Y_20_29,IP_Y_30_39,IP_Y_40_49,IP_Y_50_59,IP_Y_60_69,IP_Y_70_79,IP_Y_80_89,IP_Y_90,IP_N_0_9,IP_N_10_19,IP_N_20_29,IP_N_30_39,IP_N_40_49,IP_N_50_59,IP_N_60_69,IP_N_70_79,IP_N_80_89,IP_N_90,IP_U_0_9,IP_U_10_19,IP_U_20_29,IP_U_30_39,IP_U_40_49,IP_U_50_59,IP_U_60_69,IP_U_70_79,IP_U_80_89,IP_U_90,IC_YES,IC_Y_0_9,IC_Y_10_19,IC_Y_20_29,IC_Y_30_39,IC_Y_40_49,IC_Y_50_59,IC_Y_60_69,IC_Y_70_79,IC_Y_80_89,IC_Y_90,OBJECTID
55,State,WI,2020/10/11 19:00:00+00,150236,2676,1537877,7571,1465,7,10247,8398,84514,57324,76309,73691,236,4832,18315,35889,22974,20372,21542,14395,7351,3408,1158,650,814,1,0,0,10,17,42,98,243,370,427,258,1827,3391,12534,108378,11033,13073,22401,105698,22137,17,41,240,1115,25,27,156,1267,42,9075,74796,66365,73,154,541,651,824,1248,1668,1707,1170,362,3175,9815,19873,13405,12024,12752,8223,3528,1311,408,1584,8346,15475,8918,7524,7542,4504,2116,927,388,1271,8,5,46,54,123,214,324,291,156,50,304733
55,State,WI,2020/10/14 19:00:00+00,158578,3107,1568389,11435,1536,28,14542,8754,88800,61024,80643,77679,256,5102,19067,37317,24298,21583,22983,15427,7877,3673,1251,685,850,1,0,0,10,17,45,103,253,389,449,270,1931,3524,12993,114897,11500,13733,23227,111656,23695,18,42,243,1176,27,30,161,1327,48,9349,76975,72254,77,160,554,674,838,1288,1746,1793,1240,384,3363,10242,20526,14069,12687,13535,8765,3772,1406,435,1662,8665,16237,9555,8058,8160,4916,2312,1027,432,1304,8,5,46,54,124,223,330,304,160,50,308645
55,State,WI,2020/10/13 19:00:00+00,155471,3279,1556954,11262,1508,34,14541,8601,87170,59700,79003,76216,252,5002,18808,36783,23787,21154,22441,15033,7686,3559,1218,674,833,1,0,0,10,17,44,99,248,382,442,266,1883,3476,12769,112495,11351,13497,22923,109355,23193,17,42,242,1153,25,29,158,1301,49,9241,76168,70062,75,160,550,666,832,1264,1716,1757,1210,371,3298,10100,20253,13825,12441,13233,8558,3672,1365,425,1629,8548,15980,9296,7881,7944,4759,2257,984,422,1287,8,5,46,54,124,217,329,295,159,50,315196
55,State,WI,2020/10/16 19:00:00+00,166186,3861,1590569,10725,1574,21,14586,9027,92680,64479,84418,81505,263,5378,19809,38621,25524,22676,24283,16331,8343,3898,1323,700,873,1,0,0,10,17,45,104,257,402,462,277,2083,3648,13431,120756,11892,14376,23909,117222,25055,20,42,243,1212,27,30,162,1364,48,9591,78863,77732,78,165,557,692,856,1323,1793,1867,1296,400,3505,10628,21206,14692,13226,14227,9268,3978,1488,462,1795,9016,16858,10140,8594,8733,5270,2498,1114,461,1325,8,5,44,55,126,229,332,313,163,50,319737
55,State,WI,2020/10/17 19:00:00+00,166186,0,1590569,0,1574,0,0,9027,92680,64479,84418,81505,263,5378,19809,38621,25524,22676,24283,16331,8343,3898,1323,700,873,1,0,0,10,17,45,104,257,402,462,277,2083,3648,13431,120756,11892,14376,23909,117222,25055,20,42,243,1212,27,30,162,1364,48,9591,78863,77732,78,165,557,692,856,1323,1793,1867,1296,400,3505,10628,21206,14692,13226,14227,9268,3978,1488,462,1795,9016,16858,10140,8594,8733,5270,2498,1114,461,1325,8,5,44,55,126,229,332,313,163,50,320135
55,State,WI,2020/10/15 19:00:00+00,162325,3747,1579844,11455,1553,17,15202,8892,90658,62775,82485,79580,260,5253,19440,37950,24895,22120,23637,15883,8086,3783,1278,692,860,1,0,0,10,17,45,103,253,396,456,273,2008,3592,13250,117752,11693,14030,23583,114381,24361,19,42,243,1193,27,29,161,1347,45,9457,77926,74942,78,162,555,682,847,1308,1770,1832,1268,390,3435,10424,20857,14365,12938,13864,9020,3870,1443,442,1740,8854,16538,9848,8335,8465,5093,2384,1072,446,1308,8,5,44,55,124,225,331,307,159,50,323370
55,State,WI,2020/10/18 19:00:00+00,170114,3928,1665459,74890,1588,14,78818,9154,94624,66336,86402,83440,272,5545,20214,39269,26152,23276,24945,16799,8558,4012,1344,711,876,1,0,0,10,17,46,104,257,405,467,282,2175,3711,13527,123809,12082,14810,24341,119975,25798,20,42,243,1224,27,32,163,1374,51,9672,79777,80665,81,170,563,698,859,1349,1815,1893,1323,403,3605,10835,21496,15032,13523,14540,9499,4091,1528,475,1859,9209,17210,10422,8894,9056,5485,2574,1161,466,1334,8,5,44,55,126,232,333,315,166,50,333282
55,State,WI,2020/10/19 19:00:00+00,173891,3777,1703813,38354,1600,12,42131,9319,95922,68650,88280,85330,281,5654,20560,39943,26768,23826,25617,17231,8814,4108,1370,714,885,1,0,0,10,17,47,105,258,408,470,285,2206,3798,13797,126637,12282,15171,24690,122516,26685,20,43,244,1233,27,33,163,1383,54,9740,80241,83910,81,173,576,709,870,1374,1842,1932,1349,413,3652,10955,21738,15249,13702,14798,9650,4157,1544,477,1921,9432,17629,10810,9254,9445,5739,2725,1215,480,1340,8,5,44,55,126,234,335,316,166,51,335174
55,State,WI,2020/10/26 19:00:00+00,201049,2883,1777892,9866,1788,10,12749,10416,109576,81057,102213,98486,350,6684,23156,44561,31090,27907,30110,20475,10493,4885,1688,798,988,2,0,0,12,18,49,114,274,447,535,339,2588,4349,15310,147506,13672,17624,27203,142159,31687,24,45,250,1396,34,39,173,1545,70,10558,86481,104010,90,183,617,751,936,1538,2064,2202,1547,488,4288,12399,23938,17391,15790,17115,11329,4954,1825,547,2306,10574,20006,12948,11181,11457,7082,3337,1513,653,1424,8,9,45,58,131,241,360,334,181,57,343832
55,State,WI,2020/10/27 19:00:00+00,206311,5262,1789158,11266,1852,64,16528,10636,112047,83628,104987,100953,371,6893,23679,45412,31935,28662,30990,21112,10814,5052,1762,826,1024,2,0,0,12,18,49,118,282,463,564,346,2654,4486,15657,151477,13998,18039,27738,145915,32658,24,45,252,1458,33,40,175,1608,69,10707,87758,107846,91,187,623,763,949,1564,2118,2254,1588,499,4401,12674,24327,17804,16159,17510,11638,5082,1882,570,2401,10818,20462,13368,11554,11916,7356,3478,1582,693,1442,8,9,45,59,133,241,368,338,183,58,344536
55,State,WI,2020/10/25 19:00:00+00,198166,3626,1768026,10396,1778,8,14022,10332,108208,79626,100761,97066,339,6575,22860,44078,30624,27452,29646,20132,10332,4810,1657,793,983,2,0,0,11,18,49,114,273,446,532,335,2569,4292,15168,145225,13509,17403,26961,140067,31138,23,45,249,1388,34,39,171,1538,69,10488,85939,101739,88,183,610,747,932,1527,2044,2180,1535,486,4230,12243,23704,17177,15594,16891,11144,4877,1807,541,2257,10434,19764,12700,10926,11228,6944,3275,1468,630,1412,8,9,45,58,130,239,358,331,178,56,348221
55,State,WI,2020/10/28 19:00:00+00,210126,3815,1795161,6003,1897,45,9818,10810,113960,85356,106936,102805,385,7029,24063,46044,32533,29236,31614,21568,11062,5171,1805,847,1048,2,0,0,11,19,49,120,283,478,577,360,2725,4552,15867,154432,14222,18328,28134,148741,33251,24,46,252,1506,34,35,176,1659,62,10879,88828,110419,93,188,629,767,964,1587,2157,2297,1620,508,4492,12890,24631,18096,16451,17842,11850,5203,1922,583,2444,10985,20784,13670,11821,12185,7561,3562,1629,714,1453,8,9,46,59,134,242,369,342,185,59,350597
55,State,WI,2020/10/29 19:00:00+00,214996,4870,1803465,8304,1948,51,13174,11003,116298,87695,109463,105146,387,7226,24581,46837,33313,29925,32380,22128,11372,5364,1869,873,1073,2,0,0,11,19,49,123,287,491,589,379,2804,4639,16207,158114,14452,18780,28496,152309,34191,25,46,255,1550,36,36,177,1714,57,11089,90026,113881,94,191,636,781,972,1613,2196,2352,1651,517,4602,13167,24984,18461,16775,18217,12144,5351,1990,607,2530,11223,21217,14071,12178,12550,7788,3669,1723,745,1465,8,9,46,59,134,247,372,344,187,59,361956
