"","Date","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90+ years"
"1",2020-03-15,0,0,0,0,0,0,0,0,0,0
"74",2020-03-16,0,0,0,0,0,0,0,0,0,0
"147",2020-03-17,0,0,0,0,0,0,0,0,0,0
"63081",2020-03-18,0,0,0,0,0,0,0,0,0,0
"63154",2020-03-19,0,0,0,0,0,0,0,0,0,0
"63227",2020-03-20,0,0,0,0,0,0,0,0,0,0
"63300",2020-03-21,0,0,0,0,0,0,0,0,0,0
"63373",2020-03-22,0,0,0,0,0,0,0,0,0,0
"63446",2020-03-23,0,0,0,0,0,0,0,0,0,0
"63519",2020-03-24,0,0,0,0,0,0,0,0,0,0
"63592",2020-03-25,0,0,0,0,0,0,0,0,0,0
"63665",2020-03-26,0,0,0,0,0,0,0,0,0,0
"63738",2020-03-27,0,0,0,0,0,0,0,0,0,0
"63811",2020-03-28,0,0,0,0,0,0,0,0,0,0
"63884",2020-03-29,0,0,0,0,0,4,3,3,2,1
"63957",2020-03-30,0,0,0,0,1,4,3,3,2,1
"64030",2020-03-31,0,0,0,0,1,4,3,4,3,1
"64103",2020-04-01,0,0,0,0,1,6,5,6,5,1
"64176",2020-04-02,0,0,0,1,1,6,5,9,7,2
"64249",2020-04-03,0,0,0,1,1,6,5,12,9,3
"64322",2020-04-04,0,0,0,2,1,8,9,16,14,6
"64395",2020-04-05,0,0,0,2,1,10,10,22,16,7
"64468",2020-04-06,0,0,0,2,1,11,11,25,18,9
"64541",2020-04-07,0,0,0,2,2,11,15,32,20,10
"64614",2020-04-08,0,0,0,2,2,11,16,35,23,10
"64687",2020-04-09,0,0,0,3,2,12,17,39,26,12
"64760",2020-04-10,0,0,0,3,2,15,24,42,27,15
"64833",2020-04-11,0,0,0,3,4,15,25,42,30,18
"66551",2020-04-12,0,0,0,3,4,15,25,45,33,19
"67783",2020-04-13,0,0,0,4,5,16,27,48,34,20
"70495",2020-04-14,0,0,0,4,5,16,34,51,39,21
"70733",2020-04-15,0,0,0,4,5,18,35,56,41,23
"72208",2020-04-16,0,0,0,4,6,20,38,59,44,26
"74303",2020-04-17,0,0,0,4,6,20,41,61,47,26
"75158",2020-04-18,0,0,0,4,6,20,41,65,47,28
"76633",2020-04-19,0,0,2,4,6,20,42,67,48,31
"78247",2020-04-20,0,0,2,4,7,20,43,67,52,35
"79583",2020-04-21,0,0,2,4,8,21,43,72,55,37
"82055",2020-04-22,0,0,2,4,8,21,43,73,56,39
"82533",2020-04-23,0,0,2,4,9,22,44,78,58,40
"84008",2020-04-24,0,0,2,4,10,22,45,80,58,41
