"age","date","cum.deaths","daily.deaths","code"
"65-74",2020-11-04,957,NA,"AL"
"75-84",2020-11-04,1056,NA,"AL"
"5-14",2020-11-04,0,NA,"AL"
"35-44",2020-11-04,80,NA,"AL"
"85+",2020-11-04,959,NA,"AL"
"1-4",2020-11-04,0,NA,"AL"
"55-64",2020-11-04,527,NA,"AL"
"45-54",2020-11-04,233,NA,"AL"
"0-1",2020-11-04,0,NA,"AL"
"15-24",2020-11-04,0,NA,"AL"
"25-34",2020-11-04,29,NA,"AL"
"65-74",2020-11-05,961,4,"AL"
"65-74",2020-11-06,966,5,"AL"
"65-74",2020-11-07,972,6,"AL"
"65-74",2020-11-08,972,0,"AL"
"65-74",2020-11-09,972,0,"AL"
"65-74",2020-11-10,979,7,"AL"
"65-74",2020-11-11,995,16,"AL"
"75-84",2020-11-05,1059,3,"AL"
"75-84",2020-11-06,1063,4,"AL"
"75-84",2020-11-07,1070,7,"AL"
"75-84",2020-11-08,1070,0,"AL"
"75-84",2020-11-09,1070,0,"AL"
"75-84",2020-11-10,1077,7,"AL"
"75-84",2020-11-11,1094,17,"AL"
"5-14",2020-11-05,0,0,"AL"
"5-14",2020-11-06,0,0,"AL"
"5-14",2020-11-07,0,0,"AL"
"5-14",2020-11-08,0,0,"AL"
"5-14",2020-11-09,0,0,"AL"
"5-14",2020-11-10,0,0,"AL"
"5-14",2020-11-11,0,0,"AL"
"35-44",2020-11-05,80,0,"AL"
"35-44",2020-11-06,80,0,"AL"
"35-44",2020-11-07,80,0,"AL"
"35-44",2020-11-08,80,0,"AL"
"35-44",2020-11-09,80,0,"AL"
"35-44",2020-11-10,80,0,"AL"
"35-44",2020-11-11,81,1,"AL"
"85+",2020-11-05,964,5,"AL"
"85+",2020-11-06,970,6,"AL"
"85+",2020-11-07,978,8,"AL"
"85+",2020-11-08,978,0,"AL"
"85+",2020-11-09,978,0,"AL"
"85+",2020-11-10,987,9,"AL"
"85+",2020-11-11,1007,20,"AL"
"1-4",2020-11-05,0,0,"AL"
"1-4",2020-11-06,0,0,"AL"
"1-4",2020-11-07,0,0,"AL"
"1-4",2020-11-08,0,0,"AL"
"1-4",2020-11-09,0,0,"AL"
"1-4",2020-11-10,0,0,"AL"
"1-4",2020-11-11,0,0,"AL"
"55-64",2020-11-05,529,2,"AL"
"55-64",2020-11-06,531,2,"AL"
"55-64",2020-11-07,535,4,"AL"
"55-64",2020-11-08,535,0,"AL"
"55-64",2020-11-09,535,0,"AL"
"55-64",2020-11-10,539,4,"AL"
"55-64",2020-11-11,547,8,"AL"
"45-54",2020-11-05,233,0,"AL"
"45-54",2020-11-06,233,0,"AL"
"45-54",2020-11-07,234,1,"AL"
"45-54",2020-11-08,234,0,"AL"
"45-54",2020-11-09,234,0,"AL"
"45-54",2020-11-10,235,1,"AL"
"45-54",2020-11-11,238,3,"AL"
"0-1",2020-11-05,0,0,"AL"
"0-1",2020-11-06,0,0,"AL"
"0-1",2020-11-07,0,0,"AL"
"0-1",2020-11-08,0,0,"AL"
"0-1",2020-11-09,0,0,"AL"
"0-1",2020-11-10,0,0,"AL"
"0-1",2020-11-11,0,0,"AL"
"15-24",2020-11-05,0,0,"AL"
"15-24",2020-11-06,0,0,"AL"
"15-24",2020-11-07,0,0,"AL"
"15-24",2020-11-08,0,0,"AL"
"15-24",2020-11-09,0,0,"AL"
"15-24",2020-11-10,0,0,"AL"
"15-24",2020-11-11,0,0,"AL"
"25-34",2020-11-05,29,0,"AL"
"25-34",2020-11-06,29,0,"AL"
"25-34",2020-11-07,29,0,"AL"
"25-34",2020-11-08,29,0,"AL"
"25-34",2020-11-09,29,0,"AL"
"25-34",2020-11-10,29,0,"AL"
"25-34",2020-11-11,30,1,"AL"
"65-74",2020-11-12,997,2,"AL"
"75-84",2020-11-12,1098,4,"AL"
"5-14",2020-11-12,0,0,"AL"
"35-44",2020-11-12,82,1,"AL"
"85+",2020-11-12,1009,2,"AL"
"1-4",2020-11-12,0,0,"AL"
"55-64",2020-11-12,549,2,"AL"
"45-54",2020-11-12,241,3,"AL"
"0-1",2020-11-12,0,0,"AL"
"15-24",2020-11-12,0,0,"AL"
"25-34",2020-11-12,30,0,"AL"
"65-74",2020-11-13,1002,5,"AL"
"65-74",2020-11-14,1007,5,"AL"
"65-74",2020-11-15,1008,1,"AL"
"65-74",2020-11-16,1009,1,"AL"
"65-74",2020-11-17,1023,14,"AL"
"75-84",2020-11-13,1106,8,"AL"
"75-84",2020-11-14,1113,7,"AL"
"75-84",2020-11-15,1117,4,"AL"
"75-84",2020-11-16,1120,3,"AL"
"75-84",2020-11-17,1136,16,"AL"
"5-14",2020-11-13,0,0,"AL"
"5-14",2020-11-14,0,0,"AL"
"5-14",2020-11-15,0,0,"AL"
"5-14",2020-11-16,0,0,"AL"
"5-14",2020-11-17,0,0,"AL"
"35-44",2020-11-13,82,0,"AL"
"35-44",2020-11-14,82,0,"AL"
"35-44",2020-11-15,82,0,"AL"
"35-44",2020-11-16,82,0,"AL"
"35-44",2020-11-17,83,1,"AL"
"85+",2020-11-13,1014,5,"AL"
"85+",2020-11-14,1019,5,"AL"
"85+",2020-11-15,1020,1,"AL"
"85+",2020-11-16,1020,0,"AL"
"85+",2020-11-17,1036,16,"AL"
"1-4",2020-11-13,0,0,"AL"
"1-4",2020-11-14,0,0,"AL"
"1-4",2020-11-15,0,0,"AL"
"1-4",2020-11-16,0,0,"AL"
"1-4",2020-11-17,0,0,"AL"
"55-64",2020-11-13,554,5,"AL"
"55-64",2020-11-14,559,5,"AL"
"55-64",2020-11-15,562,3,"AL"
"55-64",2020-11-16,565,3,"AL"
"55-64",2020-11-17,575,10,"AL"
"45-54",2020-11-13,242,1,"AL"
"45-54",2020-11-14,243,1,"AL"
"45-54",2020-11-15,243,0,"AL"
"45-54",2020-11-16,243,0,"AL"
"45-54",2020-11-17,246,3,"AL"
"0-1",2020-11-13,0,0,"AL"
"0-1",2020-11-14,0,0,"AL"
"0-1",2020-11-15,0,0,"AL"
"0-1",2020-11-16,0,0,"AL"
"0-1",2020-11-17,0,0,"AL"
"15-24",2020-11-13,0,0,"AL"
"15-24",2020-11-14,0,0,"AL"
"15-24",2020-11-15,0,0,"AL"
"15-24",2020-11-16,0,0,"AL"
"15-24",2020-11-17,0,0,"AL"
"25-34",2020-11-13,30,0,"AL"
"25-34",2020-11-14,30,0,"AL"
