"","code","location_name","date","deaths_mean","daily_deaths","cumulative_deaths","daily_cases","state_name","pop_density","pop_count","region_federal","region_census","region_census_sub","consortium","region_census_sub_revised","region_same_as_census","governor_party"
"1","AK","Alaska",2020-02-01,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"2","AK","Alaska",2020-02-02,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"3","AK","Alaska",2020-02-03,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"4","AK","Alaska",2020-02-04,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"5","AK","Alaska",2020-02-05,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"6","AK","Alaska",2020-02-06,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"7","AK","Alaska",2020-02-07,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"8","AK","Alaska",2020-02-08,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"9","AK","Alaska",2020-02-09,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"10","AK","Alaska",2020-02-10,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"11","AK","Alaska",2020-02-11,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"12","AK","Alaska",2020-02-12,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"13","AK","Alaska",2020-02-13,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"14","AK","Alaska",2020-02-14,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"15","AK","Alaska",2020-02-15,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"16","AK","Alaska",2020-02-16,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"17","AK","Alaska",2020-02-17,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"18","AK","Alaska",2020-02-18,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"19","AK","Alaska",2020-02-19,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"20","AK","Alaska",2020-02-20,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"21","AK","Alaska",2020-02-21,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"22","AK","Alaska",2020-02-22,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"23","AK","Alaska",2020-02-23,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"24","AK","Alaska",2020-02-24,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"25","AK","Alaska",2020-02-25,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"26","AK","Alaska",2020-02-26,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"27","AK","Alaska",2020-02-27,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"28","AK","Alaska",2020-02-28,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"29","AK","Alaska",2020-02-29,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"30","AK","Alaska",2020-03-01,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"31","AK","Alaska",2020-03-02,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"32","AK","Alaska",2020-03-03,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"33","AK","Alaska",2020-03-04,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"34","AK","Alaska",2020-03-05,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"35","AK","Alaska",2020-03-06,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"36","AK","Alaska",2020-03-07,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"37","AK","Alaska",2020-03-08,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"38","AK","Alaska",2020-03-09,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"39","AK","Alaska",2020-03-10,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"40","AK","Alaska",2020-03-11,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"41","AK","Alaska",2020-03-12,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"42","AK","Alaska",2020-03-13,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"43","AK","Alaska",2020-03-14,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"44","AK","Alaska",2020-03-15,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"45","AK","Alaska",2020-03-16,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"46","AK","Alaska",2020-03-17,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"47","AK","Alaska",2020-03-18,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"48","AK","Alaska",2020-03-19,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"49","AK","Alaska",2020-03-20,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"50","AK","Alaska",2020-03-21,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"51","AK","Alaska",2020-03-22,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"52","AK","Alaska",2020-03-23,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"53","AK","Alaska",2020-03-24,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"54","AK","Alaska",2020-03-25,1,1,1,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"55","AK","Alaska",2020-03-26,0,0,1,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"56","AK","Alaska",2020-03-27,0,0,1,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"57","AK","Alaska",2020-03-28,1,1,2,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
