"","code","date","cumulative_cases","cumulative_deaths","daily_cases","daily_deaths","state_name","pop_density","pop_count","region_federal","region_census","region_census_sub","consortium","region_census_sub_revised","region_same_as_census","governor_party"
"18","AK",2020-02-18,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"19","AK",2020-02-19,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"20","AK",2020-02-20,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"21","AK",2020-02-21,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"22","AK",2020-02-22,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"23","AK",2020-02-23,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"24","AK",2020-02-24,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"25","AK",2020-02-25,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"26","AK",2020-02-26,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"27","AK",2020-02-27,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"28","AK",2020-02-28,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"29","AK",2020-02-29,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"30","AK",2020-03-01,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"31","AK",2020-03-02,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"32","AK",2020-03-03,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"33","AK",2020-03-04,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"34","AK",2020-03-05,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"35","AK",2020-03-06,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"36","AK",2020-03-07,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"37","AK",2020-03-08,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"38","AK",2020-03-09,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"39","AK",2020-03-10,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"40","AK",2020-03-11,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"41","AK",2020-03-12,0,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"42","AK",2020-03-13,1,0,1,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"43","AK",2020-03-14,1,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"44","AK",2020-03-15,1,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"45","AK",2020-03-16,1,0,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"46","AK",2020-03-17,3,0,2,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"47","AK",2020-03-18,6,0,3,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"48","AK",2020-03-19,9,0,3,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"49","AK",2020-03-20,12,0,3,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"50","AK",2020-03-21,15,0,3,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"51","AK",2020-03-22,20,0,5,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"52","AK",2020-03-23,30,0,10,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"53","AK",2020-03-24,34,0,4,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"54","AK",2020-03-25,41,1,7,1,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"55","AK",2020-03-26,56,1,15,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"56","AK",2020-03-27,58,1,2,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"57","AK",2020-03-28,85,2,27,1,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"58","AK",2020-03-29,102,2,17,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"59","AK",2020-03-30,114,3,12,1,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"60","AK",2020-03-31,119,3,5,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"61","AK",2020-04-01,132,3,13,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"62","AK",2020-04-02,143,3,11,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"63","AK",2020-04-03,157,3,14,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"64","AK",2020-04-04,171,5,14,2,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"65","AK",2020-04-05,185,6,14,1,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"66","AK",2020-04-06,190,6,5,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"67","AK",2020-04-07,213,6,23,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"68","AK",2020-04-08,226,7,13,1,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"69","AK",2020-04-09,235,7,9,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"70","AK",2020-04-10,246,7,11,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"71","AK",2020-04-11,257,8,11,1,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"72","AK",2020-04-12,272,8,15,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"73","AK",2020-04-13,277,8,5,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"74","AK",2020-04-14,285,9,8,1,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"75","AK",2020-04-15,293,9,8,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"76","AK",2020-04-16,300,9,7,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"77","AK",2020-04-17,309,9,9,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"78","AK",2020-04-18,314,9,5,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"79","AK",2020-04-19,319,9,5,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"80","AK",2020-04-20,321,9,2,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"81","AK",2020-04-21,329,9,8,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"82","AK",2020-04-22,335,9,6,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"83","AK",2020-04-23,337,9,2,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"84","AK",2020-04-24,339,9,2,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"85","AK",2020-04-25,339,9,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"86","AK",2020-04-26,340,9,1,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"87","AK",2020-04-27,345,9,5,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"88","AK",2020-04-28,351,9,6,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"89","AK",2020-04-29,355,9,4,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"90","AK",2020-04-30,355,9,0,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"91","AK",2020-05-01,364,9,9,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"92","AK",2020-05-02,365,9,1,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"93","AK",2020-05-03,368,9,3,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"94","AK",2020-05-04,370,9,2,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"95","AK",2020-05-05,371,9,1,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"96","AK",2020-05-06,372,10,1,1,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"97","AK",2020-05-07,374,10,2,0,"Alaska",1,738432,10,"West","Pacific","","Pacific",1,"R"
"99","AL",2020-02-01,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"100","AL",2020-02-02,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"101","AL",2020-02-03,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"102","AL",2020-02-04,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"103","AL",2020-02-05,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"104","AL",2020-02-06,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"105","AL",2020-02-07,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"106","AL",2020-02-08,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"107","AL",2020-02-09,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"108","AL",2020-02-10,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"109","AL",2020-02-11,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"110","AL",2020-02-12,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"111","AL",2020-02-13,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"112","AL",2020-02-14,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"113","AL",2020-02-15,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"114","AL",2020-02-16,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"115","AL",2020-02-17,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"116","AL",2020-02-18,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"117","AL",2020-02-19,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"118","AL",2020-02-20,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"119","AL",2020-02-21,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"120","AL",2020-02-22,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"121","AL",2020-02-23,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"122","AL",2020-02-24,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"123","AL",2020-02-25,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"124","AL",2020-02-26,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"125","AL",2020-02-27,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"126","AL",2020-02-28,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"127","AL",2020-02-29,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"128","AL",2020-03-01,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"129","AL",2020-03-02,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"130","AL",2020-03-03,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
