Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
6/9/2020,Western Tidewater,40-49,87,5,1
6/9/2020,Richmond,50-59,231,36,2
6/9/2020,Western Tidewater,50-59,119,12,2
6/9/2020,Crater,Missing,7,0,0
6/9/2020,Arlington,50-59,351,61,6
6/9/2020,Piedmont,70-79,48,13,2
6/9/2020,Alexandria,60-69,184,41,2
6/9/2020,Portsmouth,30-39,79,3,0
6/9/2020,Lenowisco,20-29,6,0,0
6/9/2020,Central Virginia,30-39,42,2,0
6/9/2020,Norfolk,10-19,38,1,0
6/9/2020,New River,10-19,7,0,0
6/9/2020,Central Virginia,20-29,37,2,0
6/9/2020,Rappahannock,50-59,304,39,2
6/9/2020,Rappahannock,60-69,170,39,5
6/9/2020,Piedmont,20-29,127,0,0
6/9/2020,New River,60-69,19,2,0
6/9/2020,Roanoke,40-49,28,1,0
6/9/2020,Three Rivers,20-29,96,3,0
6/9/2020,Rappahannock,40-49,361,31,2
6/9/2020,Portsmouth,80+,18,6,3
6/9/2020,Central Shenandoah,Missing,0,0,0
6/9/2020,Eastern Shore,70-79,45,13,8
6/9/2020,Mount Rogers,70-79,37,17,2
6/9/2020,Cumberland Plateau,70-79,2,0,0
6/9/2020,Piedmont,10-19,19,0,0
6/9/2020,Southside,20-29,30,2,0
6/9/2020,Chesterfield,50-59,305,21,1
6/9/2020,Rappahannock Rapidan,20-29,255,4,0
6/9/2020,Cumberland Plateau,60-69,4,1,0
6/9/2020,Roanoke,70-79,10,3,0
6/9/2020,Central Shenandoah,20-29,309,5,0
6/9/2020,Pittsylvania-Danville,80+,3,2,2
6/9/2020,Virginia Beach,80+,74,24,17
6/9/2020,Central Shenandoah,50-59,313,27,1
6/9/2020,Lenowisco,Missing,0,0,0
6/9/2020,Fairfax,30-39,2506,146,4
6/9/2020,Lenowisco,60-69,5,4,2
6/9/2020,Loudoun,30-39,588,16,0
6/9/2020,West Piedmont,80+,10,4,0
6/9/2020,Roanoke,80+,38,3,10
6/9/2020,Fairfax,40-49,2438,213,8
6/9/2020,Thomas Jefferson,80+,70,22,14
6/9/2020,Roanoke,20-29,34,0,0
6/9/2020,Henrico,60-69,256,39,23
6/9/2020,Lord Fairfax,40-49,259,10,1
6/9/2020,Western Tidewater,Missing,4,0,0
6/9/2020,Rappahannock,20-29,319,9,0
6/9/2020,West Piedmont,20-29,38,0,0
6/9/2020,Arlington,70-79,162,70,31
