Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
7/20/2020,West Piedmont,20-29,110,2,0
7/20/2020,Arlington,70-79,177,73,33
7/20/2020,Chickahominy,50-59,134,23,1
7/20/2020,Alleghany,40-49,99,2,0
7/20/2020,Prince William,50-59,1552,198,15
7/20/2020,Mount Rogers,0-9,40,1,0
7/20/2020,Eastern Shore,0-9,21,2,0
7/20/2020,Thomas Jefferson,60-69,120,25,3
7/20/2020,Pittsylvania-Danville,70-79,32,13,1
7/20/2020,Chesterfield,80+,158,35,47
7/20/2020,Richmond,0-9,112,6,0
7/20/2020,Chesapeake,80+,82,27,14
7/20/2020,Peninsula,40-49,294,12,1
7/20/2020,Henrico,0-9,116,2,0
7/20/2020,Lenowisco,80+,6,1,0
7/20/2020,Piedmont,60-69,153,22,2
7/20/2020,West Piedmont,0-9,22,1,0
7/20/2020,Rappahannock Rapidan,70-79,46,14,8
7/20/2020,Central Shenandoah,70-79,152,44,13
7/20/2020,Chesapeake,30-39,342,13,0
7/20/2020,Chickahominy,0-9,17,0,0
7/20/2020,Prince William,0-9,387,10,0
7/20/2020,Eastern Shore,50-59,276,20,5
7/20/2020,Mount Rogers,50-59,140,9,1
7/20/2020,Loudoun,10-19,646,0,0
7/20/2020,Southside,80+,83,12,13
7/20/2020,Central Virginia,80+,27,2,0
7/20/2020,Rappahannock,Missing,23,0,0
7/20/2020,Rappahannock Rapidan,30-39,346,18,1
7/20/2020,New River,50-59,44,4,0
7/20/2020,Richmond,80+,40,21,9
7/20/2020,Mount Rogers,20-29,158,0,0
7/20/2020,Eastern Shore,20-29,199,6,0
7/20/2020,Hampton,10-19,46,0,0
7/20/2020,Portsmouth,0-9,34,3,0
7/20/2020,Crater,70-79,159,40,18
7/20/2020,Chesterfield,40-49,649,24,3
7/20/2020,Alexandria,Missing,11,0,0
7/20/2020,Southside,30-39,85,4,0
7/20/2020,Prince William,Missing,154,3,0
7/20/2020,Hampton,60-69,67,11,2
7/20/2020,Fairfax,20-29,2412,87,3
7/20/2020,Thomas Jefferson,0-9,63,1,0
7/20/2020,Lenowisco,40-49,12,2,0
7/20/2020,Central Virginia,10-19,82,1,0
7/20/2020,Lenowisco,70-79,15,6,1
7/20/2020,Crater,Missing,14,0,0
