Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
7/13/2020,Chesterfield,0-9,125,0,0
7/13/2020,Central Shenandoah,10-19,128,1,0
7/13/2020,Crater,0-9,30,1,0
7/13/2020,Fairfax,70-79,683,246,110
7/13/2020,Rappahannock,80+,98,33,19
7/13/2020,Alexandria,10-19,180,4,0
7/13/2020,Portsmouth,40-49,94,7,0
7/13/2020,Three Rivers,50-59,113,9,1
7/13/2020,Alleghany,Missing,2,0,0
7/13/2020,Alexandria,30-39,560,31,0
7/13/2020,Southside,Missing,0,0,0
7/13/2020,Portsmouth,60-69,75,19,6
7/13/2020,Roanoke,30-39,133,1,0
7/13/2020,Three Rivers,60-69,81,14,1
7/13/2020,Fairfax,50-59,2281,301,33
7/13/2020,Portsmouth,50-59,99,21,2
7/13/2020,Chickahominy,80+,82,34,26
7/13/2020,Rappahannock Rapidan,50-59,232,29,2
7/13/2020,Fairfax,80+,792,298,290
7/13/2020,Hampton,Missing,12,0,0
7/13/2020,Cumberland Plateau,80+,4,2,0
7/13/2020,Alleghany,50-59,89,5,1
7/13/2020,Prince William,40-49,2039,151,7
7/13/2020,Fairfax,Missing,156,4,0
7/13/2020,Virginia Beach,40-49,260,19,1
7/13/2020,Richmond,Missing,21,0,0
7/13/2020,Norfolk,40-49,201,14,1
7/13/2020,Piedmont,80+,49,21,11
7/13/2020,Virginia Beach,60-69,173,21,2
7/13/2020,West Piedmont,40-49,104,8,2
7/13/2020,Arlington,10-19,114,5,0
7/13/2020,Lenowisco,0-9,3,0,0
7/13/2020,Pittsylvania-Danville,50-59,61,12,0
7/13/2020,Virginia Beach,50-59,225,18,0
7/13/2020,Chesapeake,Missing,26,1,0
7/13/2020,Central Shenandoah,80+,119,30,16
7/13/2020,Thomas Jefferson,40-49,195,15,0
7/13/2020,Rappahannock Rapidan,60-69,127,17,4
7/13/2020,Norfolk,30-39,305,15,1
7/13/2020,Rappahannock Rapidan,Missing,8,0,0
7/13/2020,Lord Fairfax,80+,154,37,40
7/13/2020,Three Rivers,10-19,37,0,0
7/13/2020,Piedmont,40-49,201,11,0
7/13/2020,Norfolk,80+,44,11,5
7/13/2020,Peninsula,20-29,329,1,0
7/13/2020,Norfolk,50-59,175,23,3
7/13/2020,Thomas Jefferson,50-59,152,12,2
7/13/2020,Richmond,70-79,87,37,14
7/13/2020,Chesterfield,70-79,133,25,20
7/13/2020,Piedmont,30-39,222,5,0
7/13/2020,Prince William,30-39,1827,93,2
7/13/2020,Alleghany,20-29,117,1,0
7/13/2020,Alleghany,0-9,14,0,0
7/13/2020,Mount Rogers,40-49,125,3,1
7/13/2020,Eastern Shore,40-49,247,10,2
7/13/2020,Central Virginia,60-69,53,4,2
7/13/2020,Richmond,10-19,201,2,0
7/13/2020,Pittsylvania-Danville,60-69,41,10,1
7/13/2020,Pittsylvania-Danville,Missing,0,0,0
7/13/2020,Chesterfield,60-69,308,43,11
7/13/2020,Southside,10-19,12,0,0
7/13/2020,New River,80+,13,4,2
7/13/2020,Central Virginia,50-59,78,2,2
7/13/2020,Hampton,70-79,29,8,0
7/13/2020,Pittsylvania-Danville,10-19,17,0,0
7/13/2020,Richmond,60-69,215,48,6
7/13/2020,Chickahominy,40-49,99,12,1
7/13/2020,Three Rivers,80+,36,8,4
7/13/2020,Rappahannock,30-39,507,24,0
7/13/2020,Norfolk,0-9,52,2,0
7/13/2020,Cumberland Plateau,40-49,19,0,0
7/13/2020,Eastern Shore,10-19,59,1,0
7/13/2020,Mount Rogers,10-19,65,0,0
7/13/2020,Rappahannock Rapidan,0-9,79,1,0
7/13/2020,Three Rivers,0-9,10,1,0
7/13/2020,Henrico,40-49,426,26,2
7/13/2020,Alexandria,50-59,314,51,10
7/13/2020,Arlington,0-9,52,2,0
7/13/2020,Chickahominy,Missing,15,0,0
7/13/2020,New River,20-29,85,0,0
7/13/2020,Virginia Beach,20-29,525,9,0
7/13/2020,Chesapeake,50-59,197,26,1
7/13/2020,Alleghany,80+,43,8,6
7/13/2020,Fairfax,10-19,916,26,0
7/13/2020,Chesapeake,60-69,137,32,5
7/13/2020,West Piedmont,Missing,0,0,0
7/13/2020,Peninsula,80+,64,26,15
7/13/2020,Crater,40-49,241,15,1
7/13/2020,Chesapeake,40-49,195,27,1
7/13/2020,Thomas Jefferson,20-29,217,2,0
7/13/2020,Lord Fairfax,20-29,373,5,0
7/13/2020,Norfolk,20-29,486,5,0
7/13/2020,Arlington,30-39,473,42,0
7/13/2020,West Piedmont,60-69,66,8,0
7/13/2020,Henrico,50-59,367,40,8
7/13/2020,West Piedmont,50-59,113,15,1
7/13/2020,Cumberland Plateau,20-29,9,0,0
7/13/2020,Alexandria,70-79,104,38,19
7/13/2020,Portsmouth,20-29,161,9,0
7/13/2020,Western Tidewater,30-39,156,10,0
7/13/2020,Central Shenandoah,0-9,62,0,0
7/13/2020,Henrico,80+,324,66,86
7/13/2020,Alexandria,0-9,137,2,0
7/13/2020,Pittsylvania-Danville,40-49,65,6,0
7/13/2020,Henrico,20-29,416,15,0
7/13/2020,Roanoke,60-69,39,3,0
7/13/2020,Peninsula,30-39,255,7,1
7/13/2020,Alleghany,60-69,68,7,1
7/13/2020,Prince William,70-79,318,98,44
7/13/2020,Norfolk,60-69,156,31,2
7/13/2020,Southside,40-49,64,5,0
7/13/2020,Chesterfield,30-39,676,11,0
7/13/2020,Loudoun,70-79,144,46,18
7/13/2020,Central Virginia,40-49,73,0,0
7/13/2020,New River,Missing,0,0,0
7/13/2020,Chickahominy,20-29,110,1,0
7/13/2020,New River,0-9,8,0,0
7/13/2020,Cumberland Plateau,0-9,2,0,0
7/13/2020,Three Rivers,70-79,37,8,5
7/13/2020,Rappahannock Rapidan,40-49,317,20,2
7/13/2020,Hampton,0-9,20,0,0
7/13/2020,Piedmont,50-59,201,23,1
7/13/2020,Rappahannock,20-29,464,13,0
7/13/2020,West Piedmont,20-29,93,1,0
7/13/2020,Arlington,70-79,176,72,33
7/13/2020,Chesapeake,0-9,39,1,0
7/13/2020,Peninsula,50-59,193,21,3
7/13/2020,Cumberland Plateau,Missing,0,0,0
7/13/2020,Peninsula,60-69,158,29,3
7/13/2020,Lord Fairfax,30-39,365,11,1
7/13/2020,Virginia Beach,Missing,60,0,0
7/13/2020,Arlington,40-49,440,49,7
7/13/2020,West Piedmont,10-19,76,0,0
7/13/2020,Chickahominy,70-79,60,22,7
7/13/2020,Pittsylvania-Danville,20-29,39,0,0
7/13/2020,Loudoun,50-59,684,59,2
7/13/2020,Richmond,30-39,527,25,1
7/13/2020,Thomas Jefferson,Missing,2,0,0
7/13/2020,Rappahannock Rapidan,80+,27,15,8
7/13/2020,Lord Fairfax,Missing,2,0,0
7/13/2020,Cumberland Plateau,50-59,10,1,0
7/13/2020,Loudoun,Missing,65,0,1
7/13/2020,Southside,50-59,69,10,0
7/13/2020,Chesterfield,20-29,586,7,0
7/13/2020,Norfolk,70-79,68,26,4
7/13/2020,Alleghany,10-19,85,0,0
7/13/2020,Crater,80+,118,20,12
7/13/2020,Portsmouth,Missing,15,0,0
7/13/2020,Western Tidewater,10-19,33,0,0
7/13/2020,Chesterfield,10-19,321,0,0
7/13/2020,Southside,60-69,63,14,5
7/13/2020,Chickahominy,50-59,120,23,1
7/13/2020,Alleghany,40-49,86,1,0
7/13/2020,Prince William,50-59,1497,196,15
7/13/2020,Mount Rogers,0-9,39,1,0
7/13/2020,Eastern Shore,0-9,20,2,0
7/13/2020,Thomas Jefferson,60-69,97,19,3
7/13/2020,Pittsylvania-Danville,70-79,25,12,1
7/13/2020,Chesterfield,80+,146,30,46
7/13/2020,Richmond,0-9,108,6,0
7/13/2020,Chesapeake,80+,74,25,12
7/13/2020,Peninsula,40-49,201,8,1
7/13/2020,Henrico,0-9,105,2,0
7/13/2020,Lenowisco,80+,5,0,0
7/13/2020,Piedmont,60-69,142,21,2
7/13/2020,West Piedmont,0-9,17,1,0
7/13/2020,Rappahannock Rapidan,70-79,43,13,8
7/13/2020,Central Shenandoah,70-79,139,40,12
7/13/2020,Chesapeake,30-39,256,11,0
7/13/2020,Chickahominy,0-9,15,0,0
7/13/2020,Prince William,0-9,362,10,0
7/13/2020,Eastern Shore,50-59,275,19,5
7/13/2020,Mount Rogers,50-59,111,7,1
7/13/2020,Loudoun,10-19,594,0,0
7/13/2020,Southside,80+,82,12,13
7/13/2020,Central Virginia,80+,20,2,0
7/13/2020,Rappahannock,Missing,20,0,0
7/13/2020,Rappahannock Rapidan,30-39,330,18,1
7/13/2020,New River,50-59,39,4,0
7/13/2020,Richmond,80+,40,21,10
7/13/2020,Mount Rogers,20-29,128,0,0
7/13/2020,Eastern Shore,20-29,199,6,0
7/13/2020,Hampton,10-19,31,0,0
7/13/2020,Portsmouth,0-9,27,3,0
7/13/2020,Crater,70-79,153,38,18
7/13/2020,Chesterfield,40-49,608,20,3
7/13/2020,Alexandria,Missing,11,0,0
7/13/2020,Southside,30-39,72,4,0
7/13/2020,Prince William,Missing,147,2,0
7/13/2020,Hampton,60-69,59,11,2
7/13/2020,Fairfax,20-29,2319,78,3
7/13/2020,Thomas Jefferson,0-9,57,1,0
7/13/2020,Lenowisco,40-49,9,2,0
7/13/2020,Central Virginia,10-19,68,1,0
7/13/2020,Lenowisco,70-79,9,4,1
7/13/2020,Arlington,50-59,390,66,6
7/13/2020,Piedmont,70-79,73,24,4
7/13/2020,Alexandria,60-69,208,47,2
7/13/2020,Portsmouth,30-39,155,7,1
7/13/2020,Lenowisco,20-29,13,0,0
7/13/2020,Central Virginia,30-39,76,1,0
7/13/2020,Norfolk,10-19,80,1,0
7/13/2020,New River,10-19,37,0,0
7/13/2020,Central Virginia,20-29,113,2,0
7/13/2020,Rappahannock,50-59,412,51,4
7/13/2020,Rappahannock,60-69,223,47,6
7/13/2020,Piedmont,20-29,177,2,0
7/13/2020,New River,60-69,28,5,0
7/13/2020,Roanoke,40-49,83,1,0
7/13/2020,Three Rivers,20-29,141,4,0
7/13/2020,Rappahannock,40-49,477,44,2
7/13/2020,Portsmouth,80+,18,8,5
7/13/2020,Central Shenandoah,Missing,1,0,0
7/13/2020,Eastern Shore,70-79,47,16,9
7/13/2020,Mount Rogers,70-79,71,28,12
7/13/2020,Cumberland Plateau,70-79,7,1,0
7/13/2020,Piedmont,10-19,37,0,0
7/13/2020,Southside,20-29,55,2,0
7/13/2020,Chesterfield,50-59,474,38,4
7/13/2020,Rappahannock Rapidan,20-29,295,4,0
7/13/2020,Cumberland Plateau,60-69,10,1,0
7/13/2020,Roanoke,70-79,17,3,1
7/13/2020,Central Shenandoah,20-29,443,8,0
7/13/2020,Pittsylvania-Danville,80+,10,5,2
7/13/2020,Virginia Beach,80+,107,33,22
7/13/2020,Central Shenandoah,50-59,399,33,3
7/13/2020,Lenowisco,Missing,0,0,0
7/13/2020,Fairfax,30-39,2823,182,6
7/13/2020,Lenowisco,60-69,7,5,2
7/13/2020,Loudoun,30-39,764,27,0
7/13/2020,West Piedmont,80+,18,9,1
7/13/2020,Roanoke,80+,43,3,9
7/13/2020,Fairfax,40-49,2741,258,9
7/13/2020,Thomas Jefferson,80+,104,27,19
7/13/2020,Roanoke,20-29,135,3,0
7/13/2020,Henrico,60-69,303,51,34
7/13/2020,Lord Fairfax,40-49,347,17,1
7/13/2020,Western Tidewater,Missing,9,0,0
7/13/2020,Chickahominy,60-69,79,21,6
7/13/2020,Chesapeake,20-29,254,4,0
7/13/2020,Three Rivers,Missing,4,0,0
7/13/2020,Henrico,10-19,197,3,0
7/13/2020,Mount Rogers,30-39,120,4,0
7/13/2020,Eastern Shore,30-39,234,8,0
7/13/2020,Virginia Beach,0-9,49,0,0
7/13/2020,Lenowisco,50-59,17,5,0
7/13/2020,Chesapeake,70-79,78,29,3
7/13/2020,Western Tidewater,80+,150,26,33
7/13/2020,Thomas Jefferson,10-19,89,1,0
7/13/2020,Richmond,40-49,400,29,3
7/13/2020,Lord Fairfax,50-59,361,27,2
7/13/2020,Lord Fairfax,10-19,156,1,0
7/13/2020,Rappahannock Rapidan,10-19,137,3,0
7/13/2020,Crater,50-59,302,33,3
7/13/2020,Arlington,Missing,11,1,0
7/13/2020,Roanoke,50-59,54,1,0
7/13/2020,Rappahannock,10-19,251,3,0
7/13/2020,Roanoke,10-19,63,0,0
7/13/2020,Eastern Shore,Missing,6,0,0
7/13/2020,Mount Rogers,Missing,1,0,0
7/13/2020,Prince William,60-69,800,166,42
7/13/2020,Alleghany,70-79,59,7,7
7/13/2020,Crater,20-29,262,7,0
7/13/2020,Loudoun,60-69,260,50,6
7/13/2020,Fairfax,0-9,506,18,0
7/13/2020,Roanoke,Missing,4,0,0
7/13/2020,Alexandria,20-29,398,10,1
7/13/2020,Portsmouth,70-79,36,12,5
7/13/2020,Alleghany,30-39,83,2,0
7/13/2020,Prince William,20-29,1745,54,0
7/13/2020,Southside,70-79,63,10,13
7/13/2020,Piedmont,Missing,1,0,0
7/13/2020,Rappahannock,0-9,117,2,0
7/13/2020,Henrico,30-39,502,18,0
7/13/2020,Prince William,10-19,827,8,0
7/13/2020,Chickahominy,10-19,51,0,0
7/13/2020,Lord Fairfax,0-9,66,2,0
7/13/2020,Central Virginia,Missing,1,0,0
7/13/2020,Fairfax,60-69,1465,318,63
7/13/2020,Hampton,20-29,122,2,0
7/13/2020,Central Shenandoah,40-49,379,14,0
7/13/2020,Pittsylvania-Danville,0-9,11,0,0
7/13/2020,Crater,30-39,297,7,0
7/13/2020,Virginia Beach,70-79,101,27,7
7/13/2020,Virginia Beach,30-39,370,13,0
7/13/2020,Piedmont,0-9,23,0,0
7/13/2020,Central Shenandoah,30-39,349,7,0
7/13/2020,Hampton,50-59,69,9,1
7/13/2020,Peninsula,70-79,102,38,12
7/13/2020,Arlington,20-29,479,22,0
7/13/2020,West Piedmont,70-79,31,12,4
7/13/2020,Richmond,20-29,525,16,0
7/13/2020,Roanoke,0-9,17,0,0
7/13/2020,Hampton,30-39,101,3,0
7/13/2020,Thomas Jefferson,30-39,245,8,0
7/13/2020,Western Tidewater,40-49,132,6,2
7/13/2020,Richmond,50-59,308,54,1
7/13/2020,Western Tidewater,50-59,173,13,4
7/13/2020,Crater,Missing,9,0,0
7/13/2020,Lord Fairfax,60-69,238,49,14
7/13/2020,Western Tidewater,0-9,16,0,0
7/13/2020,Rappahannock,70-79,111,31,14
7/13/2020,Prince William,80+,240,81,72
7/13/2020,Hampton,80+,14,2,1
7/13/2020,Alexandria,80+,94,28,25
7/13/2020,Mount Rogers,60-69,100,10,0
7/13/2020,Eastern Shore,60-69,178,29,8
7/13/2020,Lord Fairfax,70-79,138,41,17
7/13/2020,New River,30-39,35,1,0
7/13/2020,Chesapeake,10-19,70,1,0
7/13/2020,Hampton,40-49,87,5,0
7/13/2020,Peninsula,Missing,12,0,0
7/13/2020,Henrico,70-79,218,48,42
7/13/2020,Western Tidewater,20-29,136,4,0
7/13/2020,Peninsula,0-9,55,0,0
7/13/2020,Loudoun,40-49,849,48,1
7/13/2020,Pittsylvania-Danville,30-39,42,1,0
7/13/2020,Loudoun,20-29,719,6,0
7/13/2020,Crater,60-69,248,47,15
7/13/2020,Loudoun,80+,192,50,71
7/13/2020,Arlington,80+,203,83,69
7/13/2020,Virginia Beach,10-19,108,0,0
7/13/2020,Mount Rogers,80+,80,27,21
7/13/2020,Eastern Shore,80+,50,22,18
7/13/2020,Crater,10-19,65,0,0
7/13/2020,Lenowisco,30-39,9,1,1
7/13/2020,Norfolk,Missing,21,1,0
7/13/2020,Henrico,Missing,33,1,1
7/13/2020,New River,40-49,45,1,0
7/13/2020,Central Virginia,0-9,7,0,0
7/13/2020,New River,70-79,19,8,4
7/13/2020,Loudoun,0-9,160,3,0
7/13/2020,Central Virginia,70-79,26,4,2
7/13/2020,Southside,0-9,7,0,0
7/13/2020,Three Rivers,40-49,166,12,2
7/13/2020,Chickahominy,30-39,98,2,0
7/13/2020,Central Shenandoah,60-69,281,47,11
7/13/2020,Western Tidewater,60-69,156,18,6
7/13/2020,Cumberland Plateau,30-39,15,0,0
7/13/2020,Portsmouth,10-19,34,0,0
7/13/2020,Chesterfield,Missing,89,0,0
7/13/2020,Alexandria,40-49,450,38,0
7/13/2020,Thomas Jefferson,70-79,78,21,5
7/13/2020,Three Rivers,30-39,174,3,0
7/13/2020,Western Tidewater,70-79,99,22,19
7/13/2020,Arlington,60-69,288,80,19
7/13/2020,Cumberland Plateau,10-19,25,0,0
7/13/2020,West Piedmont,30-39,98,3,0
7/13/2020,Peninsula,10-19,79,1,0
7/13/2020,Lenowisco,10-19,8,0,0
