Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
6/12/2020,Norfolk,0-9,17,0,0
6/12/2020,Cumberland Plateau,40-49,6,0,0
6/12/2020,Eastern Shore,10-19,55,1,0
6/12/2020,Mount Rogers,10-19,39,0,0
6/12/2020,Rappahannock Rapidan,0-9,69,1,0
6/12/2020,Three Rivers,0-9,9,1,0
6/12/2020,Henrico,40-49,314,22,1
6/12/2020,Alexandria,50-59,280,44,9
6/12/2020,Arlington,0-9,38,2,0
6/12/2020,Chickahominy,Missing,10,0,0
6/12/2020,New River,20-29,34,0,0
6/12/2020,Virginia Beach,20-29,155,2,0
6/12/2020,Chesapeake,50-59,107,19,1
6/12/2020,Alleghany,80+,24,8,5
6/12/2020,Fairfax,10-19,701,17,0
6/12/2020,Chesapeake,60-69,81,19,4
6/12/2020,West Piedmont,Missing,0,0,0
6/12/2020,Peninsula,80+,48,23,15
6/12/2020,Crater,40-49,175,12,1
6/12/2020,Chesapeake,40-49,104,16,0
6/12/2020,Thomas Jefferson,20-29,98,1,0
6/12/2020,Lord Fairfax,20-29,299,4,0
6/12/2020,Norfolk,20-29,146,1,0
6/12/2020,Arlington,30-39,418,41,0
6/12/2020,West Piedmont,60-69,38,3,0
6/12/2020,Henrico,50-59,274,29,7
6/12/2020,West Piedmont,50-59,72,9,1
6/12/2020,Cumberland Plateau,20-29,1,0,0
6/12/2020,Alexandria,70-79,99,36,15
6/12/2020,Portsmouth,20-29,62,3,0
6/12/2020,Western Tidewater,30-39,81,4,0
6/12/2020,Central Shenandoah,0-9,43,0,0
6/12/2020,Henrico,80+,303,64,68
6/12/2020,Alexandria,0-9,116,2,0
6/12/2020,Pittsylvania-Danville,40-49,27,5,0
6/12/2020,Henrico,20-29,290,15,0
6/12/2020,Roanoke,60-69,18,2,0
6/12/2020,Peninsula,30-39,111,7,1
6/12/2020,Alleghany,60-69,32,7,1
6/12/2020,Prince William,70-79,252,73,35
6/12/2020,Norfolk,60-69,60,18,1
6/12/2020,Southside,40-49,25,5,0
6/12/2020,Chesterfield,30-39,439,4,0
6/12/2020,Loudoun,70-79,127,37,11
6/12/2020,Central Virginia,40-49,41,0,0
6/12/2020,New River,Missing,0,0,0
6/12/2020,Chickahominy,20-29,65,0,0
6/12/2020,New River,0-9,3,0,0
6/12/2020,Cumberland Plateau,0-9,0,0,0
6/12/2020,Three Rivers,70-79,27,6,4
6/12/2020,Rappahannock Rapidan,40-49,269,16,2
6/12/2020,Hampton,0-9,8,0,0
6/12/2020,Piedmont,50-59,165,17,0
6/12/2020,Rappahannock,20-29,337,9,0
6/12/2020,West Piedmont,20-29,41,0,0
6/12/2020,Arlington,70-79,165,70,32
6/12/2020,Chickahominy,50-59,97,20,1
6/12/2020,Alleghany,40-49,30,0,0
6/12/2020,Prince William,50-59,1271,168,12
6/12/2020,Mount Rogers,0-9,24,1,0
6/12/2020,Eastern Shore,0-9,13,1,0
6/12/2020,Thomas Jefferson,60-69,62,17,2
6/12/2020,Pittsylvania-Danville,70-79,17,9,0
6/12/2020,Chesterfield,80+,125,25,30
6/12/2020,Richmond,0-9,65,2,0
6/12/2020,Chesapeake,80+,40,14,9
6/12/2020,Peninsula,40-49,92,5,1
6/12/2020,Henrico,0-9,85,1,0
6/12/2020,Lenowisco,80+,0,0,0
6/12/2020,Piedmont,60-69,124,17,2
6/12/2020,West Piedmont,0-9,7,0,0
6/12/2020,Rappahannock Rapidan,70-79,34,12,7
6/12/2020,Central Shenandoah,70-79,109,35,12
6/12/2020,Chesapeake,30-39,118,6,0
6/12/2020,Chickahominy,0-9,9,0,0
6/12/2020,Prince William,0-9,265,6,0
6/12/2020,Eastern Shore,50-59,270,17,5
6/12/2020,Mount Rogers,50-59,71,5,1
6/12/2020,Loudoun,10-19,220,0,0
6/12/2020,Southside,80+,76,11,12
6/12/2020,Central Virginia,80+,12,2,0
6/12/2020,Rappahannock,Missing,17,0,0
6/12/2020,Rappahannock Rapidan,30-39,271,14,1
6/12/2020,New River,50-59,25,3,0
6/12/2020,Richmond,80+,34,16,8
6/12/2020,Mount Rogers,20-29,74,0,0
6/12/2020,Eastern Shore,20-29,187,4,0
6/12/2020,Hampton,10-19,13,0,0
6/12/2020,Portsmouth,0-9,4,1,0
6/12/2020,Crater,70-79,113,22,6
6/12/2020,Chesterfield,40-49,406,14,2
6/12/2020,Alexandria,Missing,11,0,0
6/12/2020,Southside,30-39,26,0,0
6/12/2020,Prince William,Missing,124,1,0
