Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
6/11/2020,Henrico,70-79,190,43,33
6/11/2020,Western Tidewater,20-29,52,2,0
6/11/2020,Peninsula,0-9,26,0,0
6/11/2020,Loudoun,40-49,683,28,0
6/11/2020,Pittsylvania-Danville,30-39,12,0,0
6/11/2020,Loudoun,20-29,519,6,0
6/11/2020,Crater,60-69,170,32,10
6/11/2020,Loudoun,80+,171,43,53
6/11/2020,Arlington,80+,196,77,65
6/11/2020,Virginia Beach,10-19,32,0,0
6/11/2020,Mount Rogers,80+,50,20,12
6/11/2020,Eastern Shore,80+,47,17,17
6/11/2020,Crater,10-19,33,0,0
6/11/2020,Lenowisco,30-39,3,1,1
6/11/2020,Norfolk,Missing,6,1,0
6/11/2020,Henrico,Missing,32,1,1
6/11/2020,New River,40-49,20,1,0
6/11/2020,Central Virginia,0-9,5,0,0
6/11/2020,New River,70-79,12,8,3
6/11/2020,Loudoun,0-9,118,2,0
6/11/2020,Central Virginia,70-79,19,4,2
6/11/2020,Southside,0-9,1,0,0
6/11/2020,Three Rivers,40-49,121,10,2
6/11/2020,Chickahominy,30-39,71,0,0
6/11/2020,Central Shenandoah,60-69,217,38,8
6/11/2020,Western Tidewater,60-69,110,13,5
6/11/2020,Cumberland Plateau,30-39,5,0,0
6/11/2020,Portsmouth,10-19,11,0,0
6/11/2020,Chesterfield,Missing,54,0,0
6/11/2020,Alexandria,40-49,394,35,0
6/11/2020,Thomas Jefferson,70-79,54,17,2
6/11/2020,Three Rivers,30-39,126,3,0
6/11/2020,Western Tidewater,70-79,81,19,16
6/11/2020,Arlington,60-69,266,74,19
6/11/2020,Cumberland Plateau,10-19,13,0,0
6/11/2020,West Piedmont,30-39,45,1,0
6/11/2020,Peninsula,10-19,26,1,0
6/11/2020,Lenowisco,10-19,3,0,0
6/11/2020,Chesapeake,0-9,16,1,0
6/11/2020,Peninsula,50-59,114,18,2
6/11/2020,Cumberland Plateau,Missing,0,0,0
6/11/2020,Peninsula,60-69,108,27,3
6/11/2020,Lord Fairfax,30-39,280,10,1
6/11/2020,Virginia Beach,Missing,24,0,0
6/11/2020,Arlington,40-49,393,45,3
6/11/2020,West Piedmont,10-19,29,1,0
6/11/2020,Chickahominy,70-79,48,17,5
6/11/2020,Pittsylvania-Danville,20-29,12,0,0
6/11/2020,Loudoun,50-59,528,33,1
6/11/2020,Richmond,30-39,362,22,1
6/11/2020,Thomas Jefferson,Missing,1,0,0
6/11/2020,Rappahannock Rapidan,80+,20,12,4
6/11/2020,Lord Fairfax,Missing,2,0,0
6/11/2020,Cumberland Plateau,50-59,4,1,0
6/11/2020,Loudoun,Missing,54,0,1
6/11/2020,Southside,50-59,45,6,0
6/11/2020,Chesterfield,20-29,321,4,0
6/11/2020,Norfolk,70-79,23,13,3
6/11/2020,Alleghany,10-19,10,0,0
6/11/2020,Crater,80+,69,10,2
6/11/2020,Portsmouth,Missing,4,0,0
6/11/2020,Western Tidewater,10-19,12,0,0
6/11/2020,Chesterfield,10-19,185,0,0
6/11/2020,Southside,60-69,45,11,3
6/11/2020,West Piedmont,0-9,7,0,0
6/11/2020,Rappahannock Rapidan,70-79,35,12,7
6/11/2020,Central Shenandoah,70-79,109,35,12
6/11/2020,Chesapeake,30-39,117,6,0
6/11/2020,Chickahominy,0-9,9,0,0
6/11/2020,Prince William,0-9,263,6,0
6/11/2020,Eastern Shore,50-59,269,17,5
6/11/2020,Mount Rogers,50-59,68,3,1
6/11/2020,Loudoun,10-19,215,0,0
6/11/2020,Southside,80+,76,11,12
6/11/2020,Central Virginia,80+,12,2,0
6/11/2020,Rappahannock,Missing,17,0,0
6/11/2020,Rappahannock Rapidan,30-39,271,14,1
6/11/2020,New River,50-59,25,3,0
6/11/2020,Richmond,80+,34,16,8
6/11/2020,Mount Rogers,20-29,74,0,0
6/11/2020,Eastern Shore,20-29,187,4,0
6/11/2020,Hampton,10-19,13,0,0
6/11/2020,Portsmouth,0-9,4,1,0
6/11/2020,Crater,70-79,112,22,6
6/11/2020,Chesterfield,40-49,391,14,2
6/11/2020,Alexandria,Missing,11,0,0
6/11/2020,Southside,30-39,26,0,0
6/11/2020,Prince William,Missing,124,1,0
6/11/2020,Hampton,60-69,30,11,2
6/11/2020,Fairfax,20-29,1955,59,2
6/11/2020,Thomas Jefferson,0-9,22,1,0
6/11/2020,Lenowisco,40-49,7,2,0
6/11/2020,Central Virginia,10-19,15,1,0
6/11/2020,Lenowisco,70-79,5,4,1
6/11/2020,Virginia Beach,0-9,10,0,0
6/11/2020,Lenowisco,50-59,13,5,0
6/11/2020,Chesapeake,70-79,43,19,2
6/11/2020,Western Tidewater,80+,128,22,21
6/11/2020,Thomas Jefferson,10-19,37,0,0
6/11/2020,Richmond,40-49,308,25,1
6/11/2020,Lord Fairfax,50-59,279,20,2
6/11/2020,Lord Fairfax,10-19,95,0,0
6/11/2020,Rappahannock Rapidan,10-19,118,3,0
6/11/2020,Crater,50-59,200,22,2
6/11/2020,Arlington,Missing,10,1,0
6/11/2020,Roanoke,50-59,25,1,0
6/11/2020,Rappahannock,10-19,160,1,0
6/11/2020,Roanoke,10-19,10,0,0
6/11/2020,Eastern Shore,Missing,0,0,0
6/11/2020,Mount Rogers,Missing,1,0,0
6/11/2020,Prince William,60-69,672,134,27
6/11/2020,Alleghany,70-79,26,4,7
6/11/2020,Crater,20-29,165,6,0
6/11/2020,Loudoun,60-69,215,36,3
6/11/2020,Fairfax,0-9,393,12,0
6/11/2020,Roanoke,Missing,3,0,0
6/11/2020,Alexandria,20-29,325,6,1
6/11/2020,Portsmouth,70-79,23,8,3
6/11/2020,Alleghany,30-39,28,2,0
6/11/2020,Prince William,20-29,1428,44,0
6/11/2020,Southside,70-79,50,9,11
6/11/2020,Piedmont,Missing,1,0,0
6/11/2020,Rappahannock,0-9,86,1,0
6/11/2020,Henrico,30-39,338,12,0
6/11/2020,Prince William,10-19,564,8,0
6/11/2020,Chickahominy,10-19,27,0,0
6/11/2020,Lord Fairfax,0-9,48,0,0
6/11/2020,Central Virginia,Missing,0,0,0
6/11/2020,Fairfax,60-69,1324,269,46
6/11/2020,Henrico,10-19,93,2,0
6/11/2020,Mount Rogers,30-39,84,3,0
6/11/2020,Eastern Shore,30-39,224,8,0
6/11/2020,Chesterfield,0-9,63,0,0
6/11/2020,Central Shenandoah,10-19,94,1,0
6/11/2020,Crater,0-9,15,1,0
6/11/2020,Fairfax,70-79,639,216,89
6/11/2020,Rappahannock,80+,33,17,5
6/11/2020,Alexandria,10-19,141,2,0
6/11/2020,Portsmouth,40-49,54,6,0
6/11/2020,Three Rivers,50-59,79,6,0
6/11/2020,Alleghany,Missing,1,0,0
6/11/2020,Alexandria,30-39,496,28,0
6/11/2020,Southside,Missing,0,0,0
6/11/2020,Portsmouth,60-69,43,12,4
6/11/2020,Roanoke,30-39,44,0,0
6/11/2020,Three Rivers,60-69,67,10,0
6/11/2020,Fairfax,50-59,2037,261,25
6/11/2020,Portsmouth,50-59,64,16,1
6/11/2020,Chickahominy,80+,78,32,21
6/11/2020,Rappahannock Rapidan,50-59,188,22,2
6/11/2020,Fairfax,80+,772,275,258
