Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
7/21/2020,Norfolk,0-9,74,2,0
7/21/2020,Cumberland Plateau,40-49,24,1,0
7/21/2020,Eastern Shore,10-19,61,1,0
7/21/2020,Mount Rogers,10-19,71,0,0
7/21/2020,Rappahannock Rapidan,0-9,88,1,0
7/21/2020,Three Rivers,0-9,13,1,0
7/21/2020,Henrico,40-49,447,28,2
7/21/2020,Alexandria,50-59,334,52,10
7/21/2020,Arlington,0-9,56,2,0
7/21/2020,Chickahominy,Missing,15,0,0
7/21/2020,New River,20-29,100,0,0
7/21/2020,Virginia Beach,20-29,771,9,0
7/21/2020,Chesapeake,50-59,250,31,1
7/21/2020,Alleghany,80+,43,10,6
7/21/2020,Fairfax,10-19,968,29,0
7/21/2020,Chesapeake,60-69,165,33,5
7/21/2020,West Piedmont,Missing,0,0,0
7/21/2020,Peninsula,80+,80,29,18
7/21/2020,Crater,40-49,260,18,1
7/21/2020,Chesapeake,40-49,263,30,1
7/21/2020,Thomas Jefferson,20-29,248,2,0
7/21/2020,Lord Fairfax,20-29,398,5,0
7/21/2020,Norfolk,20-29,754,6,0
7/21/2020,Arlington,30-39,501,43,0
7/21/2020,West Piedmont,60-69,77,12,0
7/21/2020,Henrico,50-59,391,47,9
7/21/2020,West Piedmont,50-59,139,22,1
7/21/2020,Cumberland Plateau,20-29,18,0,0
7/21/2020,Alexandria,70-79,102,38,18
7/21/2020,Portsmouth,20-29,254,11,0
7/21/2020,Western Tidewater,30-39,212,12,1
7/21/2020,Central Shenandoah,0-9,66,0,0
7/21/2020,Henrico,80+,330,68,88
7/21/2020,Alexandria,0-9,143,2,0
7/21/2020,Pittsylvania-Danville,40-49,82,8,1
7/21/2020,Henrico,20-29,468,15,0
7/21/2020,Roanoke,60-69,47,3,0
7/21/2020,Peninsula,30-39,375,8,1
7/21/2020,Alleghany,60-69,72,8,1
7/21/2020,Prince William,70-79,334,101,48
7/21/2020,Norfolk,60-69,208,36,4
7/21/2020,Southside,40-49,69,6,0
