Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
6/8/2020,West Piedmont,0-9,7,0,0
6/8/2020,Rappahannock Rapidan,70-79,31,11,7
6/8/2020,Central Shenandoah,70-79,108,33,11
6/8/2020,Chesapeake,30-39,113,6,0
6/8/2020,Chickahominy,0-9,7,0,0
6/8/2020,Prince William,0-9,260,5,0
6/8/2020,Eastern Shore,50-59,267,16,5
6/8/2020,Mount Rogers,50-59,65,3,0
6/8/2020,Loudoun,10-19,212,0,0
6/8/2020,Southside,80+,76,11,11
6/8/2020,Central Virginia,80+,11,2,0
6/8/2020,Rappahannock,Missing,17,0,0
6/8/2020,Rappahannock Rapidan,30-39,269,14,1
6/8/2020,New River,50-59,23,3,0
6/8/2020,Richmond,80+,33,15,8
6/8/2020,Mount Rogers,20-29,68,0,0
6/8/2020,Eastern Shore,20-29,187,4,0
6/8/2020,Hampton,10-19,12,0,0
6/8/2020,Portsmouth,0-9,4,1,0
6/8/2020,Crater,70-79,106,22,6
6/8/2020,Chesterfield,40-49,358,12,2
6/8/2020,Alexandria,Missing,11,0,0
6/8/2020,Southside,30-39,25,0,0
6/8/2020,Prince William,Missing,126,1,0
6/8/2020,Hampton,60-69,29,10,2
6/8/2020,Fairfax,20-29,1907,59,2
6/8/2020,Thomas Jefferson,0-9,22,1,0
6/8/2020,Lenowisco,40-49,7,2,0
6/8/2020,Central Virginia,10-19,14,1,0
6/8/2020,Lenowisco,70-79,5,4,1
6/8/2020,Virginia Beach,0-9,10,0,0
6/8/2020,Lenowisco,50-59,13,5,0
6/8/2020,Chesapeake,70-79,41,19,2
6/8/2020,Western Tidewater,80+,127,23,20
6/8/2020,Thomas Jefferson,10-19,30,0,0
6/8/2020,Richmond,40-49,300,25,1
6/8/2020,Lord Fairfax,50-59,273,20,2
6/8/2020,Lord Fairfax,10-19,91,0,0
6/8/2020,Rappahannock Rapidan,10-19,116,3,0
6/8/2020,Crater,50-59,189,21,2
6/8/2020,Arlington,Missing,10,1,0
6/8/2020,Roanoke,50-59,23,1,0
6/8/2020,Rappahannock,10-19,155,1,0
6/8/2020,Roanoke,10-19,9,0,0
6/8/2020,Eastern Shore,Missing,0,0,0
6/8/2020,Mount Rogers,Missing,1,0,0
6/8/2020,Prince William,60-69,662,125,27
6/8/2020,Alleghany,70-79,25,4,8
6/8/2020,Crater,20-29,153,6,0
6/8/2020,Loudoun,60-69,209,31,3
6/8/2020,Fairfax,0-9,392,12,0
6/8/2020,Roanoke,Missing,3,0,0
6/8/2020,Alexandria,20-29,323,5,1
6/8/2020,Portsmouth,70-79,22,7,3
6/8/2020,Alleghany,30-39,27,2,0
6/8/2020,Prince William,20-29,1397,41,0
6/8/2020,Southside,70-79,49,9,11
6/8/2020,Piedmont,Missing,1,0,0
6/8/2020,Rappahannock,0-9,76,1,0
6/8/2020,Henrico,30-39,330,10,0
6/8/2020,Prince William,10-19,547,7,0
6/8/2020,Chickahominy,10-19,24,0,0
6/8/2020,Lord Fairfax,0-9,46,0,0
6/8/2020,Central Virginia,Missing,0,0,0
6/8/2020,Fairfax,60-69,1308,264,45
6/8/2020,Henrico,10-19,89,2,0
6/8/2020,Mount Rogers,30-39,78,3,0
6/8/2020,Eastern Shore,30-39,224,8,0
6/8/2020,Chesterfield,0-9,53,0,0
6/8/2020,Central Shenandoah,10-19,92,1,0
6/8/2020,Crater,0-9,14,1,0
6/8/2020,Fairfax,70-79,631,215,89
6/8/2020,Rappahannock,80+,32,17,4
6/8/2020,Alexandria,10-19,138,2,0
6/8/2020,Portsmouth,40-49,53,4,0
6/8/2020,Three Rivers,50-59,78,5,0
6/8/2020,Alleghany,Missing,1,0,0
6/8/2020,Alexandria,30-39,489,26,0
6/8/2020,Southside,Missing,0,0,0
6/8/2020,Portsmouth,60-69,38,11,4
6/8/2020,Roanoke,30-39,39,0,0
6/8/2020,Three Rivers,60-69,67,10,0
6/8/2020,Fairfax,50-59,2004,250,25
6/8/2020,Portsmouth,50-59,61,13,1
6/8/2020,Chickahominy,80+,78,28,20
6/8/2020,Rappahannock Rapidan,50-59,185,22,2
6/8/2020,Fairfax,80+,770,272,255
6/8/2020,Hampton,Missing,5,0,0
6/8/2020,Cumberland Plateau,80+,0,0,0
6/8/2020,Alleghany,50-59,44,4,1
6/8/2020,Prince William,40-49,1723,118,5
6/8/2020,Fairfax,Missing,127,1,0
6/8/2020,Virginia Beach,40-49,126,17,1
6/8/2020,Richmond,Missing,14,0,0
6/8/2020,Norfolk,40-49,96,10,0
6/8/2020,Piedmont,80+,30,9,2
6/8/2020,Virginia Beach,60-69,111,14,1
6/8/2020,West Piedmont,40-49,50,3,1
6/8/2020,Arlington,10-19,78,5,0
6/8/2020,Lenowisco,0-9,3,0,0
6/8/2020,Pittsylvania-Danville,50-59,23,6,0
6/8/2020,Virginia Beach,50-59,119,13,0
6/8/2020,Chesapeake,Missing,6,1,0
6/8/2020,Central Shenandoah,80+,79,18,11
6/8/2020,Thomas Jefferson,40-49,102,5,0
6/8/2020,Rappahannock Rapidan,60-69,94,14,2
6/8/2020,Norfolk,30-39,124,8,0
6/8/2020,Rappahannock Rapidan,Missing,6,0,0
6/8/2020,Lord Fairfax,80+,109,27,32
6/8/2020,Three Rivers,10-19,21,0,0
6/8/2020,Piedmont,40-49,153,6,0
6/8/2020,Norfolk,80+,9,6,3
6/8/2020,Peninsula,20-29,95,1,0
6/8/2020,Norfolk,50-59,92,13,0
6/8/2020,Thomas Jefferson,50-59,84,9,1
6/8/2020,Richmond,70-79,63,28,8
6/8/2020,Chesterfield,70-79,101,16,13
6/8/2020,Piedmont,30-39,144,1,0
6/8/2020,Prince William,30-39,1489,82,2
6/8/2020,Alleghany,20-29,53,1,0
6/8/2020,Alleghany,0-9,3,0,0
6/8/2020,Mount Rogers,40-49,62,0,0
6/8/2020,Eastern Shore,40-49,237,8,2
6/8/2020,Central Virginia,60-69,37,4,1
6/8/2020,Richmond,10-19,120,2,0
6/8/2020,Pittsylvania-Danville,60-69,17,7,1
6/8/2020,Pittsylvania-Danville,Missing,0,0,0
6/8/2020,Chesterfield,60-69,205,20,8
6/8/2020,Southside,10-19,4,0,0
6/8/2020,New River,80+,6,2,0
6/8/2020,Central Virginia,50-59,42,2,1
6/8/2020,Hampton,70-79,13,7,0
6/8/2020,Pittsylvania-Danville,10-19,3,0,0
6/8/2020,Richmond,60-69,166,39,6
6/8/2020,Chickahominy,40-49,72,10,1
6/8/2020,Three Rivers,80+,25,5,3
6/8/2020,Rappahannock,30-39,402,20,0
6/8/2020,Lord Fairfax,60-69,190,37,10
6/8/2020,Western Tidewater,0-9,5,0,0
6/8/2020,Rappahannock,70-79,58,18,7
6/8/2020,Prince William,80+,194,60,57
6/8/2020,Hampton,80+,4,2,1
6/8/2020,Alexandria,80+,81,26,20
6/8/2020,Mount Rogers,60-69,53,4,0
6/8/2020,Eastern Shore,60-69,166,19,8
6/8/2020,Lord Fairfax,70-79,101,26,12
6/8/2020,New River,30-39,18,1,0
6/8/2020,Chesapeake,10-19,24,1,0
6/8/2020,Hampton,40-49,35,2,0
6/8/2020,Peninsula,Missing,8,0,0
6/8/2020,Norfolk,0-9,15,0,0
6/8/2020,Cumberland Plateau,40-49,6,0,0
6/8/2020,Eastern Shore,10-19,54,1,0
6/8/2020,Mount Rogers,10-19,34,0,0
6/8/2020,Rappahannock Rapidan,0-9,67,1,0
6/8/2020,Three Rivers,0-9,9,1,0
6/8/2020,Henrico,40-49,306,19,2
6/8/2020,Alexandria,50-59,274,40,9
6/8/2020,Arlington,0-9,39,2,0
6/8/2020,Chickahominy,Missing,8,0,0
6/8/2020,New River,20-29,34,0,0
6/8/2020,Virginia Beach,20-29,139,2,0
6/8/2020,Chesapeake,50-59,103,19,1
6/8/2020,Alleghany,80+,24,8,5
6/8/2020,Fairfax,10-19,679,17,0
6/8/2020,Chesapeake,60-69,80,19,4
6/8/2020,West Piedmont,Missing,1,0,0
6/8/2020,Peninsula,80+,46,23,15
6/8/2020,Crater,40-49,163,12,1
6/8/2020,Chesapeake,40-49,99,15,0
6/8/2020,Thomas Jefferson,20-29,94,1,0
6/8/2020,Lord Fairfax,20-29,289,4,0
