Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
7/8/2020,Lenowisco,10-19,7,0,0
7/8/2020,Chesapeake,0-9,34,1,0
7/8/2020,Peninsula,50-59,159,20,3
7/8/2020,Cumberland Plateau,Missing,0,0,0
7/8/2020,Peninsula,60-69,137,29,3
7/8/2020,Lord Fairfax,30-39,351,11,1
7/8/2020,Virginia Beach,Missing,37,0,0
7/8/2020,Arlington,40-49,434,48,6
7/8/2020,West Piedmont,10-19,73,0,0
7/8/2020,Chickahominy,70-79,58,22,7
7/8/2020,Pittsylvania-Danville,20-29,26,0,0
7/8/2020,Loudoun,50-59,660,56,2
7/8/2020,Richmond,30-39,505,24,1
7/8/2020,Thomas Jefferson,Missing,1,0,0
7/8/2020,Rappahannock Rapidan,80+,25,13,7
7/8/2020,Lord Fairfax,Missing,2,0,0
7/8/2020,Cumberland Plateau,50-59,7,1,0
7/8/2020,Loudoun,Missing,60,0,1
7/8/2020,Southside,50-59,64,9,0
7/8/2020,Chesterfield,20-29,551,7,0
7/8/2020,Norfolk,70-79,50,24,4
7/8/2020,Alleghany,10-19,81,0,0
7/8/2020,Crater,80+,114,21,11
7/8/2020,Portsmouth,Missing,13,0,0
7/8/2020,Western Tidewater,10-19,22,0,0
7/8/2020,Chesterfield,10-19,315,0,0
7/8/2020,Southside,60-69,58,12,5
7/8/2020,Virginia Beach,0-9,35,0,0
7/8/2020,Lenowisco,50-59,17,5,0
7/8/2020,Chesapeake,70-79,72,29,3
7/8/2020,Western Tidewater,80+,134,25,29
7/8/2020,Thomas Jefferson,10-19,75,1,0
7/8/2020,Richmond,40-49,390,29,1
7/8/2020,Lord Fairfax,50-59,345,27,2
7/8/2020,Lord Fairfax,10-19,149,1,0
7/8/2020,Rappahannock Rapidan,10-19,131,3,0
7/8/2020,Crater,50-59,287,32,3
7/8/2020,Arlington,Missing,11,1,0
7/8/2020,Roanoke,50-59,49,1,0
7/8/2020,Rappahannock,10-19,241,2,0
7/8/2020,Roanoke,10-19,59,0,0
7/8/2020,Eastern Shore,Missing,6,0,0
7/8/2020,Mount Rogers,Missing,1,0,0
7/8/2020,Prince William,60-69,780,164,40
7/8/2020,Alleghany,70-79,56,7,7
7/8/2020,Crater,20-29,248,7,0
7/8/2020,Loudoun,60-69,255,48,6
7/8/2020,Fairfax,0-9,488,18,0
7/8/2020,Roanoke,Missing,3,0,0
7/8/2020,Alexandria,20-29,381,8,1
7/8/2020,Portsmouth,70-79,32,11,5
7/8/2020,Alleghany,30-39,74,2,0
7/8/2020,Prince William,20-29,1702,54,0
7/8/2020,Southside,70-79,60,10,13
7/8/2020,Piedmont,Missing,1,0,0
7/8/2020,Rappahannock,0-9,114,1,0
7/8/2020,Henrico,30-39,466,18,0
7/8/2020,Prince William,10-19,805,8,0
7/8/2020,Chickahominy,10-19,43,0,0
7/8/2020,Lord Fairfax,0-9,62,2,0
7/8/2020,Central Virginia,Missing,1,0,0
7/8/2020,Fairfax,60-69,1439,315,61
7/8/2020,Hampton,20-29,89,2,0
7/8/2020,Central Shenandoah,40-49,359,14,0
7/8/2020,Pittsylvania-Danville,0-9,6,0,0
7/8/2020,Crater,30-39,291,7,0
7/8/2020,Virginia Beach,70-79,80,26,7
7/8/2020,Virginia Beach,30-39,255,12,0
7/8/2020,Piedmont,0-9,23,0,0
7/8/2020,Central Shenandoah,30-39,329,6,0
7/8/2020,Hampton,50-59,54,9,1
7/8/2020,Peninsula,70-79,95,38,12
7/8/2020,Arlington,20-29,454,21,0
7/8/2020,West Piedmont,70-79,28,10,4
7/8/2020,Richmond,20-29,490,14,0
7/8/2020,Roanoke,0-9,17,0,0
7/8/2020,Hampton,30-39,86,3,0
7/8/2020,Thomas Jefferson,30-39,223,6,0
7/8/2020,Western Tidewater,40-49,118,5,2
7/8/2020,Richmond,50-59,297,52,1
7/8/2020,Western Tidewater,50-59,156,13,2
7/8/2020,Henrico,10-19,180,4,0
7/8/2020,Mount Rogers,30-39,113,4,0
7/8/2020,Eastern Shore,30-39,234,8,0
7/8/2020,Chesterfield,0-9,121,0,0
7/8/2020,Central Shenandoah,10-19,117,1,0
7/8/2020,Crater,0-9,26,1,0
7/8/2020,Fairfax,70-79,671,243,109
7/8/2020,Rappahannock,80+,91,32,19
7/8/2020,Alexandria,10-19,175,3,0
7/8/2020,Portsmouth,40-49,75,7,0
7/8/2020,Three Rivers,50-59,100,9,0
7/8/2020,Alleghany,Missing,1,0,0
7/8/2020,Alexandria,30-39,554,30,0
7/8/2020,Southside,Missing,0,0,0
7/8/2020,Portsmouth,60-69,58,18,5
7/8/2020,Roanoke,30-39,107,0,0
7/8/2020,Three Rivers,60-69,70,11,0
7/8/2020,Fairfax,50-59,2247,299,32
7/8/2020,Portsmouth,50-59,83,20,2
7/8/2020,Chickahominy,80+,82,34,26
7/8/2020,Rappahannock Rapidan,50-59,214,26,2
7/8/2020,Fairfax,80+,784,298,291
7/8/2020,Hampton,Missing,5,0,0
7/8/2020,Cumberland Plateau,80+,0,0,0
7/8/2020,Alleghany,50-59,76,5,1
7/8/2020,Prince William,40-49,2001,149,7
7/8/2020,Fairfax,Missing,157,3,0
7/8/2020,Virginia Beach,40-49,202,19,1
7/8/2020,Richmond,Missing,18,0,0
7/8/2020,Norfolk,40-49,156,14,1
7/8/2020,Piedmont,80+,48,18,10
7/8/2020,Virginia Beach,60-69,156,18,1
7/8/2020,West Piedmont,40-49,97,8,2
7/8/2020,Arlington,10-19,102,5,0
7/8/2020,Lenowisco,0-9,3,0,0
7/8/2020,Pittsylvania-Danville,50-59,48,11,0
7/8/2020,Virginia Beach,50-59,181,16,0
7/8/2020,Chesapeake,Missing,14,1,0
7/8/2020,Central Shenandoah,80+,114,27,16
7/8/2020,Thomas Jefferson,40-49,178,13,0
7/8/2020,Rappahannock Rapidan,60-69,124,17,4
