Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
7/17/2020,Norfolk,0-9,64,2,0
7/17/2020,Cumberland Plateau,40-49,22,1,0
7/17/2020,Eastern Shore,10-19,61,1,0
7/17/2020,Mount Rogers,10-19,68,0,0
7/17/2020,Rappahannock Rapidan,0-9,83,1,0
7/17/2020,Three Rivers,0-9,12,1,0
7/17/2020,Henrico,40-49,436,27,2
7/17/2020,Alexandria,50-59,322,52,10
7/17/2020,Arlington,0-9,54,2,0
7/17/2020,Chickahominy,Missing,15,0,0
7/17/2020,New River,20-29,93,0,0
7/17/2020,Virginia Beach,20-29,645,9,0
7/17/2020,Chesapeake,50-59,217,27,1
7/17/2020,Alleghany,80+,43,10,6
7/17/2020,Fairfax,10-19,938,30,0
7/17/2020,Chesapeake,60-69,145,32,5
7/17/2020,West Piedmont,Missing,0,0,0
7/17/2020,Peninsula,80+,66,26,15
7/17/2020,Crater,40-49,252,17,1
7/17/2020,Chesapeake,40-49,227,27,1
7/17/2020,Thomas Jefferson,20-29,229,2,0
7/17/2020,Lord Fairfax,20-29,383,5,0
7/17/2020,Norfolk,20-29,649,5,0
7/17/2020,Arlington,30-39,484,42,0
7/17/2020,West Piedmont,60-69,71,11,0
7/17/2020,Henrico,50-59,376,43,8
7/17/2020,West Piedmont,50-59,130,19,1
7/17/2020,Cumberland Plateau,20-29,14,0,0
7/17/2020,Alexandria,70-79,103,38,18
7/17/2020,Portsmouth,20-29,207,11,0
7/17/2020,Western Tidewater,30-39,183,10,1
7/17/2020,Central Shenandoah,0-9,62,0,0
7/17/2020,Henrico,80+,326,68,87
7/17/2020,Alexandria,0-9,142,2,0
7/17/2020,Pittsylvania-Danville,40-49,72,7,0
7/17/2020,Henrico,20-29,442,15,0
7/17/2020,Roanoke,60-69,43,3,0
7/17/2020,Peninsula,30-39,302,7,1
7/17/2020,Alleghany,60-69,70,8,1
7/17/2020,Prince William,70-79,326,101,46
7/17/2020,Norfolk,60-69,182,32,3
7/17/2020,Southside,40-49,68,6,0
7/17/2020,Chesterfield,30-39,708,12,0
7/17/2020,Loudoun,70-79,149,49,18
7/17/2020,Central Virginia,40-49,78,1,0
7/17/2020,New River,Missing,0,0,0
7/17/2020,Chickahominy,20-29,118,1,0
7/17/2020,New River,0-9,8,0,0
7/17/2020,Cumberland Plateau,0-9,3,0,0
7/17/2020,Three Rivers,70-79,40,8,5
7/17/2020,Rappahannock Rapidan,40-49,325,21,2
7/17/2020,Hampton,0-9,20,0,0
7/17/2020,Piedmont,50-59,204,25,1
7/17/2020,Rappahannock,20-29,488,13,0
7/17/2020,Henrico,10-19,213,3,0
7/17/2020,Mount Rogers,30-39,135,4,0
7/17/2020,Eastern Shore,30-39,239,8,0
7/17/2020,Chesterfield,0-9,131,0,0
7/17/2020,Central Shenandoah,10-19,136,1,0
7/17/2020,Crater,0-9,30,1,0
7/17/2020,Fairfax,70-79,694,248,115
7/17/2020,Rappahannock,80+,98,34,19
7/17/2020,Alexandria,10-19,188,4,0
7/17/2020,Portsmouth,40-49,113,8,0
7/17/2020,Three Rivers,50-59,118,10,0
7/17/2020,Alleghany,Missing,2,0,0
7/17/2020,Alexandria,30-39,579,32,0
7/17/2020,Southside,Missing,0,0,0
7/17/2020,Portsmouth,60-69,89,22,6
7/17/2020,Roanoke,30-39,140,1,0
7/17/2020,Three Rivers,60-69,84,14,0
7/17/2020,Fairfax,50-59,2297,312,32
7/17/2020,Portsmouth,50-59,117,22,2
7/17/2020,Chickahominy,80+,83,34,26
7/17/2020,Rappahannock Rapidan,50-59,242,29,2
7/17/2020,Fairfax,80+,813,301,293
7/17/2020,Hampton,Missing,14,0,0
7/17/2020,Cumberland Plateau,80+,4,2,0
7/17/2020,Alleghany,50-59,96,6,1
7/17/2020,Prince William,40-49,2083,161,7
7/17/2020,Fairfax,Missing,158,5,0
7/17/2020,Virginia Beach,40-49,330,19,1
7/17/2020,Richmond,Missing,23,0,0
7/17/2020,Norfolk,40-49,253,15,1
7/17/2020,Piedmont,80+,54,23,12
7/17/2020,Virginia Beach,60-69,206,21,2
7/17/2020,West Piedmont,40-49,109,10,2
7/17/2020,Arlington,10-19,121,5,0
7/17/2020,Lenowisco,0-9,4,0,0
7/17/2020,Pittsylvania-Danville,50-59,68,14,0
7/17/2020,Virginia Beach,50-59,273,18,1
7/17/2020,Chesapeake,Missing,31,1,0
7/17/2020,Central Shenandoah,80+,125,32,17
7/17/2020,Thomas Jefferson,40-49,200,14,0
7/17/2020,Rappahannock Rapidan,60-69,131,17,4
7/17/2020,Norfolk,30-39,400,16,1
7/17/2020,Rappahannock Rapidan,Missing,9,0,0
7/17/2020,Lord Fairfax,80+,164,39,44
7/17/2020,Three Rivers,10-19,40,0,0
7/17/2020,Piedmont,40-49,204,11,0
7/17/2020,Norfolk,80+,51,12,5
7/17/2020,Peninsula,20-29,410,1,0
7/17/2020,Norfolk,50-59,217,24,3
7/17/2020,Thomas Jefferson,50-59,159,13,2
7/17/2020,Richmond,70-79,91,37,14
7/17/2020,Chesterfield,70-79,146,30,21
7/17/2020,Piedmont,30-39,222,5,0
7/17/2020,Prince William,30-39,1866,94,2
7/17/2020,Alleghany,20-29,126,1,0
7/17/2020,Alleghany,0-9,14,0,0
7/17/2020,Mount Rogers,40-49,133,5,1
7/17/2020,Eastern Shore,40-49,248,11,2
7/17/2020,Central Virginia,60-69,55,4,2
7/17/2020,Richmond,10-19,205,2,0
7/17/2020,Pittsylvania-Danville,60-69,48,10,1
7/17/2020,Pittsylvania-Danville,Missing,0,0,0
7/17/2020,Chesterfield,60-69,319,48,12
7/17/2020,Southside,10-19,17,0,0
7/17/2020,New River,80+,13,4,2
7/17/2020,Central Virginia,50-59,86,2,2
7/17/2020,Hampton,70-79,32,8,0
7/17/2020,Pittsylvania-Danville,10-19,20,0,0
7/17/2020,Richmond,60-69,220,53,7
7/17/2020,West Piedmont,20-29,108,2,0
7/17/2020,Arlington,70-79,177,73,33
7/17/2020,Chickahominy,50-59,128,23,1
7/17/2020,Alleghany,40-49,96,2,0
7/17/2020,Prince William,50-59,1526,198,15
7/17/2020,Mount Rogers,0-9,40,1,0
7/17/2020,Eastern Shore,0-9,21,2,0
7/17/2020,Thomas Jefferson,60-69,116,24,3
7/17/2020,Pittsylvania-Danville,70-79,26,12,1
7/17/2020,Chesterfield,80+,157,35,47
7/17/2020,Richmond,0-9,110,6,0
7/17/2020,Chesapeake,80+,79,26,14
