Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
7/15/2020,Henrico,10-19,205,3,0
7/15/2020,Mount Rogers,30-39,121,4,0
7/15/2020,Eastern Shore,30-39,236,8,0
7/15/2020,Chesterfield,0-9,132,0,0
7/15/2020,Central Shenandoah,10-19,132,1,0
7/15/2020,Crater,0-9,30,1,0
7/15/2020,Fairfax,70-79,689,247,111
7/15/2020,Rappahannock,80+,98,34,19
7/15/2020,Alexandria,10-19,184,4,0
7/15/2020,Portsmouth,40-49,103,7,0
7/15/2020,Three Rivers,50-59,115,9,0
7/15/2020,Alleghany,Missing,2,0,0
7/15/2020,Alexandria,30-39,571,32,0
7/15/2020,Southside,Missing,0,0,0
7/15/2020,Portsmouth,60-69,84,20,6
7/15/2020,Roanoke,30-39,138,1,0
7/15/2020,Three Rivers,60-69,83,13,0
7/15/2020,Fairfax,50-59,2284,304,33
7/15/2020,Portsmouth,50-59,107,21,2
7/15/2020,Chickahominy,80+,83,34,26
7/15/2020,Rappahannock Rapidan,50-59,239,29,2
7/15/2020,Fairfax,80+,803,297,290
7/15/2020,Hampton,Missing,13,0,0
7/15/2020,Cumberland Plateau,80+,4,2,0
7/15/2020,Alleghany,50-59,91,5,1
7/15/2020,Prince William,40-49,2061,155,7
7/15/2020,Fairfax,Missing,157,5,0
7/15/2020,Virginia Beach,40-49,286,19,1
7/15/2020,Richmond,Missing,21,0,0
7/15/2020,Norfolk,40-49,213,15,1
7/15/2020,Piedmont,80+,51,22,11
7/15/2020,Virginia Beach,60-69,186,21,2
7/15/2020,West Piedmont,40-49,108,8,2
7/15/2020,Arlington,10-19,117,5,0
7/15/2020,Lenowisco,0-9,3,0,0
7/15/2020,Pittsylvania-Danville,50-59,63,12,0
7/15/2020,Virginia Beach,50-59,240,18,1
7/15/2020,Chesapeake,Missing,25,1,0
7/15/2020,Central Shenandoah,80+,123,31,17
7/15/2020,Thomas Jefferson,40-49,197,14,0
7/15/2020,Rappahannock Rapidan,60-69,129,17,4
7/15/2020,Norfolk,30-39,342,16,1
7/15/2020,Rappahannock Rapidan,Missing,8,0,0
7/15/2020,Lord Fairfax,80+,155,38,41
7/15/2020,Three Rivers,10-19,39,0,0
7/15/2020,Piedmont,40-49,204,11,0
7/15/2020,Norfolk,80+,45,11,5
7/15/2020,Peninsula,20-29,364,1,0
7/15/2020,Norfolk,50-59,188,23,3
7/15/2020,Thomas Jefferson,50-59,157,12,2
7/15/2020,Richmond,70-79,88,37,14
7/15/2020,Chesterfield,70-79,140,28,21
7/15/2020,Piedmont,30-39,222,5,0
7/15/2020,Prince William,30-39,1850,94,2
7/15/2020,Alleghany,20-29,122,1,0
7/15/2020,Alleghany,0-9,14,0,0
7/15/2020,Mount Rogers,40-49,129,5,1
7/15/2020,Eastern Shore,40-49,248,10,2
7/15/2020,Central Virginia,60-69,54,4,2
7/15/2020,Richmond,10-19,202,2,0
7/15/2020,Pittsylvania-Danville,60-69,45,10,1
7/15/2020,Pittsylvania-Danville,Missing,0,0,0
7/15/2020,Chesterfield,60-69,314,43,12
7/15/2020,Southside,10-19,13,0,0
7/15/2020,New River,80+,13,4,2
7/15/2020,Central Virginia,50-59,82,2,2
7/15/2020,Hampton,70-79,31,8,0
7/15/2020,Pittsylvania-Danville,10-19,20,0,0
7/15/2020,Richmond,60-69,219,51,7
7/15/2020,Crater,Missing,10,0,0
7/15/2020,Arlington,50-59,398,66,6
7/15/2020,Piedmont,70-79,77,25,4
7/15/2020,Alexandria,60-69,209,47,2
7/15/2020,Portsmouth,30-39,167,8,1
7/15/2020,Lenowisco,20-29,14,0,0
7/15/2020,Central Virginia,30-39,77,1,0
7/15/2020,Norfolk,10-19,94,1,0
7/15/2020,New River,10-19,37,0,0
7/15/2020,Central Virginia,20-29,122,2,0
7/15/2020,Rappahannock,50-59,417,51,4
7/15/2020,Rappahannock,60-69,226,47,6
7/15/2020,Piedmont,20-29,179,2,0
7/15/2020,New River,60-69,28,5,0
7/15/2020,Roanoke,40-49,90,1,0
7/15/2020,Three Rivers,20-29,147,4,0
7/15/2020,Rappahannock,40-49,482,45,2
7/15/2020,Portsmouth,80+,19,8,5
7/15/2020,Central Shenandoah,Missing,1,0,0
7/15/2020,Eastern Shore,70-79,47,16,9
7/15/2020,Mount Rogers,70-79,74,28,13
7/15/2020,Cumberland Plateau,70-79,7,1,0
7/15/2020,Piedmont,10-19,38,0,0
7/15/2020,Southside,20-29,57,2,0
