Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
7/19/2020,Hampton,20-29,183,3,0
7/19/2020,Central Shenandoah,40-49,392,15,0
7/19/2020,Pittsylvania-Danville,0-9,13,0,0
7/19/2020,Crater,30-39,316,9,0
7/19/2020,Virginia Beach,70-79,122,30,9
7/19/2020,Virginia Beach,30-39,500,13,0
7/19/2020,Piedmont,0-9,24,0,0
7/19/2020,Central Shenandoah,30-39,362,7,0
7/19/2020,Hampton,50-59,84,9,1
7/19/2020,Peninsula,70-79,119,39,12
7/19/2020,Arlington,20-29,520,22,0
7/19/2020,West Piedmont,70-79,35,14,4
7/19/2020,Richmond,20-29,577,16,0
7/19/2020,Roanoke,0-9,17,0,0
7/19/2020,Hampton,30-39,130,3,0
7/19/2020,Thomas Jefferson,30-39,267,9,0
7/19/2020,Western Tidewater,40-49,169,6,2
7/19/2020,Richmond,50-59,320,55,2
7/19/2020,Western Tidewater,50-59,204,15,4
7/19/2020,Crater,Missing,14,0,0
7/19/2020,Arlington,50-59,401,67,6
7/19/2020,Piedmont,70-79,80,26,4
7/19/2020,Alexandria,60-69,214,48,2
7/19/2020,Portsmouth,30-39,203,9,1
7/19/2020,Lenowisco,20-29,16,0,0
7/19/2020,Central Virginia,30-39,84,1,0
7/19/2020,Norfolk,10-19,114,1,0
7/19/2020,New River,10-19,40,0,0
7/19/2020,Central Virginia,20-29,135,2,0
7/19/2020,Rappahannock,50-59,428,51,4
7/19/2020,Rappahannock,60-69,233,47,6
7/19/2020,Piedmont,20-29,183,2,0
7/19/2020,New River,60-69,30,5,0
7/19/2020,Roanoke,40-49,92,1,0
7/19/2020,Three Rivers,20-29,154,4,0
7/19/2020,Rappahannock,40-49,501,46,2
7/19/2020,Portsmouth,80+,20,8,6
7/19/2020,Central Shenandoah,Missing,1,0,0
7/19/2020,Eastern Shore,70-79,49,16,9
7/19/2020,Mount Rogers,70-79,80,29,13
7/19/2020,Cumberland Plateau,70-79,9,1,0
7/19/2020,Piedmont,10-19,39,0,0
7/19/2020,Southside,20-29,67,2,0
7/19/2020,Chesterfield,50-59,501,44,4
7/19/2020,Rappahannock Rapidan,20-29,311,6,0
7/19/2020,Cumberland Plateau,60-69,15,2,0
7/19/2020,Roanoke,70-79,17,3,1
7/19/2020,Central Shenandoah,20-29,467,9,0
7/19/2020,Pittsylvania-Danville,80+,24,8,2
7/19/2020,Virginia Beach,80+,118,36,24
7/19/2020,Central Shenandoah,50-59,416,34,4
7/19/2020,Lenowisco,Missing,0,0,0
7/19/2020,Fairfax,30-39,2886,198,6
7/19/2020,Lenowisco,60-69,14,5,2
7/19/2020,Loudoun,30-39,797,28,0
7/19/2020,West Piedmont,80+,24,14,1
7/19/2020,Roanoke,80+,43,3,9
7/19/2020,Fairfax,40-49,2760,273,10
7/19/2020,Thomas Jefferson,80+,125,28,19
7/19/2020,Roanoke,20-29,146,3,0
7/19/2020,Henrico,60-69,309,51,34
7/19/2020,Lord Fairfax,40-49,356,17,1
7/19/2020,Western Tidewater,Missing,16,0,0
