Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
6/27/2020,Norfolk,0-9,30,1,0
6/27/2020,Cumberland Plateau,40-49,11,0,0
6/27/2020,Eastern Shore,10-19,57,1,0
6/27/2020,Mount Rogers,10-19,50,0,0
6/27/2020,Rappahannock Rapidan,0-9,70,1,0
6/27/2020,Three Rivers,0-9,9,1,0
6/27/2020,Henrico,40-49,377,25,1
6/27/2020,Alexandria,50-59,298,48,10
6/27/2020,Arlington,0-9,43,2,0
6/27/2020,Chickahominy,Missing,12,0,0
6/27/2020,New River,20-29,49,0,0
6/27/2020,Virginia Beach,20-29,242,4,0
6/27/2020,Chesapeake,50-59,130,19,1
6/27/2020,Alleghany,80+,23,8,5
6/27/2020,Fairfax,10-19,791,23,0
6/27/2020,Chesapeake,60-69,110,27,5
6/27/2020,West Piedmont,Missing,0,0,0
6/27/2020,Peninsula,80+,50,24,15
6/27/2020,Crater,40-49,208,14,1
6/27/2020,Chesapeake,40-49,134,19,0
6/27/2020,Thomas Jefferson,20-29,144,1,0
6/27/2020,Lord Fairfax,20-29,333,5,0
6/27/2020,Norfolk,20-29,223,3,0
6/27/2020,Arlington,30-39,443,43,0
6/27/2020,West Piedmont,60-69,44,5,0
6/27/2020,Henrico,50-59,313,34,8
6/27/2020,West Piedmont,50-59,86,10,1
6/27/2020,Cumberland Plateau,20-29,4,0,0
6/27/2020,Alexandria,70-79,100,38,19
6/27/2020,Portsmouth,20-29,91,5,0
6/27/2020,Western Tidewater,30-39,111,6,0
6/27/2020,Central Shenandoah,0-9,55,0,0
6/27/2020,Henrico,80+,311,66,70
6/27/2020,Alexandria,0-9,127,2,0
6/27/2020,Pittsylvania-Danville,40-49,43,6,0
6/27/2020,Henrico,20-29,346,14,0
6/27/2020,Roanoke,60-69,28,3,0
6/27/2020,Peninsula,30-39,153,7,1
6/27/2020,Alleghany,60-69,37,7,1
6/27/2020,Prince William,70-79,284,80,40
6/27/2020,Norfolk,60-69,79,24,1
6/27/2020,Southside,40-49,47,5,0
6/27/2020,Chesterfield,30-39,603,4,0
6/27/2020,Loudoun,70-79,139,41,14
6/27/2020,Central Virginia,40-49,48,0,0
6/27/2020,New River,Missing,0,0,0
6/27/2020,Chickahominy,20-29,81,0,0
6/27/2020,New River,0-9,3,0,0
6/27/2020,Cumberland Plateau,0-9,1,0,0
6/27/2020,Three Rivers,70-79,32,7,4
6/27/2020,Rappahannock Rapidan,40-49,288,19,2
6/27/2020,Hampton,0-9,11,0,0
6/27/2020,Piedmont,50-59,181,19,0
6/27/2020,Rappahannock,20-29,406,11,0
6/27/2020,West Piedmont,20-29,52,1,0
6/27/2020,Arlington,70-79,172,72,32
6/27/2020,Chickahominy,50-59,113,22,1
6/27/2020,Alleghany,40-49,51,1,0
6/27/2020,Prince William,50-59,1396,179,14
6/27/2020,Mount Rogers,0-9,33,1,0
6/27/2020,Eastern Shore,0-9,19,1,0
6/27/2020,Thomas Jefferson,60-69,79,18,2
6/27/2020,Pittsylvania-Danville,70-79,21,10,0
6/27/2020,Chesterfield,80+,133,27,39
6/27/2020,Richmond,0-9,95,4,0
6/27/2020,Chesapeake,80+,56,20,11
6/27/2020,Peninsula,40-49,121,7,1
6/27/2020,Henrico,0-9,102,1,0
6/27/2020,Lenowisco,80+,0,0,0
6/27/2020,Piedmont,60-69,131,19,2
6/27/2020,West Piedmont,0-9,14,1,0
6/27/2020,Rappahannock Rapidan,70-79,38,12,7
6/27/2020,Central Shenandoah,70-79,120,38,12
6/27/2020,Chesapeake,30-39,156,8,0
6/27/2020,Chickahominy,0-9,12,0,0
6/27/2020,Prince William,0-9,309,7,0
6/27/2020,Eastern Shore,50-59,276,19,5
6/27/2020,Mount Rogers,50-59,88,5,1
6/27/2020,Loudoun,10-19,374,0,0
6/27/2020,Southside,80+,79,12,12
6/27/2020,Central Virginia,80+,16,2,0
6/27/2020,Rappahannock,Missing,20,0,0
6/27/2020,Rappahannock Rapidan,30-39,295,16,1
6/27/2020,New River,50-59,30,4,0
6/27/2020,Richmond,80+,36,18,8
6/27/2020,Mount Rogers,20-29,104,0,0
6/27/2020,Eastern Shore,20-29,198,6,0
6/27/2020,Hampton,10-19,16,0,0
6/27/2020,Portsmouth,0-9,13,1,0
6/27/2020,Crater,70-79,129,29,9
6/27/2020,Chesterfield,40-49,546,15,2
6/27/2020,Alexandria,Missing,11,0,0
6/27/2020,Southside,30-39,49,0,0
