Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
6/13/2020,Norfolk,0-9,17,0,0
6/13/2020,Cumberland Plateau,40-49,6,0,0
6/13/2020,Eastern Shore,10-19,56,1,0
6/13/2020,Mount Rogers,10-19,41,0,0
6/13/2020,Rappahannock Rapidan,0-9,69,1,0
6/13/2020,Three Rivers,0-9,9,1,0
6/13/2020,Henrico,40-49,319,23,1
6/13/2020,Alexandria,50-59,283,44,9
6/13/2020,Arlington,0-9,38,2,0
6/13/2020,Chickahominy,Missing,10,0,0
6/13/2020,New River,20-29,34,0,0
6/13/2020,Virginia Beach,20-29,160,2,0
6/13/2020,Chesapeake,50-59,108,19,1
6/13/2020,Alleghany,80+,24,8,5
6/13/2020,Fairfax,10-19,711,17,0
6/13/2020,Chesapeake,60-69,82,19,4
6/13/2020,West Piedmont,Missing,0,0,0
6/13/2020,Peninsula,80+,49,23,15
6/13/2020,Crater,40-49,179,12,1
6/13/2020,Chesapeake,40-49,106,16,0
6/13/2020,Thomas Jefferson,20-29,102,1,0
6/13/2020,Lord Fairfax,20-29,300,4,0
6/13/2020,Norfolk,20-29,154,1,0
6/13/2020,Arlington,30-39,419,41,0
6/13/2020,West Piedmont,60-69,38,3,0
6/13/2020,Henrico,50-59,282,29,7
6/13/2020,West Piedmont,50-59,73,9,1
6/13/2020,Cumberland Plateau,20-29,1,0,0
6/13/2020,Alexandria,70-79,99,36,15
6/13/2020,Portsmouth,20-29,63,3,0
6/13/2020,Western Tidewater,30-39,82,4,0
6/13/2020,Central Shenandoah,0-9,43,0,0
6/13/2020,Henrico,80+,303,64,68
6/13/2020,Alexandria,0-9,116,2,0
6/13/2020,Pittsylvania-Danville,40-49,27,5,0
6/13/2020,Henrico,20-29,297,15,0
6/13/2020,Roanoke,60-69,19,2,0
6/13/2020,Peninsula,30-39,112,7,1
6/13/2020,Alleghany,60-69,34,7,1
6/13/2020,Prince William,70-79,254,73,35
6/13/2020,Norfolk,60-69,60,21,1
6/13/2020,Southside,40-49,26,5,0
6/13/2020,Chesterfield,30-39,451,4,0
6/13/2020,Loudoun,70-79,127,36,12
6/13/2020,Central Virginia,40-49,40,0,0
6/13/2020,New River,Missing,0,0,0
6/13/2020,Chickahominy,20-29,67,0,0
6/13/2020,New River,0-9,3,0,0
6/13/2020,Cumberland Plateau,0-9,0,0,0
6/13/2020,Three Rivers,70-79,27,6,4
6/13/2020,Rappahannock Rapidan,40-49,272,16,2
6/13/2020,Hampton,0-9,8,0,0
6/13/2020,Piedmont,50-59,167,17,0
6/13/2020,Rappahannock,20-29,346,9,0
6/13/2020,Chickahominy,40-49,75,11,1
6/13/2020,Three Rivers,80+,27,5,3
6/13/2020,Rappahannock,30-39,424,20,0
6/13/2020,Lord Fairfax,60-69,197,41,10
6/13/2020,Western Tidewater,0-9,5,0,0
6/13/2020,Rappahannock,70-79,70,22,9
6/13/2020,Prince William,80+,194,69,56
6/13/2020,Hampton,80+,5,3,2
6/13/2020,Alexandria,80+,82,27,21
6/13/2020,Mount Rogers,60-69,61,5,0
6/13/2020,Eastern Shore,60-69,168,22,8
6/13/2020,Lord Fairfax,70-79,108,30,13
6/13/2020,New River,30-39,19,1,0
6/13/2020,Chesapeake,10-19,26,1,0
6/13/2020,Hampton,40-49,35,3,0
6/13/2020,Peninsula,Missing,6,0,0
6/13/2020,Henrico,70-79,194,43,33
6/13/2020,Western Tidewater,20-29,57,2,0
6/13/2020,Peninsula,0-9,27,0,0
6/13/2020,Loudoun,40-49,704,29,0
6/13/2020,Pittsylvania-Danville,30-39,14,0,0
6/13/2020,Loudoun,20-29,532,6,0
6/13/2020,Crater,60-69,175,32,10
6/13/2020,Loudoun,80+,177,43,54
6/13/2020,Arlington,80+,197,77,65
6/13/2020,Virginia Beach,10-19,35,0,0
6/13/2020,Mount Rogers,80+,64,23,12
6/13/2020,Eastern Shore,80+,47,18,17
6/13/2020,Crater,10-19,39,0,0
6/13/2020,Lenowisco,30-39,3,1,1
6/13/2020,Norfolk,Missing,6,1,0
6/13/2020,Henrico,Missing,32,1,1
6/13/2020,New River,40-49,21,1,0
6/13/2020,Central Virginia,0-9,5,0,0
6/13/2020,New River,70-79,12,8,3
6/13/2020,Loudoun,0-9,124,2,0
6/13/2020,Central Virginia,70-79,20,4,2
6/13/2020,Southside,0-9,1,0,0
6/13/2020,Three Rivers,40-49,123,11,2
