Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
7/18/2020,Chesapeake,20-29,332,4,0
7/18/2020,Three Rivers,Missing,3,0,0
7/18/2020,Henrico,10-19,218,3,0
7/18/2020,Mount Rogers,30-39,138,4,0
7/18/2020,Eastern Shore,30-39,239,8,0
7/18/2020,Chesterfield,0-9,133,0,0
7/18/2020,Central Shenandoah,10-19,139,1,0
7/18/2020,Crater,0-9,30,1,0
7/18/2020,Fairfax,70-79,695,248,115
7/18/2020,Rappahannock,80+,98,34,19
7/18/2020,Alexandria,10-19,189,4,0
7/18/2020,Portsmouth,40-49,122,8,0
7/18/2020,Three Rivers,50-59,119,10,0
7/18/2020,Alleghany,Missing,2,0,0
7/18/2020,Alexandria,30-39,585,32,0
7/18/2020,Southside,Missing,0,0,0
7/18/2020,Portsmouth,60-69,95,22,6
7/18/2020,Roanoke,30-39,140,1,0
7/18/2020,Three Rivers,60-69,84,14,0
7/18/2020,Fairfax,50-59,2310,314,32
7/18/2020,Portsmouth,50-59,123,22,2
7/18/2020,Chickahominy,80+,83,34,26
7/18/2020,Rappahannock Rapidan,50-59,244,29,2
7/18/2020,Fairfax,80+,816,301,293
7/18/2020,Hampton,Missing,15,0,0
7/18/2020,Cumberland Plateau,80+,4,2,0
7/18/2020,Alleghany,50-59,96,6,1
7/18/2020,Prince William,40-49,2095,163,7
7/18/2020,Fairfax,Missing,158,5,0
7/18/2020,Virginia Beach,40-49,336,19,1
7/18/2020,Richmond,Missing,23,0,0
7/18/2020,Norfolk,40-49,272,15,1
7/18/2020,Piedmont,80+,54,23,12
7/18/2020,Virginia Beach,60-69,218,22,2
7/18/2020,West Piedmont,40-49,109,10,2
7/18/2020,Arlington,10-19,126,5,0
7/18/2020,Lenowisco,0-9,4,0,0
7/18/2020,Pittsylvania-Danville,50-59,70,14,0
7/18/2020,Virginia Beach,50-59,279,18,1
7/18/2020,Chesapeake,Missing,40,1,0
7/18/2020,Central Shenandoah,80+,125,33,18
7/18/2020,Thomas Jefferson,40-49,208,14,0
7/18/2020,Rappahannock Rapidan,60-69,134,17,4
7/18/2020,Norfolk,30-39,420,16,1
7/18/2020,Rappahannock Rapidan,Missing,12,0,0
7/18/2020,Lord Fairfax,80+,165,39,44
7/18/2020,Three Rivers,10-19,40,0,0
7/18/2020,Piedmont,40-49,204,11,0
7/18/2020,Norfolk,80+,53,12,5
7/18/2020,Peninsula,20-29,428,1,0
7/18/2020,Norfolk,50-59,227,24,3
7/18/2020,Thomas Jefferson,50-59,165,13,2
7/18/2020,Richmond,70-79,91,37,14
7/18/2020,Chesterfield,70-79,147,31,22
7/18/2020,Piedmont,30-39,222,5,0
7/18/2020,Prince William,30-39,1884,94,2
7/18/2020,Alleghany,20-29,126,1,0
7/18/2020,Alleghany,0-9,14,0,0
7/18/2020,Mount Rogers,40-49,136,5,1
7/18/2020,Eastern Shore,40-49,250,12,2
7/18/2020,Central Virginia,60-69,56,4,2
7/18/2020,Richmond,10-19,209,2,0
7/18/2020,Pittsylvania-Danville,60-69,52,10,1
7/18/2020,Pittsylvania-Danville,Missing,0,0,0
7/18/2020,Chesterfield,60-69,320,51,12
7/18/2020,Southside,10-19,17,0,0
7/18/2020,New River,80+,13,4,2
7/18/2020,Central Virginia,50-59,88,2,2
7/18/2020,Hampton,70-79,34,8,0
7/18/2020,Pittsylvania-Danville,10-19,20,0,0
7/18/2020,Richmond,60-69,220,53,7
7/18/2020,Chickahominy,40-49,103,12,1
7/18/2020,Three Rivers,80+,39,8,4
7/18/2020,Rappahannock,30-39,524,25,0
7/18/2020,Lord Fairfax,60-69,250,52,14
7/18/2020,Western Tidewater,0-9,19,0,0
7/18/2020,Rappahannock,70-79,119,35,15
7/18/2020,Prince William,80+,243,82,74
7/18/2020,Hampton,80+,14,2,1
7/18/2020,Alexandria,80+,93,28,25
7/18/2020,Mount Rogers,60-69,112,12,0
7/18/2020,Eastern Shore,60-69,179,29,8
7/18/2020,Lord Fairfax,70-79,150,44,17
7/18/2020,New River,30-39,37,1,0
7/18/2020,Chesapeake,10-19,96,1,0
7/18/2020,Hampton,40-49,95,6,0
7/18/2020,West Piedmont,0-9,22,1,0
7/18/2020,Rappahannock Rapidan,70-79,46,14,8
7/18/2020,Central Shenandoah,70-79,147,44,13
7/18/2020,Chesapeake,30-39,320,13,0
7/18/2020,Chickahominy,0-9,16,0,0
