"date","code","age","cum.deaths","daily.deaths"
2020-03-23,"CO","0-9",0,NA
2020-03-23,"CO","10-19",0,NA
2020-03-23,"CO","20-29",0,NA
2020-03-23,"CO","30-39",0,NA
2020-03-23,"CO","40-49",0,NA
2020-03-23,"CO","50-59",0,NA
2020-03-23,"CO","60-69",2,NA
2020-03-23,"CO","70-79",4,NA
2020-03-23,"CO","80+",1,NA
2020-03-24,"CO","0-9",0,0
2020-03-24,"CO","10-19",0,0
2020-03-24,"CO","20-29",0,0
2020-03-24,"CO","30-39",0,0
2020-03-24,"CO","40-49",0,0
2020-03-24,"CO","50-59",1,1
2020-03-24,"CO","60-69",2,0
2020-03-24,"CO","70-79",6,2
2020-03-24,"CO","80+",2,1
2020-03-25,"CO","0-9",0,0
2020-03-25,"CO","10-19",0,0
2020-03-25,"CO","20-29",0,0
2020-03-25,"CO","30-39",0,0
2020-03-25,"CO","40-49",1,1
2020-03-25,"CO","50-59",2,1
2020-03-25,"CO","60-69",3,1
2020-03-25,"CO","70-79",7,1
2020-03-25,"CO","80+",6,4
2020-03-26,"CO","0-9",0,0
2020-03-26,"CO","10-19",0,0
2020-03-26,"CO","20-29",0,0
2020-03-26,"CO","30-39",0,0
2020-03-26,"CO","40-49",1,0
2020-03-26,"CO","50-59",2,0
2020-03-26,"CO","60-69",3,0
2020-03-26,"CO","70-79",7,0
2020-03-26,"CO","80+",11,5
2020-03-27,"CO","0-9",0,0
2020-03-27,"CO","10-19",0,0
2020-03-27,"CO","20-29",0,0
2020-03-27,"CO","30-39",0,0
2020-03-27,"CO","40-49",1,0
2020-03-27,"CO","50-59",2,0
2020-03-27,"CO","60-69",4,1
2020-03-27,"CO","70-79",10,3
2020-03-27,"CO","80+",14,3
2020-03-28,"CO","0-9",0,0
2020-03-28,"CO","10-19",0,0
2020-03-28,"CO","20-29",0,0
2020-03-28,"CO","30-39",0,0
2020-03-28,"CO","40-49",2,1
2020-03-28,"CO","50-59",3,1
2020-03-28,"CO","60-69",4,0
2020-03-28,"CO","70-79",14,4
2020-03-28,"CO","80+",21,7
2020-03-29,"CO","0-9",0,0
2020-03-29,"CO","10-19",0,0
2020-03-29,"CO","20-29",0,0
2020-03-29,"CO","30-39",0,0
2020-03-29,"CO","40-49",2,0
2020-03-29,"CO","50-59",3,0
2020-03-29,"CO","60-69",5,1
2020-03-29,"CO","70-79",15,1
2020-03-29,"CO","80+",22,1
2020-03-30,"CO","0-9",0,0
2020-03-30,"CO","10-19",0,0
2020-03-30,"CO","20-29",0,0
2020-03-30,"CO","30-39",0,0
2020-03-30,"CO","40-49",2,0
2020-03-30,"CO","50-59",3,0
2020-03-30,"CO","60-69",5,0
2020-03-30,"CO","70-79",18,3
2020-03-30,"CO","80+",23,1
2020-03-31,"CO","0-9",0,0
2020-03-31,"CO","10-19",0,0
2020-03-31,"CO","20-29",0,0
2020-03-31,"CO","30-39",0,0
2020-03-31,"CO","40-49",2,0
2020-03-31,"CO","50-59",4,1
2020-03-31,"CO","60-69",5,0
2020-03-31,"CO","70-79",22,4
2020-03-31,"CO","80+",36,13
2020-04-01,"CO","0-9",0,0
2020-04-01,"CO","10-19",0,0
2020-04-01,"CO","20-29",0,0
2020-04-01,"CO","30-39",0,0
2020-04-01,"CO","40-49",2,0
2020-04-01,"CO","50-59",4,0
2020-04-01,"CO","60-69",7,2
2020-04-01,"CO","70-79",23,1
2020-04-01,"CO","80+",44,8
2020-04-02,"CO","0-9",0,0
2020-04-02,"CO","10-19",0,0
2020-04-02,"CO","20-29",0,0
2020-04-02,"CO","30-39",0,0
2020-04-02,"CO","40-49",3,1
2020-04-02,"CO","50-59",4,0
2020-04-02,"CO","60-69",9,2
2020-04-02,"CO","70-79",26,3
2020-04-02,"CO","80+",55,11
2020-04-03,"CO","0-9",0,0
2020-04-03,"CO","10-19",0,0
2020-04-03,"CO","20-29",0,0
2020-04-03,"CO","30-39",1,1
2020-04-03,"CO","40-49",4,1
2020-04-03,"CO","50-59",6,2
2020-04-03,"CO","60-69",11,2
2020-04-03,"CO","70-79",27,1
2020-04-03,"CO","80+",62,7
2020-04-04,"CO","0-9",0,0
2020-04-04,"CO","10-19",0,0
2020-04-04,"CO","20-29",0,0
2020-04-04,"CO","30-39",1,0
2020-04-04,"CO","40-49",4,0
2020-04-04,"CO","50-59",8,2
2020-04-04,"CO","60-69",12,1
2020-04-04,"CO","70-79",31,4
2020-04-04,"CO","80+",70,8
2020-04-05,"CO","0-9",0,0
2020-04-05,"CO","10-19",0,0
2020-04-05,"CO","20-29",0,0
2020-04-05,"CO","30-39",1,0
2020-04-05,"CO","40-49",5,1
2020-04-05,"CO","50-59",8,0
2020-04-05,"CO","60-69",14,2
2020-04-05,"CO","70-79",35,4
2020-04-05,"CO","80+",77,7
2020-04-06,"CO","0-9",0,0
2020-04-06,"CO","10-19",0,0
2020-04-06,"CO","20-29",0,0
2020-04-06,"CO","30-39",1,0
2020-04-06,"CO","40-49",5,0
2020-04-06,"CO","50-59",8,0
2020-04-06,"CO","60-69",14,0
2020-04-06,"CO","70-79",39,4
2020-04-06,"CO","80+",83,6
2020-04-07,"CO","0-9",0,0
2020-04-07,"CO","10-19",0,0
2020-04-07,"CO","20-29",0,0
2020-04-07,"CO","30-39",2,1
2020-04-07,"CO","40-49",7,2
2020-04-07,"CO","50-59",12,4
2020-04-07,"CO","60-69",18,4
2020-04-07,"CO","70-79",46,7
2020-04-07,"CO","80+",94,11
2020-04-08,"CO","0-9",0,0
2020-04-08,"CO","10-19",0,0
2020-04-08,"CO","20-29",1,1
2020-04-08,"CO","30-39",2,0
2020-04-08,"CO","40-49",7,0
2020-04-08,"CO","50-59",13,1
2020-04-08,"CO","60-69",20,2
2020-04-08,"CO","70-79",52,6
2020-04-08,"CO","80+",98,4
2020-04-09,"CO","0-9",0,0
2020-04-09,"CO","10-19",0,0
2020-04-09,"CO","20-29",1,0
2020-04-09,"CO","30-39",2,0
2020-04-09,"CO","40-49",9,2
2020-04-09,"CO","50-59",13,0
2020-04-09,"CO","60-69",22,2
2020-04-09,"CO","70-79",57,5
