"","Date","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90+ years"
"1",2020-03-15,0,0,0,0,0,0,0,0,0,0
"74",2020-03-16,0,0,0,0,0,0,0,0,0,0
"147",2020-03-17,0,0,0,0,0,0,0,0,0,0
"220",2020-03-18,0,0,0,0,0,0,0,0,0,0
"293",2020-03-19,0,0,0,0,0,0,0,0,0,0
"366",2020-03-20,0,0,0,0,0,0,0,0,0,0
"439",2020-03-21,0,0,0,0,0,0,0,0,0,0
"512",2020-03-22,0,0,0,0,0,0,0,0,0,0
"585",2020-03-23,0,0,0,0,0,0,0,0,0,0
"658",2020-03-24,0,0,0,0,0,0,0,0,0,0
"731",2020-03-25,0,0,0,0,0,0,0,0,0,0
"804",2020-03-26,0,0,0,0,0,0,0,0,0,0
"877",2020-03-27,0,0,0,0,0,0,0,0,0,0
"950",2020-03-28,0,0,0,0,0,0,0,0,0,0
"1023",2020-03-29,0,0,0,0,0,4,3,3,2,1
"1096",2020-03-30,0,0,0,0,1,4,3,3,2,1
"1169",2020-03-31,0,0,0,0,1,4,3,4,3,1
"1242",2020-04-01,0,0,0,0,1,6,5,6,5,1
"1315",2020-04-02,0,0,0,1,1,6,5,9,7,2
"1388",2020-04-03,0,0,0,1,1,6,5,12,9,3
"1461",2020-04-04,0,0,0,2,1,8,9,16,14,6
"1534",2020-04-05,0,0,0,2,1,10,10,22,16,7
"1607",2020-04-06,0,0,0,2,1,11,11,25,18,9
"1680",2020-04-07,0,0,0,2,2,11,15,32,20,10
"1753",2020-04-08,0,0,0,2,2,11,16,35,23,10
"1826",2020-04-09,0,0,0,3,2,12,17,39,26,12
"1899",2020-04-10,0,0,0,3,2,15,24,42,27,15
"1972",2020-04-11,0,0,0,3,4,15,25,42,30,18
"3447",2020-04-12,0,0,0,3,4,15,25,45,33,19
"4922",2020-04-13,0,0,0,4,5,16,27,48,34,20
"6397",2020-04-14,0,0,0,4,5,16,34,51,39,21
"7872",2020-04-15,0,0,0,4,5,18,35,56,41,23
"9347",2020-04-16,0,0,0,4,6,20,38,59,44,26
"10822",2020-04-17,0,0,0,4,6,20,41,61,47,26
"12297",2020-04-18,0,0,0,4,6,20,41,65,47,28
"13772",2020-04-19,0,0,2,4,6,20,42,67,48,31
"15247",2020-04-20,0,0,2,4,7,20,43,67,52,35
"16722",2020-04-21,0,0,2,4,8,21,43,72,55,37
"18197",2020-04-22,0,0,2,4,8,21,43,73,56,39
"19672",2020-04-23,0,0,2,4,9,22,44,78,58,40
"21147",2020-04-24,0,0,2,4,10,22,45,80,58,41
