"age","log_ifr_mean","log_ifr_cl","log_ifr_cu","ifr_mean","ifr_cl","ifr_cu"
0,-13.0807989287488,-13.9332232188456,-12.2283657384626,2.08488068713028e-06,8.88951446445684e-07,4.88976780882542e-06
1,-12.9464286174801,-13.7868523974215,-12.1059961932119,2.38472053287801e-06,1.02907275666993e-06,5.52627707092171e-06
2,-12.8120583062113,-13.6404815759974,-11.9836266479612,2.72768223862137e-06,1.19128074177104e-06,6.24564180930527e-06
3,-12.6776879949426,-13.4941107545733,-11.8612571027105,3.11996743111496e-06,1.37905682228622e-06,7.05864746004056e-06
4,-12.5433176836738,-13.3477399331492,-11.7388875574597,3.56866963218484e-06,1.59643117899045e-06,7.97748341746153e-06
5,-12.4089473724051,-13.2013691117251,-11.616518012209,4.08190252778605e-06,1.84806925143792e-06,9.01592578976993e-06
6,-12.2745770611363,-13.054998290301,-11.4941484669583,4.66894668424246e-06,2.13937187086895e-06,1.0189543944236e-05
7,-12.1402067498676,-12.9086274688769,-11.3717789217075,5.34041736467481e-06,2.47659117660453e-06,1.15159339387338e-05
8,-12.0058364385988,-12.7622566474528,-11.2494093764568,6.1084564801681e-06,2.86696480380672e-06,1.301498233945e-05
9,-11.8714661273301,-12.6158858260287,-11.1270398312061,6.9869521466474e-06,3.3188712226358e-06,1.47091643801857e-05
10,-11.7370958160613,-12.4695150046045,-11.0046702859554,7.99178981761318e-06,3.84200956280126e-06,1.66238809335539e-05
11,-11.6027255047925,-12.3231441831804,-10.8823007407046,9.14113953385989e-06,4.44760778302609e-06,1.87878393462816e-05
12,-11.4683551935238,-12.1767733617563,-10.7599311954539,1.04557844843888e-05,5.14866365330219e-06,2.1233483848481e-05
13,-11.333984882255,-12.0304025403322,-10.6375616502032,1.19594968197387e-05,5.96022372206545e-06,2.39974819900158e-05
14,-11.1996145709863,-11.8840317189081,-10.5151921049525,1.36794675134031e-05,6.89970625567814e-06,2.71212743971042e-05
15,-11.0652442597175,-11.737660897484,-10.3928225597017,1.56467980443293e-05,7.98727508137004e-06,3.06516960916587e-05
16,-10.9308739484488,-11.5912900760599,-10.270453014451,1.78970627913807e-05,9.24627235731568e-06,3.46416786888054e-05
17,-10.79650363718,-11.4449192546358,-10.1480834692003,2.04709523092943e-05,1.07037195582596e-05,3.91510440006289e-05
18,-10.6621333259113,-11.2985484332117,-10.0257139239496,2.34150091182125e-05,1.23908974291917e-05,4.42474009446462e-05
19,-10.5277630146425,-11.1521776117876,-9.90334437869883,2.67824693117501e-05,1.43440173544414e-05,5.00071592043581e-05
20,-10.3933927033738,-11.0058067903635,-9.7809748334481,3.0634225202027e-05,1.66049985515809e-05,5.65166748396913e-05
21,-10.259022392105,-10.8594359689393,-9.65860528819737,3.50399264087565e-05,1.92223677708135e-05,6.38735450234699e-05
22,-10.1246520808363,-10.7130651475152,-9.53623574294665,4.00792393029034e-05,2.22523008098204e-05,7.21880713159012e-05
23,-9.9902817695675,-10.5666943260911,-9.41386619769592,4.58432875788794e-05,2.57598281977817e-05,8.15849134159509e-05
24,-9.85591145829875,-10.420323504667,-9.2914966524452,5.24363000045161e-05,2.98202309258009e-05,9.22049581843038e-05
25,-9.72154114703,-10.2739526832429,-9.16912710719447,5.99774951443574e-05,3.45206561798681e-05,0.000104207431960172
26,-9.58717083576124,-10.1275818618188,-9.04675756194374,6.86032371368994e-05,3.99619877543473e-05,0.000117772287841918
27,-9.45280052449249,-9.9812110403947,-8.92438801669302,7.84695015077571e-05,4.62610112901019e-05,0.000133102903723996
28,-9.31843021322373,-9.83484021897059,-8.80201847144229,8.97546956069804e-05,5.35529208091038e-05,0.000150429131541874
29,-9.18405990195498,-9.68846939754648,-8.67964892619156,0.000102662884671255,6.19942203425148e-05,0.000170010743442277
30,-9.04968959068623,-9.54209857612237,-8.55727938094084,0.000117427481846461,7.17660829289993e-05,0.000192141326547179
31,-8.91531927941747,-9.39572775469827,-8.43490983569011,0.000134315468895663,8.30782390764248e-05,0.000217152684705742
32,-8.78094896814872,-9.24935693327416,-8.31254029043939,0.000153632223913737,9.61734781438188e-05,0.00024541981322968
33,-8.64657865687997,-9.10298611185005,-8.19017074518866,0.000175727043346105,0.00011133285925537,0.000277366521198245
34,-8.51220834561121,-8.95661529042594,-8.06780119993793,0.000200999458163821,0.000128881743586734,0.000313471785628074
35,-8.37783803434248,-8.81024446900185,-7.94543165468718,0.00022990645840764,0.000149196777492762,0.000354276932775974
36,-8.24346772307373,-8.66387364757774,-7.82306210943645,0.000262970756739378,0.000172713976353407,0.000400393754243851
