Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
09/11/2020,Rappahannock,60-69,373,67,11
09/11/2020,Piedmont,20-29,332,3,0
09/11/2020,New River,60-69,72,8,2
09/11/2020,Roanoke,40-49,199,8,0
09/11/2020,Three Rivers,20-29,268,4,0
09/11/2020,Rappahannock,40-49,782,52,3
09/11/2020,Portsmouth,80+,65,24,10
09/11/2020,Central Shenandoah,Missing,6,0,0
09/11/2020,Eastern Shore,70-79,67,24,12
09/11/2020,Mount Rogers,70-79,259,70,26
09/11/2020,Cumberland Plateau,70-79,40,5,0
09/11/2020,Piedmont,10-19,87,1,0
09/11/2020,Southside,20-29,165,2,0
09/11/2020,Chesterfield,50-59,815,66,7
09/11/2020,Rappahannock Rapidan,20-29,443,6,0
09/11/2020,Cumberland Plateau,60-69,70,13,2
09/11/2020,Roanoke,70-79,59,9,2
09/11/2020,Central Shenandoah,20-29,1279,14,0
09/11/2020,Pittsylvania-Danville,80+,101,20,13
09/11/2020,Virginia Beach,80+,227,69,35
09/11/2020,Central Shenandoah,50-59,547,44,6
09/11/2020,Lenowisco,Missing,0,0,0
09/11/2020,Fairfax,30-39,3729,233,9
09/11/2020,Lenowisco,60-69,122,14,2
09/11/2020,Loudoun,30-39,1073,37,0
09/11/2020,West Piedmont,80+,140,48,14
09/11/2020,Roanoke,80+,85,8,12
09/11/2020,Fairfax,40-49,3414,331,15
09/11/2020,Richmond,0-9,156,6,0
09/11/2020,Chesapeake,80+,171,51,25
09/11/2020,Peninsula,40-49,584,17,1
09/11/2020,Henrico,0-9,188,6,0
09/11/2020,Lenowisco,80+,28,9,1
09/11/2020,Piedmont,60-69,219,26,6
09/11/2020,West Piedmont,0-9,48,2,0
09/11/2020,Rappahannock Rapidan,70-79,86,18,10
09/11/2020,Central Shenandoah,70-79,202,61,18
09/11/2020,Chesapeake,30-39,741,24,0
09/11/2020,Chickahominy,0-9,33,0,0
09/11/2020,Prince William,0-9,629,12,0
09/11/2020,Eastern Shore,50-59,292,24,6
09/11/2020,Mount Rogers,50-59,339,25,3
09/11/2020,Loudoun,10-19,927,2,0
09/11/2020,Southside,80+,99,12,13
09/11/2020,Central Virginia,80+,114,14,7
09/11/2020,Rappahannock,Missing,34,1,0
09/11/2020,Rappahannock Rapidan,30-39,446,20,1
09/11/2020,New River,50-59,112,6,0
09/11/2020,Thomas Jefferson,80+,182,40,36
09/11/2020,Roanoke,20-29,302,6,0
09/11/2020,Henrico,60-69,437,68,38
09/11/2020,Lord Fairfax,40-49,434,23,1
09/11/2020,Western Tidewater,Missing,24,0,0
09/11/2020,Chickahominy,60-69,161,31,9
09/11/2020,Chesapeake,20-29,743,7,0
09/11/2020,Three Rivers,Missing,13,1,0
09/11/2020,Henrico,10-19,446,6,0
09/11/2020,Mount Rogers,30-39,300,14,0
09/11/2020,Eastern Shore,30-39,253,11,0
09/11/2020,Chesterfield,0-9,233,3,0
09/11/2020,Central Shenandoah,10-19,622,1,0
09/11/2020,Crater,0-9,71,2,0
09/11/2020,Fairfax,70-79,809,276,122
09/11/2020,Rappahannock,80+,201,74,27
09/11/2020,Alexandria,10-19,253,4,0
09/11/2020,Portsmouth,40-49,344,27,2
09/11/2020,Three Rivers,50-59,221,15,0
09/11/2020,Alleghany,Missing,4,0,0
09/11/2020,Alexandria,30-39,834,37,1
09/11/2020,Southside,Missing,2,0,0
09/11/2020,Portsmouth,60-69,280,50,14
09/11/2020,Roanoke,30-39,274,6,0
09/11/2020,Three Rivers,60-69,161,20,2
09/11/2020,Fairfax,50-59,2959,384,39
09/11/2020,Portsmouth,50-59,331,46,4
09/11/2020,Chickahominy,80+,101,40,30
09/11/2020,Rappahannock Rapidan,50-59,371,38,2
09/11/2020,Fairfax,80+,906,336,315
09/11/2020,Hampton,Missing,31,0,0
09/11/2020,Cumberland Plateau,80+,29,10,5
09/11/2020,Alleghany,50-59,210,12,1
09/11/2020,Prince William,40-49,2755,192,8
09/11/2020,Fairfax,Missing,180,6,0
09/11/2020,Crater,30-39,637,12,0
09/11/2020,Virginia Beach,70-79,286,77,21
09/11/2020,Virginia Beach,30-39,1215,25,1
09/11/2020,Piedmont,0-9,43,0,0
09/11/2020,Central Shenandoah,30-39,505,10,1
09/11/2020,Hampton,50-59,228,12,4
09/11/2020,Peninsula,70-79,222,50,16
09/11/2020,Arlington,20-29,816,24,0
09/11/2020,West Piedmont,70-79,147,53,12
09/11/2020,Richmond,20-29,1147,23,0
09/11/2020,Roanoke,0-9,50,0,0
09/11/2020,Hampton,30-39,314,3,0
09/11/2020,Thomas Jefferson,30-39,445,13,0
09/11/2020,Western Tidewater,40-49,437,11,3
09/11/2020,Richmond,50-59,459,78,3
09/11/2020,Western Tidewater,50-59,573,25,4
09/11/2020,Crater,Missing,30,0,0
09/11/2020,Arlington,50-59,504,80,7
09/11/2020,Piedmont,70-79,110,29,9
09/11/2020,Alexandria,60-69,275,60,3
09/11/2020,Portsmouth,30-39,397,25,1
09/11/2020,Lenowisco,20-29,112,0,0
09/11/2020,Central Virginia,30-39,337,13,0
09/11/2020,Norfolk,10-19,307,4,0
09/11/2020,New River,10-19,637,0,0
09/11/2020,Central Virginia,20-29,676,4,0
09/11/2020,Rappahannock,50-59,699,66,5
09/11/2020,Chesapeake,0-9,133,1,0
09/11/2020,Peninsula,50-59,528,25,3
09/11/2020,Cumberland Plateau,Missing,0,0,0
09/11/2020,Peninsula,60-69,351,36,6
09/11/2020,Lord Fairfax,30-39,470,15,1
09/11/2020,Virginia Beach,Missing,126,0,0
09/11/2020,Arlington,40-49,596,62,9
09/11/2020,West Piedmont,10-19,154,1,0
09/11/2020,Chickahominy,70-79,102,30,8
09/11/2020,Pittsylvania-Danville,20-29,224,1,0
09/11/2020,Loudoun,50-59,936,78,4
09/11/2020,Richmond,30-39,868,49,1
09/11/2020,Thomas Jefferson,Missing,4,0,0
09/11/2020,Rappahannock Rapidan,80+,88,23,21
09/11/2020,Lord Fairfax,Missing,4,0,0
09/11/2020,Cumberland Plateau,50-59,100,13,1
09/11/2020,Loudoun,Missing,66,0,1
09/11/2020,Southside,50-59,192,14,1
09/11/2020,Chesterfield,20-29,1102,14,0
09/11/2020,Norfolk,70-79,189,63,17
09/11/2020,Alleghany,10-19,168,1,0
09/11/2020,Crater,80+,188,39,25
09/11/2020,Portsmouth,Missing,23,1,0
09/11/2020,Western Tidewater,10-19,223,0,0
09/11/2020,Chesterfield,10-19,601,2,0
09/11/2020,Southside,60-69,162,19,8
09/11/2020,Richmond,80+,100,36,14
09/11/2020,Mount Rogers,20-29,358,0,0
09/11/2020,Eastern Shore,20-29,217,6,0
09/11/2020,Hampton,10-19,107,0,0
09/11/2020,Portsmouth,0-9,78,4,0
09/11/2020,Crater,70-79,242,51,28
09/11/2020,Chesterfield,40-49,962,45,3
09/11/2020,Alexandria,Missing,11,0,0
09/11/2020,Southside,30-39,221,4,0
09/11/2020,Prince William,Missing,196,3,0
09/11/2020,Hampton,60-69,161,13,6
09/11/2020,Fairfax,20-29,3445,105,3
09/11/2020,Thomas Jefferson,0-9,114,1,0
09/11/2020,Lenowisco,40-49,118,6,0
09/11/2020,Central Virginia,10-19,308,2,0
09/11/2020,Lenowisco,70-79,83,24,8
09/11/2020,Virginia Beach,0-9,218,1,0
09/11/2020,Lenowisco,50-59,117,14,1
09/11/2020,Chesapeake,70-79,219,73,7
09/11/2020,Western Tidewater,80+,221,38,52
09/11/2020,Thomas Jefferson,10-19,424,3,0
09/11/2020,Richmond,40-49,590,45,5
09/11/2020,Lord Fairfax,50-59,467,40,6
09/11/2020,Lord Fairfax,10-19,244,4,0
09/11/2020,Virginia Beach,40-49,845,34,2
09/11/2020,Richmond,Missing,28,1,0
09/11/2020,Norfolk,40-49,541,34,2
09/11/2020,Piedmont,80+,72,24,21
09/11/2020,Virginia Beach,60-69,561,70,9
09/11/2020,West Piedmont,40-49,283,19,4
09/11/2020,Arlington,10-19,200,5,0
09/11/2020,Lenowisco,0-9,36,0,0
09/11/2020,Pittsylvania-Danville,50-59,297,25,2
09/11/2020,Virginia Beach,50-59,748,46,3
09/11/2020,Chesapeake,Missing,43,1,0
09/11/2020,Central Shenandoah,80+,177,45,25
09/11/2020,Thomas Jefferson,40-49,379,22,0
09/11/2020,Rappahannock Rapidan,60-69,207,30,6
09/11/2020,Norfolk,30-39,819,37,1
09/11/2020,Rappahannock Rapidan,Missing,14,0,0
09/11/2020,Lord Fairfax,80+,217,52,56
09/11/2020,Three Rivers,10-19,91,1,0
09/11/2020,Piedmont,40-49,325,13,0
09/11/2020,Norfolk,80+,109,32,20
09/11/2020,Peninsula,20-29,1035,1,0
09/11/2020,Norfolk,50-59,523,58,6
09/11/2020,Thomas Jefferson,50-59,299,24,2
09/11/2020,Richmond,70-79,173,70,19
09/11/2020,Chesterfield,70-79,218,42,30
09/11/2020,Piedmont,30-39,346,6,0
09/11/2020,Prince William,30-39,2572,114,2
09/11/2020,Alleghany,20-29,273,1,0
09/11/2020,Alleghany,0-9,43,0,0
09/11/2020,Mount Rogers,40-49,310,8,2
09/11/2020,Eastern Shore,40-49,264,13,2
09/11/2020,Central Virginia,60-69,265,25,3
09/11/2020,Richmond,10-19,397,5,0
09/11/2020,Pittsylvania-Danville,60-69,212,28,4
09/11/2020,Pittsylvania-Danville,Missing,1,0,0
09/11/2020,Chesterfield,60-69,506,78,20
09/11/2020,Southside,10-19,47,0,0
09/11/2020,New River,80+,39,7,3
09/11/2020,Central Virginia,50-59,402,11,4
09/11/2020,Hampton,70-79,88,13,4
09/11/2020,Rappahannock Rapidan,10-19,228,4,0
09/11/2020,Crater,50-59,606,54,5
09/11/2020,Arlington,Missing,16,1,0
09/11/2020,Roanoke,50-59,144,8,0
09/11/2020,Rappahannock,10-19,516,6,0
09/11/2020,Roanoke,10-19,145,1,0
09/11/2020,Eastern Shore,Missing,6,0,0
09/11/2020,Mount Rogers,Missing,0,0,0
09/11/2020,Prince William,60-69,1104,202,52
09/11/2020,Alleghany,70-79,102,16,13
09/11/2020,Crater,20-29,565,9,0
09/11/2020,Loudoun,60-69,371,74,9
09/11/2020,Fairfax,0-9,770,27,0
09/11/2020,Roanoke,Missing,3,0,0
09/11/2020,Alexandria,20-29,660,12,1
09/11/2020,Portsmouth,70-79,130,47,14
09/11/2020,Alleghany,30-39,179,5,0
09/11/2020,Prince William,20-29,2669,64,0
09/11/2020,Southside,70-79,110,18,17
09/11/2020,Piedmont,Missing,2,0,0
09/11/2020,Rappahannock,0-9,208,2,0
09/11/2020,Henrico,30-39,892,22,0
09/11/2020,Prince William,10-19,1300,10,0
09/11/2020,Chickahominy,10-19,172,0,0
09/11/2020,Lord Fairfax,0-9,96,2,0
09/11/2020,Central Virginia,Missing,3,0,0
09/11/2020,Fairfax,60-69,1816,392,78
09/11/2020,Hampton,20-29,432,3,0
09/11/2020,Central Shenandoah,40-49,534,20,0
09/11/2020,Pittsylvania-Danville,0-9,63,0,0
09/11/2020,Loudoun,80+,230,63,84
09/11/2020,Arlington,80+,219,91,74
09/11/2020,Virginia Beach,10-19,500,1,0
09/11/2020,Mount Rogers,80+,240,54,43
09/11/2020,Eastern Shore,80+,55,25,20
09/11/2020,Crater,10-19,162,2,0
09/11/2020,Lenowisco,30-39,130,3,1
09/11/2020,Norfolk,Missing,42,1,0
09/11/2020,Henrico,Missing,50,1,1
09/11/2020,New River,40-49,120,3,0
09/11/2020,Central Virginia,0-9,80,0,0
09/11/2020,New River,70-79,59,15,5
09/11/2020,Loudoun,0-9,251,4,0
09/11/2020,Central Virginia,70-79,160,19,5
09/11/2020,Southside,0-9,25,0,0
09/11/2020,Three Rivers,40-49,252,16,2
09/11/2020,Chickahominy,30-39,216,3,0
09/11/2020,Central Shenandoah,60-69,392,54,15
09/11/2020,Western Tidewater,60-69,411,35,12
09/11/2020,Cumberland Plateau,30-39,76,2,0
09/11/2020,Portsmouth,10-19,193,4,0
09/11/2020,Chesterfield,Missing,129,1,0
09/11/2020,Alexandria,40-49,628,47,0
09/11/2020,Thomas Jefferson,70-79,164,30,14
09/11/2020,Three Rivers,30-39,254,8,0
09/11/2020,Western Tidewater,70-79,250,35,21
09/11/2020,Arlington,60-69,348,89,19
09/11/2020,Cumberland Plateau,10-19,86,1,0
09/11/2020,West Piedmont,30-39,233,6,0
09/11/2020,Peninsula,10-19,263,1,0
09/11/2020,Lenowisco,10-19,75,0,0
09/11/2020,Norfolk,0-9,163,3,0
09/11/2020,Cumberland Plateau,40-49,104,5,1
09/11/2020,Eastern Shore,10-19,75,1,0
09/11/2020,Mount Rogers,10-19,178,0,0
09/11/2020,Rappahannock Rapidan,0-9,117,1,0
09/11/2020,Three Rivers,0-9,34,1,0
09/11/2020,Henrico,40-49,720,43,2
09/11/2020,Alexandria,50-59,453,62,12
09/11/2020,Arlington,0-9,96,2,0
09/11/2020,Chickahominy,Missing,19,0,0
09/11/2020,New River,20-29,1019,1,0
09/11/2020,Virginia Beach,20-29,1642,13,0
09/11/2020,Chesapeake,50-59,591,61,3
09/11/2020,Alleghany,80+,54,14,8
09/11/2020,Fairfax,10-19,1525,34,0
09/11/2020,Chesapeake,60-69,450,89,13
09/11/2020,West Piedmont,Missing,0,0,0
09/11/2020,Peninsula,80+,124,35,30
09/11/2020,Crater,40-49,542,25,1
09/11/2020,Chesapeake,40-49,617,46,1
09/11/2020,Thomas Jefferson,20-29,558,3,0
09/11/2020,Lord Fairfax,20-29,492,7,0
09/11/2020,Norfolk,20-29,1493,16,0
09/11/2020,Arlington,30-39,699,46,0
09/11/2020,West Piedmont,60-69,231,42,3
09/11/2020,Pittsylvania-Danville,10-19,118,0,0
09/11/2020,Richmond,60-69,341,82,8
09/11/2020,Chickahominy,40-49,203,15,1
09/11/2020,Three Rivers,80+,64,15,8
09/11/2020,Rappahannock,30-39,843,29,0
09/11/2020,Lord Fairfax,60-69,290,57,14
09/11/2020,Western Tidewater,0-9,103,1,0
09/11/2020,Rappahannock,70-79,194,55,19
09/11/2020,Prince William,80+,287,98,83
09/11/2020,Hampton,80+,46,4,2
09/11/2020,Alexandria,80+,115,35,27
09/11/2020,Mount Rogers,60-69,281,30,3
09/11/2020,Eastern Shore,60-69,205,31,8
09/11/2020,Lord Fairfax,70-79,191,57,20
09/11/2020,New River,30-39,151,4,0
09/11/2020,Chesapeake,10-19,318,4,0
09/11/2020,Hampton,40-49,240,9,0
09/11/2020,Peninsula,Missing,47,0,0
09/11/2020,Henrico,70-79,307,67,47
09/11/2020,Western Tidewater,20-29,451,6,0
09/11/2020,Peninsula,0-9,147,1,0
09/11/2020,Loudoun,40-49,1180,73,1
09/11/2020,Pittsylvania-Danville,30-39,242,3,0
09/11/2020,Loudoun,20-29,1151,15,0
09/11/2020,Crater,60-69,437,66,21
09/11/2020,Henrico,50-59,626,67,12
09/11/2020,West Piedmont,50-59,309,47,3
09/11/2020,Cumberland Plateau,20-29,90,0,0
09/11/2020,Alexandria,70-79,126,44,18
09/11/2020,Portsmouth,20-29,502,21,0
09/11/2020,Western Tidewater,30-39,482,18,2
09/11/2020,Central Shenandoah,0-9,109,0,0
09/11/2020,Henrico,80+,416,95,94
09/11/2020,Alexandria,0-9,222,3,0
09/11/2020,Pittsylvania-Danville,40-49,259,13,2
09/11/2020,Henrico,20-29,884,22,1
09/11/2020,Roanoke,60-69,98,9,1
09/11/2020,Peninsula,30-39,747,17,3
09/11/2020,Alleghany,60-69,120,13,1
09/11/2020,Prince William,70-79,430,130,57
09/11/2020,Norfolk,60-69,426,79,15
09/11/2020,Southside,40-49,196,6,0
09/11/2020,Chesterfield,30-39,1134,30,1
09/11/2020,Loudoun,70-79,192,62,19
09/11/2020,Central Virginia,40-49,341,4,0
09/11/2020,New River,Missing,8,0,0
09/11/2020,Chickahominy,20-29,264,3,0
09/11/2020,New River,0-9,22,0,0
09/11/2020,Cumberland Plateau,0-9,22,0,0
09/11/2020,Three Rivers,70-79,78,18,8
09/11/2020,Rappahannock Rapidan,40-49,423,25,3
09/11/2020,Hampton,0-9,43,0,0
09/11/2020,Piedmont,50-59,288,27,4
09/11/2020,Rappahannock,20-29,972,19,0
09/11/2020,West Piedmont,20-29,268,4,0
09/11/2020,Arlington,70-79,206,81,35
09/11/2020,Chickahominy,50-59,259,27,1
09/11/2020,Alleghany,40-49,178,5,0
09/11/2020,Prince William,50-59,2025,236,21
09/11/2020,Mount Rogers,0-9,85,2,0
09/11/2020,Eastern Shore,0-9,28,2,0
09/11/2020,Thomas Jefferson,60-69,227,40,6
09/11/2020,Pittsylvania-Danville,70-79,90,23,2
09/11/2020,Chesterfield,80+,186,44,52
08/19/2020,Eastern Shore,Missing,6,0,0
08/19/2020,Mount Rogers,Missing,0,0,0
08/19/2020,Prince William,60-69,981,190,50
08/19/2020,Alleghany,70-79,90,12,10
08/19/2020,Crater,20-29,456,9,0
08/19/2020,Loudoun,60-69,326,61,9
08/19/2020,Fairfax,0-9,647,25,0
08/19/2020,Roanoke,Missing,3,0,0
08/19/2020,Alexandria,20-29,571,11,1
08/19/2020,Portsmouth,70-79,102,22,7
08/19/2020,Alleghany,30-39,139,4,0
08/19/2020,Prince William,20-29,2305,62,0
08/19/2020,Southside,70-79,87,15,17
08/19/2020,Piedmont,Missing,1,0,0
08/19/2020,Rappahannock,0-9,176,2,0
08/19/2020,Henrico,30-39,752,22,0
08/19/2020,Prince William,10-19,1096,10,0
08/19/2020,Chickahominy,10-19,88,0,0
08/19/2020,Lord Fairfax,0-9,82,2,0
08/19/2020,Central Virginia,Missing,1,0,0
08/19/2020,Fairfax,60-69,1651,362,68
08/19/2020,Henrico,70-79,275,60,46
08/19/2020,Western Tidewater,20-29,365,6,0
08/19/2020,Peninsula,0-9,123,0,0
08/19/2020,Loudoun,40-49,1049,65,1
08/19/2020,Pittsylvania-Danville,30-39,164,1,0
08/19/2020,Loudoun,20-29,951,11,0
08/19/2020,Crater,60-69,353,58,19
08/19/2020,Loudoun,80+,225,59,81
08/19/2020,Arlington,80+,206,85,70
08/19/2020,Virginia Beach,10-19,410,0,0
08/19/2020,Mount Rogers,80+,135,43,34
08/19/2020,Eastern Shore,80+,55,25,20
08/19/2020,Crater,10-19,135,2,0
09/12/2020,Norfolk,0-9,164,4,0
09/12/2020,Cumberland Plateau,40-49,106,5,1
09/12/2020,Eastern Shore,10-19,75,1,0
09/12/2020,Mount Rogers,10-19,186,0,0
09/12/2020,Rappahannock Rapidan,0-9,118,1,0
09/12/2020,Three Rivers,0-9,34,1,0
09/12/2020,Henrico,40-49,723,43,2
09/12/2020,Alexandria,50-59,456,63,12
09/12/2020,Arlington,0-9,96,2,0
09/12/2020,Chickahominy,Missing,19,0,0
09/12/2020,New River,20-29,1103,1,0
09/12/2020,Virginia Beach,20-29,1646,13,0
09/12/2020,Chesapeake,50-59,592,62,3
09/12/2020,Alleghany,80+,54,14,8
09/12/2020,Fairfax,10-19,1551,34,0
09/12/2020,Chesapeake,60-69,451,92,13
09/12/2020,West Piedmont,Missing,0,0,0
09/12/2020,Peninsula,80+,125,35,30
09/12/2020,Crater,40-49,547,25,1
09/12/2020,Chesapeake,40-49,621,46,1
09/12/2020,Thomas Jefferson,20-29,573,3,0
09/12/2020,Lord Fairfax,20-29,496,7,0
09/12/2020,Norfolk,20-29,1501,16,0
09/12/2020,Arlington,30-39,700,46,0
09/12/2020,West Piedmont,60-69,233,42,3
09/12/2020,Henrico,50-59,627,67,12
09/12/2020,Rappahannock,70-79,197,55,19
09/12/2020,Prince William,80+,288,98,83
09/12/2020,Hampton,80+,46,5,3
09/12/2020,Alexandria,80+,115,35,27
09/12/2020,Mount Rogers,60-69,284,31,3
09/12/2020,Eastern Shore,60-69,205,31,8
09/12/2020,Lord Fairfax,70-79,192,57,20
09/12/2020,New River,30-39,157,4,0
09/12/2020,Chesapeake,10-19,324,4,0
09/12/2020,Hampton,40-49,242,9,0
09/12/2020,Peninsula,Missing,49,0,0
09/12/2020,Henrico,70-79,307,67,47
09/12/2020,Western Tidewater,20-29,457,6,0
09/12/2020,Peninsula,0-9,147,1,0
09/12/2020,Loudoun,40-49,1188,73,1
09/12/2020,Pittsylvania-Danville,30-39,242,4,0
09/12/2020,Loudoun,20-29,1154,15,0
09/12/2020,Crater,60-69,438,67,21
09/12/2020,Loudoun,80+,230,63,84
09/12/2020,Arlington,80+,219,91,74
09/12/2020,Virginia Beach,10-19,510,1,0
09/12/2020,Mount Rogers,80+,243,55,44
09/12/2020,Eastern Shore,80+,55,25,20
09/12/2020,Crater,10-19,165,2,0
09/12/2020,Lenowisco,30-39,130,3,1
09/12/2020,Norfolk,Missing,42,1,0
09/12/2020,Henrico,Missing,50,1,1
09/12/2020,New River,40-49,125,4,0
09/12/2020,Piedmont,0-9,44,0,0
09/12/2020,Central Shenandoah,30-39,509,10,1
09/12/2020,Hampton,50-59,232,12,4
09/12/2020,Peninsula,70-79,222,50,16
09/12/2020,Arlington,20-29,817,24,0
