Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
01/06/2021,01/04/2020,01/02/2021,United States,All Sexes,All Ages,313171,3171913,307957,144615,8676,484102,
01/06/2021,01/04/2020,01/02/2021,United States,All Sexes,Under 1 year,32,17750,189,6,21,236,
01/06/2021,01/04/2020,01/02/2021,United States,All Sexes,0-17 years,151,31296,523,28,175,821,
01/06/2021,01/04/2020,01/02/2021,United States,All Sexes,1-4 years,19,3276,116,3,59,191,
01/06/2021,01/04/2020,01/02/2021,United States,All Sexes,5-14 years,54,5247,149,10,74,267,
01/06/2021,01/04/2020,01/02/2021,United States,All Sexes,15-24 years,494,33598,684,176,80,1078,
01/06/2021,01/04/2020,01/02/2021,United States,All Sexes,18-29 years,1205,59247,1574,502,146,2413,
01/06/2021,01/04/2020,01/02/2021,United States,All Sexes,25-34 years,2129,68807,2465,947,231,3862,
01/06/2021,01/04/2020,01/02/2021,United States,All Sexes,30-49 years,12712,207063,12384,5829,798,19980,
01/06/2021,01/04/2020,01/02/2021,United States,All Sexes,35-44 years,5559,97549,5529,2505,352,8903,
01/06/2021,01/04/2020,01/02/2021,United States,All Sexes,45-54 years,14963,178444,14522,7231,759,22903,
01/06/2021,01/04/2020,01/02/2021,United States,All Sexes,50-64 years,46417,519110,48440,23220,2061,73401,
01/06/2021,01/04/2020,01/02/2021,United States,All Sexes,55-64 years,37235,412045,39267,18701,1604,59175,
01/06/2021,01/04/2020,01/02/2021,United States,All Sexes,65-74 years,66745,630360,68856,33608,1857,103582,
01/06/2021,01/04/2020,01/02/2021,United States,All Sexes,75-84 years,85925,770041,85806,41355,1863,132006,
01/06/2021,01/04/2020,01/02/2021,United States,All Sexes,85 years and over,100016,954796,90374,40073,1776,151899,
01/06/2021,01/04/2020,01/02/2021,United States,Male,All Ages,169742,1656122,170110,82610,4473,261048,
01/06/2021,01/04/2020,01/02/2021,United States,Male,Under 1 year,21,9776,112,4,10,139,
01/06/2021,01/04/2020,01/02/2021,United States,Male,0-17 years,86,18376,288,15,96,455,
01/06/2021,01/04/2020,01/02/2021,United States,Male,1-4 years,11,1899,55,2,38,102,
01/06/2021,01/04/2020,01/02/2021,United States,Male,5-14 years,32,3141,81,8,36,141,
01/06/2021,01/04/2020,01/02/2021,United States,Male,15-24 years,296,24840,417,104,37,643,
01/06/2021,01/04/2020,01/02/2021,United States,Male,18-29 years,751,43402,947,291,74,1474,
